Date,Time,Open,High,Low,Close,Vol
01/02/2013,16:00,29.20,29.60,28.52,29.37,13767900.0
01/03/2013,16:00,29.27,29.27,28.57,29.13,16739300.0
01/04/2013,16:00,28.95,29.18,28.64,28.76,21372100.0
01/07/2013,16:00,28.56,29.65,28.56,28.82,17897100.0
01/08/2013,16:00,28.68,28.97,27.90,28.19,17863300.0
01/09/2013,16:00,28.11,28.39,28.11,28.35,18800400.0
01/10/2013,16:00,28.15,28.43,27.87,28.43,15658100.0
01/11/2013,16:00,28.42,28.68,28.22,28.64,11191500.0
01/14/2013,16:00,28.78,28.98,28.60,28.85,11584900.0
01/15/2013,16:00,28.52,29.38,28.52,29.28,13040200.0
01/16/2013,16:00,29.17,30.07,29.15,30.07,16512700.0
01/17/2013,16:00,30.25,31.05,30.25,30.82,14424800.0
01/18/2013,16:00,30.83,31.58,30.50,31.58,17842200.0
01/22/2013,16:00,31.29,31.52,30.40,30.82,15809700.0
01/23/2013,16:00,31.23,32.02,30.89,31.99,10981600.0
01/24/2013,16:00,31.98,32.59,31.50,31.70,11327100.0
01/25/2013,16:00,31.75,32.02,31.00,31.82,8934600.0
01/28/2013,16:00,31.86,32.04,31.06,31.22,7140100.0
01/29/2013,16:00,31.06,31.70,30.67,31.57,8838500.0
01/30/2013,16:00,31.15,31.75,31.15,31.25,10841800.0
01/31/2013,16:00,31.17,31.25,30.69,31.05,10720700.0
02/01/2013,16:00,31.17,31.48,30.90,31.46,9527500.0
02/04/2013,16:00,31.00,31.56,30.93,31.55,6348000.0
02/05/2013,16:00,31.66,31.93,31.46,31.48,7284400.0
02/06/2013,16:00,31.27,31.55,31.19,31.43,5738900.0
02/07/2013,16:00,31.79,31.79,30.29,30.82,9872500.0
02/08/2013,16:00,30.78,30.82,30.31,30.67,13858700.0
02/11/2013,16:00,30.57,30.61,30.25,30.34,6032100.0
02/12/2013,16:00,30.27,30.38,29.78,29.97,7473800.0
02/13/2013,16:00,29.97,30.10,29.74,29.84,4859800.0
02/14/2013,16:00,29.66,31.08,29.62,30.94,7570100.0
02/15/2013,16:00,31.25,31.99,31.25,31.80,13296300.0
02/19/2013,16:00,31.77,32.43,31.40,32.32,8292700.0
02/20/2013,16:00,32.29,33.11,31.82,32.67,8096400.0
02/21/2013,16:00,32.57,33.02,32.32,32.81,7260900.0
02/22/2013,16:00,32.82,32.87,32.27,32.54,4490400.0
02/25/2013,16:00,32.61,32.67,31.62,31.62,4665600.0
02/26/2013,16:00,31.82,31.82,31.27,31.38,4463000.0
02/27/2013,16:00,31.28,31.29,30.80,31.08,12238400.0
02/28/2013,16:00,31.02,31.43,30.89,31.24,10321000.0
03/01/2013,16:00,31.14,32.21,30.93,31.99,8929400.0
03/04/2013,16:00,31.76,32.37,31.76,32.36,5420800.0
03/05/2013,16:00,32.54,32.64,31.55,31.74,6650400.0
03/06/2013,16:00,31.78,32.04,31.62,31.93,5489500.0
03/07/2013,16:00,31.86,32.16,31.68,31.72,4442500.0
03/08/2013,16:00,31.85,31.86,31.44,31.60,4114500.0
03/11/2013,16:00,31.52,32.28,31.38,31.88,4614400.0
03/12/2013,16:00,31.90,32.41,31.35,31.45,6523900.0
03/13/2013,16:00,31.48,31.81,31.34,31.45,3710600.0
03/14/2013,16:00,31.67,31.81,31.19,31.78,9859700.0
03/15/2013,16:00,31.68,32.61,31.55,32.58,12208300.0
03/18/2013,16:00,32.20,32.57,32.15,32.29,5178700.0
03/19/2013,16:00,32.37,32.49,32.02,32.46,5108400.0
03/20/2013,16:00,32.58,33.16,32.50,33.05,7072900.0
03/21/2013,16:00,32.85,32.98,32.56,32.57,4736100.0
03/22/2013,16:00,32.64,32.98,32.41,32.98,3323400.0
03/25/2013,16:00,33.10,33.44,32.94,33.27,6065000.0
03/26/2013,16:00,33.48,34.29,33.48,34.02,7249500.0
03/27/2013,16:00,34.03,34.09,33.56,33.97,4274800.0
03/28/2013,16:00,34.07,34.52,33.66,34.51,7263400.0
04/01/2013,16:00,33.81,34.81,33.81,34.80,5740000.0
04/02/2013,16:00,34.88,34.88,34.29,34.45,5510700.0
04/03/2013,16:00,34.48,35.07,34.14,34.33,4122100.0
04/04/2013,16:00,34.50,35.35,34.38,35.20,20687600.0
04/05/2013,16:00,34.96,35.12,34.77,34.96,14089800.0
04/08/2013,16:00,34.92,35.43,34.75,35.35,16449200.0
04/09/2013,16:00,35.51,36.86,35.37,36.01,8673900.0
04/10/2013,16:00,36.09,37.04,35.96,36.91,7809200.0
04/11/2013,16:00,37.08,37.33,36.82,36.89,6494100.0
04/12/2013,16:00,36.70,36.97,36.40,36.80,4199800.0
04/15/2013,16:00,36.61,36.75,35.36,35.39,7152500.0
04/16/2013,16:00,35.59,36.32,35.13,36.25,6998000.0
04/17/2013,16:00,35.99,36.24,35.37,36.07,5046200.0
04/18/2013,16:00,36.18,36.42,35.77,36.14,5009000.0
04/19/2013,16:00,36.30,36.36,36.04,36.20,6493200.0
04/22/2013,16:00,36.72,38.29,36.62,37.75,8531300.0
04/23/2013,16:00,38.10,39.56,37.92,38.55,9378100.0
04/24/2013,16:00,38.55,38.72,37.53,37.85,5541300.0
04/25/2013,16:00,38.22,38.25,37.37,37.78,5236900.0
04/26/2013,16:00,38.39,39.55,38.22,39.15,10096800.0
04/29/2013,16:00,39.14,39.23,38.47,38.63,6024700.0
04/30/2013,16:00,38.47,39.48,38.44,39.33,6798600.0
05/01/2013,16:00,39.06,39.36,38.90,38.90,6398100.0
05/02/2013,16:00,39.01,39.01,37.46,37.57,9649400.0
05/03/2013,16:00,37.84,38.23,37.43,38.16,4641200.0
05/06/2013,16:00,38.39,38.39,37.71,38.08,4085700.0
05/07/2013,16:00,38.00,38.43,37.94,38.35,3745600.0
05/08/2013,16:00,38.44,38.47,37.06,37.14,6973200.0
05/09/2013,16:00,37.01,37.96,36.94,37.78,5046900.0
05/10/2013,16:00,37.76,38.44,37.75,38.44,4455800.0
05/13/2013,16:00,38.25,38.25,37.72,38.04,3738400.0
05/14/2013,16:00,37.65,38.88,37.65,38.73,5760300.0
05/15/2013,16:00,39.05,40.08,38.84,39.31,6702500.0
05/16/2013,16:00,39.34,40.05,39.29,39.46,4605300.0
05/17/2013,16:00,39.31,40.43,39.16,40.28,5244800.0
05/20/2013,16:00,40.24,40.26,39.35,39.51,3537800.0
05/21/2013,16:00,39.45,40.11,39.43,39.75,4708800.0
05/22/2013,16:00,39.68,40.99,39.16,39.93,5203500.0
05/23/2013,16:00,39.39,40.09,39.30,39.79,3306200.0
05/24/2013,16:00,39.50,39.70,38.70,38.81,4511700.0
05/28/2013,16:00,39.19,39.32,38.18,38.76,6181800.0
05/29/2013,16:00,38.34,38.59,37.40,37.47,6908400.0
05/30/2013,16:00,37.64,38.53,37.64,38.05,4852200.0
05/31/2013,16:00,37.81,38.17,36.45,36.46,9308800.0
06/03/2013,16:00,36.62,37.22,36.51,37.03,7176800.0
06/04/2013,16:00,37.08,37.98,37.05,37.26,4528400.0
06/05/2013,16:00,37.14,37.49,36.46,36.76,4801300.0
06/06/2013,16:00,36.91,37.21,36.42,37.15,4261300.0
06/07/2013,16:00,37.34,37.81,37.15,37.58,5463200.0
06/10/2013,16:00,37.86,37.86,36.91,37.51,4702700.0
06/11/2013,16:00,36.99,37.62,36.77,37.23,3574800.0
06/12/2013,16:00,37.50,37.58,36.48,36.53,3742600.0
06/13/2013,16:00,36.23,36.89,34.25,36.85,6096500.0
06/14/2013,16:00,36.71,37.15,36.30,36.90,4078500.0
