Date,Time,Open,High,Low,Close,Vol
12/06/1995,16:00,13.99,14.90,13.99,14.54,372400.0
12/07/1995,16:00,14.36,14.90,14.36,14.54,107100.0
12/08/1995,16:00,14.36,14.90,14.36,14.90,52100.0
12/11/1995,16:00,14.54,14.90,14.54,14.81,86700.0
12/12/1995,16:00,15.08,15.08,14.09,14.09,194900.0
12/13/1995,16:00,14.17,14.54,14.17,14.36,215000.0
12/14/1995,16:00,14.26,14.54,13.99,13.99,36500.0
12/15/1995,16:00,14.17,14.17,13.08,13.45,341700.0
12/18/1995,16:00,13.08,13.45,12.17,12.54,40000.0
12/19/1995,16:00,12.72,13.72,12.63,13.72,56000.0
12/20/1995,16:00,13.90,14.99,13.90,14.72,37800.0
12/21/1995,16:00,14.81,16.08,14.72,15.63,50200.0
12/22/1995,16:00,15.18,17.26,15.18,17.08,42700.0
12/26/1995,16:00,16.72,17.26,16.72,17.26,17700.0
12/27/1995,16:00,17.26,17.81,17.08,17.81,23700.0
12/28/1995,16:00,17.81,17.81,17.45,17.53,35800.0
12/29/1995,16:00,17.26,17.63,17.26,17.63,37500.0
01/02/1996,16:00,18.90,21.26,18.54,20.72,298100.0
01/03/1996,16:00,22.17,22.45,19.81,19.81,287700.0
01/04/1996,16:00,19.81,20.44,19.81,19.90,118000.0
01/05/1996,16:00,20.44,20.44,18.72,19.35,42200.0
01/08/1996,16:00,19.81,19.81,18.99,19.45,26700.0
01/09/1996,16:00,19.81,19.81,18.90,19.45,124400.0
01/10/1996,16:00,19.45,19.45,17.81,17.81,52800.0
01/11/1996,16:00,18.72,18.72,17.99,18.09,62000.0
01/12/1996,16:00,17.81,18.17,17.08,17.63,25800.0
01/15/1996,16:00,17.81,17.81,17.26,17.26,18000.0
01/16/1996,16:00,17.26,17.72,17.26,17.26,53000.0
01/17/1996,16:00,17.45,18.35,17.08,18.17,59200.0
01/18/1996,16:00,18.17,19.45,17.81,18.99,144600.0
01/19/1996,16:00,19.08,19.81,18.62,19.81,182400.0
01/22/1996,16:00,19.45,21.81,19.45,21.81,48000.0
01/23/1996,16:00,21.99,22.08,20.90,21.45,73400.0
01/24/1996,16:00,21.45,21.81,21.17,21.81,71300.0
01/25/1996,16:00,22.08,22.17,21.72,22.17,107200.0
01/26/1996,16:00,22.17,22.17,21.72,22.17,7900.0
01/29/1996,16:00,22.17,22.54,21.81,22.54,95300.0
01/30/1996,16:00,22.72,22.72,21.36,21.36,55200.0
01/31/1996,16:00,21.81,21.81,21.36,21.81,20100.0
02/01/1996,16:00,21.90,21.90,21.45,21.90,8100.0
02/02/1996,16:00,21.45,21.90,21.45,21.81,4400.0
02/05/1996,16:00,22.17,22.90,22.17,22.72,55300.0
02/06/1996,16:00,22.72,22.72,22.17,22.17,58700.0
02/07/1996,16:00,22.54,22.54,20.72,21.17,29400.0
02/08/1996,16:00,20.90,21.08,20.90,21.08,8600.0
02/09/1996,16:00,21.08,21.08,19.54,20.35,75300.0
02/12/1996,16:00,19.45,20.17,19.45,19.45,10600.0
02/13/1996,16:00,19.45,20.35,19.45,20.35,50400.0
02/14/1996,16:00,19.99,20.35,19.45,19.90,71000.0
02/15/1996,16:00,19.45,19.99,19.45,19.45,55500.0
02/16/1996,16:00,19.99,19.99,19.35,19.63,8600.0
02/20/1996,16:00,19.08,19.63,19.08,19.54,71700.0
02/21/1996,16:00,19.26,19.26,18.09,18.54,36200.0
02/22/1996,16:00,17.99,18.54,17.99,17.99,17100.0
02/23/1996,16:00,17.99,18.17,17.63,18.09,13300.0
02/26/1996,16:00,18.09,18.99,17.63,18.99,21900.0
02/27/1996,16:00,18.99,20.17,18.99,20.17,43800.0
02/28/1996,16:00,20.17,20.17,19.63,19.63,28400.0
02/29/1996,16:00,19.54,19.54,19.08,19.35,12900.0
03/01/1996,16:00,18.81,19.35,18.81,18.81,2300.0
03/04/1996,16:00,18.62,19.63,18.62,19.35,8000.0
03/05/1996,16:00,19.54,19.71,19.35,19.35,17000.0
03/06/1996,16:00,19.71,19.71,19.08,19.08,4800.0
03/07/1996,16:00,18.81,19.26,18.81,19.08,3800.0
03/08/1996,16:00,18.99,18.99,18.26,18.26,4400.0
03/11/1996,16:00,18.26,18.72,18.26,18.26,5400.0
03/12/1996,16:00,18.54,18.54,17.53,17.99,110000.0
03/13/1996,16:00,17.99,17.99,17.00,17.26,75000.0
03/14/1996,16:00,17.00,18.09,17.00,18.09,94100.0
03/15/1996,16:00,18.09,18.09,17.72,17.81,900.0
03/18/1996,16:00,17.81,18.35,17.81,18.26,16200.0
03/19/1996,16:00,18.26,18.26,17.72,17.81,17600.0
03/20/1996,16:00,17.81,19.99,17.81,19.99,70900.0
03/21/1996,16:00,19.99,19.99,18.90,19.35,37600.0
03/22/1996,16:00,19.18,19.71,19.18,19.26,87400.0
03/25/1996,16:00,19.63,19.63,19.18,19.18,6600.0
03/26/1996,16:00,19.18,19.26,18.99,19.22,92400.0
03/27/1996,16:00,19.18,19.18,18.45,18.72,7600.0
03/28/1996,16:00,18.54,18.54,17.45,17.99,96300.0
03/29/1996,16:00,17.63,18.17,17.63,18.17,45300.0
04/01/1996,16:00,19.22,19.81,18.17,19.63,154000.0
04/02/1996,16:00,19.63,19.63,19.26,19.45,14400.0
04/03/1996,16:00,18.81,18.81,18.17,18.54,63100.0
04/04/1996,16:00,18.62,18.62,17.90,18.17,200800.0
04/08/1996,16:00,17.81,18.35,17.81,17.99,36100.0
04/09/1996,16:00,18.17,18.17,17.45,18.17,48400.0
04/10/1996,16:00,18.26,18.26,17.63,17.81,81100.0
04/11/1996,16:00,17.99,18.35,17.99,18.09,122800.0
04/12/1996,16:00,18.09,18.35,18.09,18.17,35500.0
04/15/1996,16:00,18.54,18.90,18.09,18.17,140900.0
04/16/1996,16:00,18.54,18.62,18.17,18.62,18400.0
04/17/1996,16:00,18.17,18.54,18.09,18.35,7300.0
04/18/1996,16:00,18.35,18.81,18.13,18.45,255200.0
04/19/1996,16:00,18.81,18.81,17.99,17.99,33800.0
04/22/1996,16:00,18.35,18.35,17.99,18.35,6900.0
04/23/1996,16:00,18.35,18.35,17.99,18.22,93800.0
04/24/1996,16:00,18.35,18.35,18.17,18.17,12400.0
04/25/1996,16:00,18.35,18.35,18.17,18.26,25600.0
04/26/1996,16:00,18.35,18.72,18.35,18.68,28600.0
04/29/1996,16:00,18.90,20.35,18.72,20.08,48800.0
04/30/1996,16:00,20.08,20.08,19.54,19.54,54100.0
05/01/1996,16:00,19.54,19.99,19.54,19.63,9900.0
05/02/1996,16:00,19.63,20.17,19.63,19.71,51800.0
05/03/1996,16:00,20.08,20.72,19.99,19.99,25600.0
05/06/1996,16:00,20.44,20.44,18.90,18.90,41300.0
05/07/1996,16:00,19.18,19.18,18.62,18.62,16900.0
05/08/1996,16:00,18.35,18.72,17.99,18.35,55500.0
05/09/1996,16:00,18.35,18.35,18.09,18.09,13100.0
05/10/1996,16:00,18.09,18.35,18.09,18.35,33500.0
05/13/1996,16:00,18.35,18.35,18.09,18.35,10500.0
05/14/1996,16:00,17.81,18.72,17.81,18.31,68400.0
05/15/1996,16:00,17.99,18.45,17.99,18.13,16800.0
05/16/1996,16:00,18.45,18.45,18.09,18.09,20300.0
05/17/1996,16:00,18.35,18.45,17.90,17.99,32700.0
05/20/1996,16:00,18.62,18.62,17.90,17.90,8600.0
05/21/1996,16:00,18.35,18.35,17.90,17.90,8300.0
05/22/1996,16:00,17.90,18.35,17.90,17.90,28200.0
05/23/1996,16:00,17.90,18.17,17.26,17.72,15200.0
05/24/1996,16:00,17.72,17.72,17.17,17.26,11000.0
05/28/1996,16:00,17.08,17.08,16.27,16.63,14000.0
05/29/1996,16:00,16.54,16.54,15.08,15.81,93800.0
05/30/1996,16:00,16.08,16.08,15.63,15.90,19700.0
05/31/1996,16:00,16.08,17.26,16.08,16.90,224000.0
06/03/1996,16:00,17.17,17.26,16.44,16.90,26200.0
06/04/1996,16:00,16.90,16.90,16.17,16.17,11500.0
06/05/1996,16:00,16.54,16.54,15.63,15.99,19700.0
06/06/1996,16:00,15.81,16.08,15.45,15.81,31600.0
06/07/1996,16:00,15.54,15.54,14.99,15.26,46600.0
06/10/1996,16:00,15.54,16.72,15.35,16.72,50600.0
06/11/1996,16:00,16.54,16.81,16.17,16.68,86300.0
06/12/1996,16:00,16.72,16.81,16.63,16.72,31700.0
06/13/1996,16:00,16.63,17.26,16.63,16.90,34800.0
06/14/1996,16:00,16.90,17.26,16.90,17.08,18200.0
06/17/1996,16:00,17.26,17.26,16.90,16.90,4200.0
06/18/1996,16:00,16.90,17.08,16.54,16.72,62600.0
06/19/1996,16:00,16.17,16.27,15.99,16.08,84900.0
06/20/1996,16:00,16.08,16.08,14.90,15.26,90100.0
06/21/1996,16:00,15.26,15.26,14.90,15.18,44600.0
06/24/1996,16:00,14.72,14.90,14.45,14.90,9000.0
06/25/1996,16:00,14.45,14.72,14.09,14.09,59900.0
06/26/1996,16:00,14.36,14.54,14.30,14.36,33200.0
06/27/1996,16:00,14.72,14.72,14.36,14.72,65900.0
06/28/1996,16:00,14.72,14.90,14.45,14.90,122000.0
07/01/1996,16:00,14.90,15.72,14.62,15.35,290700.0
07/02/1996,16:00,15.72,16.27,15.72,16.27,9900.0
07/03/1996,16:00,16.36,16.36,15.90,16.31,1800.0
07/05/1996,16:00,15.99,16.17,15.45,16.17,6800.0
07/08/1996,16:00,15.81,15.99,15.81,15.81,42500.0
07/09/1996,16:00,15.63,15.72,15.54,15.72,66500.0
07/10/1996,16:00,15.54,15.54,14.81,14.81,51400.0
07/11/1996,16:00,14.81,15.26,13.36,13.81,99300.0
07/12/1996,16:00,13.90,13.90,11.81,12.54,112800.0
07/15/1996,16:00,12.54,12.54,11.18,11.54,58000.0
07/16/1996,16:00,11.27,11.27,8.81,9.67,168900.0
07/17/1996,16:00,10.36,11.27,10.17,11.27,129900.0
07/18/1996,16:00,11.08,11.18,10.90,11.18,56800.0
07/19/1996,16:00,11.08,11.08,10.90,11.08,5000.0
07/22/1996,16:00,10.90,11.08,10.90,10.99,4400.0
07/23/1996,16:00,11.08,11.08,10.17,10.17,35500.0
07/24/1996,16:00,9.81,9.81,9.27,9.36,207400.0
07/25/1996,16:00,9.27,10.17,9.27,10.17,97100.0
07/26/1996,16:00,10.17,10.26,9.53,9.53,41300.0
07/29/1996,16:00,9.90,9.90,9.53,9.53,9200.0
07/30/1996,16:00,9.90,9.90,9.53,9.53,22100.0
07/31/1996,16:00,9.90,9.90,8.90,9.08,65200.0
08/01/1996,16:00,9.17,9.53,9.00,9.53,226200.0
08/02/1996,16:00,9.90,10.26,9.63,10.17,99500.0
08/05/1996,16:00,10.17,10.99,10.17,10.90,76500.0
08/06/1996,16:00,10.99,11.35,10.72,11.27,15300.0
08/07/1996,16:00,11.45,12.27,11.45,12.27,48300.0
08/08/1996,16:00,12.63,12.63,11.95,12.08,21500.0
08/09/1996,16:00,11.81,11.99,11.63,11.99,4900.0
08/12/1996,16:00,11.27,11.45,10.72,11.08,87800.0
08/13/1996,16:00,11.08,11.63,11.08,11.40,2600.0
