Date,Time,Open,High,Low,Close,Vol
03/03/2010,16:00,14.0,14.6,12.5,13.5,1155500.0
03/04/2010,16:00,14.0,14.8,13.79,14.2,1422000.0
03/05/2010,16:00,14.29,14.9,14.0,14.29,778600.0
03/08/2010,16:00,14.5,14.5,13.10,14.0,403700.0
03/09/2010,16:00,14.0,14.0,13.0,13.60,674900.0
03/10/2010,16:00,13.5,13.70,13.20,13.5,530500.0
03/11/2010,16:00,13.5,13.5,13.0,13.5,102900.0
03/12/2010,16:00,13.5,13.5,13.0,13.4,324300.0
03/15/2010,16:00,13.20,13.5,13.20,13.5,276200.0
03/16/2010,16:00,13.5,13.60,13.4,13.4,121000.0
03/17/2010,16:00,13.5,15.0,13.20,14.5,630600.0
03/18/2010,16:00,14.9,15.0,14.0,14.0,58200.0
03/19/2010,16:00,15.0,15.0,14.0,14.29,109900.0
03/22/2010,16:00,15.0,15.0,14.0,14.29,39000.0
03/23/2010,16:00,14.5,14.5,13.89,14.29,65000.0
03/24/2010,16:00,14.29,14.29,12.0,12.0,544900.0
03/25/2010,16:00,12.5,13.0,12.1,12.7,280800.0
03/26/2010,16:00,12.6,12.9,12.1,12.4,23300.0
03/29/2010,16:00,13.0,13.5,12.4,13.5,108800.0
03/30/2010,16:00,13.0,13.5,13.0,13.3,79800.0
03/31/2010,16:00,13.20,13.3,13.0,13.14,172100.0
04/01/2010,16:00,13.0,13.70,13.0,13.3,102300.0
04/05/2010,16:00,13.5,14.0,13.4,13.79,618700.0
04/06/2010,16:00,13.89,14.8,13.79,14.6,543800.0
04/07/2010,16:00,14.6,14.7,14.2,14.29,581000.0
04/08/2010,16:00,14.29,14.29,13.79,14.0,121300.0
04/09/2010,16:00,14.0,14.0,13.35,13.5,99600.0
04/12/2010,16:00,13.4,13.60,13.0,13.3,94700.0
04/13/2010,16:00,13.20,13.4,13.0,13.10,144100.0
04/14/2010,16:00,13.0,13.14,12.9,13.10,561500.0
04/15/2010,16:00,13.0,14.1,13.0,14.0,430300.0
04/16/2010,16:00,14.1,14.1,13.60,13.79,107300.0
04/19/2010,16:00,13.70,13.79,13.4,13.5,10400.0
04/20/2010,16:00,13.60,13.60,13.5,13.60,108900.0
04/21/2010,16:00,13.60,14.0,13.60,13.70,150500.0
04/22/2010,16:00,13.70,14.0,13.5,13.89,256500.0
04/23/2010,16:00,13.89,14.1,13.79,14.0,303100.0
04/26/2010,16:00,14.0,14.0,13.79,13.89,39500.0
04/27/2010,16:00,13.89,13.89,13.60,13.70,10800.0
04/28/2010,16:00,13.89,13.89,13.70,13.70,135100.0
04/29/2010,16:00,13.70,13.89,13.70,13.79,198100.0
04/30/2010,16:00,14.0,14.0,13.5,13.70,66300.0
05/03/2010,16:00,13.70,13.70,13.60,13.65,67900.0
05/04/2010,16:00,13.70,13.70,13.0,13.4,29300.0
05/05/2010,16:00,13.3,13.3,13.0,13.10,77100.0
05/06/2010,16:00,13.0,13.0,12.4,12.5,361400.0
05/07/2010,16:00,12.8,12.9,12.5,12.8,432900.0
05/10/2010,16:00,12.9,13.25,12.8,13.0,34800.0
05/11/2010,16:00,13.10,13.4,13.0,13.3,31700.0
05/12/2010,16:00,13.20,14.0,13.20,13.79,187800.0
05/13/2010,16:00,13.79,15.4,13.70,14.7,280300.0
05/14/2010,16:00,14.8,14.8,14.29,14.5,168700.0
05/17/2010,16:00,14.6,14.7,13.79,13.89,221400.0
05/18/2010,16:00,14.29,14.29,13.5,13.5,169000.0
05/19/2010,16:00,13.4,13.5,13.20,13.4,37000.0
05/20/2010,16:00,13.0,13.10,12.5,12.9,81200.0
05/21/2010,16:00,12.8,13.0,12.7,13.0,95700.0
05/24/2010,16:00,12.9,13.4,12.8,13.4,201900.0
05/25/2010,16:00,13.3,13.3,12.7,13.0,51800.0
05/26/2010,16:00,13.0,13.4,13.0,13.3,62400.0
05/27/2010,16:00,13.4,13.89,13.4,13.70,26800.0
05/28/2010,16:00,13.5,13.70,13.4,13.5,17700.0
06/01/2010,16:00,13.4,13.4,13.20,13.20,39700.0
06/02/2010,16:00,13.3,13.70,13.3,13.70,10500.0
06/03/2010,16:00,13.70,14.29,13.70,14.2,142800.0
06/04/2010,16:00,13.70,13.89,13.5,13.70,87900.0
06/07/2010,16:00,13.70,13.70,13.5,13.60,357900.0
06/08/2010,16:00,13.70,13.70,13.3,13.3,69000.0
06/09/2010,16:00,13.5,13.5,13.3,13.5,70800.0
06/10/2010,16:00,13.5,13.5,13.3,13.5,1500.0
06/11/2010,16:00,13.3,13.5,13.3,13.3,1800.0
06/14/2010,16:00,13.5,13.5,13.3,13.3,6600.0
06/15/2010,16:00,13.5,14.0,13.3,13.5,17600.0
06/16/2010,16:00,13.3,13.5,13.3,13.5,1100.0
06/17/2010,16:00,13.5,13.60,13.5,13.60,24400.0
06/18/2010,16:00,13.60,13.70,13.60,13.70,9700.0
06/21/2010,16:00,13.5,13.70,13.5,13.5,3100.0
06/22/2010,16:00,13.20,13.5,13.20,13.20,151500.0
06/23/2010,16:00,13.3,13.5,13.20,13.20,327900.0
06/24/2010,16:00,13.3,13.79,13.3,13.60,5200.0
06/25/2010,16:00,13.3,13.4,13.20,13.20,16100.0
06/28/2010,16:00,13.0,13.10,13.0,13.10,43100.0
06/29/2010,16:00,13.0,13.0,12.4,12.5,125100.0
