Date,Time,Open,High,Low,Close,Vol
11/14/1986,16:00,128.57,130.07,127.08,130.07,395670.0
11/17/1986,16:00,130.07,130.07,124.09,124.09,642510.121
11/18/1986,16:00,124.09,125.58,118.11,119.60,87229.989
11/19/1986,16:00,119.60,121.10,116.61,118.11,116930.044
11/20/1986,16:00,118.11,119.60,115.12,116.61,206140.077
11/21/1986,16:00,116.61,122.59,116.61,119.60,164779.978
11/24/1986,16:00,119.60,122.59,118.82,119.60,345400.066
11/25/1986,16:00,119.60,120.32,115.12,116.61,62480.044
11/26/1986,16:00,116.61,118.11,113.62,118.11,238810.077
11/28/1986,16:00,118.11,118.11,115.12,116.61,25739.967
12/01/1986,16:00,116.61,118.11,116.61,116.61,165770.0
12/02/1986,16:00,116.61,118.11,115.83,116.61,32230.044
12/03/1986,16:00,116.61,118.11,115.83,116.61,446490.0
12/04/1986,16:00,116.61,118.11,116.61,116.61,163350.0
12/05/1986,16:00,116.61,121.10,116.61,121.10,172039.978
12/08/1986,16:00,121.10,122.59,119.60,119.60,59070.022
12/09/1986,16:00,121.10,124.09,121.10,121.81,16059.967
12/10/1986,16:00,121.81,124.09,119.60,124.09,230119.978
12/11/1986,16:00,124.09,124.09,122.59,122.59,113300.044
12/12/1986,16:00,122.59,124.09,119.60,119.60,1056440.11
12/15/1986,16:00,119.60,121.10,118.11,118.11,215380.0
12/16/1986,16:00,118.11,121.10,116.61,118.11,72380.022
12/17/1986,16:00,118.11,119.60,116.61,119.60,39049.967
12/18/1986,16:00,119.60,119.60,118.11,118.11,40479.945
12/19/1986,16:00,118.11,119.60,118.11,119.60,160380.055
12/22/1986,16:00,119.60,124.09,118.11,124.09,363219.978
12/23/1986,16:00,124.09,124.09,121.10,122.59,152130.033
12/24/1986,16:00,122.59,124.09,122.59,124.09,41249.989
12/26/1986,16:00,124.09,124.09,122.59,124.09,77220.022
12/29/1986,16:00,124.09,124.09,122.59,124.09,119570.022
12/30/1986,16:00,124.09,127.08,122.59,125.58,414260.077
12/31/1986,16:00,125.58,127.08,124.09,125.58,182160.055
01/02/1987,16:00,125.58,130.07,125.58,130.07,129689.978
01/05/1987,16:00,130.07,145.02,127.08,142.03,117920.066
01/06/1987,16:00,142.03,148.01,142.03,148.01,55769.989
01/07/1987,16:00,148.01,148.01,143.52,144.30,220660.077
