Date,Time,Open,High,Low,Close,Vol
08/31/1987,16:00,12.17,12.64,11.71,11.71,2100.0
09/01/1987,16:00,11.71,12.18,11.25,11.25,2100.0
09/02/1987,16:00,11.25,12.18,11.25,11.25,300.0
09/03/1987,16:00,11.25,12.18,11.25,11.25,300.0
09/04/1987,16:00,11.25,11.25,11.25,11.25,0.0
09/08/1987,16:00,11.71,12.17,11.71,11.71,900.0
09/09/1987,16:00,11.71,12.17,11.71,11.71,600.0
09/10/1987,16:00,11.71,12.17,11.71,11.71,300.0
09/11/1987,16:00,11.71,12.17,11.71,11.71,900.0
09/14/1987,16:00,11.71,11.71,11.71,11.71,0.0
09/15/1987,16:00,11.24,11.24,10.31,10.31,1200.0
09/16/1987,16:00,9.83,9.83,8.43,8.43,300.0
09/17/1987,16:00,8.90,10.30,8.90,8.90,900.0
09/18/1987,16:00,8.90,10.30,8.90,8.90,1800.0
09/21/1987,16:00,8.90,8.90,7.50,7.50,1200.0
09/22/1987,16:00,8.43,9.83,8.43,8.43,900.0
09/23/1987,16:00,8.43,8.43,8.43,8.43,0.0
09/24/1987,16:00,8.43,8.43,8.43,8.43,0.0
09/25/1987,16:00,8.90,9.83,8.90,8.90,600.0
09/28/1987,16:00,8.90,8.90,8.90,8.90,0.0
09/29/1987,16:00,8.90,8.90,8.90,8.90,0.0
09/30/1987,16:00,8.90,8.90,8.90,8.90,0.0
10/01/1987,16:00,8.90,9.83,8.90,8.90,900.0
10/02/1987,16:00,8.90,9.83,8.90,8.90,3000.0
10/05/1987,16:00,8.90,9.83,8.90,8.90,2400.0
10/06/1987,16:00,8.90,9.83,8.90,8.90,600.0
10/07/1987,16:00,8.90,8.90,8.90,8.90,0.0
10/08/1987,16:00,8.90,8.90,8.90,8.90,0.0
10/09/1987,16:00,8.90,9.36,8.90,8.90,1500.0
10/12/1987,16:00,9.84,10.77,9.84,9.84,2100.0
10/13/1987,16:00,9.84,11.24,9.84,9.84,7500.0
10/14/1987,16:00,11.25,12.18,11.25,11.25,7200.0
10/15/1987,16:00,11.25,12.65,11.25,11.25,600.0
10/16/1987,16:00,11.25,11.25,11.25,11.25,0.0
10/19/1987,16:00,10.77,10.77,9.37,9.37,2400.0
10/20/1987,16:00,8.90,8.90,7.03,7.03,300.0
10/21/1987,16:00,7.02,8.43,6.56,6.56,5400.0
10/22/1987,16:00,6.56,7.49,6.56,6.56,14400.0
10/23/1987,16:00,6.56,7.96,6.56,6.56,300.0
10/26/1987,16:00,6.56,7.49,6.56,6.56,300.0
10/27/1987,16:00,6.55,7.02,5.62,5.62,900.0
10/28/1987,16:00,5.62,5.62,5.62,5.62,0.0
10/29/1987,16:00,5.62,7.49,5.62,5.62,300.0
10/30/1987,16:00,7.97,9.37,7.97,7.97,8400.0
11/02/1987,16:00,8.43,9.83,8.43,8.43,900.0
11/03/1987,16:00,8.43,9.83,8.43,8.43,1500.0
11/04/1987,16:00,8.43,9.83,8.43,8.43,600.0
11/05/1987,16:00,8.43,9.83,8.43,8.43,1200.0
11/06/1987,16:00,9.84,10.77,9.84,9.84,1200.0
11/09/1987,16:00,9.84,10.77,9.84,9.84,600.0
11/10/1987,16:00,9.83,10.30,8.90,8.90,2400.0
11/11/1987,16:00,8.89,9.36,8.43,8.43,600.0
11/12/1987,16:00,8.43,9.36,8.43,8.43,600.0
11/13/1987,16:00,8.43,9.36,8.43,8.43,1200.0
11/16/1987,16:00,8.43,8.43,8.43,8.43,0.0
11/17/1987,16:00,8.43,9.36,8.43,8.43,600.0
11/18/1987,16:00,8.43,8.43,8.43,8.43,0.0
11/19/1987,16:00,8.43,8.43,8.43,8.43,0.0
11/20/1987,16:00,8.43,9.36,8.43,8.43,900.0
11/23/1987,16:00,8.43,9.83,8.43,8.43,1500.0
11/24/1987,16:00,8.43,9.36,8.43,8.43,900.0
11/25/1987,16:00,8.43,9.36,8.43,8.43,900.0
11/27/1987,16:00,8.43,9.36,8.43,8.43,600.0
11/30/1987,16:00,7.96,7.96,6.56,6.56,2100.0
12/01/1987,16:00,6.56,6.56,6.56,6.56,0.0
12/02/1987,16:00,6.08,6.08,5.15,5.15,1200.0
12/03/1987,16:00,5.15,6.09,4.69,4.69,1500.0
12/04/1987,16:00,4.69,6.09,4.69,4.69,900.0
12/07/1987,16:00,4.69,6.09,4.69,4.69,900.0
12/08/1987,16:00,4.69,4.69,4.69,4.69,0.0
12/09/1987,16:00,5.39,6.55,5.39,5.39,300.0
12/10/1987,16:00,5.62,6.55,5.62,5.62,1800.0
12/11/1987,16:00,6.09,7.49,6.09,6.09,2100.0
12/14/1987,16:00,6.09,7.49,6.09,6.09,300.0
12/15/1987,16:00,6.09,7.49,6.09,6.09,600.0
12/16/1987,16:00,6.09,7.49,6.09,6.09,300.0
12/17/1987,16:00,6.09,6.09,6.09,6.09,0.0
12/18/1987,16:00,6.08,6.55,5.15,5.15,300.0
12/21/1987,16:00,5.15,5.15,5.15,5.15,0.0
12/22/1987,16:00,5.15,6.55,5.15,5.15,300.0
12/23/1987,16:00,5.15,5.15,5.15,5.15,0.0
12/24/1987,16:00,5.15,5.15,5.15,5.15,0.0
12/28/1987,16:00,5.15,5.15,5.15,5.15,0.0
12/29/1987,16:00,5.15,6.55,5.15,5.15,900.0
12/30/1987,16:00,5.15,5.15,5.15,5.15,0.0
12/31/1987,16:00,5.15,5.15,5.15,5.15,0.0
01/04/1988,16:00,5.39,6.32,5.39,5.39,900.0
01/05/1988,16:00,5.62,6.78,5.62,5.62,3600.0
01/06/1988,16:00,5.62,7.02,5.62,5.62,300.0
01/07/1988,16:00,5.62,7.02,5.62,5.62,300.0
01/08/1988,16:00,5.62,5.62,5.62,5.62,0.0
01/11/1988,16:00,5.61,5.84,5.15,5.15,600.0
01/12/1988,16:00,5.15,5.62,4.69,4.69,2400.0
01/13/1988,16:00,4.92,5.63,4.92,4.92,2700.0
01/14/1988,16:00,4.92,5.63,4.92,4.92,300.0
01/15/1988,16:00,5.62,6.78,5.62,5.62,4200.0
