Date,Time,Open,High,Low,Close,Vol
07/16/1991,16:00,5.12,5.62,5.12,5.5,1869200.0
07/17/1991,16:00,5.62,5.62,5.37,5.37,104800.0
07/18/1991,16:00,5.37,5.62,5.37,5.5,266200.0
07/19/1991,16:00,5.62,5.62,5.25,5.37,224800.0
07/22/1991,16:00,5.5,5.5,5.19,5.37,395200.0
07/23/1991,16:00,5.25,5.25,4.87,5.0,87800.0
07/24/1991,16:00,4.87,5.0,4.87,5.0,117000.0
07/25/1991,16:00,5.0,5.12,5.0,5.12,11000.0
07/26/1991,16:00,5.12,5.25,5.12,5.19,7000.0
07/29/1991,16:00,5.25,5.25,4.93,4.93,43400.0
07/30/1991,16:00,5.12,5.12,4.87,4.87,13000.0
07/31/1991,16:00,4.87,5.0,4.56,4.62,493000.0
08/01/1991,16:00,4.62,4.87,4.56,4.87,219000.0
08/02/1991,16:00,4.62,4.62,4.62,4.62,30200.0
08/05/1991,16:00,4.87,4.87,4.75,4.75,24000.0
08/06/1991,16:00,4.75,4.87,4.62,4.62,402800.0
08/07/1991,16:00,4.87,4.87,4.87,4.87,1000.0
08/08/1991,16:00,4.87,4.87,4.87,4.87,800.0
08/09/1991,16:00,4.75,4.75,4.62,4.62,29200.0
08/12/1991,16:00,4.62,4.62,4.62,4.62,16000.0
08/13/1991,16:00,4.75,4.87,4.75,4.87,4400.0
08/14/1991,16:00,4.68,4.68,4.68,4.68,2000.0
08/15/1991,16:00,4.87,4.87,4.62,4.81,286000.0
08/16/1991,16:00,4.81,4.81,4.81,4.81,2000.0
08/19/1991,16:00,4.5,4.62,4.37,4.62,41800.0
08/20/1991,16:00,4.5,4.5,4.25,4.25,58200.0
08/21/1991,16:00,4.5,5.0,4.37,5.0,285400.0
08/22/1991,16:00,5.0,5.75,5.0,5.5,323600.0
08/23/1991,16:00,5.75,6.62,5.62,6.62,369800.0
08/26/1991,16:00,6.62,7.5,6.25,7.25,303400.0
08/27/1991,16:00,7.37,8.0,7.25,7.5,318000.0
08/28/1991,16:00,7.37,7.87,7.25,7.5,188800.0
08/29/1991,16:00,7.87,7.87,7.5,7.62,150000.0
08/30/1991,16:00,7.62,7.62,7.37,7.62,90200.0
09/03/1991,16:00,7.75,7.75,7.0,7.25,94200.0
09/04/1991,16:00,7.62,7.87,7.19,7.37,202800.0
09/05/1991,16:00,7.62,7.62,7.25,7.62,139600.0
09/06/1991,16:00,7.62,7.75,7.37,7.56,60200.0
09/09/1991,16:00,7.75,7.75,7.62,7.62,56600.0
09/10/1991,16:00,7.75,7.75,7.44,7.5,94600.0
09/11/1991,16:00,7.62,7.62,7.37,7.5,72400.0
09/12/1991,16:00,7.62,9.25,7.37,9.25,370400.0
09/13/1991,16:00,9.75,10.0,8.87,9.25,258600.0
09/16/1991,16:00,9.25,9.25,8.75,9.12,119200.0
09/17/1991,16:00,9.12,9.12,8.75,9.0,61800.0
09/18/1991,16:00,8.75,9.0,8.37,8.75,207600.0
09/19/1991,16:00,8.87,8.87,8.5,8.5,84200.0
09/20/1991,16:00,9.0,9.0,8.62,9.0,90400.0
09/23/1991,16:00,8.62,9.0,8.12,8.5,83800.0
09/24/1991,16:00,8.5,8.5,8.12,8.5,35000.0
09/25/1991,16:00,8.62,8.75,8.25,8.75,52400.0
09/26/1991,16:00,8.62,8.75,8.37,8.5,36600.0
09/27/1991,16:00,8.25,8.62,8.25,8.62,7800.0
09/30/1991,16:00,8.25,8.56,8.25,8.5,15000.0
10/01/1991,16:00,8.62,8.62,8.37,8.37,7400.0
10/02/1991,16:00,8.37,8.62,8.37,8.5,7200.0
10/03/1991,16:00,8.62,8.62,8.37,8.62,78000.0
10/04/1991,16:00,8.44,8.62,8.44,8.5,8400.0
10/07/1991,16:00,8.37,8.75,8.37,8.5,765600.0
10/08/1991,16:00,8.75,8.75,8.37,8.37,30600.0
10/09/1991,16:00,8.37,8.75,8.37,8.37,13400.0
10/10/1991,16:00,8.75,8.75,7.37,8.12,139200.0
10/11/1991,16:00,8.37,8.37,8.0,8.12,7200.0
10/14/1991,16:00,8.0,8.12,7.75,7.94,94400.0
10/15/1991,16:00,7.75,8.12,7.75,8.12,38800.0
10/16/1991,16:00,8.12,8.25,7.87,8.25,25600.0
10/17/1991,16:00,8.25,9.25,7.87,9.25,148000.0
10/18/1991,16:00,9.25,9.75,8.87,9.62,209200.0
10/21/1991,16:00,9.25,9.62,9.0,9.25,90800.0
10/22/1991,16:00,9.0,9.37,9.0,9.37,72600.0
10/23/1991,16:00,9.37,10.0,9.0,9.75,164000.0
10/24/1991,16:00,9.75,9.87,8.75,8.81,399600.0
10/25/1991,16:00,8.75,9.5,8.75,9.0,1846000.0
10/28/1991,16:00,9.12,9.37,8.87,9.06,516000.0
10/29/1991,16:00,9.37,9.37,9.0,9.37,233800.0
10/30/1991,16:00,9.37,9.5,9.12,9.5,206000.0
10/31/1991,16:00,9.5,10.44,9.25,10.37,307000.0
11/01/1991,16:00,10.37,10.37,10.12,10.37,211600.0
11/04/1991,16:00,10.37,10.37,10.0,10.25,306000.0
11/05/1991,16:00,10.25,10.25,9.5,9.5,136200.0
11/06/1991,16:00,9.87,9.87,8.37,8.62,327600.0
11/07/1991,16:00,8.87,9.62,8.87,9.0,194200.0
11/08/1991,16:00,9.25,9.5,9.0,9.5,96200.0
11/11/1991,16:00,9.5,9.87,9.25,9.62,128600.0
11/12/1991,16:00,9.87,10.12,9.75,10.12,192200.0
11/13/1991,16:00,9.75,10.12,9.75,9.75,209000.0
11/14/1991,16:00,9.75,10.0,9.0,9.25,167400.0
11/15/1991,16:00,8.87,9.0,7.87,8.0,171400.0
11/18/1991,16:00,7.37,8.0,7.12,7.87,609200.0
11/19/1991,16:00,7.75,7.75,6.5,6.75,282000.0
11/20/1991,16:00,7.0,7.0,6.5,6.5,685800.0
11/21/1991,16:00,6.62,6.62,6.37,6.62,50000.0
11/22/1991,16:00,6.62,6.62,6.0,6.12,104200.0
11/25/1991,16:00,6.12,6.12,5.25,5.87,561000.0
11/26/1991,16:00,6.0,6.0,5.5,5.87,456600.0
11/27/1991,16:00,5.87,5.87,5.5,5.75,1068000.0
11/29/1991,16:00,5.5,6.37,5.5,6.25,156800.0
12/02/1991,16:00,6.25,6.31,5.87,6.31,94600.0
12/03/1991,16:00,6.37,6.5,6.25,6.5,180400.0
12/04/1991,16:00,6.5,6.5,6.25,6.37,179200.0
12/05/1991,16:00,6.5,7.62,6.37,7.37,240000.0
12/06/1991,16:00,7.5,7.75,7.12,7.75,94600.0
12/09/1991,16:00,7.87,8.5,7.5,8.12,337800.0
12/10/1991,16:00,8.12,8.25,7.87,7.87,87600.0
12/11/1991,16:00,7.87,8.0,7.62,7.75,159000.0
12/12/1991,16:00,7.75,8.12,7.75,8.0,94400.0
12/13/1991,16:00,8.12,8.12,7.75,8.0,17000.0
12/16/1991,16:00,8.12,8.37,8.0,8.12,49800.0
12/17/1991,16:00,8.5,8.5,7.62,8.12,41800.0
12/18/1991,16:00,8.0,8.0,7.62,7.62,178200.0
12/19/1991,16:00,7.87,7.87,7.62,7.87,203000.0
12/20/1991,16:00,7.87,7.87,7.62,7.69,88600.0
12/23/1991,16:00,7.5,7.87,7.5,7.5,228800.0
12/24/1991,16:00,7.75,7.75,7.5,7.75,119000.0
12/26/1991,16:00,7.5,7.75,7.5,7.62,109400.0
12/27/1991,16:00,7.75,7.75,7.5,7.75,216200.0
12/30/1991,16:00,7.75,8.25,7.75,8.0,77000.0
12/31/1991,16:00,8.12,9.37,8.12,9.0,135400.0
01/02/1992,16:00,8.87,9.0,8.62,9.0,179600.0
01/03/1992,16:00,9.12,10.87,8.87,10.75,276000.0
01/06/1992,16:00,10.75,11.25,9.87,10.37,172400.0
01/07/1992,16:00,10.0,11.12,9.87,11.12,245400.0
01/08/1992,16:00,11.12,13.62,11.12,13.5,688400.0
01/09/1992,16:00,13.62,14.37,13.5,14.19,867200.0
01/10/1992,16:00,14.37,14.37,12.62,13.12,538400.0
01/13/1992,16:00,13.37,13.37,12.25,13.06,489800.0
01/14/1992,16:00,12.75,13.12,12.75,13.12,63600.0
01/15/1992,16:00,12.75,13.25,12.75,13.06,64400.0
01/16/1992,16:00,13.25,13.25,11.0,11.37,359000.0
01/17/1992,16:00,11.25,11.75,11.25,11.5,218200.0
01/20/1992,16:00,11.5,11.62,11.25,11.37,86800.0
01/21/1992,16:00,11.0,11.12,9.87,10.62,262600.0
01/22/1992,16:00,11.12,11.62,11.0,11.62,131600.0
01/23/1992,16:00,12.0,12.0,11.12,11.5,134000.0
01/24/1992,16:00,11.5,11.62,11.12,11.25,76600.0
01/27/1992,16:00,11.62,11.62,11.25,11.62,90600.0
01/28/1992,16:00,11.62,11.62,11.0,11.37,42400.0
01/29/1992,16:00,11.37,11.37,10.37,10.44,133200.0
