Date,Time,Open,High,Low,Close,Vol
02/27/1998,16:00,15.68,16.24,15.68,15.68,50000.0
03/02/1998,16:00,15.56,15.56,15.33,15.56,75000.0
03/03/1998,16:00,15.44,15.44,15.11,15.44,35000.0
03/04/1998,16:00,14.21,14.21,13.98,14.21,60000.0
03/05/1998,16:00,14.54,14.54,14.54,14.54,400.0
03/06/1998,16:00,14.54,14.77,14.54,14.54,3600.0
03/09/1998,16:00,14.54,14.88,14.32,14.32,3200.0
03/10/1998,16:00,14.32,15.23,14.32,14.66,56800.0
03/11/1998,16:00,14.66,14.88,14.54,14.66,10400.0
03/12/1998,16:00,14.66,14.77,14.54,14.77,3800.0
03/13/1998,16:00,14.88,14.88,14.88,14.88,1000.0
03/16/1998,16:00,14.88,14.88,14.54,14.54,7700.0
03/17/1998,16:00,14.54,14.54,14.21,14.32,28000.0
03/18/1998,16:00,14.32,14.54,14.21,14.54,45700.0
03/19/1998,16:00,14.54,15.68,14.43,15.44,383600.0
03/20/1998,16:00,15.56,16.01,15.56,16.01,275600.0
03/23/1998,16:00,16.01,17.14,15.68,17.03,398600.0
03/24/1998,16:00,17.03,17.93,17.03,17.81,261800.0
03/25/1998,16:00,17.81,18.15,17.59,17.93,135600.0
03/26/1998,16:00,17.93,17.93,17.36,17.70,26300.0
03/27/1998,16:00,17.70,17.81,16.58,17.36,62200.0
03/30/1998,16:00,17.36,17.93,17.36,17.93,49500.0
03/31/1998,16:00,17.93,18.27,17.93,18.15,79000.0
04/01/1998,16:00,18.15,18.60,18.04,18.49,150100.0
04/02/1998,16:00,19.62,21.09,19.62,20.97,140500.0
04/03/1998,16:00,20.97,23.56,19.62,22.33,458700.0
04/06/1998,16:00,22.33,23.45,20.75,21.65,105300.0
04/07/1998,16:00,21.65,21.65,19.95,19.95,152800.0
04/08/1998,16:00,19.95,20.75,18.94,20.30,45100.0
04/09/1998,16:00,20.30,20.75,20.07,20.75,151400.0
04/13/1998,16:00,20.75,20.97,20.19,20.40,85900.0
04/14/1998,16:00,20.40,20.75,20.30,20.52,322900.0
04/15/1998,16:00,20.52,20.64,19.39,19.62,23100.0
04/16/1998,16:00,19.62,19.62,18.83,19.17,55400.0
04/17/1998,16:00,19.17,19.50,18.94,19.50,15100.0
04/20/1998,16:00,19.50,19.95,19.17,19.95,92900.0
04/21/1998,16:00,19.95,19.95,19.62,19.95,23100.0
04/22/1998,16:00,19.95,21.31,19.95,20.75,60900.0
04/23/1998,16:00,20.75,21.20,20.75,21.20,242300.0
04/24/1998,16:00,21.20,21.31,19.84,19.84,100900.0
04/27/1998,16:00,19.84,20.30,17.93,18.83,52200.0
04/28/1998,16:00,18.83,19.74,18.72,19.39,29100.0
04/29/1998,16:00,19.39,20.30,18.94,20.30,101300.0
04/30/1998,16:00,20.30,20.97,20.19,20.75,116300.0
05/01/1998,16:00,20.75,20.86,19.84,19.95,61000.0
05/04/1998,16:00,19.95,20.07,19.17,19.50,58400.0
05/05/1998,16:00,19.50,19.62,18.72,19.17,44000.0
05/06/1998,16:00,19.17,19.84,18.83,19.84,47300.0
05/07/1998,16:00,19.84,19.95,19.29,19.29,230900.0
05/08/1998,16:00,19.62,20.52,19.62,20.40,320700.0
05/11/1998,16:00,20.40,20.52,20.07,20.19,375200.0
05/12/1998,16:00,20.19,20.40,19.84,19.84,333300.0
05/13/1998,16:00,19.95,20.40,19.95,20.19,88100.0
05/14/1998,16:00,20.19,20.30,19.84,20.30,35600.0
05/15/1998,16:00,20.30,20.30,19.39,19.84,69200.0
05/18/1998,16:00,19.84,19.95,18.94,19.39,53200.0
05/19/1998,16:00,19.39,19.84,19.39,19.84,21000.0
05/20/1998,16:00,19.84,19.84,18.94,18.94,14100.0
05/21/1998,16:00,18.94,19.05,17.59,19.05,116400.0
05/22/1998,16:00,18.72,18.72,18.27,18.60,45100.0
05/26/1998,16:00,18.60,18.94,17.25,17.59,119500.0
05/27/1998,16:00,17.59,17.59,16.91,17.36,91100.0
05/28/1998,16:00,17.36,18.49,16.91,18.49,163600.0
05/29/1998,16:00,18.49,20.30,18.49,20.30,121900.0
06/01/1998,16:00,20.30,20.30,19.84,19.95,258500.0
06/02/1998,16:00,19.95,20.30,19.95,20.19,123400.0
06/03/1998,16:00,20.19,20.30,18.72,18.72,180600.0
06/04/1998,16:00,18.72,18.94,18.04,18.72,263200.0
06/05/1998,16:00,18.94,20.75,18.94,20.64,290100.0
06/08/1998,16:00,20.97,21.32,20.30,20.75,2718000.0
06/09/1998,16:00,20.75,20.75,19.84,20.19,604900.0
06/10/1998,16:00,20.30,20.86,20.30,20.64,149300.0
06/11/1998,16:00,20.64,20.80,20.35,20.75,697400.0
06/12/1998,16:00,20.75,20.75,20.19,20.35,782000.0
06/15/1998,16:00,20.69,20.69,19.74,19.74,165900.0
06/16/1998,16:00,19.79,19.84,19.62,19.62,95000.0
06/17/1998,16:00,19.79,19.79,19.39,19.79,57400.0
06/18/1998,16:00,19.79,19.79,19.29,19.39,588700.0
06/19/1998,16:00,19.06,19.29,19.00,19.11,698100.0
06/22/1998,16:00,18.94,19.29,18.61,19.06,159500.0
06/23/1998,16:00,19.74,20.52,19.51,20.30,234000.0
06/24/1998,16:00,20.30,20.80,20.30,20.75,275900.0
