Date,Time,Open,High,Low,Close,Vol
07/19/1984,16:00,9.37,9.37,9.14,9.20,8200.0
07/20/1984,16:00,9.20,9.20,8.84,8.96,14000.0
07/23/1984,16:00,8.97,8.97,8.67,8.67,8200.0
07/24/1984,16:00,8.78,8.90,8.73,8.73,5000.0
07/25/1984,16:00,8.55,8.73,8.55,8.73,14000.0
07/26/1984,16:00,8.78,9.20,8.73,9.14,44200.0
07/27/1984,16:00,9.25,9.97,9.25,9.97,59800.0
07/30/1984,16:00,10.15,10.15,9.79,9.79,23400.0
07/31/1984,16:00,9.79,9.79,9.44,9.44,16000.0
08/01/1984,16:00,9.43,10.38,9.43,10.32,71000.0
08/02/1984,16:00,10.51,10.63,10.39,10.57,102800.0
08/03/1984,16:00,10.80,11.40,10.80,11.22,124200.0
08/06/1984,16:00,11.69,11.87,11.39,11.39,83200.0
08/07/1984,16:00,11.40,11.40,11.16,11.16,24800.0
08/08/1984,16:00,11.11,11.22,10.74,10.74,11200.0
08/09/1984,16:00,10.74,11.45,10.74,11.45,72800.0
08/10/1984,16:00,11.63,11.99,11.63,11.87,76200.0
08/13/1984,16:00,11.81,11.81,11.57,11.75,15000.0
08/14/1984,16:00,11.75,11.75,11.51,11.51,6600.0
08/15/1984,16:00,11.45,11.45,11.27,11.34,19800.0
08/16/1984,16:00,11.21,11.34,11.21,11.34,1200.0
08/17/1984,16:00,11.22,11.22,11.04,11.04,5200.0
08/20/1984,16:00,10.92,11.16,10.92,11.16,143000.0
08/21/1984,16:00,11.04,11.34,11.04,11.28,46600.0
08/22/1984,16:00,11.39,11.63,11.39,11.51,20600.0
08/23/1984,16:00,11.45,11.52,11.22,11.22,27000.0
08/24/1984,16:00,11.16,11.16,10.98,10.98,112600.0
08/27/1984,16:00,10.92,10.92,10.86,10.86,12600.0
08/28/1984,16:00,10.86,10.92,10.86,10.92,400.0
08/29/1984,16:00,10.98,11.16,10.98,11.16,2800.0
08/30/1984,16:00,11.16,11.16,11.04,11.10,9600.0
08/31/1984,16:00,11.10,11.10,10.92,10.92,6000.0
09/04/1984,16:00,10.92,10.92,10.69,10.69,19200.0
09/05/1984,16:00,10.68,10.68,10.56,10.63,16800.0
09/06/1984,16:00,10.57,10.80,10.57,10.57,109200.0
09/07/1984,16:00,10.68,10.68,10.32,10.50,12000.0
09/10/1984,16:00,10.44,10.44,10.26,10.26,2600.0
09/11/1984,16:00,10.38,10.62,10.32,10.50,13400.0
09/12/1984,16:00,10.50,10.50,10.44,10.44,16400.0
09/13/1984,16:00,10.44,10.56,10.44,10.44,25800.0
09/14/1984,16:00,10.56,10.92,10.56,10.86,20200.0
09/17/1984,16:00,10.92,10.92,10.63,10.63,5800.0
09/18/1984,16:00,10.50,10.50,9.55,9.73,33600.0
09/19/1984,16:00,9.61,9.61,9.44,9.44,29200.0
09/20/1984,16:00,9.39,9.45,9.39,9.45,15400.0
09/21/1984,16:00,9.40,9.40,9.33,9.40,8600.0
09/24/1984,16:00,9.28,9.33,9.28,9.28,4000.0
09/25/1984,16:00,9.16,9.16,8.57,8.81,29000.0
09/26/1984,16:00,8.80,9.04,8.80,9.04,41200.0
09/27/1984,16:00,9.05,9.10,8.86,8.86,20800.0
09/28/1984,16:00,8.92,9.16,8.92,9.16,5400.0
10/01/1984,16:00,9.28,9.28,8.92,8.92,4600.0
10/02/1984,16:00,8.99,9.10,8.86,9.10,8000.0
10/03/1984,16:00,8.92,8.92,8.75,8.75,45800.0
10/04/1984,16:00,8.81,8.86,8.69,8.81,5200.0
10/05/1984,16:00,8.86,8.98,8.74,8.98,5200.0
10/08/1984,16:00,8.92,8.98,8.86,8.98,1600.0
10/09/1984,16:00,8.80,8.86,8.75,8.75,6400.0
10/10/1984,16:00,8.63,8.75,8.57,8.57,5000.0
10/11/1984,16:00,8.63,8.63,8.51,8.63,12000.0
10/12/1984,16:00,8.44,8.44,8.03,8.20,16600.0
10/15/1984,16:00,8.27,8.38,8.09,8.20,21200.0
10/16/1984,16:00,8.21,8.21,8.09,8.09,22800.0
10/17/1984,16:00,8.21,8.21,7.85,7.91,41200.0
10/18/1984,16:00,8.03,8.26,7.85,8.26,18000.0
10/19/1984,16:00,8.44,8.44,7.85,7.97,48200.0
10/22/1984,16:00,7.97,8.09,7.73,7.79,14000.0
10/23/1984,16:00,7.79,8.03,7.73,7.85,47400.0
10/24/1984,16:00,7.85,7.91,7.43,7.56,124000.0
10/25/1984,16:00,7.49,7.61,6.95,6.95,67400.0
10/26/1984,16:00,7.07,7.07,7.01,7.07,16800.0
10/29/1984,16:00,7.14,7.14,6.66,6.66,47200.0
10/30/1984,16:00,6.78,6.95,6.78,6.90,35600.0
10/31/1984,16:00,7.14,7.32,7.08,7.32,78800.0
11/01/1984,16:00,7.32,7.50,7.32,7.44,53000.0
11/02/1984,16:00,7.50,7.91,7.50,7.91,24600.0
11/05/1984,16:00,7.92,8.45,7.92,8.39,53200.0
11/06/1984,16:00,8.38,8.38,7.91,8.09,21800.0
11/07/1984,16:00,8.08,8.20,7.90,8.03,35400.0
11/08/1984,16:00,8.09,8.38,8.09,8.32,20000.0
11/09/1984,16:00,8.32,8.44,8.14,8.26,20400.0
11/12/1984,16:00,8.27,8.27,8.03,8.03,4400.0
11/13/1984,16:00,8.03,8.09,7.97,8.09,5800.0
11/14/1984,16:00,8.03,8.09,7.67,7.73,11000.0
11/15/1984,16:00,7.62,7.62,7.43,7.50,20400.0
