Date,Time,Open,High,Low,Close,Vol
05/08/1990,16:00,2.75,2.75,2.75,2.75,0.0
05/09/1990,16:00,3.5,3.5,3.5,3.5,65700.0
05/10/1990,16:00,3.5,3.5,3.5,3.5,32800.0
05/11/1990,16:00,3.5,3.5,3.5,3.5,26700.0
05/14/1990,16:00,3.25,3.25,3.25,3.25,19700.0
05/15/1990,16:00,3.25,3.25,3.25,3.25,18900.0
05/16/1990,16:00,3.37,3.37,3.37,3.37,28900.0
05/17/1990,16:00,3.25,3.25,3.25,3.25,7300.0
05/18/1990,16:00,3.25,3.25,3.25,3.25,10100.0
05/21/1990,16:00,3.12,3.12,3.12,3.12,1700.0
05/22/1990,16:00,3.12,3.12,3.12,3.12,4600.0
05/23/1990,16:00,3.12,3.12,3.12,3.12,3100.0
05/24/1990,16:00,3.12,3.12,3.12,3.12,4000.0
05/25/1990,16:00,3.0,3.0,3.0,3.0,6500.0
05/29/1990,16:00,3.0,3.0,3.0,3.0,600.0
05/30/1990,16:00,3.0,3.0,3.0,3.0,0.0
05/31/1990,16:00,3.0,3.0,3.0,3.0,2500.0
06/01/1990,16:00,3.0,3.0,3.0,3.0,3700.0
06/04/1990,16:00,3.0,3.0,3.0,3.0,2700.0
06/05/1990,16:00,2.87,2.87,2.87,2.87,4300.0
06/06/1990,16:00,2.87,2.87,2.87,2.87,3100.0
06/07/1990,16:00,2.87,2.87,2.87,2.87,10200.0
06/08/1990,16:00,3.0,3.0,3.0,3.0,2800.0
06/11/1990,16:00,3.0,3.0,3.0,3.0,1300.0
06/12/1990,16:00,3.0,3.0,3.0,3.0,1900.0
06/13/1990,16:00,3.0,3.0,3.0,3.0,24600.0
06/14/1990,16:00,3.0,3.0,3.0,3.0,5000.0
06/15/1990,16:00,3.0,3.0,3.0,3.0,5400.0
06/18/1990,16:00,3.0,3.0,3.0,3.0,8300.0
06/19/1990,16:00,3.0,3.0,3.0,3.0,1500.0
06/20/1990,16:00,3.0,3.0,3.0,3.0,47300.0
06/21/1990,16:00,3.12,3.12,3.12,3.12,11500.0
06/22/1990,16:00,3.12,3.12,3.12,3.12,38100.0
06/25/1990,16:00,3.12,3.12,3.12,3.12,0.0
06/26/1990,16:00,3.12,3.12,3.12,3.12,14500.0
06/27/1990,16:00,3.12,3.12,3.12,3.12,3200.0
06/28/1990,16:00,3.25,3.25,3.25,3.25,6100.0
06/29/1990,16:00,3.25,3.25,3.25,3.25,5600.0
07/02/1990,16:00,3.0,3.0,3.0,3.0,7800.0
