Date,Time,Open,High,Low,Close,Vol
11/19/2008,16:00,5.25,5.25,5.25,5.25,200.0
11/20/2008,16:00,5.25,5.25,5.25,5.25,0.0
11/21/2008,16:00,5.25,5.25,5.25,5.25,0.0
11/24/2008,16:00,5.25,5.25,5.25,5.25,100.0
11/25/2008,16:00,5.25,5.25,5.25,5.25,0.0
11/26/2008,16:00,5.25,5.25,5.25,5.25,0.0
11/28/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/01/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/02/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/03/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/04/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/05/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/08/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/09/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/10/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/11/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/12/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/15/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/16/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/17/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/18/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/19/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/22/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/23/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/24/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/26/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/29/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/30/2008,16:00,5.25,5.25,5.25,5.25,0.0
12/31/2008,16:00,5.25,5.25,5.25,5.25,0.0
01/02/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/05/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/06/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/07/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/08/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/09/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/12/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/13/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/14/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/15/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/16/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/20/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/21/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/22/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/23/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/26/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/27/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/28/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/29/2009,16:00,5.25,5.25,5.25,5.25,0.0
01/30/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/02/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/03/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/04/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/05/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/06/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/09/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/10/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/11/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/12/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/13/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/17/2009,16:00,5.25,5.25,5.25,5.25,100.0
02/18/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/19/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/20/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/23/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/24/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/25/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/26/2009,16:00,5.25,5.25,5.25,5.25,0.0
02/27/2009,16:00,5.25,5.25,5.25,5.25,0.0
03/02/2009,16:00,5.25,5.25,5.25,5.25,0.0
03/03/2009,16:00,5.25,5.25,5.25,5.25,0.0
03/04/2009,16:00,5.25,5.25,5.25,5.25,0.0
