Date,Time,Open,High,Low,Close,Vol
04/19/1985,16:00,0.12,0.12,0.12,0.12,13057200.0
04/22/1985,16:00,0.12,0.12,0.12,0.12,2890809.0
04/23/1985,16:00,0.12,0.12,0.12,0.12,5718600.0
04/24/1985,16:00,0.12,0.12,0.12,0.12,2122200.0
04/25/1985,16:00,0.11,0.11,0.11,0.11,6172200.0
04/26/1985,16:00,0.11,0.11,0.11,0.11,2381400.0
04/29/1985,16:00,0.11,0.11,0.11,0.11,2502009.0
04/30/1985,16:00,0.11,0.11,0.11,0.11,2745009.0
05/01/1985,16:00,0.10,0.10,0.10,0.10,5029209.0
05/02/1985,16:00,0.10,0.10,0.10,0.10,1805409.0
05/03/1985,16:00,0.10,0.11,0.10,0.10,1740609.0
05/06/1985,16:00,0.11,0.11,0.11,0.11,217809.0
05/07/1985,16:00,0.11,0.11,0.11,0.11,1983609.0
05/08/1985,16:00,0.11,0.11,0.11,0.11,307800.0
05/09/1985,16:00,0.11,0.12,0.11,0.11,1701000.0
05/10/1985,16:00,0.12,0.12,0.12,0.12,2356209.0
05/13/1985,16:00,0.12,0.12,0.12,0.12,1247400.0
05/14/1985,16:00,0.12,0.12,0.12,0.12,437400.0
05/15/1985,16:00,0.12,0.12,0.12,0.12,1701000.0
05/16/1985,16:00,0.12,0.12,0.12,0.12,3101409.0
05/17/1985,16:00,0.13,0.13,0.13,0.13,3101409.0
05/20/1985,16:00,0.13,0.13,0.13,0.13,1895400.0
05/21/1985,16:00,0.13,0.13,0.12,0.12,1879200.0
05/22/1985,16:00,0.12,0.13,0.12,0.12,2948400.0
05/23/1985,16:00,0.12,0.13,0.12,0.12,2907009.0
05/24/1985,16:00,0.12,0.13,0.12,0.12,784809.0
05/28/1985,16:00,0.12,0.13,0.12,0.12,574209.0
05/29/1985,16:00,0.12,0.13,0.12,0.12,525609.0
05/30/1985,16:00,0.12,0.13,0.12,0.12,1652400.0
05/31/1985,16:00,0.13,0.13,0.13,0.13,1303209.0
06/03/1985,16:00,0.13,0.14,0.13,0.13,1360800.0
06/04/1985,16:00,0.13,0.14,0.13,0.13,1587600.0
06/05/1985,16:00,0.13,0.14,0.13,0.13,712800.0
06/06/1985,16:00,0.13,0.14,0.13,0.13,1837809.0
06/07/1985,16:00,0.14,0.14,0.14,0.14,826200.0
06/10/1985,16:00,0.14,0.14,0.14,0.14,486000.0
06/11/1985,16:00,0.14,0.14,0.14,0.14,2608200.0
06/12/1985,16:00,0.14,0.14,0.14,0.14,1465209.0
06/13/1985,16:00,0.13,0.13,0.12,0.12,1717200.0
06/14/1985,16:00,0.13,0.13,0.13,0.13,113400.0
06/17/1985,16:00,0.13,0.13,0.12,0.12,761400.0
06/18/1985,16:00,0.12,0.13,0.12,0.12,558009.0
06/19/1985,16:00,0.12,0.13,0.12,0.12,307800.0
06/20/1985,16:00,0.12,0.13,0.12,0.12,1270809.0
06/21/1985,16:00,0.12,0.12,0.12,0.12,1594809.0
06/24/1985,16:00,0.12,0.12,0.11,0.11,356400.0
06/25/1985,16:00,0.12,0.12,0.12,0.12,1449009.0
06/26/1985,16:00,0.12,0.12,0.12,0.12,720009.0
06/27/1985,16:00,0.12,0.12,0.12,0.12,428409.0
06/28/1985,16:00,0.12,0.12,0.11,0.11,736209.0
07/01/1985,16:00,0.11,0.12,0.11,0.11,810000.0
07/02/1985,16:00,0.11,0.12,0.11,0.11,930609.0
07/03/1985,16:00,0.12,0.12,0.12,0.12,1546209.0
07/05/1985,16:00,0.12,0.12,0.12,0.12,356400.0
07/08/1985,16:00,0.12,0.12,0.12,0.12,1150200.0
07/09/1985,16:00,0.12,0.12,0.12,0.12,1724409.0
07/10/1985,16:00,0.12,0.12,0.12,0.12,259200.0
07/11/1985,16:00,0.13,0.13,0.13,0.13,2826009.0
07/12/1985,16:00,0.13,0.14,0.13,0.13,2210409.0
07/15/1985,16:00,0.13,0.13,0.13,0.13,865809.0
07/16/1985,16:00,0.14,0.14,0.14,0.14,4649400.0
07/17/1985,16:00,0.14,0.14,0.14,0.14,3304800.0
07/18/1985,16:00,0.14,0.14,0.14,0.14,4834809.0
07/19/1985,16:00,0.14,0.14,0.13,0.13,955800.0
