Date,Time,Open,High,Low,Close,Vol
01/03/1996,16:00,10.43,10.88,10.43,10.83,15900.0
01/04/1996,16:00,10.71,10.71,9.75,9.75,9300.0
01/05/1996,16:00,9.80,10.31,9.80,10.31,59800.0
01/08/1996,16:00,10.43,10.54,10.37,10.54,41400.0
01/09/1996,16:00,10.54,10.88,10.54,10.65,90400.0
01/10/1996,16:00,10.60,10.65,10.54,10.60,85500.0
01/11/1996,16:00,10.48,10.48,10.20,10.31,21800.0
01/12/1996,16:00,10.43,10.43,9.75,9.75,12000.0
01/15/1996,16:00,9.75,9.86,9.75,9.75,101000.0
01/16/1996,16:00,9.86,9.86,9.47,9.47,165200.0
01/17/1996,16:00,9.52,9.75,9.52,9.75,361400.0
01/18/1996,16:00,9.75,10.43,9.75,10.31,258000.0
01/19/1996,16:00,10.20,10.71,10.20,10.65,538400.0
01/22/1996,16:00,10.65,10.71,10.43,10.54,630400.0
01/23/1996,16:00,10.54,10.71,10.43,10.60,224800.0
01/24/1996,16:00,10.71,11.05,10.71,11.00,279100.0
01/25/1996,16:00,10.94,11.22,10.88,11.00,215700.0
01/26/1996,16:00,10.88,10.88,10.43,10.77,215000.0
01/29/1996,16:00,10.77,10.77,10.54,10.77,353100.0
01/30/1996,16:00,10.83,11.56,10.83,11.22,312200.0
01/31/1996,16:00,11.22,11.34,11.16,11.34,318800.0
02/01/1996,16:00,11.28,11.45,11.16,11.16,148000.0
02/02/1996,16:00,11.22,11.28,11.05,11.11,92100.0
02/05/1996,16:00,11.11,11.11,10.94,11.11,48900.0
02/06/1996,16:00,11.11,11.56,11.05,11.51,202100.0
02/07/1996,16:00,11.11,11.11,10.48,10.77,266500.0
02/08/1996,16:00,10.88,11.05,10.88,11.05,107600.0
02/09/1996,16:00,11.05,11.16,10.94,11.05,74100.0
02/12/1996,16:00,11.11,11.16,10.83,10.94,27200.0
02/13/1996,16:00,11.01,11.12,10.84,11.12,97800.0
02/14/1996,16:00,11.07,11.23,10.89,11.01,103500.0
02/15/1996,16:00,11.12,11.23,11.07,11.17,92300.0
02/16/1996,16:00,11.01,11.23,11.01,11.12,46000.0
02/20/1996,16:00,10.95,11.01,10.89,10.89,103800.0
02/21/1996,16:00,11.01,11.12,11.01,11.12,162000.0
02/22/1996,16:00,11.12,11.17,11.01,11.07,159900.0
02/23/1996,16:00,11.07,11.12,10.95,11.12,74500.0
02/26/1996,16:00,11.07,11.07,10.44,10.55,193800.0
02/27/1996,16:00,10.55,10.61,10.38,10.38,145100.0
02/28/1996,16:00,10.16,10.55,10.16,10.44,360700.0
02/29/1996,16:00,10.27,10.67,10.27,10.61,163700.0
03/01/1996,16:00,10.55,11.01,10.49,11.01,251600.0
03/04/1996,16:00,11.01,11.35,10.95,11.23,262900.0
03/05/1996,16:00,11.17,11.57,11.17,11.52,307300.0
03/06/1996,16:00,11.63,11.75,11.63,11.69,150200.0
03/07/1996,16:00,11.69,11.80,11.69,11.69,80800.0
03/08/1996,16:00,11.57,11.86,11.35,11.57,219700.0
03/11/1996,16:00,11.46,12.26,11.40,12.20,126100.0
03/12/1996,16:00,12.26,12.26,11.86,12.03,147000.0
03/13/1996,16:00,11.91,12.60,11.91,12.43,63300.0
03/14/1996,16:00,12.37,12.54,12.31,12.43,82600.0
03/15/1996,16:00,12.37,12.48,12.31,12.43,48300.0
03/18/1996,16:00,12.43,12.48,12.31,12.43,63100.0
03/19/1996,16:00,12.48,12.54,12.43,12.48,74200.0
03/20/1996,16:00,12.60,12.76,12.48,12.48,66200.0
03/21/1996,16:00,12.54,12.54,12.20,12.48,51500.0
03/22/1996,16:00,12.48,12.60,12.37,12.37,67600.0
03/25/1996,16:00,12.43,12.48,12.26,12.26,140600.0
03/26/1996,16:00,12.31,12.31,11.75,11.75,112700.0
03/27/1996,16:00,11.75,11.97,11.75,11.91,138900.0
03/28/1996,16:00,11.91,11.91,11.80,11.80,166800.0
03/29/1996,16:00,11.91,12.14,11.80,12.14,149400.0
04/01/1996,16:00,12.03,12.60,12.03,12.54,62600.0
04/02/1996,16:00,12.48,12.60,12.43,12.48,58300.0
04/03/1996,16:00,12.37,12.37,12.20,12.20,87200.0
04/04/1996,16:00,12.26,12.26,11.80,11.97,1829800.0
04/08/1996,16:00,11.91,11.91,11.80,11.80,11100.0
04/09/1996,16:00,11.86,11.91,11.80,11.91,66000.0
04/10/1996,16:00,11.86,11.91,11.75,11.80,28000.0
04/11/1996,16:00,11.75,11.97,11.75,11.91,267300.0
04/12/1996,16:00,11.91,12.03,11.80,12.03,138100.0
04/15/1996,16:00,12.03,12.03,11.86,11.91,89300.0
04/16/1996,16:00,11.86,12.03,11.86,12.03,142200.0
04/17/1996,16:00,12.03,12.14,12.03,12.08,76200.0
04/18/1996,16:00,12.08,12.26,12.08,12.20,52100.0
04/19/1996,16:00,12.20,12.48,12.20,12.48,109200.0
04/22/1996,16:00,12.43,12.48,12.37,12.48,101600.0
04/23/1996,16:00,12.48,12.71,12.48,12.71,102100.0
04/24/1996,16:00,12.71,13.16,12.71,12.76,416100.0
04/25/1996,16:00,12.65,12.99,12.65,12.94,159400.0
04/26/1996,16:00,12.99,12.99,12.54,12.65,436200.0
04/29/1996,16:00,12.65,12.82,12.60,12.82,21800.0
04/30/1996,16:00,12.82,12.94,12.60,12.65,36700.0
05/01/1996,16:00,12.54,12.65,12.48,12.54,21300.0
05/02/1996,16:00,12.43,12.43,12.26,12.37,116900.0
05/03/1996,16:00,12.31,12.60,12.14,12.26,264700.0
05/06/1996,16:00,12.31,12.54,12.31,12.48,282200.0
05/07/1996,16:00,12.48,12.88,12.48,12.48,333900.0
05/08/1996,16:00,12.43,12.60,12.43,12.54,30300.0
05/09/1996,16:00,12.60,12.65,12.54,12.60,124000.0
05/10/1996,16:00,12.54,12.65,12.48,12.54,64600.0
05/13/1996,16:00,12.49,12.95,12.49,12.95,36000.0
05/14/1996,16:00,12.89,12.89,12.67,12.83,115200.0
05/15/1996,16:00,12.83,12.95,12.77,12.77,19700.0
05/16/1996,16:00,12.61,12.72,12.44,12.61,108000.0
05/17/1996,16:00,12.61,12.72,12.44,12.49,76200.0
05/20/1996,16:00,12.49,12.95,12.49,12.89,295300.0
05/21/1996,16:00,13.00,13.35,13.00,13.17,170200.0
05/22/1996,16:00,13.12,13.29,13.06,13.17,92400.0
05/23/1996,16:00,13.23,13.86,13.23,13.68,639800.0
05/24/1996,16:00,13.63,13.68,13.29,13.46,34200.0
05/28/1996,16:00,13.46,13.46,12.77,12.83,187800.0
05/29/1996,16:00,12.95,12.95,12.67,12.77,42200.0
05/30/1996,16:00,12.89,13.17,12.77,13.12,212000.0
