Date,Time,Open,High,Low,Close,Vol
05/11/1992,16:00,0.91,0.94,0.89,0.92,560398.5
05/12/1992,16:00,0.91,0.94,0.89,0.92,1679001.75
05/13/1992,16:00,0.91,0.92,0.89,0.91,648297.0
05/14/1992,16:00,0.89,0.91,0.88,0.91,1694101.5
05/15/1992,16:00,0.91,0.91,0.86,0.91,107797.5
05/18/1992,16:00,0.91,0.91,0.88,0.91,122897.25
05/19/1992,16:00,0.91,0.92,0.88,0.92,142296.75
05/20/1992,16:00,0.88,0.92,0.88,0.92,112502.25
05/21/1992,16:00,0.92,0.92,0.88,0.88,223101.0
05/22/1992,16:00,0.91,0.91,0.88,0.88,131901.75
05/26/1992,16:00,0.88,0.91,0.88,0.88,254299.5
05/27/1992,16:00,0.91,0.91,0.88,0.88,34499.25
05/28/1992,16:00,0.91,0.91,0.88,0.88,149897.25
05/29/1992,16:00,0.88,0.91,0.88,0.91,180299.25
06/01/1992,16:00,0.91,0.91,0.88,0.88,61398.0
06/02/1992,16:00,0.91,0.91,0.88,0.91,223897.5
06/03/1992,16:00,0.91,0.91,0.84,0.84,272301.75
06/04/1992,16:00,0.89,0.89,0.84,0.87,194798.25
06/05/1992,16:00,0.89,0.89,0.84,0.89,110598.75
06/08/1992,16:00,0.84,0.89,0.84,0.84,45501.75
06/09/1992,16:00,0.84,0.89,0.84,0.86,46102.5
06/10/1992,16:00,0.86,0.92,0.86,0.92,133299.0
06/11/1992,16:00,0.92,0.92,0.86,0.92,18501.75
06/12/1992,16:00,0.86,0.92,0.86,0.86,26797.5
06/15/1992,16:00,0.92,0.92,0.86,0.86,2700.0
06/16/1992,16:00,0.86,0.92,0.86,0.86,211997.25
06/17/1992,16:00,0.92,0.92,0.86,0.86,86298.75
06/18/1992,16:00,0.91,0.91,0.85,0.85,425796.75
06/19/1992,16:00,0.87,0.88,0.81,0.81,103599.0
06/22/1992,16:00,0.84,0.84,0.81,0.84,22700.25
06/23/1992,16:00,0.83,0.84,0.79,0.79,37199.25
06/24/1992,16:00,0.84,0.84,0.79,0.79,7398.0
06/25/1992,16:00,0.84,0.84,0.79,0.84,56598.75
06/26/1992,16:00,0.84,0.84,0.75,0.77,211997.25
06/29/1992,16:00,0.73,0.76,0.73,0.73,37800.0
06/30/1992,16:00,0.73,0.76,0.73,0.73,3300.75
07/01/1992,16:00,0.76,0.86,0.76,0.86,140103.0
07/02/1992,16:00,0.81,0.94,0.81,0.91,89802.0
07/06/1992,16:00,0.91,0.92,0.89,0.91,257100.75
07/07/1992,16:00,0.89,0.92,0.89,0.89,150599.25
07/08/1992,16:00,0.89,0.89,0.84,0.88,85698.0
07/09/1992,16:00,0.91,0.91,0.89,0.91,28896.75
07/10/1992,16:00,0.86,0.91,0.86,0.88,24003.0
07/13/1992,16:00,0.91,0.96,0.88,0.94,251599.5
07/14/1992,16:00,0.94,0.94,0.89,0.89,31002.75
07/15/1992,16:00,0.92,1.05,0.92,1.01,541100.25
07/16/1992,16:00,0.99,1.04,0.99,0.99,67601.25
07/17/1992,16:00,0.97,1.01,0.96,0.96,73797.75
07/20/1992,16:00,0.99,0.99,0.94,0.99,20601.0
07/21/1992,16:00,0.94,1.01,0.94,1.01,84199.5
07/22/1992,16:00,1.01,1.01,0.94,0.99,254299.5
07/23/1992,16:00,0.97,0.97,0.97,0.97,2700.0
07/24/1992,16:00,1.02,1.02,0.97,0.99,120798.0
07/27/1992,16:00,1.02,1.04,0.99,1.04,641398.5
07/28/1992,16:00,1.04,1.05,0.99,1.05,90402.75
07/29/1992,16:00,1.05,1.05,1.02,1.05,120197.25
07/30/1992,16:00,1.05,1.05,1.02,1.02,16497.0
07/31/1992,16:00,1.02,1.04,1.02,1.04,47601.0
08/03/1992,16:00,0.99,1.04,0.99,1.04,29497.5
08/04/1992,16:00,1.01,1.01,1.01,1.01,4698.0
08/05/1992,16:00,1.05,1.05,1.05,1.05,5501.25
08/06/1992,16:00,1.05,1.05,0.99,1.01,35903.25
08/07/1992,16:00,1.05,1.05,1.01,1.05,28201.5
08/10/1992,16:00,1.05,1.05,1.02,1.05,21303.0
08/11/1992,16:00,1.05,1.05,0.91,0.95,324803.25
08/12/1992,16:00,0.96,0.97,0.91,0.97,86298.75
08/13/1992,16:00,1.04,1.05,1.01,1.01,192098.25
08/14/1992,16:00,1.05,1.05,1.01,1.04,1015301.25
08/17/1992,16:00,1.04,1.07,1.04,1.06,109100.25
08/18/1992,16:00,1.07,1.10,1.05,1.08,345600.0
08/19/1992,16:00,1.10,1.10,1.05,1.10,109100.25
08/20/1992,16:00,1.05,1.10,1.05,1.10,136100.25
08/21/1992,16:00,1.10,1.10,1.05,1.10,147798.0
08/24/1992,16:00,1.10,1.10,1.04,1.04,102897.0
08/25/1992,16:00,1.09,1.09,1.04,1.09,37800.0
08/26/1992,16:00,1.09,1.09,1.09,1.09,8201.25
08/27/1992,16:00,1.09,1.09,1.07,1.09,11603.25
08/28/1992,16:00,1.04,1.09,1.04,1.05,54398.25
08/31/1992,16:00,1.09,1.09,1.04,1.09,42801.75
09/01/1992,16:00,1.06,1.09,1.06,1.09,17901.0
09/02/1992,16:00,1.04,1.12,1.04,1.12,167197.5
09/03/1992,16:00,1.19,1.27,1.14,1.23,424298.25
