Date,Time,Open,High,Low,Close,Vol
06/01/1972,16:00,0.68,0.68,0.67,0.68,3146912.0
06/02/1972,16:00,0.68,0.69,0.68,0.68,1136416.0
06/05/1972,16:00,0.68,0.69,0.68,0.68,480704.0
06/06/1972,16:00,0.68,0.69,0.68,0.68,1338112.0
06/07/1972,16:00,0.68,0.68,0.68,0.68,894304.0
06/08/1972,16:00,0.68,0.68,0.67,0.68,369792.0
06/09/1972,16:00,0.68,0.68,0.67,0.67,527808.0
06/12/1972,16:00,0.67,0.68,0.67,0.68,376512.0
06/13/1972,16:00,0.68,0.68,0.67,0.68,231904.0
06/14/1972,16:00,0.68,0.68,0.66,0.67,352992.0
06/15/1972,16:00,0.67,0.67,0.67,0.67,443808.0
06/16/1972,16:00,0.67,0.67,0.67,0.67,363104.0
06/19/1972,16:00,0.67,0.67,0.66,0.67,504288.0
06/20/1972,16:00,0.67,0.67,0.67,0.67,316000.0
06/21/1972,16:00,0.67,0.68,0.67,0.67,595008.0
06/22/1972,16:00,0.67,0.67,0.67,0.67,484096.0
06/23/1972,16:00,0.67,0.67,0.66,0.66,541312.0
06/26/1972,16:00,0.66,0.67,0.66,0.67,238688.0
06/27/1972,16:00,0.67,0.67,0.66,0.66,292512.0
06/28/1972,16:00,0.66,0.67,0.66,0.67,3573888.0
06/29/1972,16:00,0.67,0.67,0.66,0.67,369792.0
06/30/1972,16:00,0.67,0.68,0.67,0.67,648800.0
07/03/1972,16:00,0.67,0.67,0.67,0.67,302496.0
07/05/1972,16:00,0.67,0.67,0.67,0.67,2840992.0
07/06/1972,16:00,0.67,0.68,0.67,0.67,2067712.0
07/07/1972,16:00,0.67,0.67,0.67,0.67,527808.0
07/10/1972,16:00,0.67,0.68,0.67,0.67,282400.0
07/11/1972,16:00,0.67,0.67,0.67,0.67,699296.0
07/12/1972,16:00,0.67,0.67,0.67,0.67,480704.0
07/13/1972,16:00,0.67,0.67,0.67,0.67,242016.0
07/14/1972,16:00,0.67,0.67,0.67,0.67,228608.0
07/17/1972,16:00,0.67,0.67,0.67,0.67,706016.0
07/18/1972,16:00,0.67,0.67,0.66,0.67,1045600.0
07/19/1972,16:00,0.67,0.68,0.66,0.67,2111392.0
07/20/1972,16:00,0.67,0.68,0.67,0.68,847200.0
07/21/1972,16:00,0.68,0.68,0.67,0.68,1435616.0
07/24/1972,16:00,0.68,0.69,0.68,0.68,1603712.0
07/25/1972,16:00,0.68,0.70,0.68,0.69,2272800.0
07/26/1972,16:00,0.69,0.69,0.69,0.69,1667616.0
07/27/1972,16:00,0.69,0.69,0.69,0.69,1879392.0
07/28/1972,16:00,0.69,0.70,0.69,0.69,830400.0
07/31/1972,16:00,0.69,0.70,0.69,0.69,433696.0
08/01/1972,16:00,0.69,0.70,0.69,0.70,1852512.0
08/02/1972,16:00,0.71,0.73,0.71,0.73,4263104.0
08/03/1972,16:00,0.73,0.75,0.72,0.74,3698304.0
08/04/1972,16:00,0.74,0.75,0.74,0.75,1344800.0
