Date,Time,Open,High,Low,Close,Vol
02/23/1994,16:00,28.96,29.57,28.16,28.77,1701499.8
02/24/1994,16:00,28.77,28.77,27.75,28.37,437500.2
02/25/1994,16:00,28.56,28.56,27.96,28.37,50800.200000000004
02/28/1994,16:00,28.56,28.56,27.75,28.16,90100.20000000001
03/01/1994,16:00,27.96,28.16,27.75,28.16,53800.200000000004
03/02/1994,16:00,27.75,27.96,27.56,27.96,93499.8
03/03/1994,16:00,27.75,27.75,27.35,27.75,149899.80000000002
03/04/1994,16:00,27.56,28.16,27.35,28.16,35800.200000000004
03/07/1994,16:00,27.96,28.37,27.75,28.16,43000.200000000004
03/08/1994,16:00,28.16,28.37,27.96,28.16,10999.800000000001
03/09/1994,16:00,28.16,28.37,28.16,28.16,61800.00000000001
03/10/1994,16:00,28.16,28.16,27.96,28.16,50299.8
03/11/1994,16:00,27.96,28.16,27.96,28.16,96700.20000000001
03/14/1994,16:00,28.16,28.16,27.96,28.16,33000.0
03/15/1994,16:00,27.96,28.16,27.96,28.16,17700.0
03/16/1994,16:00,28.16,29.57,28.16,28.96,78900.0
03/17/1994,16:00,29.17,29.36,28.96,29.17,28200.000000000004
03/18/1994,16:00,28.96,29.98,28.96,29.77,26599.800000000003
03/21/1994,16:00,29.98,30.17,29.57,29.77,36499.8
03/22/1994,16:00,29.77,29.77,28.96,29.17,45499.8
03/23/1994,16:00,28.96,29.17,27.96,28.56,108700.20000000001
03/24/1994,16:00,28.56,28.56,27.96,28.16,16999.800000000003
03/25/1994,16:00,28.37,28.56,27.96,27.96,13500.000000000002
03/28/1994,16:00,27.75,27.75,27.35,27.35,49200.00000000001
03/29/1994,16:00,27.35,27.35,26.55,26.55,52000.200000000004
03/30/1994,16:00,26.55,26.76,26.35,26.76,22600.2
03/31/1994,16:00,26.55,26.55,24.13,24.54,66199.8
04/04/1994,16:00,23.33,23.54,22.12,23.14,68500.20000000001
04/05/1994,16:00,23.54,25.15,23.54,25.15,31000.200000000004
04/06/1994,16:00,25.34,26.15,25.34,26.15,30700.200000000004
04/07/1994,16:00,26.15,26.55,25.95,26.55,8800.2
04/08/1994,16:00,26.95,27.56,26.35,26.55,48700.200000000004
04/11/1994,16:00,26.55,26.76,26.55,26.76,3300.0000000000005
04/12/1994,16:00,26.95,27.16,25.95,26.15,9400.2
04/13/1994,16:00,26.15,26.55,25.74,25.74,13800.000000000002
04/14/1994,16:00,25.74,25.74,25.34,25.55,12199.800000000001
04/15/1994,16:00,25.95,26.15,25.74,26.15,13600.2
04/18/1994,16:00,26.15,26.15,25.74,25.74,26599.800000000003
