Date,Time,Open,High,Low,Close,Vol
11/20/2003,16:00,17.0,19.0,16.85,17.37,6867200.0
11/21/2003,16:00,17.3,17.47,16.75,17.25,870400.0
11/24/2003,16:00,17.94,18.1,17.26,17.8,232600.0
11/25/2003,16:00,17.89,18.06,16.85,17.1,321100.0
11/26/2003,16:00,17.15,17.55,16.8,17.26,261800.0
11/28/2003,16:00,17.05,17.55,16.71,16.99,92600.0
12/01/2003,16:00,17.03,18.25,16.76,18.05,290000.0
12/02/2003,16:00,17.78,19.23,17.15,18.98,239900.0
12/03/2003,16:00,19.0,19.95,19.0,19.89,152500.0
12/04/2003,16:00,19.94,19.94,18.69,19.0,123500.0
12/05/2003,16:00,18.84,19.0,17.73,17.95,91700.0
12/08/2003,16:00,18.0,18.0,16.8,17.05,161200.0
12/09/2003,16:00,17.1,17.1,16.78,16.88,159800.0
12/10/2003,16:00,17.15,17.15,15.73,16.18,230600.0
12/11/2003,16:00,15.94,16.0,14.73,16.0,523800.0
12/12/2003,16:00,15.96,16.59,15.96,16.58,146000.0
12/15/2003,16:00,16.64,17.7,16.58,17.09,108900.0
12/16/2003,16:00,16.81,17.65,16.81,17.39,46800.0
12/17/2003,16:00,17.35,17.6,17.35,17.43,8000.0
12/18/2003,16:00,17.18,17.94,17.06,17.75,69000.0
12/19/2003,16:00,17.65,17.97,17.34,17.46,45900.0
12/22/2003,16:00,17.45,17.5,16.79,16.84,72400.0
12/23/2003,16:00,16.86,16.95,16.72,16.95,39100.0
12/24/2003,16:00,16.95,17.04,16.71,16.73,5100.0
12/26/2003,16:00,16.8,16.9,16.7,16.8,13500.0
12/29/2003,16:00,16.75,17.02,16.66,16.97,80000.0
12/30/2003,16:00,17.01,17.5,16.75,17.43,16400.0
12/31/2003,16:00,17.28,17.83,17.28,17.69,22600.0
01/02/2004,16:00,17.63,17.73,16.8,16.9,21200.0
01/05/2004,16:00,16.8,17.1,16.55,16.55,69100.0
01/06/2004,16:00,16.54,16.8,15.51,15.78,89100.0
01/07/2004,16:00,15.7,16.0,15.06,15.1,101500.0
01/08/2004,16:00,16.5,16.92,16.17,16.7,497000.0
01/09/2004,16:00,16.92,16.92,16.59,16.65,124100.0
01/12/2004,16:00,16.9,16.9,16.3,16.3,149600.0
01/13/2004,16:00,17.0,17.0,16.35,16.4,62000.0
01/14/2004,16:00,16.45,16.84,16.38,16.84,184400.0
01/15/2004,16:00,16.69,17.24,16.69,17.05,63900.0
01/16/2004,16:00,17.2,18.84,17.19,18.65,162000.0
01/20/2004,16:00,18.65,20.74,18.64,19.99,236400.0
01/21/2004,16:00,20.06,20.26,19.1,19.81,120900.0
01/22/2004,16:00,19.64,20.09,19.6,19.92,83900.0
01/23/2004,16:00,18.0,18.14,15.96,16.09,1021000.0
01/26/2004,16:00,16.23,16.23,14.85,14.87,550700.0
01/27/2004,16:00,14.88,15.85,14.88,15.45,414800.0
01/28/2004,16:00,15.5,15.62,15.02,15.05,185500.0
01/29/2004,16:00,15.05,15.33,14.85,15.0,96400.0
01/30/2004,16:00,14.96,15.36,14.96,15.36,72200.0
02/02/2004,16:00,15.59,15.61,14.32,14.38,202800.0
02/03/2004,16:00,15.55,15.69,14.71,15.35,404000.0
02/04/2004,16:00,15.4,15.45,15.0,15.17,112700.0
02/05/2004,16:00,15.52,15.87,15.35,15.8,111200.0
02/06/2004,16:00,15.6,15.9,15.4,15.77,60200.0
02/09/2004,16:00,15.9,16.37,15.75,16.3,96200.0
02/10/2004,16:00,16.33,16.44,16.05,16.34,102300.0
02/11/2004,16:00,16.2,16.47,16.2,16.46,45300.0
02/12/2004,16:00,16.32,16.47,15.92,16.13,61200.0
02/13/2004,16:00,16.33,16.55,16.3,16.5,37000.0
02/17/2004,16:00,16.56,16.91,16.32,16.76,41900.0
02/18/2004,16:00,16.76,16.76,16.51,16.58,20300.0
02/19/2004,16:00,16.65,16.75,16.45,16.45,63700.0
02/20/2004,16:00,16.62,16.62,15.7,16.0,61900.0
02/23/2004,16:00,16.08,16.08,15.61,15.7,63400.0
02/24/2004,16:00,15.6,15.6,15.08,15.2,62500.0
02/25/2004,16:00,15.05,15.16,15.05,15.14,34300.0
02/26/2004,16:00,15.3,15.3,15.11,15.25,80300.0
02/27/2004,16:00,15.3,16.2,15.08,16.03,59200.0
03/01/2004,16:00,16.04,16.06,15.91,15.98,34700.0
03/02/2004,16:00,15.98,16.27,15.2,15.51,47500.0
03/03/2004,16:00,15.49,15.95,14.87,15.82,38800.0
03/04/2004,16:00,15.9,16.3,15.8,16.09,295500.0
03/05/2004,16:00,16.1,16.33,15.96,16.2,47200.0
03/08/2004,16:00,16.2,16.2,15.8,16.09,8900.0
03/09/2004,16:00,16.0,16.55,16.0,16.5,73100.0
03/10/2004,16:00,16.5,16.75,16.15,16.23,226800.0
03/11/2004,16:00,16.1,16.25,15.91,16.16,19900.0
03/12/2004,16:00,16.05,16.1,15.5,16.1,64600.0
03/15/2004,16:00,16.1,16.1,15.62,15.99,70300.0
03/16/2004,16:00,16.0,16.19,15.85,15.85,36300.0
03/17/2004,16:00,15.86,16.15,15.6,16.11,31400.0
03/18/2004,16:00,16.13,16.7,15.8,16.56,18400.0
03/19/2004,16:00,16.55,16.55,16.0,16.48,31700.0
03/22/2004,16:00,16.44,16.64,15.14,15.5,107400.0
03/23/2004,16:00,15.5,15.5,14.5,14.89,124000.0
