Date,Time,Open,High,Low,Close,Vol
10/14/1994,16:00,16.75,16.88,16.0,16.5,1028000.0
10/17/1994,16:00,16.38,16.62,16.25,16.38,486400.0
10/18/1994,16:00,16.38,16.62,15.75,16.25,274400.0
10/19/1994,16:00,16.25,16.62,16.25,16.25,198400.0
10/20/1994,16:00,16.38,16.62,16.25,16.25,127200.0
10/21/1994,16:00,16.38,17.0,16.25,16.25,84800.0
10/24/1994,16:00,16.5,16.5,16.12,16.12,188800.0
10/25/1994,16:00,16.12,16.5,16.12,16.12,128000.0
10/26/1994,16:00,16.5,16.5,16.12,16.5,66400.0
10/27/1994,16:00,16.12,16.25,15.88,15.88,170400.0
10/28/1994,16:00,16.25,16.25,15.5,15.88,208800.0
10/31/1994,16:00,15.88,16.62,15.88,16.25,148000.0
11/01/1994,16:00,16.62,16.62,15.75,16.62,71200.0
11/02/1994,16:00,16.5,16.75,16.25,16.25,92800.0
11/03/1994,16:00,16.25,16.75,16.25,16.25,27200.0
11/04/1994,16:00,16.75,16.75,16.25,16.25,160000.0
11/07/1994,16:00,16.38,16.75,16.25,16.38,31200.0
11/08/1994,16:00,16.75,16.75,16.38,16.5,34400.0
11/09/1994,16:00,16.75,16.75,16.38,16.44,10400.0
11/10/1994,16:00,16.75,17.25,16.38,16.88,80800.0
11/11/1994,16:00,17.0,17.25,16.88,16.88,28000.0
11/14/1994,16:00,16.88,16.88,16.56,16.62,104800.0
11/15/1994,16:00,16.5,17.0,16.5,16.75,100800.0
11/16/1994,16:00,17.0,17.0,16.62,16.62,36000.0
11/17/1994,16:00,16.62,16.75,16.5,16.5,28800.0
11/18/1994,16:00,16.5,16.5,16.5,16.5,16800.0
11/21/1994,16:00,16.5,16.75,16.12,16.12,29600.0
11/22/1994,16:00,16.0,16.38,15.88,15.88,38400.0
11/23/1994,16:00,15.88,15.88,15.12,15.25,163200.0
11/25/1994,16:00,15.12,15.25,15.12,15.25,26400.0
11/28/1994,16:00,15.38,15.62,15.25,15.5,507200.0
11/29/1994,16:00,15.62,15.62,15.12,15.5,107200.0
11/30/1994,16:00,15.25,15.38,15.12,15.19,403200.0
12/01/1994,16:00,15.12,15.25,15.12,15.12,54400.0
12/02/1994,16:00,15.0,15.25,14.75,14.75,9600.0
12/05/1994,16:00,15.0,15.0,14.25,14.25,32800.0
12/06/1994,16:00,14.5,14.5,13.75,14.12,24000.0
12/07/1994,16:00,14.12,14.12,13.88,14.0,26400.0
12/08/1994,16:00,13.62,14.0,12.88,12.88,127200.0
12/09/1994,16:00,13.25,13.25,12.88,12.88,29600.0
12/12/1994,16:00,12.88,13.25,12.88,13.25,7200.0
12/13/1994,16:00,13.25,13.25,12.88,12.88,37600.0
12/14/1994,16:00,12.88,13.25,12.88,13.25,800.0
12/15/1994,16:00,13.25,13.25,12.88,13.12,358400.0
12/16/1994,16:00,13.5,14.0,13.38,13.62,201600.0
12/19/1994,16:00,14.0,14.0,13.62,13.75,80000.0
12/20/1994,16:00,14.12,14.5,14.12,14.12,37600.0
12/21/1994,16:00,14.12,14.25,14.12,14.12,1600.0
12/22/1994,16:00,14.12,14.25,14.0,14.25,89600.0
12/23/1994,16:00,14.12,14.12,14.12,14.12,2400.0
12/27/1994,16:00,14.5,14.5,14.12,14.5,800.0
12/28/1994,16:00,14.25,14.38,14.12,14.25,12000.0
12/29/1994,16:00,14.12,14.12,14.12,14.12,800.0
12/30/1994,16:00,14.12,14.38,14.0,14.0,8800.0
01/03/1995,16:00,14.12,14.12,13.5,13.5,37600.0
01/04/1995,16:00,13.25,13.5,11.0,11.94,200800.0
01/05/1995,16:00,12.25,12.5,11.88,12.12,24000.0
01/06/1995,16:00,12.0,12.0,11.88,11.88,40000.0
01/09/1995,16:00,11.88,11.88,11.75,11.88,17600.0
01/10/1995,16:00,11.75,11.75,11.75,11.75,8000.0
01/11/1995,16:00,11.5,11.5,11.5,11.5,5600.0
01/12/1995,16:00,11.75,11.75,11.75,11.75,1600.0
01/13/1995,16:00,11.75,11.75,11.5,11.5,6400.0
01/16/1995,16:00,11.38,11.75,11.38,11.5,107200.0
01/17/1995,16:00,11.62,11.62,11.62,11.62,10400.0
01/18/1995,16:00,11.75,11.75,11.75,11.75,800.0
01/19/1995,16:00,11.62,11.62,11.62,11.62,19200.0
01/20/1995,16:00,11.62,11.62,11.5,11.5,16000.0
01/23/1995,16:00,11.75,11.75,10.88,11.12,40000.0
01/24/1995,16:00,11.12,11.12,10.12,10.12,69600.0
01/25/1995,16:00,10.25,10.25,9.62,9.69,52800.0
01/26/1995,16:00,9.88,11.0,9.88,10.75,225600.0
01/27/1995,16:00,10.75,10.75,10.5,10.75,2400.0
01/30/1995,16:00,10.5,10.62,10.5,10.62,120000.0
01/31/1995,16:00,10.75,10.75,10.5,10.75,111200.0
02/01/1995,16:00,10.75,11.25,10.62,11.12,45600.0
02/02/1995,16:00,11.25,11.25,11.0,11.25,4800.0
02/03/1995,16:00,11.0,11.0,11.0,11.0,21600.0
02/06/1995,16:00,11.0,11.12,11.0,11.12,4000.0
02/07/1995,16:00,11.0,11.0,10.5,10.62,135200.0
02/08/1995,16:00,10.88,10.88,10.0,10.12,33600.0
02/09/1995,16:00,10.12,10.25,10.12,10.25,0.0
02/10/1995,16:00,10.0,10.25,10.0,10.0,7200.0
02/13/1995,16:00,10.25,10.25,10.0,10.0,3200.0
02/14/1995,16:00,10.12,10.25,9.88,9.88,224800.0
02/15/1995,16:00,10.25,10.25,9.75,9.75,4000.0
02/16/1995,16:00,9.62,10.0,9.62,9.62,8000.0
02/17/1995,16:00,9.62,9.62,8.88,9.12,42400.0
02/21/1995,16:00,9.12,9.12,8.62,9.0,23200.0
02/22/1995,16:00,9.0,9.0,8.5,9.0,21600.0
02/23/1995,16:00,9.0,9.0,8.5,9.0,372800.0
02/24/1995,16:00,9.12,9.25,8.88,9.12,44000.0
02/27/1995,16:00,9.25,9.25,9.25,9.25,1600.0
02/28/1995,16:00,9.25,9.62,9.25,9.62,38400.0
03/01/1995,16:00,9.62,9.62,9.25,9.62,19200.0
03/02/1995,16:00,9.62,9.62,9.62,9.62,4800.0
03/03/1995,16:00,9.62,9.62,9.62,9.62,20800.0
03/06/1995,16:00,9.62,9.62,9.25,9.62,88800.0
03/07/1995,16:00,9.62,9.62,9.38,9.62,17600.0
03/08/1995,16:00,9.38,9.62,9.38,9.62,47200.0
03/09/1995,16:00,9.38,9.38,9.38,9.38,10400.0
03/10/1995,16:00,9.38,9.38,9.12,9.12,8800.0
03/13/1995,16:00,9.38,9.38,8.62,8.75,32800.0
03/14/1995,16:00,8.62,8.88,8.0,8.38,46400.0
03/15/1995,16:00,8.25,8.25,7.75,7.75,393600.0
03/16/1995,16:00,7.75,8.25,7.75,7.88,55200.0
03/17/1995,16:00,8.25,8.25,7.75,8.25,19200.0
03/20/1995,16:00,8.25,8.25,7.88,7.88,13600.0
