Date,Time,Open,High,Low,Close,Vol
10/09/1989,16:00,0.74,0.80,0.74,0.79,2307200.0
10/10/1989,16:00,0.80,0.83,0.80,0.83,3169600.0
10/11/1989,16:00,0.83,0.84,0.81,0.82,2662400.0
10/12/1989,16:00,0.82,0.82,0.78,0.78,900800.0
10/13/1989,16:00,0.79,0.81,0.78,0.78,987200.0
10/16/1989,16:00,0.72,0.76,0.68,0.73,1305600.0
10/17/1989,16:00,0.73,0.76,0.72,0.76,1368000.0
10/18/1989,16:00,0.76,0.82,0.76,0.81,1057600.0
10/19/1989,16:00,0.82,0.87,0.82,0.86,896000.0
10/20/1989,16:00,0.84,0.86,0.83,0.84,244800.0
10/23/1989,16:00,0.85,0.85,0.80,0.81,334400.0
10/24/1989,16:00,0.83,0.83,0.80,0.82,449600.0
10/25/1989,16:00,0.82,0.94,0.80,0.93,2611200.0
10/26/1989,16:00,0.93,0.93,0.90,0.90,2692800.0
10/27/1989,16:00,0.90,0.91,0.87,0.89,190400.0
10/30/1989,16:00,0.89,0.89,0.85,0.86,585600.0
10/31/1989,16:00,0.86,0.88,0.86,0.87,860800.0
11/01/1989,16:00,0.87,0.87,0.86,0.86,56000.0
11/02/1989,16:00,0.85,0.85,0.85,0.85,32000.0
11/03/1989,16:00,0.87,0.87,0.85,0.87,64000.0
11/06/1989,16:00,0.85,0.87,0.85,0.85,104000.0
11/07/1989,16:00,0.83,0.85,0.83,0.85,179200.0
11/08/1989,16:00,0.85,0.85,0.83,0.84,203200.0
11/09/1989,16:00,0.83,0.85,0.83,0.85,57600.0
11/10/1989,16:00,0.85,0.85,0.83,0.85,65600.0
11/13/1989,16:00,0.83,0.85,0.83,0.85,408000.0
11/14/1989,16:00,0.82,0.85,0.82,0.84,64000.0
11/15/1989,16:00,0.84,0.84,0.83,0.84,102400.0
11/16/1989,16:00,0.85,0.85,0.83,0.83,105600.0
11/17/1989,16:00,0.83,0.85,0.83,0.83,40000.0
11/20/1989,16:00,0.84,0.84,0.81,0.81,145600.0
11/21/1989,16:00,0.81,0.81,0.81,0.81,12800.0
11/22/1989,16:00,0.81,0.83,0.81,0.83,16000.0
11/24/1989,16:00,0.83,0.83,0.83,0.83,19200.0
11/27/1989,16:00,0.83,0.83,0.81,0.81,33600.0
11/28/1989,16:00,0.81,0.87,0.81,0.86,312000.0
11/29/1989,16:00,0.86,0.86,0.84,0.85,344000.0
11/30/1989,16:00,0.85,0.87,0.85,0.87,273600.0
12/01/1989,16:00,0.87,0.87,0.85,0.85,153600.0
12/04/1989,16:00,0.85,0.87,0.84,0.85,302400.0
12/05/1989,16:00,0.85,0.85,0.84,0.84,294400.0
12/06/1989,16:00,0.85,0.87,0.85,0.85,334400.0
12/07/1989,16:00,0.87,0.87,0.85,0.85,100800.0
