Date,Time,Open,High,Low,Close,Vol
06/28/1996,16:00,2.13,2.70,2.11,2.66,49194000.0
07/01/1996,16:00,2.60,2.72,2.27,2.72,9484200.0
07/02/1996,16:00,2.71,2.71,2.41,2.41,6742800.0
07/03/1996,16:00,2.39,2.42,2.16,2.25,5985000.0
07/05/1996,16:00,2.20,2.25,2.05,2.15,1971900.0
07/08/1996,16:00,2.14,2.17,2.08,2.10,2686500.0
07/09/1996,16:00,2.13,2.15,1.95,1.98,2642400.0
07/10/1996,16:00,1.95,1.96,1.87,1.89,2489400.0
07/11/1996,16:00,1.87,1.90,1.77,1.77,1535400.0
07/12/1996,16:00,1.83,1.93,1.78,1.93,1624500.0
07/15/1996,16:00,1.92,1.92,1.66,1.69,1742400.0
07/16/1996,16:00,1.66,1.69,1.47,1.68,2746800.0
07/17/1996,16:00,1.75,1.94,1.75,1.83,1898100.0
07/18/1996,16:00,1.85,2.21,1.83,2.08,1988100.0
07/19/1996,16:00,2.10,2.10,1.98,2.02,614700.0
07/22/1996,16:00,2.03,2.03,1.91,1.94,382500.0
07/23/1996,16:00,1.97,2.00,1.58,1.61,3334500.0
07/24/1996,16:00,1.58,1.70,1.51,1.65,1906200.0
07/25/1996,16:00,1.69,1.74,1.67,1.74,1107000.0
07/26/1996,16:00,1.77,1.83,1.72,1.83,587700.0
07/29/1996,16:00,1.80,1.84,1.69,1.72,324900.0
07/30/1996,16:00,1.73,1.76,1.69,1.72,439200.0
07/31/1996,16:00,1.72,1.77,1.69,1.77,231300.0
08/01/1996,16:00,1.77,2.02,1.73,2.02,1206000.0
08/02/1996,16:00,2.13,2.52,2.13,2.48,4665600.0
08/05/1996,16:00,2.55,2.69,2.54,2.63,2831400.0
08/06/1996,16:00,2.61,2.64,2.41,2.44,1300500.0
08/07/1996,16:00,2.41,2.50,2.41,2.44,833400.0
08/08/1996,16:00,2.46,2.63,2.46,2.56,993600.0
08/09/1996,16:00,2.60,3.01,2.56,2.87,3224700.0
08/12/1996,16:00,2.94,3.12,2.93,3.12,2522700.0
08/13/1996,16:00,3.09,3.11,2.90,2.95,837000.0
08/14/1996,16:00,2.91,3.08,2.91,2.94,672300.0
08/15/1996,16:00,2.94,2.96,2.71,2.73,1026900.0
08/16/1996,16:00,2.78,2.78,2.73,2.78,407700.0
08/19/1996,16:00,2.75,2.78,2.62,2.62,312300.0
08/20/1996,16:00,2.62,2.65,2.52,2.61,394200.0
08/21/1996,16:00,2.60,2.60,2.52,2.52,499500.0
08/22/1996,16:00,2.50,2.70,2.50,2.68,979200.0
08/23/1996,16:00,2.69,2.82,2.69,2.80,605700.0
08/26/1996,16:00,2.78,2.83,2.71,2.76,369000.0
08/27/1996,16:00,2.83,2.93,2.80,2.93,1062000.0
08/28/1996,16:00,2.91,2.96,2.88,2.88,349200.0
08/29/1996,16:00,2.90,2.90,2.81,2.83,314100.0
08/30/1996,16:00,2.83,2.83,2.72,2.72,279000.0
09/03/1996,16:00,2.68,2.72,2.62,2.66,576900.0
09/04/1996,16:00,2.66,2.74,2.60,2.74,1287900.0
09/05/1996,16:00,2.76,2.82,2.72,2.79,536400.0
09/06/1996,16:00,2.79,2.87,2.79,2.83,733500.0
09/09/1996,16:00,2.87,2.87,2.76,2.83,668700.0
09/10/1996,16:00,2.87,2.98,2.84,2.97,390600.0
09/11/1996,16:00,2.94,3.02,2.94,3.02,766800.0
09/12/1996,16:00,2.98,3.07,2.98,3.06,621000.0
09/13/1996,16:00,3.16,3.19,3.11,3.13,703800.0
09/16/1996,16:00,3.12,3.26,3.12,3.21,382500.0
09/17/1996,16:00,3.22,3.27,3.16,3.27,853200.0
09/18/1996,16:00,3.23,3.28,3.22,3.25,466200.0
09/19/1996,16:00,3.22,3.25,3.18,3.25,739800.0
09/20/1996,16:00,3.22,3.30,3.22,3.30,318600.0
09/23/1996,16:00,3.26,3.46,3.24,3.39,536400.0
09/24/1996,16:00,3.47,3.61,3.40,3.61,1176300.0
09/25/1996,16:00,3.59,3.97,3.19,3.34,7083900.0
09/26/1996,16:00,3.41,3.58,3.37,3.45,2178900.0
09/27/1996,16:00,3.66,3.66,3.52,3.61,1433700.0
09/30/1996,16:00,3.65,3.77,3.60,3.74,1155600.0
10/01/1996,16:00,3.76,3.80,3.60,3.71,1472400.0
10/02/1996,16:00,3.72,3.74,3.65,3.69,776700.0
10/03/1996,16:00,3.71,3.73,3.67,3.73,513900.0
10/04/1996,16:00,3.73,3.78,3.67,3.73,634500.0
10/07/1996,16:00,3.70,3.78,3.70,3.74,387000.0
10/08/1996,16:00,3.77,3.82,3.61,3.65,1101600.0
10/09/1996,16:00,3.73,3.81,3.70,3.74,1119600.0
10/10/1996,16:00,3.78,4.02,3.76,3.89,1672200.0
10/11/1996,16:00,3.91,3.91,3.75,3.78,450000.0
10/14/1996,16:00,3.75,3.91,3.75,3.84,1237500.0
10/15/1996,16:00,3.91,4.00,3.86,3.94,613800.0
10/16/1996,16:00,4.00,4.00,3.91,3.93,714600.0
10/17/1996,16:00,3.93,3.94,3.80,3.82,1119600.0
10/18/1996,16:00,3.80,3.81,3.69,3.69,916200.0
10/21/1996,16:00,3.72,3.72,3.30,3.36,1425600.0
10/22/1996,16:00,3.31,3.34,2.97,3.03,2129400.0
10/23/1996,16:00,3.08,3.51,3.05,3.50,3141000.0
10/24/1996,16:00,3.48,3.55,3.33,3.43,840600.0
10/25/1996,16:00,3.39,3.53,3.39,3.43,628200.0
10/28/1996,16:00,3.43,3.47,3.26,3.26,355500.0
10/29/1996,16:00,3.22,3.32,3.08,3.29,891000.0
10/30/1996,16:00,3.30,3.38,3.09,3.18,1079100.0
10/31/1996,16:00,3.19,3.19,2.99,3.05,1231200.0
11/01/1996,16:00,3.04,3.33,3.00,3.30,942300.0
11/04/1996,16:00,3.33,3.45,3.28,3.37,1683900.0
11/05/1996,16:00,3.27,3.27,2.77,2.84,5778900.0
11/06/1996,16:00,2.91,2.94,2.81,2.83,2475900.0
11/07/1996,16:00,2.83,2.83,2.54,2.62,3069000.0
11/08/1996,16:00,2.64,2.64,2.52,2.56,1685700.0
11/11/1996,16:00,2.59,2.61,2.38,2.48,1360800.0
11/12/1996,16:00,2.49,2.60,2.44,2.55,3616200.0
11/13/1996,16:00,2.57,2.61,2.55,2.60,1172700.0
11/14/1996,16:00,2.61,2.86,2.58,2.86,3278700.0
11/15/1996,16:00,2.91,2.98,2.75,2.78,3055500.0
11/18/1996,16:00,2.75,2.75,2.58,2.63,2186100.0
11/19/1996,16:00,2.64,2.65,2.47,2.47,2187000.0
11/20/1996,16:00,2.50,2.58,2.44,2.51,1134900.0
11/21/1996,16:00,2.47,2.58,2.45,2.48,675900.0
11/22/1996,16:00,2.53,2.53,2.43,2.43,635400.0
11/25/1996,16:00,2.58,2.87,2.55,2.69,3809700.0
11/26/1996,16:00,2.70,2.72,2.63,2.66,3233700.0
11/27/1996,16:00,2.66,2.69,2.50,2.50,920700.0
11/29/1996,16:00,2.55,2.55,2.48,2.52,388800.0
12/02/1996,16:00,2.52,2.52,2.37,2.37,1530900.0
12/03/1996,16:00,2.40,2.46,2.39,2.42,1433700.0
12/04/1996,16:00,2.41,2.44,2.30,2.36,871200.0
12/05/1996,16:00,2.36,2.52,2.33,2.51,791100.0
12/06/1996,16:00,2.38,2.41,2.31,2.41,615600.0
12/09/1996,16:00,2.44,2.44,2.35,2.37,503100.0
12/10/1996,16:00,2.35,2.37,2.09,2.20,1485000.0
12/11/1996,16:00,2.20,2.36,2.19,2.28,670500.0
12/12/1996,16:00,2.30,2.33,2.18,2.18,861300.0
12/13/1996,16:00,2.16,2.16,1.94,2.03,1440900.0
12/16/1996,16:00,2.09,2.13,2.05,2.06,901800.0
12/17/1996,16:00,2.06,2.08,1.93,2.00,1359900.0
12/18/1996,16:00,2.00,2.00,1.73,1.83,5109300.0
12/19/1996,16:00,1.83,1.94,1.83,1.89,2768400.0
12/20/1996,16:00,1.90,1.90,1.84,1.84,1227600.0
12/23/1996,16:00,1.91,1.94,1.83,1.89,1452600.0
12/24/1996,16:00,1.89,1.91,1.84,1.89,1452600.0
12/26/1996,16:00,1.90,2.16,1.89,2.11,949500.0
12/27/1996,16:00,2.12,2.44,2.12,2.39,3132000.0
12/30/1996,16:00,2.43,2.50,2.27,2.44,1947600.0
12/31/1996,16:00,2.50,2.52,2.41,2.41,675000.0
01/02/1997,16:00,2.40,2.44,2.25,2.29,481500.0
01/03/1997,16:00,2.28,2.41,2.28,2.37,2164500.0
01/06/1997,16:00,2.39,2.39,2.27,2.29,858600.0
01/07/1997,16:00,2.31,2.33,2.29,2.33,970200.0
01/08/1997,16:00,2.30,2.47,2.29,2.42,1809900.0
01/09/1997,16:00,2.43,2.43,2.30,2.34,600300.0
01/10/1997,16:00,2.29,2.36,2.26,2.34,1824300.0
01/13/1997,16:00,2.39,2.39,2.30,2.30,1345500.0
01/14/1997,16:00,2.34,2.37,2.29,2.36,2230200.0
01/15/1997,16:00,2.36,2.36,2.28,2.28,908100.0
01/16/1997,16:00,2.31,2.31,2.12,2.19,2087100.0
01/17/1997,16:00,2.19,2.19,2.15,2.18,3604500.0
01/20/1997,16:00,2.18,2.18,2.10,2.10,537300.0
01/21/1997,16:00,2.11,2.12,2.10,2.10,714600.0
01/22/1997,16:00,2.09,2.12,2.05,2.12,383400.0
01/23/1997,16:00,2.15,2.23,2.10,2.20,2457900.0
01/24/1997,16:00,2.21,2.21,2.09,2.11,638100.0
01/27/1997,16:00,2.10,2.12,2.08,2.10,621900.0
01/28/1997,16:00,2.11,2.24,2.11,2.19,1290600.0
01/29/1997,16:00,2.25,2.33,2.22,2.31,1850400.0
01/30/1997,16:00,2.76,3.12,2.74,3.06,14576400.0
01/31/1997,16:00,3.12,3.14,2.93,2.97,3585600.0
02/03/1997,16:00,2.95,2.97,2.77,2.81,1652400.0
02/04/1997,16:00,2.80,3.04,2.70,2.98,2489400.0
02/05/1997,16:00,2.95,3.18,2.94,2.97,3360600.0
02/06/1997,16:00,3.00,3.05,2.91,2.93,793800.0
02/07/1997,16:00,2.96,3.00,2.90,2.93,550800.0
02/10/1997,16:00,2.83,2.85,2.47,2.60,1736100.0
02/11/1997,16:00,2.68,2.68,2.54,2.58,515700.0
02/12/1997,16:00,2.63,2.65,2.52,2.52,504000.0
02/13/1997,16:00,2.53,2.59,2.53,2.56,824400.0
02/14/1997,16:00,2.53,2.74,2.53,2.74,700200.0
02/18/1997,16:00,2.86,3.00,2.84,2.97,1928700.0
02/19/1997,16:00,3.00,3.01,2.80,2.83,867600.0
02/20/1997,16:00,2.81,2.82,2.69,2.73,680400.0
02/21/1997,16:00,2.71,2.80,2.57,2.62,1841400.0
02/24/1997,16:00,2.59,2.59,2.41,2.44,1810800.0
02/25/1997,16:00,2.42,2.42,2.21,2.25,1465200.0
02/26/1997,16:00,2.25,2.30,2.11,2.18,1927800.0
02/27/1997,16:00,2.15,2.22,2.07,2.11,2613600.0
02/28/1997,16:00,2.12,2.16,1.88,1.98,3404700.0
03/03/1997,16:00,1.98,2.01,1.95,1.98,1863900.0
03/04/1997,16:00,2.07,2.07,1.94,1.97,2006100.0
03/05/1997,16:00,2.01,2.19,2.00,2.10,4393800.0
03/06/1997,16:00,2.15,2.20,2.13,2.16,860400.0
03/07/1997,16:00,2.21,2.21,2.07,2.10,1137600.0
03/10/1997,16:00,2.06,2.23,2.06,2.18,1251000.0
03/11/1997,16:00,2.19,2.30,2.18,2.25,1247400.0
