Date,Time,Open,High,Low,Close,Vol
04/24/1998,16:00,24.25,24.75,21.31,22.67,3292600.0
04/27/1998,16:00,21.56,22.54,20.33,22.42,773600.0
04/28/1998,16:00,23.03,23.40,22.29,23.03,190600.0
04/29/1998,16:00,23.03,23.76,22.67,23.16,199000.0
04/30/1998,16:00,22.54,24.01,22.18,23.52,195300.0
05/01/1998,16:00,24.01,24.38,23.27,24.01,66000.0
05/04/1998,16:00,24.50,24.50,23.33,24.25,126100.0
05/05/1998,16:00,23.89,24.50,23.89,24.38,57500.0
05/06/1998,16:00,24.01,25.12,24.01,24.63,92300.0
05/07/1998,16:00,24.99,24.99,24.38,24.63,35000.0
05/08/1998,16:00,24.25,24.75,24.25,24.38,64900.0
05/11/1998,16:00,24.75,25.48,24.38,25.48,73000.0
05/12/1998,16:00,25.61,25.61,24.99,25.48,12000.0
05/13/1998,16:00,25.48,25.61,24.99,24.99,32800.0
05/14/1998,16:00,24.50,25.12,24.50,24.75,11000.0
05/15/1998,16:00,24.75,26.10,24.75,25.48,26900.0
05/18/1998,16:00,26.10,26.59,25.48,26.59,19700.0
05/19/1998,16:00,25.97,26.71,25.73,26.34,69300.0
05/20/1998,16:00,25.73,26.22,25.48,26.22,17700.0
05/21/1998,16:00,25.73,25.97,24.14,24.38,28400.0
05/22/1998,16:00,24.50,24.75,23.52,23.65,51200.0
05/26/1998,16:00,23.89,24.50,23.89,24.25,29200.0
05/27/1998,16:00,23.52,23.76,22.54,23.52,51200.0
05/28/1998,16:00,23.92,24.14,23.92,24.14,1000.0
05/29/1998,16:00,24.25,24.99,24.14,24.87,9300.0
06/01/1998,16:00,24.87,24.93,24.25,24.50,32100.0
06/02/1998,16:00,24.25,24.63,24.01,24.63,26700.0
06/03/1998,16:00,24.01,24.63,24.01,24.01,51900.0
06/04/1998,16:00,24.01,24.25,24.01,24.01,4200.0
06/05/1998,16:00,24.25,24.75,24.25,24.75,10100.0
06/08/1998,16:00,24.25,25.12,24.25,25.12,5300.0
06/09/1998,16:00,25.48,27.32,25.48,26.95,78300.0
06/10/1998,16:00,26.95,27.20,25.97,25.97,67300.0
06/11/1998,16:00,25.97,26.22,25.85,25.85,16200.0
06/12/1998,16:00,26.46,26.59,25.73,26.59,41700.0
06/15/1998,16:00,26.46,26.46,25.97,25.97,2400.0
06/16/1998,16:00,26.71,26.71,25.97,26.46,10300.0
06/17/1998,16:00,26.46,26.46,25.61,25.61,16000.0
06/18/1998,16:00,25.61,25.97,24.99,24.99,37900.0
06/19/1998,16:00,24.50,24.50,24.38,24.50,75100.0
06/22/1998,16:00,24.56,24.56,24.38,24.38,6700.0
06/23/1998,16:00,25.12,25.12,25.12,25.12,900.0
06/24/1998,16:00,24.38,25.12,24.38,25.12,1200.0
06/25/1998,16:00,24.38,25.12,24.38,24.50,25800.0
06/26/1998,16:00,24.50,24.99,24.38,24.99,11400.0
06/29/1998,16:00,24.50,24.99,24.50,24.50,1000.0
06/30/1998,16:00,24.50,24.99,24.38,24.50,50900.0
07/01/1998,16:00,24.50,26.22,24.50,26.22,8200.0
07/02/1998,16:00,25.48,26.59,25.48,25.85,27600.0
07/06/1998,16:00,25.73,26.59,25.73,26.10,3400.0
07/07/1998,16:00,26.34,26.59,25.85,26.34,10500.0
07/08/1998,16:00,26.59,26.59,25.61,25.61,80600.0
07/09/1998,16:00,25.61,26.34,25.61,26.34,11900.0
07/10/1998,16:00,25.61,25.73,25.61,25.73,2800.0
07/13/1998,16:00,26.22,26.59,25.48,25.48,42400.0
07/14/1998,16:00,26.59,27.32,26.46,27.32,3200.0
07/15/1998,16:00,27.20,27.44,26.71,26.71,3200.0
07/16/1998,16:00,26.71,27.69,26.71,27.69,15600.0
07/17/1998,16:00,27.69,27.69,26.71,27.44,4000.0
07/20/1998,16:00,26.71,27.69,26.71,27.69,1000.0
07/21/1998,16:00,27.69,27.69,26.95,27.69,6400.0
07/22/1998,16:00,26.95,28.42,26.95,28.42,14200.0
07/23/1998,16:00,27.57,27.57,27.57,27.57,1000.0
07/24/1998,16:00,28.55,28.55,27.57,28.55,10100.0
07/27/1998,16:00,28.42,28.79,27.57,28.79,40200.0
07/28/1998,16:00,28.42,28.79,27.81,28.79,48900.0
07/29/1998,16:00,29.04,29.16,28.79,29.04,19600.0
07/30/1998,16:00,28.79,28.79,27.44,28.06,49100.0
07/31/1998,16:00,28.30,28.30,27.32,27.57,1500.0
08/03/1998,16:00,27.32,28.30,27.32,27.32,1200.0
08/04/1998,16:00,27.44,27.44,27.32,27.32,53700.0
08/05/1998,16:00,27.32,28.06,27.32,27.32,6100.0
08/06/1998,16:00,27.32,27.44,27.32,27.44,120200.0
08/07/1998,16:00,27.08,28.06,27.08,27.20,44800.0
08/10/1998,16:00,27.08,28.06,27.08,27.20,1100.0
08/11/1998,16:00,27.81,27.81,26.46,27.44,16500.0
08/12/1998,16:00,27.81,27.81,26.46,27.14,15200.0
08/13/1998,16:00,26.71,27.69,26.71,27.44,200.0
08/14/1998,16:00,26.95,27.44,26.95,27.01,4200.0
08/17/1998,16:00,26.71,27.01,26.71,27.01,2300.0
08/18/1998,16:00,26.83,27.44,26.83,26.83,1400.0
08/19/1998,16:00,26.95,26.95,26.95,26.95,300.0
08/20/1998,16:00,26.95,27.44,26.95,26.95,2200.0
08/21/1998,16:00,26.95,27.08,26.71,27.08,13300.0
08/24/1998,16:00,26.71,27.44,26.46,27.44,7000.0
08/25/1998,16:00,26.46,26.46,25.61,25.97,235700.0
08/26/1998,16:00,25.97,25.97,25.97,25.97,5100.0
08/27/1998,16:00,25.73,25.73,24.50,24.50,12500.0
