Date,Time,Open,High,Low,Close,Vol
08/09/1996,16:00,13.50,15.87,13.50,15.63,1601500.0
08/12/1996,16:00,15.63,15.87,15.52,15.63,260900.0
08/13/1996,16:00,15.63,15.87,15.52,15.52,162800.0
08/14/1996,16:00,15.52,15.75,15.52,15.52,59500.0
08/15/1996,16:00,15.75,15.75,15.52,15.75,62300.0
08/16/1996,16:00,15.52,15.75,15.52,15.52,40600.0
08/19/1996,16:00,15.52,15.87,15.52,15.87,381500.0
08/20/1996,16:00,15.87,16.34,15.63,16.34,115000.0
08/21/1996,16:00,16.34,16.69,16.11,16.69,167600.0
08/22/1996,16:00,16.69,16.94,16.47,16.94,42400.0
08/23/1996,16:00,16.69,18.00,16.69,17.77,80300.0
08/26/1996,16:00,17.77,18.48,17.53,18.12,117800.0
08/27/1996,16:00,18.48,18.71,18.24,18.48,318700.0
08/28/1996,16:00,18.71,18.84,18.00,18.00,202600.0
08/29/1996,16:00,18.00,18.24,17.53,17.53,35600.0
08/30/1996,16:00,17.89,17.89,17.17,17.29,127500.0
09/03/1996,16:00,17.29,17.29,16.58,16.82,89900.0
09/04/1996,16:00,17.05,17.53,16.82,17.29,64100.0
09/05/1996,16:00,17.53,17.53,16.47,16.69,41800.0
09/06/1996,16:00,16.69,16.94,16.58,16.82,30200.0
09/09/1996,16:00,16.58,17.05,16.58,17.05,50100.0
09/10/1996,16:00,17.05,17.53,16.69,17.17,36400.0
09/11/1996,16:00,17.41,17.41,16.94,17.05,8200.0
09/12/1996,16:00,16.94,17.64,16.94,17.41,42100.0
09/13/1996,16:00,17.64,17.89,17.29,17.77,106400.0
09/16/1996,16:00,17.53,18.59,17.53,18.59,71700.0
09/17/1996,16:00,18.71,19.90,18.36,19.66,171300.0
09/18/1996,16:00,20.37,21.56,20.01,21.56,121600.0
09/19/1996,16:00,21.32,21.43,20.37,20.37,275800.0
09/20/1996,16:00,20.13,20.13,18.24,18.48,289400.0
09/23/1996,16:00,18.59,18.59,17.64,18.00,59900.0
09/24/1996,16:00,18.00,18.00,17.64,17.64,134900.0
09/25/1996,16:00,17.64,18.12,17.64,18.00,91600.0
09/26/1996,16:00,18.12,18.71,17.89,17.89,85300.0
09/27/1996,16:00,18.24,18.24,17.77,18.00,36800.0
09/30/1996,16:00,18.24,18.24,17.77,18.24,254700.0
10/01/1996,16:00,18.24,18.59,18.00,18.24,54000.0
10/02/1996,16:00,18.24,18.71,18.24,18.59,10000.0
10/03/1996,16:00,18.71,18.71,18.24,18.24,19300.0
10/04/1996,16:00,18.71,18.71,18.24,18.71,45400.0
10/07/1996,16:00,18.36,19.31,18.36,19.31,41500.0
10/08/1996,16:00,19.31,20.61,19.31,20.61,61100.0
10/09/1996,16:00,20.26,20.61,20.13,20.61,25700.0
10/10/1996,16:00,20.85,21.56,20.61,20.73,102500.0
10/11/1996,16:00,20.73,20.73,20.37,20.73,30700.0
10/14/1996,16:00,20.85,21.21,20.73,21.08,19100.0
10/15/1996,16:00,20.96,21.21,20.85,20.96,13900.0
10/16/1996,16:00,20.85,21.08,20.26,20.37,40200.0
10/17/1996,16:00,20.49,20.61,20.13,20.37,201200.0
10/18/1996,16:00,20.37,20.85,20.37,20.85,4600.0
10/21/1996,16:00,21.08,21.08,20.61,20.85,54000.0
10/22/1996,16:00,20.61,20.96,20.61,20.61,58900.0
10/23/1996,16:00,20.96,20.96,20.61,20.96,43400.0
10/24/1996,16:00,20.96,21.43,20.73,21.32,107500.0
10/25/1996,16:00,21.56,22.03,21.56,21.91,328500.0
10/28/1996,16:00,22.03,22.03,21.56,22.03,210800.0
