Date,Time,Open,High,Low,Close,Vol
02/21/1989,16:00,2.07,2.07,2.05,2.05,12001.5
02/22/1989,16:00,2.04,2.04,2.01,2.01,17100.0
02/23/1989,16:00,2.01,2.02,2.01,2.01,18301.5
02/24/1989,16:00,2.01,2.02,2.01,2.01,3901.5
02/27/1989,16:00,2.01,2.02,1.92,1.95,29700.0
02/28/1989,16:00,1.96,1.96,1.95,1.95,9301.5
03/01/1989,16:00,1.95,1.96,1.95,1.95,39001.5
03/02/1989,16:00,1.95,1.95,1.95,1.95,504301.5
03/03/1989,16:00,1.95,2.00,1.95,2.00,12001.5
03/06/1989,16:00,2.00,2.00,2.00,2.00,4801.5
03/07/1989,16:00,2.00,2.05,2.00,2.04,18900.0
03/08/1989,16:00,2.07,2.11,2.07,2.08,30600.0
03/09/1989,16:00,2.08,2.11,2.07,2.11,217201.5
03/10/1989,16:00,2.10,2.13,2.10,2.11,9000.0
03/13/1989,16:00,2.10,2.15,2.10,2.15,3901.5
03/14/1989,16:00,2.13,2.16,2.13,2.15,9000.0
03/15/1989,16:00,2.13,2.13,2.13,2.13,11101.5
03/16/1989,16:00,2.13,2.13,2.13,2.13,6601.5
03/17/1989,16:00,2.10,2.10,2.10,2.10,17401.5
03/20/1989,16:00,2.10,2.10,2.07,2.07,18301.5
03/21/1989,16:00,2.07,2.09,2.07,2.09,10800.0
03/22/1989,16:00,2.07,2.07,2.07,2.07,16200.0
03/23/1989,16:00,2.07,2.07,2.03,2.03,36900.0
03/27/1989,16:00,2.00,2.00,1.99,1.99,10201.5
03/28/1989,16:00,1.99,1.99,1.99,1.99,3901.5
03/29/1989,16:00,1.99,2.00,1.99,2.00,3901.5
03/30/1989,16:00,1.97,1.97,1.97,1.97,12600.0
03/31/1989,16:00,1.99,1.99,1.97,1.97,15601.5
04/03/1989,16:00,1.99,2.00,1.97,2.00,11700.0
04/04/1989,16:00,1.99,1.99,1.96,1.96,9000.0
04/05/1989,16:00,1.96,1.97,1.96,1.96,1800.0
04/06/1989,16:00,1.96,1.99,1.96,1.96,8401.5
04/07/1989,16:00,1.96,1.99,1.96,1.96,11101.5
04/10/1989,16:00,1.93,1.96,1.93,1.96,9301.5
04/11/1989,16:00,1.93,1.93,1.90,1.91,33300.0
04/12/1989,16:00,1.93,1.94,1.91,1.94,12001.5
04/13/1989,16:00,1.93,1.94,1.93,1.94,3901.5
04/14/1989,16:00,1.93,1.94,1.91,1.91,12901.5
04/17/1989,16:00,1.90,1.91,1.90,1.91,23400.0
04/18/1989,16:00,1.90,1.90,1.90,1.90,17401.5
04/19/1989,16:00,1.88,1.91,1.88,1.90,12001.5
04/20/1989,16:00,1.88,1.88,1.88,1.88,11101.5
04/21/1989,16:00,1.88,1.88,1.84,1.84,9900.0
04/24/1989,16:00,1.84,1.87,1.84,1.84,46201.5
04/25/1989,16:00,1.84,1.84,1.84,1.84,3901.5
04/26/1989,16:00,1.84,1.84,1.84,1.84,4801.5
04/27/1989,16:00,1.84,1.91,1.84,1.91,21901.5
04/28/1989,16:00,1.91,1.91,1.88,1.88,20700.0
05/01/1989,16:00,1.87,1.90,1.87,1.88,7200.0
05/02/1989,16:00,1.87,1.87,1.82,1.84,40500.0
05/03/1989,16:00,1.84,1.87,1.84,1.87,17100.0
05/04/1989,16:00,1.87,1.88,1.85,1.85,12600.0
05/05/1989,16:00,1.88,1.93,1.88,1.88,58801.5
05/08/1989,16:00,1.87,1.90,1.87,1.87,28201.5
05/09/1989,16:00,1.88,1.91,1.87,1.87,123300.0
05/10/1989,16:00,1.90,1.90,1.87,1.90,57001.5
05/11/1989,16:00,1.88,1.94,1.88,1.93,93001.5
05/12/1989,16:00,1.97,1.99,1.93,1.93,96300.0
05/15/1989,16:00,1.94,1.97,1.93,1.96,30600.0
05/16/1989,16:00,1.99,2.04,1.99,2.01,26100.0
05/17/1989,16:00,2.01,2.04,2.01,2.03,73800.0
05/18/1989,16:00,2.03,2.03,2.00,2.00,15300.0
05/19/1989,16:00,1.97,2.04,1.97,2.03,17100.0
05/22/1989,16:00,2.06,2.10,2.06,2.07,24300.0
05/23/1989,16:00,2.09,2.09,2.04,2.06,32701.5
05/24/1989,16:00,2.04,2.07,2.04,2.04,111001.5
05/25/1989,16:00,2.01,2.04,2.00,2.00,67500.0
05/26/1989,16:00,2.00,2.00,1.99,1.99,13500.0
05/30/1989,16:00,2.00,2.07,2.00,2.07,77701.5
05/31/1989,16:00,2.07,2.09,2.03,2.03,31801.5
06/01/1989,16:00,2.03,2.03,2.01,2.01,16200.0
06/02/1989,16:00,2.00,2.06,2.00,2.04,11700.0
06/05/1989,16:00,2.06,2.06,2.00,2.00,437400.0
06/06/1989,16:00,1.99,1.99,1.97,1.99,203701.5
06/07/1989,16:00,1.96,1.99,1.94,1.97,81000.0
06/08/1989,16:00,1.97,1.99,1.94,1.94,28800.0
06/09/1989,16:00,1.94,1.94,1.91,1.93,23400.0
06/12/1989,16:00,1.93,1.93,1.90,1.90,26100.0
06/13/1989,16:00,1.87,1.87,1.82,1.82,46800.0
06/14/1989,16:00,1.81,1.82,1.81,1.82,37800.0
06/15/1989,16:00,1.79,1.79,1.78,1.78,30901.5
06/16/1989,16:00,1.79,1.82,1.78,1.79,34200.0
06/19/1989,16:00,1.79,1.81,1.76,1.78,38101.5
06/20/1989,16:00,1.79,1.79,1.79,1.79,9000.0
06/21/1989,16:00,1.78,1.79,1.78,1.78,3001.5
06/22/1989,16:00,1.78,1.82,1.78,1.82,14701.5
06/23/1989,16:00,1.81,1.84,1.81,1.84,78300.0
06/26/1989,16:00,1.82,1.85,1.82,1.82,30001.5
06/27/1989,16:00,1.81,1.82,1.81,1.82,7501.5
06/28/1989,16:00,1.81,1.81,1.78,1.79,107401.5
06/29/1989,16:00,1.78,1.78,1.76,1.76,20700.0
06/30/1989,16:00,1.75,1.75,1.67,1.69,50400.0
07/03/1989,16:00,1.69,1.72,1.69,1.72,21001.5
07/05/1989,16:00,1.73,1.73,1.72,1.72,28800.0
07/06/1989,16:00,1.72,1.75,1.72,1.73,39001.5
07/07/1989,16:00,1.75,1.78,1.75,1.75,49801.5
07/10/1989,16:00,1.75,1.78,1.75,1.76,126900.0
07/11/1989,16:00,1.76,1.78,1.75,1.76,52200.0
07/12/1989,16:00,1.75,1.81,1.75,1.81,68400.0
07/13/1989,16:00,1.79,1.81,1.79,1.81,38101.5
07/14/1989,16:00,1.81,1.81,1.78,1.78,59400.0
07/17/1989,16:00,1.81,1.81,1.78,1.78,41701.5
07/18/1989,16:00,1.76,1.81,1.76,1.79,33300.0
07/19/1989,16:00,1.81,1.84,1.79,1.79,35100.0
07/20/1989,16:00,1.79,1.79,1.76,1.79,32400.0
07/21/1989,16:00,1.76,1.79,1.75,1.75,27000.0
07/24/1989,16:00,1.73,1.75,1.73,1.73,6601.5
07/25/1989,16:00,1.76,1.76,1.73,1.75,31801.5
07/26/1989,16:00,1.73,1.76,1.73,1.76,30901.5
07/27/1989,16:00,1.78,1.84,1.78,1.84,24300.0
07/28/1989,16:00,1.85,1.87,1.85,1.85,8100.0
07/31/1989,16:00,1.87,1.90,1.87,1.90,10800.0
08/01/1989,16:00,1.88,1.93,1.87,1.91,16501.5
08/02/1989,16:00,1.93,1.93,1.85,1.87,23701.5
08/03/1989,16:00,1.87,1.87,1.78,1.78,30001.5
08/04/1989,16:00,1.76,1.79,1.73,1.79,41701.5
08/07/1989,16:00,1.80,1.80,1.79,1.80,13500.0
08/08/1989,16:00,1.83,1.86,1.83,1.86,73800.0
08/09/1989,16:00,1.88,1.95,1.86,1.92,45900.0
08/10/1989,16:00,1.92,1.97,1.89,1.95,59400.0
08/11/1989,16:00,1.98,2.09,1.97,2.03,67500.0
08/14/1989,16:00,2.03,2.10,2.03,2.10,66600.0
08/15/1989,16:00,2.10,2.18,2.09,2.09,72900.0
08/16/1989,16:00,2.07,2.07,2.06,2.06,17100.0
08/17/1989,16:00,2.03,2.03,2.01,2.01,8100.0
08/18/1989,16:00,2.01,2.01,2.01,2.01,6300.0
08/21/1989,16:00,1.98,1.98,1.92,1.92,26401.5
08/22/1989,16:00,1.92,1.95,1.91,1.95,16501.5
08/23/1989,16:00,1.94,1.98,1.94,1.98,16501.5
08/24/1989,16:00,1.95,1.97,1.95,1.97,58500.0
08/25/1989,16:00,1.97,1.97,1.92,1.92,17100.0
08/28/1989,16:00,1.92,1.94,1.91,1.94,29700.0
08/29/1989,16:00,1.91,1.94,1.89,1.91,46800.0
08/30/1989,16:00,1.89,1.91,1.88,1.91,41400.0
08/31/1989,16:00,1.91,1.94,1.89,1.92,44100.0
09/01/1989,16:00,1.92,1.94,1.92,1.92,17401.5
09/05/1989,16:00,1.92,1.95,1.91,1.92,51300.0
09/06/1989,16:00,1.89,1.91,1.89,1.91,39600.0
09/07/1989,16:00,1.92,1.94,1.91,1.92,5400.0
09/08/1989,16:00,1.92,1.92,1.91,1.91,9000.0
09/11/1989,16:00,1.91,1.95,1.91,1.94,17401.5
09/12/1989,16:00,1.95,1.95,1.94,1.94,15601.5
09/13/1989,16:00,1.95,1.95,1.92,1.92,14400.0
09/14/1989,16:00,1.92,1.92,1.92,1.92,9301.5
09/15/1989,16:00,1.92,1.94,1.92,1.92,2101.5
09/18/1989,16:00,1.92,1.92,1.91,1.91,11101.5
09/19/1989,16:00,1.94,1.95,1.94,1.95,16501.5
09/20/1989,16:00,1.97,2.06,1.97,2.06,159601.5
09/21/1989,16:00,2.04,2.12,2.04,2.10,34200.0
09/22/1989,16:00,2.15,2.27,2.12,2.27,122400.0
09/25/1989,16:00,2.24,2.24,2.13,2.15,30001.5
09/26/1989,16:00,2.13,2.18,2.12,2.12,36900.0
09/27/1989,16:00,2.12,2.13,2.12,2.13,24300.0
09/28/1989,16:00,2.15,2.18,2.15,2.16,23701.5
09/29/1989,16:00,2.21,2.21,2.18,2.19,9900.0
10/02/1989,16:00,2.19,2.22,2.18,2.19,26401.5
10/03/1989,16:00,2.21,2.21,2.19,2.19,12600.0
10/04/1989,16:00,2.18,2.18,2.15,2.15,18301.5
10/05/1989,16:00,2.13,2.15,2.12,2.12,10201.5
10/06/1989,16:00,2.12,2.18,2.12,2.18,43501.5
10/09/1989,16:00,2.16,2.21,2.16,2.21,11101.5
10/10/1989,16:00,2.19,2.21,2.16,2.16,22500.0
10/11/1989,16:00,2.13,2.13,2.09,2.12,27000.0
10/12/1989,16:00,2.10,2.10,2.09,2.10,9301.5
10/13/1989,16:00,2.10,2.10,2.01,2.03,75901.5
10/16/1989,16:00,1.97,2.01,1.97,2.01,71100.0
10/17/1989,16:00,2.01,2.01,2.00,2.01,14701.5
10/18/1989,16:00,1.98,2.04,1.98,2.04,61501.5
10/19/1989,16:00,2.07,2.09,2.06,2.06,13500.0
10/20/1989,16:00,2.06,2.09,2.06,2.09,4801.5
10/23/1989,16:00,2.07,2.09,2.07,2.09,18000.0
10/24/1989,16:00,2.09,2.09,2.04,2.06,25200.0
10/25/1989,16:00,2.06,2.06,2.04,2.06,21600.0
10/26/1989,16:00,2.07,2.07,2.00,2.03,103500.0
10/27/1989,16:00,2.01,2.01,1.98,1.98,29101.5
10/30/1989,16:00,1.97,1.97,1.95,1.97,18301.5
10/31/1989,16:00,1.98,1.98,1.97,1.97,9301.5
11/01/1989,16:00,1.95,1.97,1.95,1.97,46800.0
11/02/1989,16:00,1.97,1.97,1.95,1.95,7501.5
11/03/1989,16:00,1.94,1.95,1.94,1.95,4801.5
11/06/1989,16:00,1.94,1.98,1.94,1.98,9301.5
11/07/1989,16:00,1.98,1.98,1.95,1.95,18000.0
11/08/1989,16:00,1.97,1.97,1.94,1.97,40801.5
11/09/1989,16:00,1.95,2.00,1.95,1.97,20101.5
11/10/1989,16:00,1.97,1.98,1.97,1.97,17401.5
11/13/1989,16:00,1.94,1.95,1.88,1.89,45900.0
11/14/1989,16:00,1.88,1.92,1.88,1.88,26100.0
11/15/1989,16:00,1.88,1.88,1.83,1.85,27000.0
11/16/1989,16:00,1.85,1.89,1.85,1.89,32701.5
11/17/1989,16:00,1.88,1.94,1.88,1.92,54301.5
11/20/1989,16:00,1.94,1.95,1.92,1.94,18301.5
11/21/1989,16:00,1.94,2.06,1.94,2.04,101700.0
11/22/1989,16:00,2.07,2.13,2.07,2.13,99000.0
11/24/1989,16:00,2.12,2.12,2.09,2.09,23701.5
11/27/1989,16:00,2.10,2.15,2.10,2.12,21901.5
11/28/1989,16:00,2.15,2.15,2.12,2.15,42300.0
11/29/1989,16:00,2.15,2.15,2.12,2.12,37201.5
11/30/1989,16:00,2.13,2.13,2.09,2.10,35100.0
12/01/1989,16:00,2.10,2.16,2.10,2.15,24300.0
12/04/1989,16:00,2.16,2.21,2.15,2.18,84600.0
12/05/1989,16:00,2.19,2.19,2.16,2.16,24300.0
12/06/1989,16:00,2.15,2.16,2.15,2.16,17100.0
12/07/1989,16:00,2.15,2.16,2.12,2.13,40801.5
12/08/1989,16:00,2.15,2.16,2.13,2.16,15300.0
12/11/1989,16:00,2.15,2.16,2.12,2.13,57901.5
12/12/1989,16:00,2.12,2.13,2.10,2.12,15601.5
12/13/1989,16:00,2.10,2.12,2.09,2.10,30600.0
12/14/1989,16:00,2.10,2.12,2.10,2.10,39001.5
12/15/1989,16:00,2.10,2.13,2.10,2.10,35401.5
12/18/1989,16:00,2.04,2.06,2.03,2.03,30600.0
12/19/1989,16:00,2.01,2.01,2.00,2.00,4801.5
12/20/1989,16:00,2.01,2.07,2.01,2.06,50701.5
12/21/1989,16:00,2.04,2.04,2.03,2.04,7501.5
12/22/1989,16:00,2.07,2.07,2.06,2.07,6601.5
12/26/1989,16:00,2.04,2.04,2.03,2.03,22500.0
12/27/1989,16:00,2.04,2.04,2.01,2.04,29700.0
12/28/1989,16:00,2.04,2.04,2.01,2.01,14701.5
12/29/1989,16:00,2.00,2.00,1.98,1.98,84901.5
01/02/1990,16:00,2.00,2.04,2.00,2.04,26401.5
01/03/1990,16:00,2.04,2.07,2.04,2.06,25501.5
01/04/1990,16:00,2.04,2.13,2.04,2.12,18900.0
01/05/1990,16:00,2.10,2.13,2.10,2.13,26100.0
01/08/1990,16:00,2.12,2.13,2.04,2.04,36900.0
01/09/1990,16:00,2.04,2.04,2.01,2.03,23701.5
01/10/1990,16:00,2.03,2.03,1.97,1.97,17100.0
01/11/1990,16:00,1.97,1.97,1.95,1.95,273600.0
01/12/1990,16:00,1.92,1.95,1.89,1.92,48001.5
01/15/1990,16:00,1.92,1.92,1.86,1.89,26100.0
01/16/1990,16:00,1.88,1.91,1.86,1.91,46201.5
01/17/1990,16:00,1.92,1.98,1.92,1.98,26100.0
01/18/1990,16:00,1.95,2.01,1.95,1.95,14701.5
01/19/1990,16:00,1.98,1.98,1.97,1.98,10201.5
