Date,Time,Open,High,Low,Close,Vol
11/05/1987,16:00,2.14,2.22,2.14,2.21,64000.0
11/06/1987,16:00,2.24,2.28,2.24,2.24,35200.0
11/09/1987,16:00,2.23,2.23,2.21,2.22,25600.0
11/10/1987,16:00,2.20,2.20,2.18,2.18,6400.0
11/11/1987,16:00,2.17,2.18,2.16,2.16,6400.0
11/12/1987,16:00,2.18,2.21,2.18,2.21,25600.0
11/13/1987,16:00,2.21,2.21,2.18,2.18,4000.0
11/16/1987,16:00,2.16,2.16,2.13,2.13,9600.0
11/17/1987,16:00,2.12,2.12,2.09,2.09,15200.0
11/18/1987,16:00,2.08,2.08,2.05,2.08,31200.0
11/19/1987,16:00,2.08,2.09,2.07,2.07,10400.0
11/20/1987,16:00,2.07,2.07,2.07,2.07,21600.0
11/23/1987,16:00,2.09,2.09,2.09,2.09,8000.0
11/24/1987,16:00,2.12,2.18,2.12,2.14,25600.0
11/25/1987,16:00,2.13,2.13,2.13,2.13,800.0
11/27/1987,16:00,2.12,2.12,2.12,2.12,800.0
11/30/1987,16:00,2.10,2.10,2.09,2.09,23200.0
12/01/1987,16:00,2.09,2.09,2.09,2.09,24800.0
12/02/1987,16:00,2.07,2.07,2.06,2.06,29600.0
12/03/1987,16:00,2.06,2.06,2.05,2.05,36000.0
12/04/1987,16:00,2.04,2.06,2.04,2.04,264000.0
12/07/1987,16:00,2.04,2.04,2.04,2.04,8000.0
12/08/1987,16:00,2.03,2.03,2.02,2.03,18400.0
12/09/1987,16:00,2.05,2.10,2.04,2.09,44000.0
12/10/1987,16:00,2.07,2.07,2.06,2.06,17600.0
12/11/1987,16:00,2.05,2.06,2.04,2.05,28800.0
12/14/1987,16:00,2.06,2.11,2.06,2.09,53600.0
12/15/1987,16:00,2.11,2.16,2.11,2.16,37600.0
12/16/1987,16:00,2.16,2.16,2.15,2.16,41600.0
12/17/1987,16:00,2.17,2.18,2.16,2.18,17600.0
12/18/1987,16:00,2.19,2.19,2.17,2.17,132000.0
12/21/1987,16:00,2.20,2.21,2.19,2.20,41600.0
12/22/1987,16:00,2.19,2.20,2.19,2.20,95200.0
12/23/1987,16:00,2.23,2.23,2.19,2.19,35200.0
12/24/1987,16:00,2.18,2.18,2.18,2.18,20000.0
12/28/1987,16:00,2.20,2.23,2.19,2.21,43200.0
12/29/1987,16:00,2.21,2.24,2.21,2.23,208800.0
12/30/1987,16:00,2.23,2.38,2.23,2.37,87200.0
12/31/1987,16:00,2.33,2.34,2.33,2.34,204800.0
01/04/1988,16:00,2.35,2.44,2.35,2.41,32000.0
01/05/1988,16:00,2.41,2.41,2.39,2.39,10400.0
01/06/1988,16:00,2.39,2.46,2.39,2.44,107200.0
01/07/1988,16:00,2.42,2.42,2.41,2.41,32800.0
01/08/1988,16:00,2.46,2.52,2.45,2.45,169600.0
01/11/1988,16:00,2.41,2.41,2.37,2.37,196000.0
01/12/1988,16:00,2.37,2.38,2.34,2.38,80000.0
01/13/1988,16:00,2.38,2.38,2.34,2.34,22400.0
01/14/1988,16:00,2.35,2.37,2.34,2.34,43200.0
01/15/1988,16:00,2.38,2.41,2.37,2.41,345600.0
01/18/1988,16:00,2.42,2.42,2.37,2.38,92000.0
01/19/1988,16:00,2.39,2.39,2.38,2.38,11200.0
01/20/1988,16:00,2.37,2.38,2.37,2.38,4800.0
01/21/1988,16:00,2.35,2.36,2.35,2.36,10400.0
01/22/1988,16:00,2.37,2.37,2.35,2.36,16800.0
01/25/1988,16:00,2.38,2.39,2.38,2.39,36800.0
01/26/1988,16:00,2.38,2.38,2.38,2.38,3200.0
01/27/1988,16:00,2.38,2.39,2.38,2.39,4000.0
01/28/1988,16:00,2.39,2.39,2.39,2.39,14400.0
01/29/1988,16:00,2.39,2.39,2.38,2.39,11200.0
02/01/1988,16:00,2.38,2.38,2.37,2.37,10400.0
02/02/1988,16:00,2.37,2.37,2.37,2.37,800.0
02/03/1988,16:00,2.36,2.41,2.36,2.40,49600.0
02/04/1988,16:00,2.39,2.41,2.39,2.41,35200.0
02/05/1988,16:00,2.41,2.41,2.41,2.41,29600.0
02/08/1988,16:00,2.39,2.40,2.39,2.40,5600.0
02/09/1988,16:00,2.40,2.41,2.39,2.41,7200.0
02/10/1988,16:00,2.40,2.41,2.40,2.41,62400.0
