Date,Time,Open,High,Low,Close,Vol
06/16/2009,16:00,3.40,3.46,3.38,3.42,418200.0
06/17/2009,16:00,3.40,3.43,3.36,3.43,158700.0
06/18/2009,16:00,3.43,3.48,3.41,3.46,331400.0
06/19/2009,16:00,3.47,3.50,3.45,3.45,244800.0
06/22/2009,16:00,3.45,3.47,3.42,3.45,135700.0
06/23/2009,16:00,3.45,3.47,3.44,3.45,101600.0
06/24/2009,16:00,3.46,3.47,3.44,3.45,121400.0
06/25/2009,16:00,3.46,3.47,3.46,3.47,58300.0
06/26/2009,16:00,3.47,3.49,3.46,3.47,107500.0
06/29/2009,16:00,3.47,3.48,3.44,3.46,85300.0
06/30/2009,16:00,3.46,3.47,3.44,3.47,166700.0
07/01/2009,16:00,3.48,3.50,3.46,3.48,266900.0
07/02/2009,16:00,3.49,3.49,3.46,3.49,97300.0
07/06/2009,16:00,3.49,3.50,3.46,3.49,110900.0
07/07/2009,16:00,3.49,3.52,3.47,3.49,222000.0
07/08/2009,16:00,3.49,3.51,3.45,3.46,122400.0
07/09/2009,16:00,3.47,3.50,3.44,3.45,192400.0
07/10/2009,16:00,3.45,3.48,3.45,3.47,44700.0
07/13/2009,16:00,3.47,3.49,3.46,3.47,127900.0
07/14/2009,16:00,3.47,3.53,3.47,3.52,182800.0
07/15/2009,16:00,3.56,3.58,3.52,3.53,164800.0
07/16/2009,16:00,3.53,3.59,3.52,3.59,109800.0
07/17/2009,16:00,3.59,3.60,3.55,3.59,74100.0
07/20/2009,16:00,3.59,3.63,3.57,3.59,87500.0
07/21/2009,16:00,3.58,3.59,3.52,3.55,128200.0
07/22/2009,16:00,3.62,3.63,3.52,3.59,269700.0
07/23/2009,16:00,3.59,3.67,3.58,3.66,200000.0
07/24/2009,16:00,3.67,3.68,3.63,3.65,112400.0
07/27/2009,16:00,3.66,3.72,3.65,3.72,60900.0
07/28/2009,16:00,3.65,3.78,3.65,3.76,181300.0
07/29/2009,16:00,3.75,3.76,3.72,3.73,224700.0
07/30/2009,16:00,3.81,3.81,3.73,3.75,193800.0
07/31/2009,16:00,3.78,3.94,3.78,3.87,293100.0
08/03/2009,16:00,3.86,3.90,3.83,3.88,309900.0
08/04/2009,16:00,3.89,3.93,3.86,3.92,131500.0
08/05/2009,16:00,3.96,4.01,3.89,3.91,144900.0
08/06/2009,16:00,3.92,3.93,3.88,3.90,58400.0
08/07/2009,16:00,3.91,3.91,3.85,3.85,81300.0
08/10/2009,16:00,3.85,3.93,3.85,3.93,94500.0
08/11/2009,16:00,3.93,3.97,3.88,3.90,154300.0
08/12/2009,16:00,3.91,4.00,3.87,4.00,74400.0
08/13/2009,16:00,4.00,4.06,3.98,4.04,98600.0
08/14/2009,16:00,4.06,4.07,4.03,4.04,37200.0
08/17/2009,16:00,4.02,4.04,3.95,4.02,213000.0
08/18/2009,16:00,4.03,4.03,4.02,4.03,27300.0
08/19/2009,16:00,4.01,4.06,4.00,4.03,105100.0
08/20/2009,16:00,4.02,4.08,4.02,4.08,87800.0
08/21/2009,16:00,4.08,4.13,4.08,4.11,21700.0
08/24/2009,16:00,4.11,4.16,4.09,4.09,49500.0
08/25/2009,16:00,4.09,4.13,4.01,4.02,88600.0
08/26/2009,16:00,4.01,4.11,4.01,4.08,138300.0
08/27/2009,16:00,4.06,4.11,4.06,4.09,75200.0
08/28/2009,16:00,4.09,4.09,4.05,4.06,78100.0
08/31/2009,16:00,4.06,4.21,4.06,4.09,220800.0
09/01/2009,16:00,4.09,4.11,4.04,4.06,76100.0
09/02/2009,16:00,4.07,4.10,4.02,4.03,118900.0
09/03/2009,16:00,4.04,4.07,4.04,4.07,66600.0
09/04/2009,16:00,4.07,4.07,4.02,4.04,105900.0
09/08/2009,16:00,4.06,4.07,4.02,4.02,82900.0
09/09/2009,16:00,4.02,4.03,3.98,4.02,129200.0
09/10/2009,16:00,4.02,4.05,4.02,4.02,118800.0
09/11/2009,16:00,4.03,4.08,4.02,4.08,150400.0
09/14/2009,16:00,4.08,4.09,4.06,4.08,74600.0
09/15/2009,16:00,4.07,4.19,4.06,4.19,146900.0
09/16/2009,16:00,4.24,4.35,4.09,4.17,313700.0
09/17/2009,16:00,4.21,4.21,4.07,4.07,105100.0
09/18/2009,16:00,4.08,4.19,4.08,4.17,108100.0
09/21/2009,16:00,4.16,4.22,4.16,4.17,110000.0
09/22/2009,16:00,4.17,4.30,4.16,4.26,286300.0
09/23/2009,16:00,4.26,4.29,4.21,4.22,114700.0
09/24/2009,16:00,4.22,4.23,3.98,4.11,275900.0
09/25/2009,16:00,4.12,4.20,4.12,4.15,212300.0
09/28/2009,16:00,4.09,4.20,4.02,4.16,318200.0
09/29/2009,16:00,4.17,4.29,4.14,4.26,363800.0
09/30/2009,16:00,4.16,4.22,4.05,4.14,1490300.0
10/01/2009,16:00,4.22,4.22,4.09,4.10,283600.0
10/02/2009,16:00,4.07,4.12,4.03,4.11,145500.0
10/05/2009,16:00,4.12,4.13,4.06,4.12,179200.0
10/06/2009,16:00,4.15,4.18,4.12,4.18,181500.0
10/07/2009,16:00,4.16,4.20,4.15,4.16,80100.0
10/08/2009,16:00,4.18,4.18,4.14,4.17,63000.0
10/09/2009,16:00,4.17,4.18,4.12,4.15,121700.0
10/12/2009,16:00,4.15,4.16,3.82,4.05,529500.0
10/13/2009,16:00,4.05,4.08,3.98,4.00,81500.0
10/14/2009,16:00,4.02,4.10,4.01,4.06,140400.0
10/15/2009,16:00,4.03,4.06,4.02,4.04,193900.0
10/16/2009,16:00,4.02,4.04,3.98,4.02,47600.0
10/19/2009,16:00,4.01,4.16,4.01,4.14,51200.0
10/20/2009,16:00,4.14,4.14,4.05,4.06,30100.0
10/21/2009,16:00,4.04,4.10,4.00,4.00,95400.0
10/22/2009,16:00,3.98,4.09,3.98,3.99,192500.0
10/23/2009,16:00,4.00,4.07,3.99,4.03,144000.0
10/26/2009,16:00,4.03,4.09,3.99,4.08,260600.0
10/27/2009,16:00,4.07,4.07,3.91,3.93,179000.0
10/28/2009,16:00,3.93,4.00,3.90,3.90,125200.0
10/29/2009,16:00,3.96,4.02,3.94,3.99,66000.0
10/30/2009,16:00,3.97,4.02,3.94,4.00,128700.0
11/02/2009,16:00,4.03,4.03,3.84,3.95,126300.0
11/03/2009,16:00,3.94,4.00,3.92,3.96,80100.0
11/04/2009,16:00,3.97,4.00,3.92,3.92,49400.0
11/05/2009,16:00,3.95,4.04,3.94,4.03,46200.0
11/06/2009,16:00,4.00,4.05,3.99,4.05,51200.0
11/09/2009,16:00,4.11,4.14,4.07,4.08,57100.0
11/10/2009,16:00,4.06,4.06,3.96,4.04,48400.0
11/11/2009,16:00,4.08,4.08,4.03,4.06,45500.0
11/12/2009,16:00,4.06,4.07,3.98,4.02,70100.0
11/13/2009,16:00,4.03,4.12,3.94,4.03,67100.0
11/16/2009,16:00,4.06,4.16,4.05,4.09,79900.0
11/17/2009,16:00,4.08,4.14,4.02,4.14,72000.0
11/18/2009,16:00,4.14,4.14,4.09,4.11,302100.0
11/19/2009,16:00,4.09,4.15,4.07,4.08,311000.0
11/20/2009,16:00,4.09,4.11,4.06,4.06,275500.0
11/23/2009,16:00,4.14,4.15,4.07,4.08,126800.0
11/24/2009,16:00,4.09,4.10,4.00,4.05,161400.0
11/25/2009,16:00,4.06,4.06,3.98,4.00,78100.0
11/27/2009,16:00,3.94,3.97,3.92,3.95,63800.0
11/30/2009,16:00,3.95,3.99,3.88,3.92,442400.0
12/01/2009,16:00,3.98,3.98,3.91,3.94,110600.0
12/02/2009,16:00,3.95,3.97,3.93,3.97,89200.0
12/03/2009,16:00,3.98,4.10,3.98,4.04,96200.0
12/04/2009,16:00,4.10,4.12,4.03,4.04,113100.0
12/07/2009,16:00,4.06,4.15,4.00,4.02,188000.0
12/08/2009,16:00,4.01,4.08,4.00,4.01,82600.0
12/09/2009,16:00,4.01,4.06,3.97,4.04,59000.0
12/10/2009,16:00,4.05,4.08,3.98,4.00,43200.0
12/11/2009,16:00,4.02,4.09,4.02,4.09,45500.0
12/14/2009,16:00,4.09,4.11,4.08,4.09,106600.0
12/15/2009,16:00,4.09,4.10,3.98,3.99,64200.0
12/16/2009,16:00,4.03,4.08,4.03,4.08,62500.0
12/17/2009,16:00,4.06,4.12,4.06,4.11,78400.0
12/18/2009,16:00,4.12,4.21,4.11,4.20,360100.0
12/21/2009,16:00,4.26,4.28,4.16,4.18,148600.0
12/22/2009,16:00,4.18,4.21,4.17,4.19,61000.0
12/23/2009,16:00,4.22,4.22,4.18,4.20,60400.0
12/24/2009,16:00,4.22,4.22,4.19,4.22,59800.0
12/28/2009,16:00,4.23,4.23,4.17,4.22,149500.0
12/29/2009,16:00,4.28,4.30,4.20,4.22,68100.0
12/30/2009,16:00,4.23,4.23,4.17,4.21,50500.0
12/31/2009,16:00,4.21,4.22,4.20,4.21,25400.0
01/04/2010,16:00,4.23,4.31,4.21,4.23,68300.0
01/05/2010,16:00,4.23,4.24,4.14,4.15,69200.0
01/06/2010,16:00,4.16,4.22,4.12,4.12,69200.0
01/07/2010,16:00,4.20,4.24,4.19,4.20,211300.0
01/08/2010,16:00,4.20,4.20,4.15,4.17,70200.0
01/11/2010,16:00,4.17,4.19,4.14,4.18,54000.0
01/12/2010,16:00,4.16,4.18,4.15,4.17,58800.0
01/13/2010,16:00,4.17,4.19,4.15,4.17,32300.0
01/14/2010,16:00,4.17,4.18,4.14,4.17,30100.0
01/15/2010,16:00,4.17,4.18,4.10,4.17,98100.0
01/19/2010,16:00,4.18,4.24,4.16,4.23,112000.0
01/20/2010,16:00,4.21,4.24,4.10,4.22,53400.0
01/21/2010,16:00,4.24,4.24,4.13,4.14,64600.0
01/22/2010,16:00,4.14,4.16,4.10,4.13,59900.0
01/25/2010,16:00,4.15,4.21,4.14,4.15,52800.0
01/26/2010,16:00,4.15,4.16,4.13,4.14,78900.0
01/27/2010,16:00,4.14,4.22,4.13,4.20,36100.0
01/28/2010,16:00,4.22,4.22,4.13,4.17,47300.0
01/29/2010,16:00,4.17,4.21,4.14,4.20,32900.0
02/01/2010,16:00,4.20,4.20,4.15,4.17,26100.0
02/02/2010,16:00,4.16,4.17,4.13,4.13,113700.0
02/03/2010,16:00,4.13,4.20,4.13,4.19,45800.0
02/04/2010,16:00,4.17,4.20,4.10,4.15,44700.0
02/05/2010,16:00,4.13,4.21,4.12,4.19,55200.0
02/08/2010,16:00,4.20,4.20,4.15,4.16,59200.0
02/09/2010,16:00,4.19,4.19,4.14,4.17,50400.0
02/10/2010,16:00,4.15,4.18,4.13,4.16,86700.0
02/11/2010,16:00,4.15,4.16,4.06,4.06,112300.0
02/12/2010,16:00,4.06,4.08,4.02,4.05,119600.0
02/16/2010,16:00,4.08,4.09,4.00,4.05,86300.0
02/17/2010,16:00,4.06,4.06,4.04,4.06,57300.0
02/18/2010,16:00,4.05,4.05,4.04,4.05,56000.0
02/19/2010,16:00,4.05,4.05,4.03,4.04,50300.0
02/22/2010,16:00,4.06,4.06,3.99,4.00,40400.0
02/23/2010,16:00,4.00,4.00,3.95,3.98,63600.0
02/24/2010,16:00,4.00,4.05,3.99,4.04,42400.0
02/25/2010,16:00,4.01,4.07,4.01,4.05,39300.0
02/26/2010,16:00,4.05,4.15,4.05,4.12,98800.0
03/01/2010,16:00,4.14,4.15,4.10,4.11,72500.0
03/02/2010,16:00,4.11,4.11,4.10,4.11,45600.0
03/03/2010,16:00,4.10,4.10,4.05,4.07,161100.0
03/04/2010,16:00,4.06,4.07,4.05,4.07,75000.0
03/05/2010,16:00,4.09,4.13,4.07,4.08,147100.0
03/08/2010,16:00,4.07,4.13,4.06,4.06,50200.0
03/09/2010,16:00,4.05,4.13,4.05,4.11,59100.0
03/10/2010,16:00,4.10,4.13,4.06,4.08,58400.0
03/11/2010,16:00,4.07,4.09,4.07,4.09,72000.0
03/12/2010,16:00,4.11,4.11,4.07,4.08,69100.0
03/15/2010,16:00,4.07,4.11,4.06,4.10,110400.0
03/16/2010,16:00,4.10,4.14,4.08,4.11,91800.0
03/17/2010,16:00,4.11,4.13,4.09,4.13,271200.0
03/18/2010,16:00,4.14,4.21,4.14,4.16,50900.0
03/19/2010,16:00,4.18,4.18,4.08,4.11,171800.0
03/22/2010,16:00,4.10,4.11,4.09,4.11,59800.0
03/23/2010,16:00,4.10,4.14,4.10,4.13,124000.0
03/24/2010,16:00,4.13,4.14,4.12,4.12,87600.0
03/25/2010,16:00,4.15,4.16,4.09,4.10,64500.0
03/26/2010,16:00,4.10,4.12,4.07,4.09,80300.0
03/29/2010,16:00,4.11,4.11,4.05,4.07,85000.0
03/30/2010,16:00,4.06,4.07,4.05,4.06,44900.0
03/31/2010,16:00,4.08,4.20,4.08,4.17,171500.0
04/01/2010,16:00,4.20,4.21,4.16,4.20,159400.0
04/05/2010,16:00,4.22,4.22,4.18,4.20,283500.0
04/06/2010,16:00,4.21,4.21,4.17,4.20,256500.0
04/07/2010,16:00,4.20,4.21,4.20,4.20,359000.0
04/08/2010,16:00,4.20,4.20,4.18,4.19,159400.0
04/09/2010,16:00,4.20,4.20,4.18,4.19,219000.0
04/12/2010,16:00,4.20,4.21,4.15,4.20,156900.0
04/13/2010,16:00,4.21,4.21,4.11,4.13,175400.0
04/14/2010,16:00,4.15,4.17,4.08,4.09,175600.0
04/15/2010,16:00,4.11,4.13,3.95,4.02,445900.0
04/16/2010,16:00,4.03,4.06,4.01,4.06,164100.0
04/19/2010,16:00,4.06,4.06,3.96,4.00,107500.0
04/20/2010,16:00,4.00,4.06,3.99,4.06,69400.0
04/21/2010,16:00,4.06,4.11,4.01,4.11,107700.0
04/22/2010,16:00,4.09,4.16,4.06,4.16,80800.0
04/23/2010,16:00,4.16,4.23,4.16,4.17,172100.0
04/26/2010,16:00,4.19,4.19,4.16,4.17,145800.0
04/27/2010,16:00,4.20,4.23,4.17,4.17,256500.0
04/28/2010,16:00,4.19,4.22,4.17,4.17,234500.0
04/29/2010,16:00,4.17,4.22,4.16,4.21,394800.0
04/30/2010,16:00,4.21,4.23,4.19,4.20,179800.0
05/03/2010,16:00,4.22,4.23,4.19,4.23,245800.0
05/04/2010,16:00,4.20,4.22,4.11,4.12,147100.0
05/05/2010,16:00,4.12,4.13,4.05,4.06,117800.0
05/06/2010,16:00,4.06,4.07,3.38,3.88,62200.0
05/07/2010,16:00,3.86,3.91,3.74,3.83,190500.0
05/10/2010,16:00,3.89,4.07,3.89,4.05,160200.0
05/11/2010,16:00,4.03,4.14,4.03,4.11,73200.0
05/12/2010,16:00,4.13,4.18,4.09,4.14,87700.0
05/13/2010,16:00,4.14,4.14,4.09,4.12,40600.0
05/14/2010,16:00,4.09,4.15,3.98,4.15,129500.0
05/17/2010,16:00,4.16,4.18,4.10,4.16,95700.0
05/18/2010,16:00,4.16,4.18,4.02,4.02,104300.0
05/19/2010,16:00,4.03,4.04,3.98,4.00,110300.0
05/20/2010,16:00,3.97,4.00,3.85,3.86,249300.0
05/21/2010,16:00,3.84,4.04,3.83,4.03,193800.0
05/24/2010,16:00,4.01,4.11,3.96,3.96,147000.0
05/25/2010,16:00,3.88,4.10,3.88,4.09,170000.0
05/26/2010,16:00,4.13,4.22,4.12,4.16,163500.0
05/27/2010,16:00,4.20,4.22,4.15,4.22,109200.0
05/28/2010,16:00,4.23,4.28,4.20,4.25,179000.0
06/01/2010,16:00,4.24,4.30,4.22,4.23,177500.0
06/02/2010,16:00,4.28,4.30,4.24,4.30,203000.0
06/03/2010,16:00,4.29,4.35,4.28,4.35,85000.0
06/04/2010,16:00,4.31,4.32,4.25,4.25,135100.0
06/07/2010,16:00,4.28,4.36,4.22,4.29,113000.0
06/08/2010,16:00,4.30,4.32,4.25,4.29,88500.0
06/09/2010,16:00,4.33,4.35,4.29,4.32,79300.0
06/10/2010,16:00,4.35,4.38,4.33,4.37,127500.0
06/11/2010,16:00,4.36,4.39,4.34,4.38,128000.0
06/14/2010,16:00,4.40,4.42,4.36,4.37,155600.0
06/15/2010,16:00,4.45,4.49,4.45,4.46,352200.0
06/16/2010,16:00,4.49,4.56,4.46,4.55,363000.0
06/17/2010,16:00,4.55,4.58,4.51,4.54,259300.0
06/18/2010,16:00,4.58,4.62,4.54,4.59,312200.0
06/21/2010,16:00,4.68,4.73,4.61,4.62,459800.0
06/22/2010,16:00,4.65,4.69,4.63,4.64,349900.0
06/23/2010,16:00,4.67,4.67,4.58,4.59,520200.0
06/24/2010,16:00,4.36,4.43,4.19,4.26,2301900.0
06/25/2010,16:00,4.24,4.34,4.23,4.34,6720500.0
06/28/2010,16:00,4.32,4.40,4.31,4.37,681400.0
06/29/2010,16:00,4.36,4.40,4.27,4.30,682000.0
06/30/2010,16:00,4.31,4.37,4.29,4.31,606200.0
07/01/2010,16:00,4.34,4.35,4.18,4.28,623900.0
07/02/2010,16:00,4.25,4.31,4.24,4.30,280000.0
07/06/2010,16:00,4.28,4.33,4.23,4.25,459500.0
07/07/2010,16:00,4.25,4.32,4.24,4.32,409500.0
07/08/2010,16:00,4.33,4.37,4.29,4.37,357700.0
07/09/2010,16:00,4.37,4.39,4.32,4.37,443200.0
07/12/2010,16:00,4.38,4.38,4.26,4.30,492500.0
07/13/2010,16:00,4.33,4.38,4.33,4.37,334400.0
07/14/2010,16:00,4.36,4.42,4.34,4.34,395300.0
07/15/2010,16:00,4.36,4.39,4.32,4.36,296300.0
07/16/2010,16:00,4.35,4.36,4.30,4.30,160600.0
07/19/2010,16:00,4.33,4.33,4.27,4.28,282500.0
07/20/2010,16:00,4.26,4.37,4.26,4.37,377500.0
07/21/2010,16:00,4.37,4.37,4.33,4.34,207900.0
07/22/2010,16:00,4.35,4.42,4.35,4.40,377100.0
07/23/2010,16:00,4.40,4.50,4.37,4.49,516100.0
07/26/2010,16:00,4.51,4.59,4.49,4.59,780100.0
07/27/2010,16:00,4.62,4.62,4.54,4.55,547900.0
07/28/2010,16:00,4.56,4.67,4.55,4.58,535000.0
07/29/2010,16:00,4.61,4.65,4.47,4.56,740100.0
07/30/2010,16:00,4.55,4.59,4.48,4.49,1267800.0
08/02/2010,16:00,4.53,4.62,4.53,4.61,341200.0
08/03/2010,16:00,4.63,4.66,4.56,4.61,372400.0
08/04/2010,16:00,4.64,4.65,4.59,4.63,180900.0
08/05/2010,16:00,4.62,4.64,4.49,4.49,401700.0
08/06/2010,16:00,4.49,4.58,4.47,4.53,241300.0
08/09/2010,16:00,4.56,4.56,4.49,4.56,225000.0
08/10/2010,16:00,4.51,4.61,4.51,4.58,279200.0
08/11/2010,16:00,4.50,4.53,4.48,4.50,314000.0
08/12/2010,16:00,4.48,4.54,4.48,4.53,247600.0
08/13/2010,16:00,4.54,4.62,4.52,4.57,245500.0
08/16/2010,16:00,4.64,4.67,4.56,4.60,283100.0
08/17/2010,16:00,4.63,4.64,4.56,4.58,298200.0
08/18/2010,16:00,4.59,4.65,4.57,4.61,189200.0
08/19/2010,16:00,4.56,4.62,4.54,4.56,314200.0
08/20/2010,16:00,4.56,4.64,4.56,4.63,242400.0
08/23/2010,16:00,4.68,4.68,4.56,4.57,283900.0
08/24/2010,16:00,4.54,4.62,4.54,4.59,263800.0
08/25/2010,16:00,4.58,4.59,4.49,4.53,446500.0
08/26/2010,16:00,4.56,4.56,4.46,4.47,313700.0
08/27/2010,16:00,4.48,4.62,4.47,4.61,255000.0
08/30/2010,16:00,4.61,4.62,4.59,4.59,128900.0
08/31/2010,16:00,4.58,4.59,4.54,4.58,259900.0
09/01/2010,16:00,4.62,4.67,4.59,4.65,198800.0
09/02/2010,16:00,4.67,4.67,4.63,4.65,145800.0
09/03/2010,16:00,4.67,4.68,4.64,4.68,189000.0
09/07/2010,16:00,4.68,4.69,4.66,4.67,235200.0
09/08/2010,16:00,4.69,4.71,4.68,4.70,198500.0
09/09/2010,16:00,4.71,4.74,4.67,4.69,273300.0
09/10/2010,16:00,4.74,4.83,4.73,4.77,619000.0
09/13/2010,16:00,4.78,4.80,4.76,4.79,691700.0
09/14/2010,16:00,4.80,4.85,4.78,4.81,536900.0
09/15/2010,16:00,4.83,4.84,4.80,4.83,758800.0
09/16/2010,16:00,4.84,4.90,4.80,4.82,634300.0
09/17/2010,16:00,4.86,4.86,4.78,4.86,735400.0
09/20/2010,16:00,4.89,4.98,4.87,4.93,1111700.0
09/21/2010,16:00,4.60,4.63,4.58,4.59,23408100.0
09/22/2010,16:00,4.60,4.65,4.60,4.60,2786400.0
09/23/2010,16:00,4.61,4.68,4.60,4.64,1684300.0
09/24/2010,16:00,4.67,4.73,4.65,4.71,1158900.0
09/27/2010,16:00,4.72,4.80,4.71,4.76,1179400.0
09/28/2010,16:00,4.77,4.79,4.69,4.79,850100.0
09/29/2010,16:00,4.76,4.80,4.73,4.73,940900.0
09/30/2010,16:00,4.74,4.77,4.71,4.74,1494700.0
10/01/2010,16:00,4.77,4.79,4.71,4.79,692800.0
10/04/2010,16:00,4.79,4.79,4.73,4.77,528500.0
10/05/2010,16:00,4.79,4.79,4.73,4.77,717000.0
10/06/2010,16:00,4.77,4.77,4.72,4.74,418600.0
10/07/2010,16:00,4.75,4.75,4.71,4.72,452000.0
10/08/2010,16:00,4.72,4.78,4.70,4.77,515500.0
10/11/2010,16:00,4.77,4.79,4.74,4.76,301600.0
10/12/2010,16:00,4.76,4.77,4.73,4.76,539400.0
10/13/2010,16:00,4.79,4.83,4.77,4.81,771800.0
10/14/2010,16:00,4.79,4.80,4.75,4.77,433600.0
10/15/2010,16:00,4.78,4.80,4.74,4.77,529700.0
10/18/2010,16:00,4.78,4.78,4.74,4.77,531500.0
10/19/2010,16:00,4.77,4.80,4.75,4.75,532500.0
10/20/2010,16:00,4.79,4.80,4.77,4.78,723100.0
10/21/2010,16:00,4.64,4.75,4.64,4.74,1698800.0
10/22/2010,16:00,4.74,4.74,4.66,4.67,825900.0
10/25/2010,16:00,4.69,4.75,4.67,4.74,703700.0
10/26/2010,16:00,4.72,4.72,4.68,4.69,557800.0
10/27/2010,16:00,4.72,4.72,4.66,4.67,718200.0
10/28/2010,16:00,4.68,4.68,4.63,4.64,742700.0
10/29/2010,16:00,4.64,4.65,4.63,4.63,749100.0
11/01/2010,16:00,4.63,4.68,4.63,4.67,635700.0
11/02/2010,16:00,4.70,4.73,4.68,4.72,553500.0
11/03/2010,16:00,4.74,4.76,4.70,4.75,420600.0
11/04/2010,16:00,4.78,4.84,4.78,4.84,644200.0
11/05/2010,16:00,4.83,4.88,4.83,4.87,513900.0
11/08/2010,16:00,4.87,4.88,4.83,4.84,343800.0
11/09/2010,16:00,4.83,4.84,4.76,4.77,531400.0
11/10/2010,16:00,4.75,4.80,4.74,4.80,498100.0
11/11/2010,16:00,4.80,4.85,4.79,4.82,475600.0
11/12/2010,16:00,4.83,4.84,4.72,4.72,604000.0
11/15/2010,16:00,4.76,4.77,4.71,4.72,568400.0
11/16/2010,16:00,4.71,4.72,4.63,4.67,770300.0
11/17/2010,16:00,4.69,4.74,4.69,4.74,360500.0
11/18/2010,16:00,4.77,4.77,4.68,4.68,734800.0
11/19/2010,16:00,4.68,4.76,4.68,4.75,369500.0
11/22/2010,16:00,4.74,4.77,4.72,4.75,420000.0
11/23/2010,16:00,4.74,4.78,4.71,4.77,337300.0
11/24/2010,16:00,4.78,4.85,4.78,4.85,489300.0
11/26/2010,16:00,4.82,4.86,4.82,4.85,156600.0
11/29/2010,16:00,4.83,4.88,4.83,4.88,539800.0
11/30/2010,16:00,4.86,4.87,4.83,4.85,398200.0
12/01/2010,16:00,4.89,4.92,4.86,4.90,622700.0
12/02/2010,16:00,4.92,4.93,4.90,4.92,434500.0
12/03/2010,16:00,4.92,4.95,4.89,4.94,367700.0
12/06/2010,16:00,4.95,4.99,4.94,4.99,1030400.0
12/07/2010,16:00,4.99,5.00,4.95,4.96,824100.0
12/08/2010,16:00,4.97,4.97,4.85,4.88,1197400.0
12/09/2010,16:00,4.87,4.92,4.85,4.90,1763000.0
12/10/2010,16:00,4.68,4.83,4.67,4.75,15200900.0
12/13/2010,16:00,4.78,4.81,4.76,4.79,1488900.0
12/14/2010,16:00,4.79,4.79,4.71,4.74,2291200.0
12/15/2010,16:00,4.74,4.75,4.66,4.67,1411900.0
12/16/2010,16:00,4.67,4.69,4.65,4.65,1471300.0
12/17/2010,16:00,4.65,4.68,4.63,4.67,2794800.0
12/20/2010,16:00,4.72,4.76,4.67,4.76,1496300.0
12/21/2010,16:00,4.79,4.83,4.79,4.83,1301700.0
12/22/2010,16:00,4.84,4.84,4.80,4.81,947000.0
12/23/2010,16:00,4.81,4.83,4.78,4.79,543300.0
12/27/2010,16:00,4.80,4.81,4.76,4.80,472800.0
12/28/2010,16:00,4.80,4.81,4.77,4.80,624200.0
12/29/2010,16:00,4.79,4.81,4.77,4.80,555000.0
12/30/2010,16:00,4.80,4.83,4.79,4.81,480800.0
12/31/2010,16:00,4.80,4.83,4.80,4.80,443600.0
01/03/2011,16:00,4.82,4.83,4.76,4.79,922600.0
01/04/2011,16:00,4.81,4.81,4.70,4.74,1074000.0
01/05/2011,16:00,4.75,4.75,4.69,4.73,920400.0
01/06/2011,16:00,4.76,4.80,4.71,4.77,824700.0
01/07/2011,16:00,4.77,4.81,4.76,4.79,536600.0
01/10/2011,16:00,4.79,4.81,4.76,4.80,504400.0
01/11/2011,16:00,4.80,4.85,4.79,4.84,815000.0
01/12/2011,16:00,4.85,4.87,4.81,4.84,587400.0
01/13/2011,16:00,4.85,4.87,4.81,4.82,652100.0
01/14/2011,16:00,4.80,4.84,4.80,4.83,711500.0
01/18/2011,16:00,4.83,4.85,4.80,4.80,449800.0
01/19/2011,16:00,4.80,4.82,4.70,4.72,1030900.0
01/20/2011,16:00,4.71,4.73,4.68,4.72,562300.0
01/21/2011,16:00,4.71,4.74,4.70,4.70,669900.0
01/24/2011,16:00,4.71,4.79,4.70,4.78,442400.0
01/25/2011,16:00,4.78,4.81,4.76,4.80,454000.0
01/26/2011,16:00,4.82,4.87,4.80,4.85,711100.0
01/27/2011,16:00,4.86,4.89,4.86,4.88,619400.0
01/28/2011,16:00,4.88,4.89,4.83,4.84,671700.0
01/31/2011,16:00,4.85,4.86,4.83,4.85,807100.0
02/01/2011,16:00,4.86,4.89,4.84,4.87,1225100.0
02/02/2011,16:00,4.87,4.89,4.83,4.87,1039400.0
02/03/2011,16:00,4.75,4.79,4.70,4.74,2957100.0
02/04/2011,16:00,4.74,4.79,4.71,4.73,1162700.0
02/07/2011,16:00,4.73,4.77,4.73,4.74,958400.0
02/08/2011,16:00,4.73,4.74,4.70,4.71,1329100.0
02/09/2011,16:00,4.72,4.74,4.71,4.72,1374000.0
02/10/2011,16:00,4.56,4.62,4.53,4.59,28466000.0
02/11/2011,16:00,4.59,4.60,4.57,4.59,2826200.0
02/14/2011,16:00,4.61,4.61,4.58,4.59,2084300.0
02/15/2011,16:00,4.59,4.59,4.54,4.55,2492600.0
02/16/2011,16:00,4.57,4.58,4.55,4.55,1413600.0
02/17/2011,16:00,4.55,4.57,4.54,4.56,1511600.0
02/18/2011,16:00,4.57,4.58,4.54,4.56,2296800.0
02/22/2011,16:00,4.56,4.57,4.54,4.56,2486900.0
02/23/2011,16:00,4.55,4.56,4.50,4.51,2040400.0
02/24/2011,16:00,4.53,4.58,4.51,4.57,1387000.0
