Date,Time,Open,High,Low,Close,Vol
10/15/1993,16:00,6.5,8.0,6.5,7.33,9098400.0
10/18/1993,16:00,7.33,7.66,7.25,7.58,951900.0
10/19/1993,16:00,7.41,7.66,7.16,7.16,1142100.0
10/20/1993,16:00,7.16,7.41,7.0,7.0,610200.0
10/21/1993,16:00,7.0,7.87,7.0,7.75,996900.0
10/22/1993,16:00,7.75,8.16,7.66,7.83,745500.0
10/25/1993,16:00,7.83,8.25,7.83,8.12,278400.0
10/26/1993,16:00,8.0,8.25,8.0,8.0,239700.0
10/27/1993,16:00,8.16,8.16,7.83,7.83,224100.0
10/28/1993,16:00,8.08,8.08,7.66,7.91,253500.0
10/29/1993,16:00,7.75,8.0,7.75,7.75,55500.0
11/01/1993,16:00,7.95,8.0,7.75,7.75,222900.0
11/02/1993,16:00,8.0,8.0,7.75,7.79,144600.0
11/03/1993,16:00,7.66,8.0,7.66,8.0,511200.0
11/04/1993,16:00,7.91,7.91,7.58,7.58,158700.0
11/05/1993,16:00,7.83,7.83,7.58,7.58,184800.0
11/08/1993,16:00,7.58,7.83,7.5,7.5,298500.0
11/09/1993,16:00,7.66,7.66,7.5,7.58,158700.0
11/10/1993,16:00,7.5,7.66,7.5,7.5,291900.0
11/11/1993,16:00,7.5,7.66,7.5,7.66,573300.0
11/12/1993,16:00,7.66,7.66,7.5,7.5,84300.0
11/15/1993,16:00,7.5,7.66,7.33,7.58,168600.0
11/16/1993,16:00,7.66,7.66,7.33,7.37,96900.0
11/17/1993,16:00,7.33,7.66,7.33,7.33,135300.0
11/18/1993,16:00,7.58,7.58,6.08,6.66,549300.0
11/19/1993,16:00,6.66,7.0,6.66,6.83,120300.0
11/22/1993,16:00,7.0,7.0,6.33,6.58,140100.0
11/23/1993,16:00,6.58,6.83,6.41,6.66,281100.0
11/24/1993,16:00,6.41,6.66,6.41,6.41,82200.0
11/26/1993,16:00,6.41,6.66,6.41,6.41,111600.0
11/29/1993,16:00,6.41,6.5,6.25,6.37,124200.0
11/30/1993,16:00,6.25,6.5,6.25,6.5,224400.0
12/01/1993,16:00,6.58,6.83,6.25,6.83,157800.0
12/02/1993,16:00,7.0,7.41,6.91,7.41,199500.0
12/03/1993,16:00,7.41,7.41,7.08,7.08,35100.0
12/06/1993,16:00,7.41,7.41,7.0,7.0,63000.0
12/07/1993,16:00,6.91,7.0,6.58,6.58,28200.0
12/08/1993,16:00,6.58,7.0,6.58,6.58,101700.0
12/09/1993,16:00,6.58,7.0,6.58,6.58,19500.0
12/10/1993,16:00,6.66,6.66,6.58,6.58,10500.0
12/13/1993,16:00,6.58,6.91,6.25,6.54,180900.0
12/14/1993,16:00,6.25,6.41,6.25,6.29,77400.0
12/15/1993,16:00,6.25,6.41,5.83,5.91,170700.0
12/16/1993,16:00,6.16,6.16,5.5,5.58,252300.0
12/17/1993,16:00,5.58,6.0,5.58,6.0,234900.0
12/20/1993,16:00,6.0,6.0,5.66,5.66,224400.0
12/21/1993,16:00,6.0,6.08,5.66,6.08,94200.0
12/22/1993,16:00,6.08,6.08,5.75,6.04,34800.0
12/23/1993,16:00,6.08,6.08,5.75,5.75,153000.0
12/27/1993,16:00,5.75,6.08,5.75,5.75,18600.0
12/28/1993,16:00,5.75,6.08,5.75,6.08,73200.0
12/29/1993,16:00,5.75,6.08,5.75,5.91,98400.0
12/30/1993,16:00,5.75,5.87,5.75,5.75,22200.0
12/31/1993,16:00,5.75,6.25,5.75,6.0,96000.0
01/03/1994,16:00,6.25,6.25,5.83,5.83,91200.0
01/04/1994,16:00,6.33,6.33,6.0,6.16,6900.0
01/05/1994,16:00,6.33,6.33,6.08,6.08,11100.0
01/06/1994,16:00,6.33,6.33,6.08,6.33,153900.0
01/07/1994,16:00,6.16,6.33,6.0,6.33,108300.0
01/10/1994,16:00,6.33,6.33,6.08,6.25,136200.0
01/11/1994,16:00,6.33,6.33,6.08,6.33,102000.0
01/12/1994,16:00,6.33,6.33,6.0,6.0,18300.0
01/13/1994,16:00,6.16,6.16,5.66,6.0,209400.0
01/14/1994,16:00,5.66,6.0,5.66,5.66,20100.0
01/17/1994,16:00,6.0,6.0,5.33,5.33,191400.0
01/18/1994,16:00,5.25,5.58,4.91,5.0,234000.0
01/19/1994,16:00,5.83,5.83,5.33,5.66,124800.0
01/20/1994,16:00,5.66,5.75,5.5,5.75,125100.0
01/21/1994,16:00,5.75,5.75,5.41,5.41,187800.0
01/24/1994,16:00,5.41,5.75,5.33,5.33,88200.0
01/25/1994,16:00,5.75,5.75,5.33,5.66,118200.0
01/26/1994,16:00,5.75,5.75,5.33,5.75,24000.0
01/27/1994,16:00,5.33,5.75,5.33,5.75,6300.0
01/28/1994,16:00,5.66,5.75,5.33,5.33,122400.0
01/31/1994,16:00,5.75,5.75,5.33,5.58,34500.0
02/01/1994,16:00,5.66,5.66,5.0,5.5,241200.0
02/02/1994,16:00,5.5,5.5,5.25,5.5,20100.0
02/03/1994,16:00,5.25,5.41,4.83,4.87,543900.0
02/04/1994,16:00,5.25,5.25,4.75,5.08,1344300.0
02/07/1994,16:00,5.08,5.16,4.66,4.91,147900.0
02/08/1994,16:00,5.16,5.16,5.08,5.16,33600.0
02/09/1994,16:00,5.16,5.33,4.91,5.33,656700.0
02/10/1994,16:00,5.08,5.58,5.08,5.41,252900.0
02/11/1994,16:00,5.58,5.75,5.41,5.41,268500.0
02/14/1994,16:00,5.75,5.75,5.41,5.75,130500.0
02/15/1994,16:00,5.75,5.75,5.33,5.62,520800.0
02/16/1994,16:00,5.33,5.75,5.33,5.41,477600.0
02/17/1994,16:00,5.75,5.75,5.41,5.5,182700.0
02/18/1994,16:00,5.58,5.91,5.58,5.91,79200.0
02/22/1994,16:00,5.91,5.91,5.41,5.75,141000.0
02/23/1994,16:00,5.75,5.75,5.54,5.75,21300.0
02/24/1994,16:00,5.83,5.83,5.33,5.41,319800.0
02/25/1994,16:00,5.33,5.66,5.33,5.66,144900.0
02/28/1994,16:00,5.25,5.58,5.16,5.5,164700.0
03/01/1994,16:00,5.5,5.66,5.41,5.66,77700.0
03/02/1994,16:00,5.41,5.83,5.41,5.66,110100.0
03/03/1994,16:00,5.83,6.0,5.58,5.91,95100.0
03/04/1994,16:00,5.75,6.0,5.75,6.0,50700.0
03/07/1994,16:00,6.0,6.33,5.75,6.08,136800.0
03/08/1994,16:00,6.33,6.33,6.08,6.25,153900.0
03/09/1994,16:00,6.33,6.33,5.91,6.25,198600.0
03/10/1994,16:00,6.25,6.5,6.08,6.33,238800.0
03/11/1994,16:00,6.5,6.5,6.08,6.16,103800.0
03/14/1994,16:00,6.16,6.41,6.0,6.33,163800.0
03/15/1994,16:00,6.33,6.33,6.0,6.33,36000.0
03/16/1994,16:00,6.33,6.33,6.0,6.16,20100.0
03/17/1994,16:00,6.33,6.33,6.0,6.33,60900.0
03/18/1994,16:00,6.33,6.41,6.0,6.16,81900.0
03/21/1994,16:00,6.33,6.5,6.16,6.5,30300.0
03/22/1994,16:00,6.16,6.5,6.16,6.25,187200.0
03/23/1994,16:00,6.16,6.5,6.16,6.5,94800.0
03/24/1994,16:00,6.16,6.5,6.16,6.5,17400.0
03/25/1994,16:00,6.16,6.5,6.16,6.16,249300.0
03/28/1994,16:00,6.16,6.41,6.16,6.41,102000.0
03/29/1994,16:00,6.08,6.41,6.08,6.08,294000.0
03/30/1994,16:00,6.16,6.25,5.58,5.79,106800.0
03/31/1994,16:00,6.0,6.0,5.5,5.5,35100.0
04/04/1994,16:00,5.83,5.91,5.5,5.66,108300.0
04/05/1994,16:00,5.91,5.91,5.5,5.91,12600.0
04/06/1994,16:00,5.91,5.91,5.66,5.66,5400.0
04/07/1994,16:00,5.91,5.91,5.58,5.58,27300.0
04/08/1994,16:00,5.91,5.91,5.5,5.5,16800.0
04/11/1994,16:00,5.5,5.91,5.5,5.58,153000.0
04/12/1994,16:00,5.75,5.91,5.58,5.83,20400.0
04/13/1994,16:00,5.83,5.83,5.58,5.83,323400.0
04/14/1994,16:00,5.83,6.0,5.5,5.83,36600.0
04/15/1994,16:00,5.62,6.0,5.58,5.58,59700.0
04/18/1994,16:00,6.0,6.0,5.58,5.58,55500.0
04/19/1994,16:00,6.0,6.0,5.5,5.75,8100.0
04/20/1994,16:00,5.58,5.95,5.58,5.79,62700.0
04/21/1994,16:00,5.58,6.0,5.58,5.66,35700.0
04/22/1994,16:00,5.66,5.83,5.66,5.66,9600.0
04/25/1994,16:00,5.87,5.87,5.66,5.66,46800.0
04/26/1994,16:00,5.70,5.83,5.16,5.16,173400.0
04/28/1994,16:00,5.58,5.58,5.16,5.45,155100.0
04/29/1994,16:00,5.5,5.5,5.16,5.16,141000.0
05/02/1994,16:00,5.41,5.41,5.08,5.25,115200.0
05/03/1994,16:00,5.0,5.25,4.58,5.08,450600.0
05/04/1994,16:00,5.08,5.08,4.91,5.08,407700.0
05/05/1994,16:00,5.0,5.5,5.0,5.16,981300.0
05/06/1994,16:00,5.16,5.5,5.08,5.21,716700.0
05/09/1994,16:00,5.08,5.41,4.75,5.08,106200.0
05/10/1994,16:00,5.08,5.08,4.83,5.08,242700.0
05/11/1994,16:00,5.0,5.16,4.91,4.91,222600.0
05/12/1994,16:00,5.25,5.25,5.0,5.25,193500.0
05/13/1994,16:00,5.25,5.25,4.91,4.91,46200.0
05/16/1994,16:00,5.16,5.25,4.91,4.91,24300.0
05/17/1994,16:00,5.25,5.25,4.83,4.96,146100.0
05/18/1994,16:00,5.16,5.16,4.83,4.91,195000.0
05/19/1994,16:00,5.0,5.16,4.83,5.16,24300.0
05/20/1994,16:00,5.16,5.16,4.83,5.16,214500.0
05/23/1994,16:00,5.16,5.16,4.83,4.83,61200.0
05/24/1994,16:00,4.83,5.16,4.83,5.16,42300.0
05/25/1994,16:00,5.16,5.16,4.83,4.91,440400.0
05/26/1994,16:00,5.16,5.16,4.83,5.16,14700.0
05/27/1994,16:00,5.16,5.16,4.83,5.0,67200.0
05/31/1994,16:00,5.16,5.16,4.83,5.0,184500.0
06/01/1994,16:00,5.16,5.16,4.91,4.97,267900.0
06/02/1994,16:00,4.91,5.16,4.83,5.0,181200.0
06/03/1994,16:00,4.83,5.16,4.83,5.0,6900.0
06/06/1994,16:00,5.0,5.16,4.83,5.04,457200.0
06/07/1994,16:00,5.16,5.16,4.91,4.96,144000.0
06/08/1994,16:00,5.16,5.16,4.91,4.91,58500.0
06/09/1994,16:00,5.16,5.16,4.83,4.83,74700.0
06/10/1994,16:00,4.83,5.0,4.41,4.41,139200.0
06/13/1994,16:00,4.83,4.83,4.33,4.5,85200.0
06/14/1994,16:00,4.75,4.75,4.33,4.66,15300.0
06/15/1994,16:00,4.75,4.75,4.33,4.75,81900.0
06/16/1994,16:00,4.75,4.75,4.33,4.41,100200.0
06/17/1994,16:00,4.41,4.75,4.41,4.75,3600.0
06/20/1994,16:00,4.33,4.75,3.91,4.0,156300.0
06/21/1994,16:00,4.16,4.16,3.83,4.08,145200.0
06/22/1994,16:00,3.83,4.16,3.83,3.83,59400.0
