Date,Time,Open,High,Low,Close,Vol
07/19/2012,16:00,10.0,10.0,8.99,9.04,1848400.0
07/20/2012,16:00,8.88,9.5,8.75,9.5,91700.0
07/23/2012,16:00,9.44,9.48,9.1,9.48,36200.0
07/24/2012,16:00,9.45,9.45,9.12,9.12,13300.0
07/25/2012,16:00,9.4,9.4,9.0,9.38,16200.0
07/26/2012,16:00,9.89,9.89,8.02,8.7,72100.0
07/27/2012,16:00,8.71,8.94,8.40,8.5,22000.0
07/30/2012,16:00,8.8,9.14,8.37,8.77,36000.0
07/31/2012,16:00,8.75,8.91,8.31,8.51,22400.0
08/01/2012,16:00,8.5,9.0,8.5,8.73,4300.0
08/02/2012,16:00,8.5,8.5,8.25,8.39,18600.0
08/03/2012,16:00,8.4,8.70,8.35,8.47,14200.0
08/06/2012,16:00,8.25,8.6,8.07,8.15,9900.0
08/07/2012,16:00,8.08,8.23,7.33,7.7,32400.0
08/08/2012,16:00,7.45,7.69,7.25,7.47,16900.0
08/09/2012,16:00,7.26,7.26,6.68,6.93,59500.0
08/10/2012,16:00,6.95,7.35,6.95,7.35,13800.0
08/13/2012,16:00,7.6,8.33,7.6,7.86,45900.0
08/14/2012,16:00,8.32,9.09,8.25,8.44,50900.0
08/15/2012,16:00,8.91,9.0,8.71,8.76,20100.0
08/16/2012,16:00,8.79,9.25,8.71,9.05,26000.0
08/17/2012,16:00,9.03,9.23,8.5,8.5,36100.0
08/20/2012,16:00,8.5,8.55,7.97,8.15,15100.0
08/21/2012,16:00,8.16,8.5,8.05,8.05,11200.0
08/22/2012,16:00,8.04,8.57,8.01,8.43,7800.0
08/23/2012,16:00,8.32,8.66,8.27,8.53,9000.0
08/24/2012,16:00,8.3,8.53,8.07,8.1,9400.0
08/27/2012,16:00,8.11,8.80,8.1,8.12,12700.0
08/28/2012,16:00,8.55,8.55,8.15,8.18,14800.0
08/29/2012,16:00,8.15,8.50,8.15,8.25,15100.0
08/30/2012,16:00,8.83,8.83,8.15,8.17,2800.0
08/31/2012,16:00,8.55,8.86,8.55,8.57,8400.0
