Date,Time,Open,High,Low,Close,Vol
01/05/1988,16:00,1.95,2.01,1.95,1.99,425600.0
01/06/1988,16:00,1.99,1.99,1.95,1.95,296800.0
01/07/1988,16:00,1.96,1.96,1.92,1.94,527200.0
01/08/1988,16:00,1.95,1.95,1.90,1.90,412000.0
01/11/1988,16:00,1.92,1.92,1.83,1.87,134400.0
01/12/1988,16:00,1.87,1.87,1.78,1.80,260000.0
01/13/1988,16:00,1.83,1.87,1.81,1.85,342400.0
01/14/1988,16:00,1.85,1.89,1.85,1.89,73600.0
01/15/1988,16:00,1.92,1.95,1.91,1.92,223200.0
01/18/1988,16:00,1.94,1.94,1.91,1.91,49600.0
01/19/1988,16:00,1.89,1.91,1.87,1.89,177600.0
01/20/1988,16:00,1.91,1.92,1.83,1.83,152800.0
01/21/1988,16:00,1.83,1.83,1.77,1.77,211200.0
01/22/1988,16:00,1.78,1.79,1.78,1.78,284000.0
01/25/1988,16:00,1.79,1.82,1.78,1.81,303200.0
01/26/1988,16:00,1.81,1.82,1.79,1.79,125600.0
01/27/1988,16:00,1.81,1.83,1.80,1.81,52000.0
01/28/1988,16:00,1.81,1.86,1.81,1.84,195200.0
01/29/1988,16:00,1.85,1.90,1.84,1.88,363200.0
02/01/1988,16:00,1.87,1.89,1.85,1.85,134400.0
02/02/1988,16:00,1.85,1.90,1.83,1.90,144800.0
02/03/1988,16:00,1.89,1.91,1.89,1.89,39200.0
02/04/1988,16:00,1.89,1.90,1.88,1.88,154400.0
02/05/1988,16:00,1.90,1.90,1.87,1.87,131200.0
02/08/1988,16:00,1.86,1.86,1.79,1.81,362400.0
02/09/1988,16:00,1.83,1.87,1.83,1.86,148800.0
02/10/1988,16:00,1.87,1.88,1.85,1.85,38400.0
02/11/1988,16:00,1.85,1.88,1.85,1.88,200800.0
02/12/1988,16:00,1.86,1.89,1.86,1.86,197600.0
02/16/1988,16:00,1.85,1.85,1.78,1.79,1862400.0
02/17/1988,16:00,1.79,1.86,1.79,1.85,557600.0
02/18/1988,16:00,1.85,1.90,1.83,1.87,264000.0
02/19/1988,16:00,1.87,1.90,1.87,1.90,104800.0
02/22/1988,16:00,1.89,1.91,1.88,1.91,294400.0
02/23/1988,16:00,1.93,1.99,1.93,1.95,564800.0
02/24/1988,16:00,1.94,1.95,1.91,1.94,902400.0
02/25/1988,16:00,1.92,1.99,1.92,1.97,955200.0
02/26/1988,16:00,1.97,2.02,1.97,1.99,884000.0
02/29/1988,16:00,1.99,2.04,1.99,2.04,522400.0
03/01/1988,16:00,2.03,2.12,2.03,2.11,274400.0
03/02/1988,16:00,2.09,2.12,2.09,2.09,673600.0
03/03/1988,16:00,2.11,2.15,2.11,2.15,3256000.0
03/04/1988,16:00,2.15,2.15,2.12,2.15,248000.0
03/07/1988,16:00,2.15,2.17,2.13,2.16,233600.0
03/08/1988,16:00,2.18,2.21,2.17,2.19,180000.0
03/09/1988,16:00,2.20,2.21,2.17,2.18,267200.0
03/10/1988,16:00,2.19,2.20,2.15,2.17,546400.0
03/11/1988,16:00,2.17,2.17,2.13,2.14,555200.0
03/14/1988,16:00,2.12,2.16,2.12,2.15,409600.0
03/15/1988,16:00,2.14,2.17,2.13,2.17,981600.0
03/16/1988,16:00,2.16,2.18,2.14,2.15,293600.0
03/17/1988,16:00,2.14,2.15,2.12,2.14,232000.0
03/18/1988,16:00,2.16,2.16,2.14,2.15,151200.0
03/21/1988,16:00,2.14,2.14,2.14,2.14,24800.0
03/22/1988,16:00,2.16,2.17,2.14,2.15,136800.0
