Date,Time,Open,High,Low,Close,Vol
10/25/2013,16:00,11.0,11.64,10.88,11.25,12283800.0
10/28/2013,16:00,11.3,11.83,11.19,11.56,1072300.0
10/29/2013,16:00,11.59,11.7,11.5,11.65,545000.0
10/30/2013,16:00,11.65,11.74,11.4,11.4,630300.0
10/31/2013,16:00,11.4,11.44,10.96,10.98,900000.0
11/01/2013,16:00,11.0,11.32,10.9,10.99,329800.0
11/04/2013,16:00,11.05,11.05,10.9,10.97,198400.0
11/05/2013,16:00,10.9,10.95,10.9,10.92,169200.0
11/06/2013,16:00,10.9,10.97,10.41,10.85,285000.0
11/07/2013,16:00,10.85,11.04,10.85,11.04,338300.0
11/08/2013,16:00,11.0,11.04,11.0,11.02,82200.0
11/11/2013,16:00,11.0,11.08,11.0,11.05,547200.0
11/12/2013,16:00,11.05,11.26,11.05,11.14,137900.0
11/13/2013,16:00,11.14,11.25,11.14,11.2,83200.0
11/14/2013,16:00,11.08,11.37,10.97,11.35,255400.0
11/15/2013,16:00,11.47,11.52,11.35,11.52,129200.0
11/18/2013,16:00,11.52,11.91,11.52,11.86,288000.0
11/19/2013,16:00,12.05,12.41,11.73,12.26,1859500.0
11/20/2013,16:00,12.36,12.37,12.05,12.05,325400.0
11/21/2013,16:00,12.07,12.5,12.01,12.5,353300.0
11/22/2013,16:00,12.4,12.45,12.26,12.41,613400.0
11/25/2013,16:00,12.4,12.92,12.25,12.75,210400.0
11/26/2013,16:00,12.75,13.45,12.73,13.4,412100.0
11/27/2013,16:00,13.4,14.23,13.4,14.16,905500.0
11/29/2013,16:00,14.22,14.4,14.01,14.29,287900.0
12/02/2013,16:00,14.5,14.5,14.04,14.16,636400.0
12/03/2013,16:00,14.4,14.5,13.8,13.95,598600.0
12/04/2013,16:00,13.7,14.05,12.71,13.63,406600.0
12/05/2013,16:00,13.54,14.52,13.46,14.36,648300.0
12/06/2013,16:00,14.3,14.53,14.11,14.43,564000.0
12/09/2013,16:00,14.45,14.85,13.73,13.84,914600.0
12/10/2013,16:00,13.8,13.99,13.04,13.09,305400.0
12/11/2013,16:00,13.07,13.65,12.31,12.75,179200.0
12/12/2013,16:00,12.78,13.54,12.78,12.98,208700.0
12/13/2013,16:00,13.02,13.54,12.79,12.92,328700.0
12/16/2013,16:00,13.03,13.85,13.03,13.81,322800.0
12/17/2013,16:00,13.8,13.98,13.08,13.92,230600.0
12/18/2013,16:00,13.88,14.35,12.99,14.03,345000.0
12/19/2013,16:00,13.95,14.05,13.39,13.6,152600.0
12/20/2013,16:00,13.67,14.27,13.2,14.2,3948600.0
12/23/2013,16:00,14.22,14.3,13.76,14.24,232400.0
12/24/2013,16:00,14.21,14.44,14.08,14.35,92300.0
12/26/2013,16:00,14.37,14.44,14.15,14.38,111300.0
12/27/2013,16:00,14.44,14.6,14.06,14.55,118100.0
12/30/2013,16:00,14.5,14.55,13.9,14.37,616700.0
12/31/2013,16:00,14.44,14.44,14.0,14.18,243400.0
01/02/2014,16:00,14.01,14.2,13.88,13.92,124000.0
01/03/2014,16:00,13.94,14.07,13.8,13.95,198200.0
01/06/2014,16:00,14.05,14.05,13.64,13.96,350600.0
01/07/2014,16:00,14.26,14.26,13.12,13.9,269000.0
01/08/2014,16:00,13.85,13.95,13.42,13.62,170000.0
01/09/2014,16:00,13.92,14.0,13.44,13.65,336600.0
01/10/2014,16:00,13.93,13.93,13.15,13.48,276400.0
01/13/2014,16:00,13.38,13.58,13.1,13.26,160600.0
01/14/2014,16:00,13.28,13.95,13.08,13.7,455000.0
01/15/2014,16:00,13.69,13.98,13.26,13.45,509500.0
01/16/2014,16:00,13.35,13.4,13.04,13.07,207100.0
01/17/2014,16:00,13.11,13.29,12.8,12.94,516300.0
01/21/2014,16:00,13.12,13.15,12.81,12.97,157400.0
01/22/2014,16:00,13.03,13.25,12.74,12.82,425100.0
01/23/2014,16:00,12.82,13.02,11.96,11.99,524800.0
01/24/2014,16:00,11.92,12.18,11.69,11.95,385600.0
01/27/2014,16:00,12.01,12.15,11.30,11.39,632400.0
01/28/2014,16:00,11.42,11.50,11.13,11.3,719700.0
01/29/2014,16:00,11.38,11.57,10.98,11.16,317100.0
01/30/2014,16:00,11.31,11.45,11.02,11.31,320700.0
01/31/2014,16:00,11.09,11.5,11.05,11.48,228200.0
02/03/2014,16:00,11.5,12.4,11.5,12.12,936300.0
02/04/2014,16:00,12.1,12.47,11.64,12.39,325500.0
02/05/2014,16:00,12.39,12.47,12.08,12.22,314700.0
02/06/2014,16:00,12.32,12.34,12.02,12.06,74600.0
02/07/2014,16:00,12.15,12.33,12.04,12.33,169800.0
02/10/2014,16:00,12.3,12.35,12.21,12.3,575100.0
02/11/2014,16:00,12.35,12.54,12.21,12.51,543100.0
02/12/2014,16:00,12.56,12.67,12.29,12.66,129000.0
02/13/2014,16:00,12.62,13.05,12.56,13.01,291100.0
02/14/2014,16:00,13.03,13.15,12.85,13.13,118800.0
02/18/2014,16:00,13.25,13.43,13.12,13.42,89000.0
02/19/2014,16:00,13.45,13.47,13.24,13.35,180900.0
02/20/2014,16:00,13.43,13.87,13.29,13.59,334600.0
02/21/2014,16:00,13.72,13.83,13.41,13.52,266500.0
02/24/2014,16:00,13.62,14.51,13.62,13.95,483500.0
02/25/2014,16:00,14.35,14.35,13.75,13.87,661300.0
02/26/2014,16:00,15.96,16.33,13.97,14.28,3061700.0
02/27/2014,16:00,14.28,15.5,14.28,15.41,984700.0
02/28/2014,16:00,15.54,16.01,14.9,15.09,757600.0
03/03/2014,16:00,15.01,15.32,14.46,15.1,285300.0
03/04/2014,16:00,15.34,15.74,15.11,15.63,314600.0
03/05/2014,16:00,15.54,15.92,14.55,15.85,300600.0
