Date,Time,Open,High,Low,Close,Vol
02/28/2003,16:00,11.43,11.92,11.43,11.43,4446700.0
03/03/2003,16:00,11.43,11.43,11.15,11.31,1168900.0
03/04/2003,16:00,11.30,11.30,11.18,11.27,150500.0
03/05/2003,16:00,11.23,11.38,11.23,11.35,82400.0
03/06/2003,16:00,11.33,11.33,11.25,11.25,83200.0
03/07/2003,16:00,11.21,11.55,11.13,11.49,133100.0
03/10/2003,16:00,11.44,11.48,11.38,11.40,72800.0
03/11/2003,16:00,11.41,11.45,11.35,11.43,79800.0
03/12/2003,16:00,11.43,11.43,11.28,11.41,133800.0
03/13/2003,16:00,11.43,11.45,11.42,11.45,139200.0
03/14/2003,16:00,11.43,11.53,11.43,11.48,81700.0
03/17/2003,16:00,11.53,11.53,11.43,11.47,43000.0
03/18/2003,16:00,11.45,11.80,11.44,11.56,152800.0
03/19/2003,16:00,11.58,11.75,11.55,11.75,67200.0
03/20/2003,16:00,11.75,12.26,11.68,12.23,257400.0
03/21/2003,16:00,12.30,12.55,12.26,12.32,215300.0
03/24/2003,16:00,12.27,12.27,12.05,12.12,31500.0
03/25/2003,16:00,12.07,12.08,12.02,12.05,49500.0
03/26/2003,16:00,12.05,12.13,12.05,12.13,42300.0
03/27/2003,16:00,12.13,12.62,12.12,12.57,121100.0
03/28/2003,16:00,12.55,12.55,12.31,12.39,81200.0
03/31/2003,16:00,12.32,12.32,11.87,12.02,56800.0
04/01/2003,16:00,11.95,12.00,11.90,11.92,84500.0
04/02/2003,16:00,11.92,12.42,11.92,12.10,43300.0
04/03/2003,16:00,12.07,12.08,11.90,12.02,76800.0
04/04/2003,16:00,12.02,12.05,11.92,11.97,14500.0
04/07/2003,16:00,12.05,12.14,11.92,11.92,63500.0
04/08/2003,16:00,11.92,12.05,11.92,11.97,32000.0
04/09/2003,16:00,12.00,12.30,12.00,12.12,103400.0
04/10/2003,16:00,12.07,12.22,12.03,12.17,35800.0
04/11/2003,16:00,12.17,12.17,12.05,12.15,55100.0
04/14/2003,16:00,12.15,12.17,12.15,12.15,13700.0
04/15/2003,16:00,12.15,12.15,11.95,11.99,22400.0
04/16/2003,16:00,11.99,12.05,11.99,12.02,31400.0
04/17/2003,16:00,12.02,12.17,12.02,12.17,68400.0
04/21/2003,16:00,12.17,12.42,12.10,12.42,194500.0
04/22/2003,16:00,12.50,13.85,12.50,13.27,544200.0
04/23/2003,16:00,13.24,13.42,13.17,13.20,108600.0
04/24/2003,16:00,13.19,13.19,12.92,12.99,165400.0
04/25/2003,16:00,13.04,13.56,13.04,13.54,285000.0
04/28/2003,16:00,13.54,13.61,13.47,13.61,92300.0
04/29/2003,16:00,13.54,13.64,13.51,13.54,51400.0
04/30/2003,16:00,13.54,13.76,13.54,13.66,37700.0
05/01/2003,16:00,13.74,14.41,13.74,14.10,60400.0
05/02/2003,16:00,14.10,14.16,13.77,13.81,31600.0
05/05/2003,16:00,14.04,14.26,13.79,13.91,141700.0
05/06/2003,16:00,13.94,13.94,13.61,13.66,96400.0
05/07/2003,16:00,13.68,13.68,13.37,13.49,37000.0
05/08/2003,16:00,13.46,13.66,13.46,13.53,62100.0
05/09/2003,16:00,13.51,14.01,13.51,13.98,89100.0
05/12/2003,16:00,14.01,14.15,13.81,14.10,94800.0
05/13/2003,16:00,14.31,14.56,14.16,14.36,60400.0
05/14/2003,16:00,14.31,14.45,14.21,14.21,64100.0
05/15/2003,16:00,14.31,14.31,14.11,14.11,4200.0
05/16/2003,16:00,14.16,14.48,14.16,14.36,33500.0
05/19/2003,16:00,14.38,14.46,14.38,14.43,30100.0
05/20/2003,16:00,14.53,14.75,14.51,14.68,20300.0
05/21/2003,16:00,14.93,15.73,14.93,15.23,85400.0
05/22/2003,16:00,15.03,15.33,15.03,15.15,28500.0
05/23/2003,16:00,15.20,15.25,14.69,14.89,26200.0
05/27/2003,16:00,14.86,14.91,14.76,14.84,79400.0
