Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,0.98,1.01,0.95,0.97,371100.0
03/27/1990,16:00,0.94,0.95,0.83,0.87,297200.0
03/28/1990,16:00,0.86,0.89,0.85,0.86,84600.0
03/29/1990,16:00,0.86,0.88,0.83,0.84,96300.0
03/30/1990,16:00,0.85,0.86,0.83,0.84,67900.0
04/02/1990,16:00,0.83,0.86,0.81,0.84,101700.0
04/03/1990,16:00,0.85,0.85,0.82,0.85,63200.0
04/04/1990,16:00,0.85,0.94,0.83,0.90,297800.0
04/05/1990,16:00,0.91,0.91,0.86,0.86,94800.0
04/06/1990,16:00,0.86,0.88,0.81,0.82,210500.0
04/09/1990,16:00,0.82,0.83,0.77,0.78,148500.0
04/10/1990,16:00,0.77,0.82,0.77,0.80,167700.0
04/11/1990,16:00,0.79,0.81,0.77,0.80,174300.0
04/12/1990,16:00,0.77,0.81,0.77,0.79,174500.0
04/16/1990,16:00,0.80,0.81,0.79,0.79,68800.0
04/17/1990,16:00,0.79,0.81,0.77,0.81,43400.0
04/18/1990,16:00,0.81,0.82,0.80,0.81,25300.0
04/19/1990,16:00,0.80,0.81,0.79,0.81,24200.0
04/20/1990,16:00,0.81,0.86,0.81,0.81,136400.0
04/23/1990,16:00,0.81,0.82,0.77,0.77,33100.0
04/24/1990,16:00,0.80,0.80,0.77,0.77,24000.0
04/25/1990,16:00,0.76,0.78,0.76,0.78,14400.0
04/26/1990,16:00,0.79,0.80,0.77,0.79,39700.0
04/27/1990,16:00,0.80,0.80,0.77,0.77,15100.0
04/30/1990,16:00,0.77,0.78,0.76,0.76,66200.0
05/01/1990,16:00,0.76,0.78,0.76,0.76,3500.0
05/02/1990,16:00,0.76,0.77,0.74,0.74,104400.0
05/03/1990,16:00,0.75,0.76,0.71,0.72,154100.0
05/04/1990,16:00,0.72,0.73,0.67,0.68,119800.0
05/07/1990,16:00,0.67,0.75,0.67,0.72,140800.0
05/08/1990,16:00,0.73,0.74,0.72,0.73,19300.0
05/09/1990,16:00,0.71,0.72,0.71,0.72,14700.0
05/10/1990,16:00,0.72,0.72,0.70,0.71,19400.0
05/11/1990,16:00,0.71,0.80,0.71,0.80,89200.0
05/14/1990,16:00,0.78,0.81,0.78,0.81,104800.0
05/15/1990,16:00,0.80,0.81,0.78,0.79,68100.0
05/16/1990,16:00,0.78,0.80,0.78,0.80,34300.0
05/17/1990,16:00,0.80,0.81,0.78,0.80,57800.0
05/18/1990,16:00,0.79,0.79,0.76,0.76,48500.0
05/21/1990,16:00,0.76,0.78,0.74,0.75,38800.0
05/22/1990,16:00,0.76,0.76,0.74,0.75,34000.0
05/23/1990,16:00,0.75,0.79,0.74,0.79,98300.0
05/24/1990,16:00,0.78,0.79,0.77,0.77,44300.0
05/25/1990,16:00,0.76,0.78,0.76,0.77,35000.0
05/29/1990,16:00,0.79,0.81,0.79,0.81,109800.0
05/30/1990,16:00,0.80,0.81,0.78,0.78,31000.0
05/31/1990,16:00,0.78,0.78,0.77,0.77,29100.0
06/01/1990,16:00,0.77,0.78,0.74,0.76,18900.0
06/04/1990,16:00,0.77,0.77,0.74,0.76,26300.0
06/05/1990,16:00,0.76,0.77,0.74,0.74,37800.0
06/06/1990,16:00,0.72,0.74,0.72,0.72,4900.0
06/07/1990,16:00,0.74,0.77,0.70,0.77,111600.0
06/08/1990,16:00,0.75,0.77,0.75,0.75,20700.0
06/11/1990,16:00,0.75,0.81,0.75,0.81,60200.0
06/12/1990,16:00,0.81,0.82,0.79,0.81,137600.0
06/13/1990,16:00,0.81,0.81,0.79,0.81,28600.0
06/14/1990,16:00,0.79,0.81,0.79,0.80,36000.0
06/15/1990,16:00,0.79,0.81,0.79,0.81,32700.0
06/18/1990,16:00,0.80,0.81,0.78,0.80,48700.0
06/19/1990,16:00,0.78,0.81,0.78,0.80,43600.0
06/20/1990,16:00,0.80,0.81,0.79,0.81,21800.0
06/21/1990,16:00,0.81,0.81,0.78,0.81,15700.0
06/22/1990,16:00,0.79,0.81,0.79,0.79,39900.0
06/25/1990,16:00,0.79,0.80,0.78,0.78,21600.0
06/26/1990,16:00,0.78,0.78,0.76,0.76,26600.0
06/27/1990,16:00,0.76,0.82,0.76,0.81,117300.0
06/28/1990,16:00,0.81,0.88,0.81,0.86,168300.0
06/29/1990,16:00,0.87,0.87,0.83,0.86,62900.0
07/02/1990,16:00,0.77,0.81,0.75,0.77,106700.0
07/03/1990,16:00,0.76,0.77,0.73,0.75,44300.0
07/05/1990,16:00,0.75,0.75,0.73,0.75,21500.0
07/06/1990,16:00,0.74,0.77,0.74,0.76,42000.0
07/09/1990,16:00,0.78,0.80,0.77,0.80,52200.0
07/10/1990,16:00,0.80,0.83,0.79,0.82,66500.0
07/11/1990,16:00,0.81,0.82,0.80,0.81,18600.0
07/12/1990,16:00,0.80,0.81,0.80,0.80,11900.0
07/13/1990,16:00,0.81,0.81,0.78,0.79,53900.0
07/16/1990,16:00,0.78,0.79,0.78,0.78,9200.0
07/17/1990,16:00,0.78,0.79,0.77,0.77,19400.0
07/18/1990,16:00,0.77,0.78,0.76,0.77,11500.0
07/19/1990,16:00,0.76,0.81,0.75,0.81,37600.0
07/20/1990,16:00,0.81,0.81,0.78,0.78,27000.0
07/23/1990,16:00,0.77,0.77,0.73,0.74,36600.0
07/24/1990,16:00,0.74,0.75,0.69,0.71,46500.0
07/25/1990,16:00,0.72,0.73,0.71,0.73,16600.0
07/26/1990,16:00,0.74,0.74,0.72,0.74,4900.0
07/27/1990,16:00,0.71,0.74,0.71,0.71,10900.0
07/30/1990,16:00,0.71,0.73,0.70,0.72,12300.0
07/31/1990,16:00,0.73,0.73,0.70,0.71,75900.0
08/01/1990,16:00,0.71,0.73,0.71,0.73,20500.0
08/02/1990,16:00,0.70,0.71,0.69,0.71,48700.0
08/03/1990,16:00,0.71,0.71,0.68,0.70,64600.0
08/06/1990,16:00,0.68,0.68,0.61,0.64,66300.0
08/07/1990,16:00,0.63,0.65,0.62,0.64,69800.0
08/08/1990,16:00,0.64,0.64,0.62,0.64,6100.0
08/09/1990,16:00,0.64,0.67,0.63,0.66,31500.0
08/10/1990,16:00,0.67,0.67,0.61,0.64,33700.0
08/13/1990,16:00,0.63,0.63,0.61,0.63,19100.0
08/14/1990,16:00,0.62,0.63,0.59,0.60,45200.0
08/15/1990,16:00,0.61,0.64,0.61,0.64,71300.0
08/16/1990,16:00,0.63,0.64,0.62,0.63,36800.0
08/17/1990,16:00,0.64,0.64,0.52,0.57,127000.0
08/20/1990,16:00,0.57,0.57,0.50,0.52,74100.0
08/21/1990,16:00,0.47,0.49,0.41,0.43,184200.0
08/22/1990,16:00,0.46,0.46,0.37,0.40,179400.0
08/23/1990,16:00,0.37,0.38,0.29,0.29,151500.0
08/24/1990,16:00,0.31,0.41,0.30,0.41,173500.0
08/27/1990,16:00,0.45,0.51,0.45,0.48,213700.0
08/28/1990,16:00,0.46,0.48,0.45,0.48,81200.0
08/29/1990,16:00,0.50,0.50,0.48,0.50,53200.0
08/30/1990,16:00,0.49,0.49,0.46,0.46,25500.0
08/31/1990,16:00,0.48,0.48,0.46,0.47,29300.0
09/04/1990,16:00,0.45,0.47,0.45,0.46,89000.0
09/05/1990,16:00,0.47,0.47,0.45,0.46,112600.0
09/06/1990,16:00,0.45,0.46,0.45,0.46,21100.0
09/07/1990,16:00,0.46,0.49,0.46,0.48,22700.0
09/10/1990,16:00,0.50,0.50,0.48,0.48,16900.0
09/11/1990,16:00,0.47,0.49,0.46,0.46,101100.0
09/12/1990,16:00,0.47,0.47,0.44,0.44,40600.0
09/13/1990,16:00,0.44,0.44,0.36,0.38,75300.0
09/14/1990,16:00,0.38,0.41,0.35,0.40,39600.0
09/17/1990,16:00,0.39,0.40,0.38,0.39,11900.0
09/18/1990,16:00,0.40,0.40,0.38,0.39,31700.0
09/19/1990,16:00,0.38,0.40,0.38,0.38,33500.0
09/20/1990,16:00,0.38,0.39,0.37,0.38,37200.0
09/21/1990,16:00,0.38,0.38,0.31,0.35,141600.0
09/24/1990,16:00,0.33,0.35,0.31,0.33,105000.0
09/25/1990,16:00,0.32,0.33,0.31,0.32,94400.0
09/26/1990,16:00,0.33,0.33,0.31,0.31,64700.0
09/27/1990,16:00,0.32,0.32,0.30,0.32,166300.0
09/28/1990,16:00,0.30,0.32,0.29,0.32,116900.0
10/01/1990,16:00,0.32,0.35,0.32,0.33,87400.0
10/02/1990,16:00,0.34,0.35,0.33,0.35,78800.0
10/03/1990,16:00,0.35,0.36,0.32,0.36,57500.0
10/04/1990,16:00,0.36,0.41,0.34,0.40,65800.0
10/05/1990,16:00,0.38,0.40,0.37,0.39,35200.0
10/08/1990,16:00,0.39,0.42,0.39,0.41,46000.0
10/09/1990,16:00,0.41,0.41,0.38,0.38,51700.0
10/10/1990,16:00,0.39,0.40,0.37,0.39,27700.0
10/11/1990,16:00,0.39,0.40,0.37,0.38,27900.0
10/12/1990,16:00,0.39,0.40,0.38,0.39,64600.0
10/15/1990,16:00,0.38,0.40,0.38,0.40,11800.0
