Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,2.56,2.56,2.46,2.51,13200.0
03/27/1990,16:00,2.46,2.56,2.08,2.37,76000.0
03/28/1990,16:00,2.46,2.46,2.32,2.42,114800.0
03/29/1990,16:00,2.46,2.65,2.37,2.46,39400.0
03/30/1990,16:00,2.46,2.75,2.46,2.75,34800.0
04/02/1990,16:00,2.65,2.75,2.56,2.61,36600.0
04/03/1990,16:00,2.61,2.75,2.61,2.70,9200.0
04/04/1990,16:00,2.70,2.70,2.61,2.61,12800.0
04/05/1990,16:00,2.61,2.70,2.61,2.70,4800.0
04/06/1990,16:00,2.70,2.70,2.61,2.61,11200.0
04/09/1990,16:00,2.70,2.70,2.56,2.61,70600.0
04/10/1990,16:00,2.65,2.65,2.56,2.61,22000.0
04/11/1990,16:00,2.56,2.61,2.56,2.56,16800.0
04/12/1990,16:00,2.61,2.61,2.46,2.56,63200.0
04/16/1990,16:00,2.61,2.61,2.51,2.51,12200.0
04/17/1990,16:00,2.56,2.61,2.51,2.61,6200.0
04/18/1990,16:00,2.51,2.61,2.46,2.46,111200.0
04/19/1990,16:00,2.51,2.51,2.46,2.46,75400.0
04/20/1990,16:00,2.51,2.61,2.46,2.56,76600.0
04/23/1990,16:00,2.51,2.61,2.51,2.51,52400.0
04/24/1990,16:00,2.61,2.61,2.46,2.51,45600.0
04/25/1990,16:00,2.46,2.56,2.46,2.46,14800.0
04/26/1990,16:00,2.46,2.51,2.46,2.51,11200.0
04/27/1990,16:00,2.46,2.51,2.46,2.51,24000.0
04/30/1990,16:00,2.46,2.46,2.46,2.46,3400.0
05/01/1990,16:00,2.51,2.56,2.46,2.51,36600.0
05/02/1990,16:00,2.56,2.56,2.51,2.51,18800.0
05/03/1990,16:00,2.56,2.56,2.56,2.56,13600.0
05/04/1990,16:00,2.51,2.56,2.51,2.51,22200.0
05/07/1990,16:00,2.61,2.65,2.51,2.56,83400.0
05/08/1990,16:00,2.56,2.61,2.56,2.56,58400.0
05/09/1990,16:00,2.61,2.61,2.56,2.61,20400.0
05/10/1990,16:00,2.61,2.65,2.56,2.65,23400.0
05/11/1990,16:00,2.65,2.65,2.56,2.56,11000.0
05/14/1990,16:00,2.56,2.65,2.56,2.61,16400.0
05/15/1990,16:00,2.61,2.65,2.61,2.65,53800.0
05/16/1990,16:00,2.65,3.13,2.56,3.03,250800.0
05/17/1990,16:00,3.08,3.08,2.98,3.08,11200.0
05/18/1990,16:00,2.98,3.41,2.94,3.32,219200.0
05/21/1990,16:00,3.41,3.41,3.22,3.22,100600.0
05/22/1990,16:00,3.22,3.32,3.03,3.22,78600.0
05/23/1990,16:00,3.03,3.03,3.03,3.03,16400.0
05/24/1990,16:00,3.03,3.13,3.03,3.13,103800.0
05/25/1990,16:00,3.03,3.13,2.94,3.13,82200.0
05/29/1990,16:00,3.03,3.22,3.03,3.13,72200.0
05/30/1990,16:00,3.13,3.13,2.94,2.98,45200.0
05/31/1990,16:00,3.03,3.03,2.94,2.94,4400.0
06/01/1990,16:00,2.94,3.03,2.94,3.03,12200.0
06/04/1990,16:00,2.94,2.94,2.75,2.94,20600.0
06/05/1990,16:00,2.94,2.94,2.75,2.75,45000.0
06/06/1990,16:00,2.75,2.75,2.65,2.75,56200.0
06/07/1990,16:00,2.65,2.75,2.56,2.61,158000.0
06/08/1990,16:00,2.65,2.65,2.61,2.61,36600.0
06/11/1990,16:00,2.65,2.65,2.65,2.65,6600.0
06/12/1990,16:00,2.65,2.75,2.61,2.70,70800.0
06/13/1990,16:00,2.70,2.94,2.70,2.80,155400.0
06/14/1990,16:00,2.84,2.89,2.75,2.89,29400.0
06/15/1990,16:00,2.75,2.89,2.75,2.89,32200.0
06/18/1990,16:00,2.80,2.80,2.80,2.80,3400.0
06/19/1990,16:00,2.65,2.84,2.65,2.84,21000.0
06/20/1990,16:00,2.80,2.80,2.70,2.70,11400.0
06/21/1990,16:00,2.75,2.84,2.65,2.70,17600.0
06/22/1990,16:00,2.80,2.84,2.56,2.56,124800.0
06/25/1990,16:00,2.65,2.65,2.51,2.61,46600.0
06/26/1990,16:00,2.61,2.61,2.51,2.51,23400.0
06/27/1990,16:00,2.56,2.61,2.46,2.46,106200.0
06/28/1990,16:00,2.46,2.51,2.42,2.46,57200.0
06/29/1990,16:00,2.51,2.51,2.42,2.42,189200.0
07/02/1990,16:00,2.46,2.51,2.46,2.51,27400.0
07/03/1990,16:00,2.51,2.51,2.46,2.46,16000.0
07/05/1990,16:00,2.51,2.51,2.18,2.46,29000.0
07/06/1990,16:00,2.37,2.46,2.37,2.46,13000.0
07/09/1990,16:00,2.37,2.46,2.37,2.37,33200.0
07/10/1990,16:00,2.46,2.46,2.37,2.46,15400.0
07/11/1990,16:00,2.46,2.46,2.37,2.42,46600.0
07/12/1990,16:00,2.46,2.46,2.37,2.37,40400.0
07/13/1990,16:00,2.32,2.37,2.18,2.27,39400.0
07/16/1990,16:00,2.32,2.32,2.27,2.27,34600.0
