Date,Time,Open,High,Low,Close,Vol
08/14/2013,16:00,25.25,25.64,24.62,25.15,12008000.0
08/15/2013,16:00,24.93,25.72,24.9,25.5,1717700.0
08/16/2013,16:00,25.84,26.07,25.55,25.7,815500.0
08/19/2013,16:00,25.7,25.74,24.67,25.25,837500.0
08/20/2013,16:00,25.2,25.29,25.06,25.25,414800.0
08/21/2013,16:00,25.13,25.47,25.09,25.1,593600.0
08/22/2013,16:00,25.1,25.32,25.1,25.15,229900.0
08/23/2013,16:00,25.1,25.49,25.1,25.45,213900.0
08/26/2013,16:00,25.49,26.21,25.31,25.97,524100.0
08/27/2013,16:00,25.4,26.17,25.33,26.07,331800.0
08/28/2013,16:00,26.01,26.2,25.83,26.08,244800.0
08/29/2013,16:00,26.07,26.39,26.06,26.38,529700.0
08/30/2013,16:00,26.48,26.62,26.1,26.24,939500.0
09/03/2013,16:00,25.67,26.74,25.63,26.7,444800.0
09/04/2013,16:00,26.95,27.5,26.87,27.39,783200.0
09/05/2013,16:00,27.34,27.37,26.83,27.0,812900.0
09/06/2013,16:00,27.51,27.51,26.73,26.91,375800.0
09/09/2013,16:00,26.87,27.19,26.72,26.8,405200.0
09/10/2013,16:00,26.7,27.19,26.65,27.14,300900.0
09/11/2013,16:00,26.96,28.37,26.92,28.28,658800.0
09/12/2013,16:00,28.33,28.7,27.92,28.49,264700.0
09/13/2013,16:00,28.77,28.88,28.48,28.51,297200.0
09/16/2013,16:00,28.22,28.44,27.14,27.45,566500.0
09/17/2013,16:00,27.65,27.99,27.51,27.99,852300.0
09/18/2013,16:00,28.0,28.3,27.94,28.12,458600.0
09/19/2013,16:00,28.22,28.25,27.82,27.92,258400.0
09/20/2013,16:00,27.8,27.94,26.74,26.84,943500.0
09/23/2013,16:00,27.28,27.35,26.24,26.84,1351500.0
09/24/2013,16:00,26.99,26.99,26.49,26.84,628900.0
09/25/2013,16:00,26.97,26.98,26.16,26.48,647000.0
09/26/2013,16:00,26.48,26.73,26.35,26.46,655500.0
09/27/2013,16:00,26.34,26.48,26.07,26.08,779500.0
09/30/2013,16:00,26.07,26.8,25.51,26.03,2987200.0
10/01/2013,16:00,26.21,26.32,25.97,26.21,626000.0
10/02/2013,16:00,26.51,27.13,26.28,26.89,1692400.0
10/03/2013,16:00,27.04,28.99,27.04,28.2,1213200.0
10/04/2013,16:00,28.31,29.8,28.3,29.28,1007400.0
10/07/2013,16:00,29.25,29.53,28.95,29.37,402500.0
10/08/2013,16:00,29.41,29.41,28.83,28.91,299900.0
10/09/2013,16:00,28.88,29.13,28.14,28.95,378000.0
10/10/2013,16:00,29.3,29.84,28.86,29.22,709600.0
10/11/2013,16:00,29.1,29.18,28.67,28.85,139000.0
10/14/2013,16:00,28.61,29.19,28.48,28.48,277900.0
10/15/2013,16:00,28.46,28.65,27.75,28.12,539500.0
10/16/2013,16:00,28.37,29.3,28.36,28.9,332000.0
10/17/2013,16:00,28.97,29.22,28.64,29.22,507400.0
10/18/2013,16:00,29.36,29.85,29.29,29.36,453500.0
10/21/2013,16:00,29.33,29.72,28.86,29.19,234400.0
10/22/2013,16:00,29.16,29.38,29.02,29.1,184800.0
10/23/2013,16:00,29.04,29.05,28.72,29.0,116800.0
10/24/2013,16:00,29.07,29.18,28.65,28.99,162100.0
10/25/2013,16:00,28.87,29.04,28.54,28.75,124900.0
10/28/2013,16:00,28.84,29.6,28.77,29.17,312500.0
10/29/2013,16:00,29.29,29.52,28.84,29.18,227900.0
10/30/2013,16:00,29.34,29.49,28.42,29.03,252400.0
10/31/2013,16:00,29.11,29.73,28.92,29.05,366800.0
11/01/2013,16:00,29.01,29.14,28.62,29.04,194200.0
11/04/2013,16:00,29.1,29.46,29.03,29.33,167000.0
11/05/2013,16:00,29.33,29.44,28.75,29.22,139800.0
11/06/2013,16:00,29.32,29.36,28.93,29.0,254400.0
11/07/2013,16:00,29.14,29.15,28.13,28.51,239300.0
11/08/2013,16:00,28.43,29.0,28.32,28.36,297400.0
11/11/2013,16:00,28.4,28.51,28.12,28.36,388000.0
11/12/2013,16:00,28.4,28.52,28.12,28.34,256400.0
11/13/2013,16:00,28.19,28.33,27.91,28.07,418900.0
