Date,Time,Open,High,Low,Close,Vol
03/27/2000,16:00,3.81,4.15,3.81,4.12,3675600.0
03/28/2000,16:00,4.12,4.12,4.0,4.01,1077600.0
03/29/2000,16:00,4.0,4.03,3.95,4.0,437200.0
03/30/2000,16:00,4.0,4.0,3.84,3.84,1883600.0
03/31/2000,16:00,3.73,3.73,3.39,3.39,7931600.0
04/03/2000,16:00,3.5,3.70,3.43,3.43,11486800.0
04/04/2000,16:00,3.53,3.57,3.09,3.5,13136800.0
04/05/2000,16:00,3.47,3.56,3.45,3.48,6349600.0
04/06/2000,16:00,3.5,3.59,3.47,3.57,7181200.0
04/07/2000,16:00,3.59,3.81,3.59,3.61,13904800.0
04/10/2000,16:00,3.68,3.75,3.62,3.64,5280800.0
04/11/2000,16:00,3.57,3.65,3.56,3.57,6590000.0
04/12/2000,16:00,3.54,3.64,3.53,3.57,8546400.0
04/13/2000,16:00,3.57,3.65,3.57,3.61,6874400.0
04/14/2000,16:00,3.61,3.62,3.53,3.61,2626000.0
04/17/2000,16:00,3.57,3.61,3.51,3.56,2992000.0
04/18/2000,16:00,3.61,3.62,3.48,3.51,2896000.0
04/19/2000,16:00,3.56,3.65,3.56,3.59,4662400.0
04/20/2000,16:00,3.57,3.68,3.56,3.65,4558800.0
04/24/2000,16:00,3.59,3.65,3.53,3.56,3815200.0
04/25/2000,16:00,3.57,3.78,3.47,3.76,4635600.0
04/26/2000,16:00,3.78,4.12,3.75,3.82,5321200.0
04/27/2000,16:00,3.76,3.76,3.64,3.70,4085200.0
04/28/2000,16:00,3.68,3.75,3.62,3.75,3539200.0
05/01/2000,16:00,3.75,3.75,3.61,3.68,4310000.0
05/02/2000,16:00,3.65,3.68,3.61,3.64,2684400.0
05/03/2000,16:00,3.54,3.64,3.51,3.56,4164400.0
05/04/2000,16:00,3.59,3.68,3.56,3.68,3610400.0
05/05/2000,16:00,3.72,3.84,3.72,3.78,1710800.0
05/08/2000,16:00,3.84,3.90,3.79,3.81,1435600.0
05/09/2000,16:00,3.86,3.87,3.75,3.75,1343600.0
05/10/2000,16:00,3.75,3.84,3.72,3.79,775200.0
05/11/2000,16:00,3.79,3.87,3.68,3.73,2287200.0
05/12/2000,16:00,3.73,3.92,3.73,3.92,768400.0
05/15/2000,16:00,3.87,4.22,3.87,4.09,1328400.0
05/16/2000,16:00,4.12,4.23,4.07,4.12,1263600.0
05/17/2000,16:00,4.12,4.12,3.95,4.0,2517200.0
05/18/2000,16:00,4.0,4.03,3.86,3.89,2078800.0
05/19/2000,16:00,3.89,3.90,3.82,3.82,630400.0
05/22/2000,16:00,3.86,3.92,3.82,3.89,629600.0
05/23/2000,16:00,3.87,4.0,3.87,3.90,867200.0
05/24/2000,16:00,3.90,4.18,3.90,4.11,2265600.0
05/25/2000,16:00,4.07,4.40,4.07,4.32,3015200.0
