Date,Time,Open,High,Low,Close,Vol
07/10/1995,16:00,7.13,7.39,7.13,7.39,5438000.0
07/11/1995,16:00,7.58,7.58,7.47,7.55,4907000.0
07/12/1995,16:00,7.54,7.88,7.51,7.88,1055800.0
07/13/1995,16:00,7.84,7.92,7.81,7.88,1373600.0
07/14/1995,16:00,7.85,7.89,7.81,7.85,985600.0
07/17/1995,16:00,7.85,7.85,7.77,7.81,947600.0
07/18/1995,16:00,7.81,7.81,7.58,7.62,727400.0
07/19/1995,16:00,7.58,7.58,7.06,7.17,558200.0
07/20/1995,16:00,7.09,7.13,7.09,7.13,464600.0
07/21/1995,16:00,7.17,7.36,7.17,7.29,721200.0
07/24/1995,16:00,7.29,7.40,7.29,7.29,509000.0
07/25/1995,16:00,7.31,7.47,7.28,7.31,847000.0
07/26/1995,16:00,7.40,7.59,7.40,7.59,1584800.0
07/27/1995,16:00,7.55,7.77,7.55,7.77,2082600.0
07/28/1995,16:00,7.77,8.26,7.66,8.26,14640800.0
07/31/1995,16:00,8.23,8.23,8.00,8.15,2544600.0
08/01/1995,16:00,8.12,8.12,8.00,8.04,1956000.0
08/02/1995,16:00,8.03,8.03,7.62,7.66,2307600.0
08/03/1995,16:00,7.59,7.85,7.59,7.85,1762800.0
08/04/1995,16:00,7.77,7.81,7.54,7.66,903800.0
08/07/1995,16:00,7.63,7.63,7.52,7.59,837000.0
08/08/1995,16:00,7.55,7.58,7.51,7.51,729000.0
08/09/1995,16:00,7.51,7.51,7.36,7.39,586600.0
08/10/1995,16:00,7.40,7.58,7.40,7.47,1319400.0
08/11/1995,16:00,7.47,7.62,7.47,7.55,1152000.0
08/14/1995,16:00,7.54,7.54,7.32,7.39,379800.0
08/15/1995,16:00,7.40,7.47,7.40,7.43,349600.0
08/16/1995,16:00,7.51,7.55,7.43,7.47,440200.0
08/17/1995,16:00,7.48,7.59,7.44,7.59,410600.0
08/18/1995,16:00,7.58,7.58,7.36,7.39,598800.0
08/21/1995,16:00,7.43,7.50,7.31,7.31,440400.0
08/22/1995,16:00,7.36,7.40,7.17,7.25,444200.0
08/23/1995,16:00,7.28,7.28,6.98,7.13,193200.0
08/24/1995,16:00,7.12,7.12,6.97,7.01,1284000.0
08/25/1995,16:00,7.02,7.21,6.91,7.13,733400.0
