Date,Time,Open,High,Low,Close,Vol
07/21/1993,16:00,3.12,3.12,3.01,3.12,46800.643
07/22/1993,16:00,3.12,3.18,3.07,3.15,33499.044
07/23/1993,16:00,3.18,3.18,3.10,3.12,23399.242
07/26/1993,16:00,3.18,3.18,3.12,3.18,21600.795
07/27/1993,16:00,3.18,3.24,3.18,3.18,22200.997
07/28/1993,16:00,3.18,3.24,3.12,3.18,24200.231
07/29/1993,16:00,3.12,3.18,3.12,3.18,4600.829
07/30/1993,16:00,3.18,3.18,3.12,3.18,6699.377
08/02/1993,16:00,3.18,3.18,3.07,3.18,27099.768
08/03/1993,16:00,3.07,3.18,3.07,3.18,18699.099
08/04/1993,16:00,3.07,3.10,3.07,3.10,11000.105
08/05/1993,16:00,3.07,3.12,3.07,3.12,15000.732
08/06/1993,16:00,3.18,3.18,3.07,3.07,10199.116
08/09/1993,16:00,3.07,3.10,3.07,3.07,15499.461
08/10/1993,16:00,3.01,3.12,3.01,3.04,42599.229
08/11/1993,16:00,3.12,3.12,2.95,3.01,75200.129
08/12/1993,16:00,3.07,3.07,2.95,2.98,17500.854
08/13/1993,16:00,3.01,3.07,2.98,2.98,24899.747
08/16/1993,16:00,2.95,3.04,2.95,3.01,11099.419
08/17/1993,16:00,2.98,3.07,2.95,2.98,10499.217
08/18/1993,16:00,3.07,3.07,2.95,2.95,3400.425
08/19/1993,16:00,3.07,3.07,3.01,3.04,10300.589
08/20/1993,16:00,3.07,3.07,3.01,3.07,20599.019
08/23/1993,16:00,3.07,3.07,2.95,3.07,25800.05
08/24/1993,16:00,3.07,3.07,2.95,3.01,17900.269
08/25/1993,16:00,3.07,3.07,3.04,3.07,3700.526
08/26/1993,16:00,3.07,3.07,3.01,3.07,29099.002
08/27/1993,16:00,3.01,3.07,3.01,3.04,83199.224
08/30/1993,16:00,3.07,3.07,2.95,3.01,6999.478
08/31/1993,16:00,3.07,3.07,2.95,3.04,47800.26
09/01/1993,16:00,3.07,3.07,2.95,2.95,51099.212
09/02/1993,16:00,2.95,3.07,2.95,3.01,32000.698
09/03/1993,16:00,3.07,3.07,2.95,3.01,4300.728
09/07/1993,16:00,3.01,3.01,2.95,2.95,2400.808
09/08/1993,16:00,3.07,3.07,2.95,2.95,37400.357
09/09/1993,16:00,2.98,3.07,2.95,3.07,61099.7
09/10/1993,16:00,3.07,3.12,3.07,3.12,300.101
09/13/1993,16:00,2.95,3.07,2.95,2.98,14899.259
09/14/1993,16:00,3.07,3.07,3.07,3.07,99.314
09/15/1993,16:00,3.07,3.07,3.01,3.01,8100.568
09/16/1993,16:00,3.12,3.12,3.07,3.12,11200.892
09/17/1993,16:00,3.18,3.24,3.12,3.21,34699.448
09/20/1993,16:00,3.12,3.29,3.12,3.21,11500.993
09/21/1993,16:00,3.21,3.21,3.12,3.12,30100.778
09/22/1993,16:00,3.24,3.24,3.24,3.24,11500.993
09/23/1993,16:00,3.21,3.24,3.21,3.24,4799.457
09/24/1993,16:00,3.21,3.29,3.18,3.29,4499.356
09/27/1993,16:00,3.29,3.29,3.18,3.29,16099.663
09/28/1993,16:00,3.29,3.35,3.24,3.29,16300.45
09/29/1993,16:00,3.35,3.35,3.35,3.35,800.989
09/30/1993,16:00,3.35,3.47,3.35,3.47,23500.715
10/01/1993,16:00,3.47,3.52,3.41,3.47,23500.715
10/04/1993,16:00,3.47,3.47,3.47,3.47,0.0
10/05/1993,16:00,3.55,3.55,3.44,3.55,90200.861
10/06/1993,16:00,3.55,3.55,3.44,3.55,7500.366
10/07/1993,16:00,3.55,3.55,3.55,3.55,99.314
10/08/1993,16:00,3.55,3.55,3.55,3.55,0.0
10/11/1993,16:00,3.44,3.52,3.44,3.52,5600.446
10/12/1993,16:00,3.52,3.52,3.52,3.52,0.0
10/13/1993,16:00,3.55,3.55,3.44,3.55,1299.718
10/14/1993,16:00,3.47,3.55,3.44,3.55,7599.68
10/15/1993,16:00,3.55,3.55,3.55,3.55,1098.931
10/18/1993,16:00,3.44,3.55,3.44,3.55,2100.707
10/19/1993,16:00,3.49,3.49,3.49,3.49,10099.802
10/20/1993,16:00,3.38,3.38,3.38,3.38,399.415
10/21/1993,16:00,3.49,3.55,3.44,3.44,27000.454
10/22/1993,16:00,3.44,3.55,3.44,3.44,11099.419
10/25/1993,16:00,3.44,3.55,3.44,3.52,4000.627
10/26/1993,16:00,3.44,3.44,3.44,3.44,999.617
10/27/1993,16:00,3.44,3.55,3.44,3.55,3199.638
10/28/1993,16:00,3.55,3.55,3.44,3.44,4499.356
10/29/1993,16:00,3.44,3.55,3.44,3.49,9799.701
11/01/1993,16:00,3.52,3.52,3.47,3.47,5099.558
11/02/1993,16:00,3.55,3.55,3.44,3.49,8599.297
11/03/1993,16:00,3.44,3.47,3.44,3.44,15700.248
11/04/1993,16:00,3.44,3.44,3.44,3.44,1999.234
11/05/1993,16:00,3.44,3.44,3.32,3.32,8199.882
11/08/1993,16:00,3.44,3.44,3.44,3.44,399.415
11/09/1993,16:00,3.38,3.38,3.38,3.38,5000.244
11/10/1993,16:00,3.38,3.38,3.38,3.38,0.0
11/11/1993,16:00,3.38,3.38,3.38,3.38,0.0
11/12/1993,16:00,3.38,3.38,3.38,3.38,0.0
11/15/1993,16:00,3.41,3.49,3.41,3.44,800.989
11/16/1993,16:00,3.44,3.44,3.44,3.44,0.0
11/17/1993,16:00,3.41,3.41,3.41,3.41,99.314
11/18/1993,16:00,3.35,3.44,3.26,3.26,7500.366
11/19/1993,16:00,3.21,3.32,3.21,3.32,1699.133
11/22/1993,16:00,3.32,3.32,3.32,3.32,0.0
11/23/1993,16:00,3.32,3.32,3.32,3.32,0.0
11/24/1993,16:00,3.21,3.21,3.21,3.21,1098.931
11/26/1993,16:00,3.21,3.21,3.21,3.21,0.0
11/29/1993,16:00,3.26,3.26,3.21,3.21,5699.76
11/30/1993,16:00,3.21,3.21,3.21,3.21,0.0
12/01/1993,16:00,3.24,3.24,3.24,3.24,1399.032
12/02/1993,16:00,3.15,3.26,3.15,3.26,1299.718
12/03/1993,16:00,3.26,3.26,3.09,3.09,29200.475
12/06/1993,16:00,3.09,3.09,3.09,3.09,0.0
12/07/1993,16:00,3.21,3.21,2.98,3.01,16999.966
12/08/1993,16:00,3.09,3.09,3.09,3.09,300.101
