Date,Time,Open,High,Low,Close,Vol
06/28/1996,16:00,3.08,3.41,3.06,3.33,7850101.5
07/01/1996,16:00,3.29,3.37,3.29,3.35,663601.5
07/02/1996,16:00,3.31,3.45,3.31,3.41,1340100.0
07/03/1996,16:00,3.43,3.43,3.31,3.37,660600.0
07/05/1996,16:00,3.31,3.31,3.23,3.31,502501.5
07/08/1996,16:00,3.33,3.33,3.08,3.10,584401.5
07/09/1996,16:00,3.12,3.16,3.08,3.08,238500.0
07/10/1996,16:00,3.08,3.10,2.95,2.95,520200.0
07/11/1996,16:00,2.91,2.91,2.77,2.87,192600.0
07/12/1996,16:00,2.87,2.91,2.87,2.89,49500.0
07/15/1996,16:00,2.87,2.95,2.87,2.87,342900.0
07/16/1996,16:00,2.85,2.85,2.58,2.62,350401.5
07/17/1996,16:00,2.66,2.89,2.66,2.85,181800.0
07/18/1996,16:00,2.83,2.85,2.83,2.85,8100.0
07/19/1996,16:00,2.85,2.87,2.85,2.87,33601.5
07/22/1996,16:00,2.91,2.95,2.89,2.91,206100.0
07/23/1996,16:00,2.93,2.93,2.83,2.83,11700.0
07/24/1996,16:00,2.83,2.85,2.79,2.85,54301.5
07/25/1996,16:00,2.85,2.89,2.85,2.89,46201.5
07/26/1996,16:00,2.91,2.91,2.91,2.91,22500.0
07/29/1996,16:00,2.93,3.06,2.93,3.04,79200.0
07/30/1996,16:00,3.04,3.16,3.02,3.16,212400.0
07/31/1996,16:00,3.16,3.35,3.16,3.33,257400.0
08/01/1996,16:00,3.33,3.33,3.27,3.27,30001.5
08/02/1996,16:00,3.33,3.33,3.23,3.23,90000.0
08/05/1996,16:00,3.27,3.31,3.27,3.29,25501.5
08/06/1996,16:00,3.31,3.31,3.27,3.27,89100.0
08/07/1996,16:00,3.23,3.23,3.08,3.08,71401.5
08/08/1996,16:00,3.06,3.08,3.04,3.06,233100.0
08/09/1996,16:00,3.10,3.20,3.10,3.18,70501.5
08/12/1996,16:00,3.18,3.20,3.18,3.20,4801.5
08/13/1996,16:00,3.18,3.20,3.16,3.16,114601.5
08/14/1996,16:00,3.16,3.20,3.16,3.20,39901.5
08/15/1996,16:00,3.23,3.27,3.23,3.25,252000.0
08/16/1996,16:00,3.27,3.29,3.25,3.29,12001.5
08/19/1996,16:00,3.25,3.25,3.23,3.23,234900.0
08/20/1996,16:00,3.23,3.27,3.23,3.25,21001.5
08/21/1996,16:00,3.25,3.25,3.25,3.25,0.0
08/22/1996,16:00,3.27,3.27,3.25,3.25,12901.5
08/23/1996,16:00,3.25,3.27,3.23,3.23,71401.5
08/26/1996,16:00,3.23,3.23,3.23,3.23,0.0
08/27/1996,16:00,3.23,3.25,3.23,3.25,11101.5
08/28/1996,16:00,3.27,3.39,3.27,3.39,56700.0
08/29/1996,16:00,3.39,3.39,3.31,3.31,326101.5
08/30/1996,16:00,3.33,3.37,3.33,3.37,47700.0
09/03/1996,16:00,3.33,3.33,3.27,3.29,240601.5
09/04/1996,16:00,3.25,3.25,3.25,3.25,51300.0
09/05/1996,16:00,3.27,3.33,3.27,3.33,92700.0
09/06/1996,16:00,3.29,3.33,3.29,3.33,222601.5
09/09/1996,16:00,3.33,3.33,3.31,3.33,42601.5
09/10/1996,16:00,3.33,3.33,3.33,3.33,8100.0
09/11/1996,16:00,3.31,3.31,3.29,3.29,2101.5
09/12/1996,16:00,3.27,3.29,3.25,3.27,4801.5
09/13/1996,16:00,3.27,3.29,3.27,3.27,6601.5
09/16/1996,16:00,3.25,3.27,3.25,3.27,6601.5
09/17/1996,16:00,3.25,3.29,3.25,3.27,21901.5
09/18/1996,16:00,3.25,3.29,3.25,3.29,11700.0
09/19/1996,16:00,3.27,3.29,3.25,3.25,93600.0
09/20/1996,16:00,3.27,3.31,3.25,3.25,79501.5
09/23/1996,16:00,3.25,3.33,3.25,3.33,76500.0
09/24/1996,16:00,3.33,3.33,3.29,3.29,4801.5
09/25/1996,16:00,3.27,3.29,3.27,3.29,9301.5
09/26/1996,16:00,3.27,3.29,3.25,3.25,113701.5
09/27/1996,16:00,3.27,3.27,3.20,3.20,406201.5
09/30/1996,16:00,3.20,3.20,3.18,3.18,2101.5
10/01/1996,16:00,3.18,3.20,3.10,3.18,54900.0
10/02/1996,16:00,3.20,3.25,3.20,3.25,15601.5
10/03/1996,16:00,3.25,3.35,3.25,3.33,51300.0
10/04/1996,16:00,3.35,3.41,3.33,3.41,392400.0
10/07/1996,16:00,3.39,3.50,3.37,3.50,72900.0
10/08/1996,16:00,3.48,3.48,3.29,3.31,342301.5
10/09/1996,16:00,3.31,3.35,3.29,3.35,560700.0
10/10/1996,16:00,3.35,3.41,3.35,3.41,57901.5
10/11/1996,16:00,3.41,3.41,3.39,3.41,223200.0
10/14/1996,16:00,3.39,3.39,3.37,3.39,24300.0
10/15/1996,16:00,3.39,3.41,3.39,3.41,14701.5
10/16/1996,16:00,3.43,3.43,3.41,3.41,10201.5
10/17/1996,16:00,3.41,3.45,3.41,3.43,52501.5
10/18/1996,16:00,3.43,3.62,3.43,3.62,57600.0
10/21/1996,16:00,3.58,3.81,3.56,3.79,103500.0
10/22/1996,16:00,3.75,3.83,3.68,3.81,44100.0
10/23/1996,16:00,3.81,3.85,3.79,3.83,53401.5
10/24/1996,16:00,3.85,3.87,3.83,3.87,9900.0
10/25/1996,16:00,3.89,4.02,3.89,3.91,39001.5
10/28/1996,16:00,3.93,3.98,3.91,3.91,110101.5
10/29/1996,16:00,3.91,3.91,3.91,3.91,18000.0
10/30/1996,16:00,3.89,3.93,3.89,3.93,57600.0
10/31/1996,16:00,3.93,4.00,3.91,4.00,42601.5
11/01/1996,16:00,4.02,4.02,3.98,4.00,110101.5
11/04/1996,16:00,4.00,4.02,4.00,4.00,111600.0
11/05/1996,16:00,4.00,4.02,4.00,4.02,76500.0
11/06/1996,16:00,4.02,4.08,4.02,4.08,41701.5
11/07/1996,16:00,4.08,4.08,4.04,4.06,25501.5
11/08/1996,16:00,4.04,4.04,3.91,3.91,14400.0
11/11/1996,16:00,3.91,3.93,3.91,3.91,49500.0
11/12/1996,16:00,3.93,3.93,3.93,3.93,11101.5
11/13/1996,16:00,3.91,3.91,3.87,3.87,5701.5
11/14/1996,16:00,3.85,3.87,3.85,3.85,4500.0
11/15/1996,16:00,3.87,3.87,3.87,3.87,1201.5
11/18/1996,16:00,3.87,3.87,3.87,3.87,0.0
11/19/1996,16:00,3.87,3.87,3.87,3.87,2101.5
11/20/1996,16:00,3.87,3.87,3.87,3.87,41701.5
11/21/1996,16:00,3.85,3.89,3.85,3.89,11101.5
11/22/1996,16:00,3.89,3.89,3.87,3.87,101700.0
11/25/1996,16:00,3.87,3.95,3.87,3.89,102001.5
11/26/1996,16:00,3.91,3.93,3.91,3.93,5701.5
11/27/1996,16:00,3.89,3.91,3.89,3.91,10201.5
11/29/1996,16:00,3.93,3.93,3.91,3.91,3901.5
12/02/1996,16:00,3.66,3.66,3.66,3.66,74700.0
12/03/1996,16:00,3.62,3.62,3.56,3.56,21901.5
12/04/1996,16:00,3.58,3.64,3.58,3.64,43501.5
12/05/1996,16:00,3.60,3.66,3.56,3.62,255001.5
12/06/1996,16:00,3.62,3.62,3.62,3.62,1201.5
12/09/1996,16:00,3.66,3.66,3.62,3.62,147600.0
12/10/1996,16:00,3.62,3.62,3.62,3.62,0.0
12/11/1996,16:00,3.62,3.62,3.62,3.62,2101.5
12/12/1996,16:00,3.62,3.62,3.62,3.62,900.0
12/13/1996,16:00,3.64,3.64,3.64,3.64,4500.0
12/16/1996,16:00,3.64,3.64,3.54,3.56,35401.5
12/17/1996,16:00,3.56,3.58,3.56,3.58,5400.0
12/18/1996,16:00,3.54,3.54,3.54,3.54,7200.0
12/19/1996,16:00,3.52,3.52,3.50,3.50,10800.0
12/20/1996,16:00,3.50,3.50,3.45,3.45,145800.0
12/23/1996,16:00,3.50,3.54,3.50,3.54,39901.5
12/24/1996,16:00,3.56,3.56,3.56,3.56,54000.0
12/26/1996,16:00,3.54,3.56,3.52,3.54,15300.0
12/27/1996,16:00,3.54,3.54,3.52,3.54,26401.5
12/30/1996,16:00,3.52,3.52,3.45,3.45,194701.5
12/31/1996,16:00,3.45,3.50,3.43,3.50,230400.0
01/02/1997,16:00,3.50,3.50,3.50,3.50,72000.0
01/03/1997,16:00,3.50,3.50,3.43,3.43,33300.0
01/06/1997,16:00,3.43,3.43,3.43,3.43,9000.0
01/07/1997,16:00,3.43,3.45,3.43,3.45,10201.5
01/08/1997,16:00,3.45,3.48,3.41,3.41,279900.0
01/09/1997,16:00,3.45,3.50,3.45,3.48,309901.5
01/10/1997,16:00,3.45,3.45,3.41,3.41,6601.5
01/13/1997,16:00,3.43,3.43,3.35,3.35,37201.5
01/14/1997,16:00,3.33,3.33,3.29,3.33,11700.0
01/15/1997,16:00,3.33,3.33,3.31,3.33,82201.5
01/16/1997,16:00,3.35,3.35,3.35,3.35,3901.5
01/17/1997,16:00,3.35,3.35,3.35,3.35,20101.5
01/20/1997,16:00,3.35,3.35,3.35,3.35,4801.5
01/21/1997,16:00,3.37,3.41,3.37,3.41,10201.5
01/22/1997,16:00,3.41,3.45,3.39,3.43,31801.5
01/23/1997,16:00,3.45,3.45,3.43,3.43,28800.0
01/24/1997,16:00,3.45,3.45,3.41,3.41,148500.0
01/27/1997,16:00,3.41,3.41,3.41,3.41,2700.0
01/28/1997,16:00,3.41,3.43,3.41,3.43,3001.5
01/29/1997,16:00,3.41,3.41,3.41,3.41,13500.0
01/30/1997,16:00,3.45,3.45,3.45,3.45,4500.0
01/31/1997,16:00,3.41,3.43,3.41,3.43,95400.0
02/03/1997,16:00,3.45,3.45,3.43,3.43,68701.5
02/04/1997,16:00,3.45,3.45,3.41,3.41,284400.0
02/05/1997,16:00,3.37,3.37,3.33,3.33,97501.5
02/06/1997,16:00,3.31,3.33,3.31,3.33,34200.0
02/07/1997,16:00,3.33,3.33,3.33,3.33,22801.5
02/10/1997,16:00,3.31,3.33,3.29,3.29,14701.5
02/11/1997,16:00,3.29,3.31,3.27,3.27,17100.0
02/12/1997,16:00,3.29,3.31,3.23,3.23,10800.0
02/13/1997,16:00,3.23,3.25,3.16,3.16,101700.0
02/14/1997,16:00,3.16,3.16,3.16,3.16,0.0
02/18/1997,16:00,3.16,3.16,3.12,3.12,120001.5
02/19/1997,16:00,3.12,3.14,3.12,3.14,21001.5
02/20/1997,16:00,3.14,3.14,3.14,3.14,7200.0
02/21/1997,16:00,3.12,3.12,3.10,3.12,3901.5
02/24/1997,16:00,3.12,3.14,3.12,3.12,14701.5
02/25/1997,16:00,3.10,3.12,3.02,3.02,21001.5
02/26/1997,16:00,3.04,3.08,2.97,3.00,36000.0
02/27/1997,16:00,3.02,3.04,3.02,3.04,7200.0
02/28/1997,16:00,3.06,3.06,3.00,3.02,199201.5
03/03/1997,16:00,3.02,3.02,2.95,2.95,6300.0
03/04/1997,16:00,2.95,2.95,2.85,2.85,13500.0
03/05/1997,16:00,2.83,2.85,2.83,2.85,219901.5
03/06/1997,16:00,2.87,3.02,2.87,2.93,201001.5
03/07/1997,16:00,2.95,3.02,2.95,3.02,244800.0
03/10/1997,16:00,3.06,3.08,3.06,3.08,3600.0
03/11/1997,16:00,3.08,3.10,3.06,3.06,6601.5
03/12/1997,16:00,3.08,3.08,3.06,3.08,5400.0
03/13/1997,16:00,3.08,3.08,3.08,3.08,0.0
03/14/1997,16:00,3.12,3.12,3.12,3.12,14400.0
03/17/1997,16:00,3.10,3.10,3.10,3.10,5400.0
03/18/1997,16:00,3.08,3.08,2.91,2.99,2694600.0
03/19/1997,16:00,2.95,3.00,2.95,3.00,73201.5
03/20/1997,16:00,3.08,3.10,3.08,3.10,11101.5
03/21/1997,16:00,3.08,3.14,3.08,3.14,179100.0
03/24/1997,16:00,3.16,3.27,3.16,3.27,28201.5
03/25/1997,16:00,3.33,3.33,3.33,3.33,129001.5
03/26/1997,16:00,3.31,3.31,3.29,3.29,35401.5
03/27/1997,16:00,3.29,3.29,3.29,3.29,0.0
03/31/1997,16:00,3.25,3.25,3.23,3.23,4500.0
