Date,Time,Open,High,Low,Close,Vol
05/14/1998,16:00,6.32,6.38,6.18,6.26,13917400.5
05/15/1998,16:00,6.26,6.32,6.00,6.04,2949900.0
05/18/1998,16:00,6.00,6.02,6.00,6.00,1867200.0
05/19/1998,16:00,6.00,6.16,6.00,6.16,593100.0
05/20/1998,16:00,6.16,6.20,6.00,6.00,244600.5
05/21/1998,16:00,6.00,6.04,6.00,6.00,1272900.0
05/22/1998,16:00,6.00,6.00,5.53,5.68,2125200.0
05/26/1998,16:00,5.68,5.73,5.55,5.59,714700.5
05/27/1998,16:00,5.59,5.80,5.45,5.67,588400.5
05/28/1998,16:00,5.67,5.68,5.61,5.68,250900.5
05/29/1998,16:00,5.68,5.73,5.61,5.67,278700.0
06/01/1998,16:00,5.62,5.65,5.35,5.41,441900.0
06/02/1998,16:00,5.33,5.35,5.05,5.31,687700.5
06/03/1998,16:00,5.29,5.35,5.27,5.27,197700.0
06/04/1998,16:00,5.27,5.37,5.25,5.37,183300.0
06/05/1998,16:00,5.33,5.74,5.33,5.65,314100.0
06/08/1998,16:00,5.68,5.80,5.37,5.53,193800.0
06/09/1998,16:00,5.53,5.68,5.49,5.61,215800.5
06/10/1998,16:00,5.56,5.61,5.45,5.51,210400.5
06/11/1998,16:00,5.53,5.55,5.47,5.49,313900.5
06/12/1998,16:00,5.61,5.62,5.45,5.47,294900.0
06/15/1998,16:00,5.41,5.41,5.15,5.17,125200.5
06/16/1998,16:00,5.27,5.45,5.25,5.37,386100.0
06/17/1998,16:00,5.45,5.47,5.33,5.37,202600.5
06/18/1998,16:00,5.39,5.51,5.37,5.47,276300.0
06/19/1998,16:00,5.45,5.67,5.43,5.65,411400.5
06/22/1998,16:00,5.67,5.67,5.53,5.65,81900.0
06/23/1998,16:00,5.67,5.76,5.51,5.55,145600.5
06/24/1998,16:00,5.59,5.59,5.13,5.13,146500.5
06/25/1998,16:00,5.21,5.27,5.13,5.19,308700.0
06/26/1998,16:00,5.21,5.29,5.17,5.21,214200.0
06/29/1998,16:00,5.25,5.41,5.21,5.37,346200.0
06/30/1998,16:00,5.37,5.84,5.17,5.84,539200.5
07/01/1998,16:00,5.68,5.68,5.25,5.29,208000.5
07/02/1998,16:00,5.37,5.37,5.23,5.23,179400.0
07/06/1998,16:00,5.25,5.37,5.23,5.27,184600.5
07/07/1998,16:00,5.31,5.31,5.23,5.27,158400.0
07/08/1998,16:00,5.27,5.31,5.23,5.25,444000.0
07/09/1998,16:00,5.25,5.27,5.15,5.25,301900.5
07/10/1998,16:00,5.25,5.29,5.19,5.29,170400.0
07/13/1998,16:00,5.29,5.29,5.11,5.17,314800.5
07/14/1998,16:00,5.19,5.25,5.15,5.21,108900.0
07/15/1998,16:00,5.25,5.27,5.13,5.25,511800.0
07/16/1998,16:00,5.27,5.53,5.27,5.53,392400.0
07/17/1998,16:00,5.57,5.61,5.39,5.53,377500.5
07/20/1998,16:00,5.49,5.57,5.49,5.53,200200.5
07/21/1998,16:00,5.49,5.57,5.33,5.41,499000.5
07/22/1998,16:00,5.45,5.68,5.45,5.67,415300.5
07/23/1998,16:00,5.68,5.76,5.41,5.45,447400.5
