Date,Time,Open,High,Low,Close,Vol
06/09/1992,16:00,2.38,2.38,2.06,2.22,3738000.0
06/10/1992,16:00,2.17,2.22,2.06,2.14,309600.0
06/11/1992,16:00,2.06,2.17,2.06,2.06,585600.0
06/12/1992,16:00,2.17,2.17,2.06,2.17,72000.0
06/15/1992,16:00,2.17,2.17,2.06,2.06,32800.0
06/16/1992,16:00,2.17,2.17,2.06,2.06,50000.0
06/17/1992,16:00,2.06,2.06,1.96,2.06,1230400.0
06/18/1992,16:00,2.06,2.06,1.96,2.06,17600.0
06/19/1992,16:00,1.96,1.96,1.96,1.96,133200.0
06/22/1992,16:00,1.96,2.06,1.96,1.96,29600.0
06/23/1992,16:00,1.96,2.01,1.90,1.93,1886800.0
06/24/1992,16:00,1.90,2.06,1.90,2.06,9600.0
06/25/1992,16:00,1.90,1.90,1.90,1.90,12000.0
06/26/1992,16:00,1.90,1.90,1.90,1.90,12000.0
06/29/1992,16:00,2.06,2.06,1.90,1.90,116000.0
06/30/1992,16:00,2.06,2.09,1.90,2.09,684000.0
07/01/1992,16:00,1.96,2.22,1.96,2.11,600800.0
07/02/1992,16:00,2.19,2.22,2.11,2.22,275200.0
07/06/1992,16:00,2.17,2.17,2.11,2.17,60400.0
07/07/1992,16:00,2.11,2.22,1.96,2.01,109600.0
07/08/1992,16:00,1.85,1.96,1.80,1.96,110800.0
07/09/1992,16:00,1.96,1.96,1.85,1.85,112000.0
07/10/1992,16:00,1.90,2.01,1.90,2.01,350800.0
07/13/1992,16:00,2.01,2.01,2.01,2.01,4800.0
07/14/1992,16:00,2.01,2.01,1.90,2.01,135200.0
07/15/1992,16:00,1.96,2.06,1.96,1.98,183200.0
07/16/1992,16:00,1.96,2.06,1.96,2.01,192400.0
07/17/1992,16:00,2.01,2.11,2.01,2.01,110800.0
07/20/1992,16:00,1.96,2.17,1.96,2.09,194400.0
07/21/1992,16:00,2.09,2.17,2.03,2.03,328000.0
07/22/1992,16:00,2.01,2.09,2.01,2.09,111600.0
07/23/1992,16:00,2.17,2.17,2.17,2.17,3600.0
07/24/1992,16:00,2.06,2.17,2.06,2.17,122000.0
07/27/1992,16:00,2.06,2.17,2.06,2.17,104000.0
07/28/1992,16:00,2.27,2.33,2.11,2.33,108800.0
07/29/1992,16:00,2.33,2.54,2.22,2.43,636800.0
07/30/1992,16:00,2.38,2.46,2.38,2.41,171600.0
07/31/1992,16:00,2.54,2.54,2.38,2.38,164800.0
08/03/1992,16:00,2.43,2.43,2.41,2.43,26000.0
08/04/1992,16:00,2.38,2.54,2.38,2.54,12000.0
08/05/1992,16:00,2.54,2.54,2.38,2.49,114000.0
08/06/1992,16:00,2.38,2.59,2.38,2.54,139600.0
08/07/1992,16:00,2.51,2.80,2.49,2.67,181200.0
08/10/1992,16:00,2.64,2.80,2.64,2.70,162000.0
08/11/1992,16:00,2.80,2.80,2.64,2.64,22800.0
08/12/1992,16:00,2.80,2.80,2.64,2.70,320800.0
08/13/1992,16:00,2.70,2.75,2.64,2.64,842400.0
08/14/1992,16:00,2.64,2.75,2.64,2.64,25600.0
08/17/1992,16:00,2.75,2.75,2.64,2.64,5200.0
08/18/1992,16:00,2.70,2.75,2.64,2.64,28400.0
08/19/1992,16:00,2.75,2.75,2.64,2.64,214800.0
08/20/1992,16:00,2.80,2.80,2.70,2.80,310000.0
08/21/1992,16:00,2.75,2.75,2.64,2.64,38400.0
08/24/1992,16:00,2.64,2.75,2.59,2.75,304400.0
08/25/1992,16:00,2.59,2.70,2.54,2.64,535200.0
08/26/1992,16:00,2.59,2.70,2.59,2.70,176000.0
08/27/1992,16:00,2.59,2.70,2.59,2.70,275200.0
08/28/1992,16:00,2.59,2.70,2.59,2.70,162000.0
08/31/1992,16:00,2.67,2.75,2.62,2.75,70800.0
09/01/1992,16:00,2.75,2.75,2.59,2.75,402000.0
09/02/1992,16:00,2.64,2.75,2.59,2.70,1909600.0
09/03/1992,16:00,2.75,3.07,2.75,3.01,627200.0
09/04/1992,16:00,3.01,3.01,2.91,2.96,609600.0
09/08/1992,16:00,3.01,3.01,2.91,2.94,7600.0
09/09/1992,16:00,3.01,3.01,3.01,3.01,3200.0
09/10/1992,16:00,2.91,3.07,2.91,3.07,151600.0
09/11/1992,16:00,3.07,3.17,3.07,3.17,238000.0
09/14/1992,16:00,3.17,3.28,3.12,3.28,181600.0
09/15/1992,16:00,3.28,3.28,3.12,3.25,62800.0
09/16/1992,16:00,3.28,3.39,3.12,3.36,520000.0
09/17/1992,16:00,3.49,3.49,3.39,3.49,213600.0
09/18/1992,16:00,3.54,3.60,3.44,3.54,284800.0
09/21/1992,16:00,3.54,3.76,3.49,3.76,234400.0
09/22/1992,16:00,3.76,3.92,3.65,3.86,326400.0
09/23/1992,16:00,3.92,3.92,3.65,3.76,349200.0
09/24/1992,16:00,3.81,3.81,3.70,3.78,78800.0
09/25/1992,16:00,3.81,3.81,3.65,3.81,69200.0
09/28/1992,16:00,3.65,3.81,3.65,3.76,104400.0
09/29/1992,16:00,3.81,3.81,3.70,3.70,51600.0
09/30/1992,16:00,3.81,3.86,3.70,3.86,112800.0
10/01/1992,16:00,3.70,3.86,3.70,3.81,7200.0
10/02/1992,16:00,3.70,3.76,3.70,3.70,32000.0
10/05/1992,16:00,3.68,3.70,3.49,3.60,637200.0
10/06/1992,16:00,3.49,3.76,3.49,3.76,72000.0
10/07/1992,16:00,3.76,3.76,3.65,3.65,4800.0
10/08/1992,16:00,3.70,3.97,3.70,3.94,143200.0
10/09/1992,16:00,3.86,3.97,3.86,3.97,31200.0
10/12/1992,16:00,3.97,3.97,3.86,3.97,74800.0
10/13/1992,16:00,3.97,3.97,3.86,3.86,38000.0
10/14/1992,16:00,3.97,3.97,3.86,3.97,75600.0
10/15/1992,16:00,3.86,4.02,3.86,4.02,172400.0
10/16/1992,16:00,3.97,4.02,3.86,3.97,117600.0
10/19/1992,16:00,4.02,4.02,3.86,3.97,408800.0
10/20/1992,16:00,4.02,4.02,3.86,4.02,385200.0
10/21/1992,16:00,4.02,4.02,3.86,4.02,41200.0
10/22/1992,16:00,3.86,4.02,3.86,4.02,4800.0
10/23/1992,16:00,3.86,4.02,3.86,4.02,21200.0
10/26/1992,16:00,4.02,4.07,3.86,4.07,78800.0
10/27/1992,16:00,3.97,4.13,3.97,4.13,122000.0
10/28/1992,16:00,4.13,4.29,3.97,4.29,66800.0
10/29/1992,16:00,4.29,4.29,3.70,4.02,302000.0
10/30/1992,16:00,3.60,3.70,3.39,3.65,824400.0
11/02/1992,16:00,3.60,3.76,3.54,3.60,33600.0
11/03/1992,16:00,3.54,3.76,3.54,3.73,62400.0
11/04/1992,16:00,3.76,3.76,3.65,3.76,83200.0
11/05/1992,16:00,3.76,3.76,3.70,3.76,19200.0
11/06/1992,16:00,3.76,3.76,3.60,3.62,24000.0
11/09/1992,16:00,3.54,3.70,3.54,3.54,84000.0
11/10/1992,16:00,3.70,3.76,3.54,3.76,197600.0
11/11/1992,16:00,3.76,3.92,3.76,3.92,75200.0
11/12/1992,16:00,3.92,3.92,3.92,3.92,25200.0
11/13/1992,16:00,3.92,4.02,3.76,4.02,51200.0
11/16/1992,16:00,4.02,4.02,3.89,3.92,51200.0
11/17/1992,16:00,3.86,3.94,3.86,3.94,10000.0
11/18/1992,16:00,3.86,3.97,3.81,3.97,466800.0
