Date,Time,Open,High,Low,Close,Vol
08/03/1999,16:00,21.75,22.25,17.88,18.19,9543400.0
08/04/1999,16:00,18.94,20.5,16.88,17.0,4731800.0
08/05/1999,16:00,17.06,17.13,13.5,16.0,2851900.0
08/06/1999,16:00,16.0,17.75,16.0,17.0,1411800.0
08/09/1999,16:00,17.75,17.94,14.94,16.0,583000.0
08/10/1999,16:00,15.88,15.88,14.0,14.88,585300.0
08/11/1999,16:00,15.44,15.88,14.0,14.31,681500.0
08/12/1999,16:00,14.44,14.75,13.81,14.31,540400.0
08/13/1999,16:00,14.56,15.75,14.38,14.75,778600.0
08/16/1999,16:00,14.63,17.69,14.5,16.75,1628700.0
08/17/1999,16:00,18.25,18.38,16.25,17.06,852300.0
08/18/1999,16:00,17.25,17.25,16.19,16.25,289200.0
08/19/1999,16:00,16.5,17.06,16.13,16.5,505800.0
08/20/1999,16:00,16.88,17.0,15.63,16.0,597300.0
08/23/1999,16:00,16.88,17.13,16.31,17.0,665500.0
08/24/1999,16:00,16.88,18.81,16.5,18.19,1378000.0
08/25/1999,16:00,19.0,19.88,18.75,19.06,897100.0
08/26/1999,16:00,19.25,22.0,19.25,20.06,1587500.0
08/27/1999,16:00,20.63,21.5,19.0,20.75,1117700.0
08/30/1999,16:00,21.75,23.19,18.38,18.56,3260700.0
08/31/1999,16:00,18.98,19.56,17.13,18.0,1281300.0
09/01/1999,16:00,18.81,18.88,17.5,17.69,409800.0
09/02/1999,16:00,16.5,17.63,16.5,17.06,358200.0
09/03/1999,16:00,18.06,18.13,17.25,17.38,507600.0
09/07/1999,16:00,17.88,18.5,17.38,18.5,480300.0
09/08/1999,16:00,18.44,19.75,17.63,19.63,721900.0
09/09/1999,16:00,18.63,18.63,17.13,17.13,695000.0
09/10/1999,16:00,17.5,17.81,16.75,16.88,541800.0
09/13/1999,16:00,16.75,16.88,15.88,16.31,330900.0
09/14/1999,16:00,18.31,19.5,17.19,17.31,1689400.0
09/15/1999,16:00,17.75,18.0,17.19,17.19,269000.0
09/16/1999,16:00,17.13,17.13,16.25,16.56,152800.0
09/17/1999,16:00,16.63,17.5,16.5,16.69,145200.0
09/20/1999,16:00,17.25,17.5,16.0,16.38,234300.0
09/21/1999,16:00,16.0,16.75,16.0,16.56,172600.0
09/22/1999,16:00,16.75,16.75,15.75,15.94,237500.0
09/23/1999,16:00,16.06,16.38,15.63,15.81,335300.0
09/24/1999,16:00,15.5,15.81,14.5,14.63,308300.0
09/27/1999,16:00,15.38,15.75,14.5,15.0,215400.0
09/28/1999,16:00,15.0,15.0,14.13,14.44,166200.0
09/29/1999,16:00,14.19,16.38,14.06,14.94,365800.0
09/30/1999,16:00,14.94,14.94,14.25,14.44,145800.0
10/01/1999,16:00,14.19,14.44,13.31,13.47,309200.0
10/04/1999,16:00,13.44,13.75,12.06,12.63,467800.0
10/05/1999,16:00,12.63,15.13,11.88,14.88,790400.0
10/06/1999,16:00,14.25,15.13,13.25,14.19,227900.0
10/07/1999,16:00,15.0,15.38,14.13,15.0,312900.0
10/08/1999,16:00,14.91,15.0,14.63,14.75,127200.0
10/11/1999,16:00,15.0,15.13,14.5,14.69,123600.0
10/12/1999,16:00,14.88,15.31,14.63,15.19,245900.0
10/13/1999,16:00,14.88,15.0,14.0,14.19,127700.0
10/14/1999,16:00,14.25,14.75,13.69,14.19,82600.0
10/15/1999,16:00,13.56,13.75,12.63,13.31,125500.0
10/18/1999,16:00,13.13,13.19,12.13,12.75,200100.0
10/19/1999,16:00,12.75,13.75,12.63,13.38,177500.0
10/20/1999,16:00,13.44,13.88,13.13,13.5,115200.0
10/21/1999,16:00,13.63,13.63,12.75,13.31,110600.0
10/22/1999,16:00,13.38,13.44,13.0,13.13,71300.0
10/25/1999,16:00,13.0,13.13,12.06,12.38,231100.0
10/26/1999,16:00,12.5,13.5,12.38,12.94,129900.0
10/27/1999,16:00,13.13,13.25,12.19,12.25,155100.0
10/28/1999,16:00,12.56,13.25,12.5,12.56,207300.0
10/29/1999,16:00,12.75,13.25,12.58,12.88,213300.0
11/01/1999,16:00,12.81,12.88,12.25,12.44,116100.0
11/02/1999,16:00,12.38,12.69,12.19,12.44,197800.0
11/03/1999,16:00,12.5,12.5,12.0,12.19,173800.0
11/04/1999,16:00,12.75,12.75,12.0,12.13,208000.0
11/05/1999,16:00,12.44,12.5,12.06,12.25,150100.0
11/08/1999,16:00,12.13,13.13,11.75,12.38,286400.0
11/09/1999,16:00,12.38,12.75,12.13,12.44,270100.0
11/10/1999,16:00,12.75,13.0,12.5,12.69,329500.0
11/11/1999,16:00,12.75,14.13,12.63,13.75,472000.0
11/12/1999,16:00,14.06,14.13,13.0,13.38,274500.0
11/15/1999,16:00,13.5,14.19,13.0,13.13,330800.0
11/16/1999,16:00,13.75,14.0,13.38,13.63,192500.0
11/17/1999,16:00,13.91,14.75,13.5,14.38,264700.0
11/18/1999,16:00,14.5,14.63,13.81,14.19,201400.0
11/19/1999,16:00,14.31,14.75,13.5,13.56,336800.0
11/22/1999,16:00,13.88,14.88,13.63,14.06,673700.0
11/23/1999,16:00,14.13,14.5,13.75,14.06,259100.0
11/24/1999,16:00,14.25,14.38,13.63,13.81,201100.0
11/26/1999,16:00,15.0,16.5,15.0,15.5,615300.0
11/29/1999,16:00,16.19,17.06,15.63,16.56,591700.0
11/30/1999,16:00,16.81,16.88,15.38,15.75,384400.0
12/01/1999,16:00,15.56,15.75,14.75,15.13,230900.0
12/02/1999,16:00,15.25,15.38,14.75,14.75,451900.0
12/03/1999,16:00,14.81,16.0,14.63,15.81,426600.0
12/06/1999,16:00,16.13,16.25,15.25,15.38,216900.0
12/07/1999,16:00,15.63,16.0,15.25,15.5,274100.0
