Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,3.41,3.41,3.28,3.28,6000.9765625
03/27/1990,16:00,3.28,3.41,3.28,3.41,8898.92578125
03/28/1990,16:00,3.37,3.37,3.28,3.28,6000.9765625
03/29/1990,16:00,3.30,3.37,3.30,3.37,8898.92578125
03/30/1990,16:00,3.26,3.32,3.24,3.24,51398.92578125
04/02/1990,16:00,3.24,3.32,3.24,3.32,13100.5859375
04/03/1990,16:00,3.32,3.32,3.28,3.28,6398.92578125
04/04/1990,16:00,3.28,3.32,3.20,3.20,25100.09765625
04/05/1990,16:00,3.20,3.32,3.20,3.32,5200.1953125
04/06/1990,16:00,3.32,3.32,3.20,3.28,6599.12109375
04/09/1990,16:00,3.28,3.28,3.15,3.20,12900.390625
04/10/1990,16:00,3.20,3.20,3.07,3.20,14199.21875
04/11/1990,16:00,3.20,3.20,3.07,3.17,6000.9765625
04/12/1990,16:00,3.17,3.20,3.07,3.20,30500.48828125
04/16/1990,16:00,3.20,3.20,3.07,3.20,122900.390625
04/17/1990,16:00,3.20,3.20,3.13,3.20,6398.92578125
04/18/1990,16:00,3.20,3.20,3.07,3.07,22299.8046875
04/19/1990,16:00,3.07,3.15,2.94,3.07,24799.8046875
04/20/1990,16:00,3.07,3.07,2.94,3.02,36999.51171875
04/23/1990,16:00,3.02,3.07,2.90,2.90,15900.87890625
04/24/1990,16:00,2.90,3.02,2.90,2.90,21699.21875
04/25/1990,16:00,2.90,2.98,2.81,2.88,8898.92578125
04/26/1990,16:00,2.88,2.98,2.88,2.88,1201.171875
04/27/1990,16:00,2.88,2.98,2.88,2.98,8898.92578125
04/30/1990,16:00,2.98,2.98,2.81,2.88,11599.12109375
05/01/1990,16:00,2.88,2.98,2.81,2.81,4199.21875
05/02/1990,16:00,2.81,2.98,2.81,2.96,18100.5859375
05/03/1990,16:00,2.96,2.98,2.81,2.81,39099.12109375
05/04/1990,16:00,2.81,2.90,2.81,2.85,52099.609375
05/07/1990,16:00,2.85,2.90,2.81,2.90,7299.8046875
05/08/1990,16:00,2.90,2.90,2.81,2.90,6398.92578125
05/09/1990,16:00,2.90,2.90,2.81,2.81,58200.68359375
05/10/1990,16:00,2.83,2.90,2.83,2.90,75100.09765625
05/11/1990,16:00,2.90,2.90,2.85,2.85,2199.70703125
05/14/1990,16:00,2.85,2.90,2.81,2.90,9599.609375
05/15/1990,16:00,2.90,2.90,2.81,2.90,5700.68359375
05/16/1990,16:00,2.90,2.90,2.81,2.90,11799.31640625
05/17/1990,16:00,2.90,2.90,2.90,2.90,4199.21875
05/18/1990,16:00,2.90,2.90,2.81,2.90,25300.29296875
05/21/1990,16:00,2.90,2.90,2.79,2.79,84599.609375
05/22/1990,16:00,2.79,2.90,2.77,2.90,9399.4140625
05/23/1990,16:00,2.88,2.88,2.77,2.85,34099.12109375
05/24/1990,16:00,2.85,2.85,2.85,2.85,1599.12109375
05/25/1990,16:00,2.85,2.88,2.77,2.88,47800.29296875
05/29/1990,16:00,2.88,2.90,2.81,2.85,8999.0234375
05/30/1990,16:00,2.85,2.90,2.81,2.81,18500.9765625
05/31/1990,16:00,2.81,2.90,2.81,2.90,85300.29296875
06/01/1990,16:00,2.90,2.90,2.85,2.90,13200.68359375
06/04/1990,16:00,2.90,2.90,2.81,2.85,10600.5859375
06/05/1990,16:00,2.85,2.90,2.81,2.90,43300.78125
06/06/1990,16:00,2.90,2.90,2.90,2.90,2199.70703125
06/07/1990,16:00,2.90,2.90,2.81,2.90,12900.390625
06/08/1990,16:00,2.90,2.90,2.90,2.90,3100.5859375
06/11/1990,16:00,2.90,2.90,2.90,2.90,5700.68359375
06/12/1990,16:00,2.90,2.90,2.81,2.90,35800.78125
06/13/1990,16:00,2.90,2.90,2.90,2.90,200.1953125
06/14/1990,16:00,2.90,2.90,2.83,2.90,20500.48828125
06/15/1990,16:00,2.90,2.90,2.90,2.90,2199.70703125
06/18/1990,16:00,2.93,2.93,2.80,2.89,14199.21875
06/19/1990,16:00,2.89,2.89,2.80,2.80,16000.9765625
06/20/1990,16:00,2.80,2.89,2.76,2.89,183898.92578125
06/21/1990,16:00,2.89,2.89,2.76,2.87,11799.31640625
06/22/1990,16:00,2.87,2.89,2.76,2.84,41699.21875
06/25/1990,16:00,2.84,2.89,2.84,2.89,200.1953125
06/26/1990,16:00,2.89,2.89,2.76,2.89,12199.70703125
06/27/1990,16:00,2.89,2.89,2.76,2.76,21499.0234375
06/28/1990,16:00,2.84,2.89,2.84,2.89,300.29296875
06/29/1990,16:00,2.89,2.89,2.76,2.89,31799.31640625
07/02/1990,16:00,2.89,2.89,2.78,2.89,9399.4140625
07/03/1990,16:00,2.89,2.89,2.80,2.89,6999.51171875
07/05/1990,16:00,2.89,2.89,2.80,2.89,64499.51171875
07/06/1990,16:00,2.89,2.89,2.89,2.89,800.78125
07/09/1990,16:00,2.89,2.89,2.80,2.80,11599.12109375
07/10/1990,16:00,2.80,2.89,2.80,2.80,17600.09765625
07/11/1990,16:00,2.80,2.89,2.76,2.89,2900.390625
07/12/1990,16:00,2.89,2.89,2.76,2.89,6000.9765625
07/13/1990,16:00,2.89,2.89,2.76,2.82,7600.09765625
07/16/1990,16:00,2.82,2.89,2.76,2.80,109899.90234375
07/17/1990,16:00,2.80,2.89,2.80,2.84,48200.68359375
07/18/1990,16:00,2.84,2.89,2.80,2.82,40500.48828125
07/19/1990,16:00,2.82,2.89,2.80,2.80,10600.5859375
07/20/1990,16:00,2.80,2.89,2.80,2.89,9399.4140625
07/23/1990,16:00,2.89,2.89,2.80,2.82,6599.12109375
07/24/1990,16:00,2.82,2.89,2.80,2.89,13200.68359375
07/25/1990,16:00,2.89,2.89,2.76,2.82,61398.92578125
07/26/1990,16:00,2.82,2.84,2.76,2.76,9399.4140625
07/27/1990,16:00,2.76,2.89,2.76,2.76,36000.9765625
07/30/1990,16:00,2.76,2.80,2.72,2.72,24799.8046875
07/31/1990,16:00,2.72,2.76,2.72,2.72,21999.51171875
08/01/1990,16:00,2.72,2.76,2.72,2.72,19399.4140625
08/02/1990,16:00,2.72,2.76,2.67,2.67,23898.92578125
08/03/1990,16:00,2.67,2.76,2.67,2.69,19399.4140625
08/06/1990,16:00,2.67,2.67,2.59,2.65,48400.87890625
08/07/1990,16:00,2.67,2.67,2.61,2.65,70600.5859375
08/08/1990,16:00,2.65,2.65,2.59,2.63,65700.68359375
08/09/1990,16:00,2.63,2.63,2.59,2.63,9899.90234375
08/10/1990,16:00,2.63,2.63,2.57,2.59,24099.12109375
08/13/1990,16:00,2.57,2.63,2.57,2.59,9899.90234375
08/14/1990,16:00,2.63,2.63,2.57,2.59,37900.390625
08/15/1990,16:00,2.61,2.61,2.59,2.59,6599.12109375
08/16/1990,16:00,2.61,2.61,2.57,2.61,7299.8046875
08/17/1990,16:00,2.57,2.61,2.54,2.54,51398.92578125
08/20/1990,16:00,2.52,2.61,2.52,2.52,7299.8046875
08/21/1990,16:00,2.59,2.59,2.46,2.59,66799.31640625
