Date,Time,Open,High,Low,Close,Vol
05/03/1973,16:00,0.43,0.52,0.43,0.43,16301.333333333
05/04/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/07/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/08/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/09/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/10/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/11/1973,16:00,0.43,0.52,0.43,0.43,701.3333333333
05/14/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/15/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/16/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/17/1973,16:00,0.43,0.52,0.43,0.43,0.0
05/18/1973,16:00,0.43,0.46,0.41,0.41,701.3333333333
05/21/1973,16:00,0.41,0.46,0.38,0.38,3701.3333333331
05/22/1973,16:00,0.38,0.46,0.38,0.38,0.0
05/23/1973,16:00,0.38,0.43,0.38,0.38,0.0
05/24/1973,16:00,0.29,0.29,0.27,0.27,76101.33333333
05/25/1973,16:00,0.27,0.27,0.27,0.27,84999.999999996
05/29/1973,16:00,0.27,0.27,0.27,0.27,2101.3333333332
05/30/1973,16:00,0.27,0.27,0.27,0.27,701.3333333333
05/31/1973,16:00,0.27,0.27,0.27,0.27,0.0
06/01/1973,16:00,0.27,0.27,0.25,0.25,0.0
06/04/1973,16:00,0.25,0.27,0.21,0.21,19399.999999999
06/05/1973,16:00,0.21,0.27,0.21,0.21,30199.999999998
06/06/1973,16:00,0.21,0.27,0.21,0.21,0.0
06/07/1973,16:00,0.21,0.27,0.21,0.21,96799.999999995
06/08/1973,16:00,0.21,0.27,0.21,0.21,101.33333333333
06/11/1973,16:00,0.21,0.27,0.21,0.21,101.33333333333
06/12/1973,16:00,0.21,0.27,0.21,0.21,0.0
06/13/1973,16:00,0.27,0.27,0.27,0.27,0.0
06/14/1973,16:00,0.27,0.27,0.27,0.27,0.0
06/15/1973,16:00,0.27,0.27,0.27,0.27,0.0
06/18/1973,16:00,0.27,0.27,0.27,0.27,15701.333333333
06/19/1973,16:00,0.27,0.27,0.27,0.27,2199.9999999999
06/20/1973,16:00,0.27,0.27,0.27,0.27,2199.9999999999
06/21/1973,16:00,0.27,0.27,0.27,0.27,48101.333333331
06/22/1973,16:00,0.27,0.27,0.27,0.27,101.33333333333
06/25/1973,16:00,0.27,0.29,0.27,0.27,3701.3333333331
06/26/1973,16:00,0.27,0.29,0.27,0.27,3701.3333333331
06/27/1973,16:00,0.29,0.35,0.29,0.29,101.33333333333
06/28/1973,16:00,0.38,0.41,0.38,0.38,27101.333333332
06/29/1973,16:00,0.38,0.41,0.38,0.38,15701.333333333
07/02/1973,16:00,0.38,0.38,0.35,0.35,2101.3333333332
07/03/1973,16:00,0.29,0.29,0.27,0.27,25501.333333332
07/05/1973,16:00,0.27,0.29,0.27,0.27,0.0
07/06/1973,16:00,0.27,0.27,0.27,0.27,18301.333333332
07/09/1973,16:00,0.27,0.27,0.27,0.27,701.3333333333
07/10/1973,16:00,0.27,0.27,0.27,0.27,3701.3333333331
07/11/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/12/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/13/1973,16:00,0.27,0.27,0.27,0.27,3701.3333333331
07/16/1973,16:00,0.27,0.27,0.27,0.27,27101.333333332
07/17/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/18/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/19/1973,16:00,0.27,0.27,0.27,0.27,101.33333333333
07/20/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/23/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/24/1973,16:00,0.27,0.27,0.27,0.27,3701.3333333331
07/25/1973,16:00,0.27,0.27,0.27,0.27,55901.333333331
07/26/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/27/1973,16:00,0.27,0.27,0.27,0.27,11599.999999999
07/30/1973,16:00,0.27,0.27,0.27,0.27,0.0
07/31/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/01/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/02/1973,16:00,0.27,0.27,0.27,0.27,2199.9999999999
08/03/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/06/1973,16:00,0.27,0.27,0.27,0.27,101.33333333333
08/07/1973,16:00,0.27,0.27,0.27,0.27,701.3333333333
08/08/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/09/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/10/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/13/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/14/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/15/1973,16:00,0.27,0.27,0.27,0.27,12399.999999999
08/16/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/17/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/20/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/21/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/22/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/23/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/24/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/27/1973,16:00,0.27,0.27,0.27,0.27,701.3333333333
08/28/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/29/1973,16:00,0.27,0.27,0.27,0.27,0.0
08/30/1973,16:00,0.27,0.27,0.27,0.27,3701.3333333331
08/31/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/04/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/05/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/06/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/07/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/10/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/11/1973,16:00,0.27,0.27,0.27,0.27,16301.333333333
09/12/1973,16:00,0.27,0.27,0.27,0.27,37399.999999998
09/13/1973,16:00,0.27,0.27,0.27,0.27,701.3333333333
09/14/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/17/1973,16:00,0.27,0.27,0.27,0.27,2199.9999999999
09/18/1973,16:00,0.27,0.27,0.27,0.27,24701.333333332
09/19/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/20/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/21/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/24/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/25/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/26/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/27/1973,16:00,0.27,0.27,0.27,0.27,0.0
09/28/1973,16:00,0.27,0.27,0.27,0.27,2101.3333333332
10/01/1973,16:00,0.27,0.27,0.27,0.27,0.0
10/02/1973,16:00,0.27,0.27,0.27,0.27,0.0
10/03/1973,16:00,0.27,0.27,0.27,0.27,3701.3333333331
10/04/1973,16:00,0.27,0.27,0.27,0.27,3701.3333333331
10/05/1973,16:00,0.27,0.27,0.27,0.27,0.0
10/08/1973,16:00,0.27,0.29,0.27,0.27,12399.999999999
10/09/1973,16:00,0.27,0.29,0.27,0.27,101.33333333333
10/10/1973,16:00,0.27,0.29,0.27,0.27,2199.9999999999
10/11/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/12/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/15/1973,16:00,0.27,0.29,0.27,0.27,12399.999999999
10/16/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/17/1973,16:00,0.27,0.29,0.27,0.27,101.33333333333
10/18/1973,16:00,0.27,0.29,0.27,0.27,11599.999999999
10/19/1973,16:00,0.27,0.29,0.27,0.27,3701.3333333331
10/22/1973,16:00,0.27,0.29,0.27,0.27,25501.333333332
10/23/1973,16:00,0.27,0.29,0.27,0.27,2101.3333333332
10/24/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/25/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/26/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/29/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/30/1973,16:00,0.27,0.29,0.27,0.27,0.0
10/31/1973,16:00,0.27,0.29,0.27,0.27,2101.3333333332
11/01/1973,16:00,0.27,0.29,0.27,0.27,701.3333333333
11/02/1973,16:00,0.27,0.29,0.27,0.27,0.0
11/05/1973,16:00,0.27,0.27,0.27,0.27,0.0
11/06/1973,16:00,0.27,0.27,0.27,0.27,0.0
11/07/1973,16:00,0.27,0.27,0.27,0.27,701.3333333333
11/08/1973,16:00,0.27,0.27,0.27,0.27,12399.999999999
11/09/1973,16:00,0.27,0.27,0.21,0.21,41199.999999998
11/12/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/13/1973,16:00,0.21,0.27,0.21,0.21,11599.999999999
11/14/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/15/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/16/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/19/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/20/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/21/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/23/1973,16:00,0.21,0.27,0.21,0.21,148301.33333333
11/26/1973,16:00,0.21,0.27,0.21,0.21,0.0
11/27/1973,16:00,0.21,0.27,0.21,0.21,12399.999999999
11/28/1973,16:00,0.27,0.27,0.27,0.27,25501.333333332
11/29/1973,16:00,0.27,0.27,0.25,0.25,11599.999999999
11/30/1973,16:00,0.25,0.27,0.25,0.25,0.0
12/03/1973,16:00,0.27,0.27,0.27,0.27,0.0
12/04/1973,16:00,0.27,0.27,0.27,0.27,101.33333333333
12/05/1973,16:00,0.27,0.27,0.27,0.27,0.0
12/06/1973,16:00,0.27,0.27,0.25,0.25,2101.3333333332
12/07/1973,16:00,0.25,0.27,0.21,0.21,0.0
12/10/1973,16:00,0.21,0.27,0.21,0.21,3701.3333333331
12/11/1973,16:00,0.21,0.27,0.21,0.21,15701.333333333
12/12/1973,16:00,0.21,0.25,0.21,0.21,0.0
12/13/1973,16:00,0.21,0.21,0.19,0.19,12399.999999999
12/14/1973,16:00,0.19,0.21,0.16,0.16,48101.333333331
12/17/1973,16:00,0.19,0.21,0.19,0.19,23399.999999999
12/18/1973,16:00,0.19,0.21,0.16,0.16,27101.333333332
12/19/1973,16:00,0.19,0.21,0.19,0.19,2199.9999999999
12/20/1973,16:00,0.19,0.21,0.19,0.19,0.0
12/21/1973,16:00,0.19,0.21,0.19,0.19,0.0
12/24/1973,16:00,0.19,0.21,0.19,0.19,0.0
12/26/1973,16:00,0.21,0.21,0.21,0.21,3701.3333333331
12/27/1973,16:00,0.21,0.21,0.21,0.21,701.3333333333
12/28/1973,16:00,0.21,0.21,0.21,0.21,15701.333333333
12/31/1973,16:00,0.21,0.21,0.21,0.21,18301.333333332
01/02/1974,16:00,0.21,0.21,0.21,0.21,11599.999999999
01/03/1974,16:00,0.21,0.21,0.21,0.21,0.0
01/04/1974,16:00,0.21,0.21,0.21,0.21,0.0
01/07/1974,16:00,0.21,0.27,0.21,0.21,2101.3333333332
01/08/1974,16:00,0.25,0.27,0.25,0.25,0.0
01/09/1974,16:00,0.25,0.27,0.25,0.25,15701.333333333
01/10/1974,16:00,0.25,0.27,0.25,0.25,0.0
01/11/1974,16:00,0.25,0.27,0.25,0.25,0.0
01/14/1974,16:00,0.25,0.27,0.25,0.25,74301.33333333
01/15/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/16/1974,16:00,0.27,0.27,0.27,0.27,25501.333333332
01/17/1974,16:00,0.27,0.27,0.27,0.27,701.3333333333
01/18/1974,16:00,0.27,0.27,0.27,0.27,2101.3333333332
01/21/1974,16:00,0.27,0.27,0.27,0.27,11599.999999999
01/22/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/23/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/24/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/25/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/28/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/29/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/30/1974,16:00,0.27,0.27,0.27,0.27,0.0
01/31/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/01/1974,16:00,0.27,0.27,0.27,0.27,101.33333333333
02/04/1974,16:00,0.27,0.27,0.27,0.27,2199.9999999999
02/05/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/06/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/07/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/08/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/11/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/12/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/13/1974,16:00,0.27,0.27,0.27,0.27,12399.999999999
02/14/1974,16:00,0.27,0.27,0.27,0.27,101.33333333333
02/15/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/19/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/20/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/21/1974,16:00,0.27,0.27,0.27,0.27,3701.3333333331
02/22/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/25/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/26/1974,16:00,0.27,0.27,0.27,0.27,76101.33333333
02/27/1974,16:00,0.27,0.27,0.27,0.27,0.0
02/28/1974,16:00,0.27,0.27,0.27,0.27,0.0
03/01/1974,16:00,0.27,0.27,0.27,0.27,0.0
03/04/1974,16:00,0.27,0.27,0.27,0.27,0.0
03/05/1974,16:00,0.27,0.27,0.27,0.27,0.0
03/06/1974,16:00,0.27,0.27,0.27,0.27,0.0
03/07/1974,16:00,0.27,0.27,0.27,0.27,2101.3333333332
03/08/1974,16:00,0.27,0.27,0.27,0.27,11599.999999999
03/11/1974,16:00,0.27,0.27,0.27,0.27,16301.333333333
03/12/1974,16:00,0.27,0.27,0.27,0.27,12399.999999999
03/13/1974,16:00,0.27,0.27,0.27,0.27,55901.333333331
03/14/1974,16:00,0.27,0.27,0.27,0.27,19399.999999999
03/15/1974,16:00,0.38,0.46,0.38,0.38,114701.33333333
03/18/1974,16:00,0.35,0.35,0.29,0.29,88199.999999996
03/19/1974,16:00,0.29,0.38,0.29,0.29,3701.3333333331
03/20/1974,16:00,0.38,0.43,0.38,0.38,48101.333333331
03/21/1974,16:00,0.38,0.38,0.35,0.35,34301.333333332
03/22/1974,16:00,0.35,0.38,0.35,0.35,19399.999999999
03/25/1974,16:00,0.38,0.43,0.38,0.38,11599.999999999
03/26/1974,16:00,0.38,0.41,0.38,0.38,101.33333333333
03/27/1974,16:00,0.38,0.41,0.38,0.38,3701.3333333331
03/28/1974,16:00,0.38,0.38,0.35,0.35,101.33333333333
03/29/1974,16:00,0.35,0.38,0.35,0.35,2101.3333333332
04/01/1974,16:00,0.35,0.38,0.35,0.35,3701.3333333331
04/02/1974,16:00,0.35,0.38,0.35,0.35,15701.333333333
04/03/1974,16:00,0.35,0.38,0.35,0.35,2101.3333333332
04/04/1974,16:00,0.35,0.38,0.35,0.35,0.0
04/05/1974,16:00,0.35,0.38,0.35,0.35,0.0
04/08/1974,16:00,0.35,0.38,0.35,0.35,0.0
04/09/1974,16:00,0.35,0.38,0.35,0.35,0.0
04/10/1974,16:00,0.38,0.41,0.38,0.38,0.0
04/11/1974,16:00,0.38,0.41,0.38,0.38,48101.333333331
04/15/1974,16:00,0.38,0.41,0.38,0.38,0.0
04/16/1974,16:00,0.38,0.43,0.38,0.38,0.0
04/17/1974,16:00,0.38,0.41,0.38,0.38,0.0
04/18/1974,16:00,0.38,0.41,0.38,0.38,0.0
04/19/1974,16:00,0.38,0.41,0.38,0.38,2101.3333333332
04/22/1974,16:00,0.38,0.41,0.38,0.38,0.0
04/23/1974,16:00,0.38,0.41,0.38,0.38,0.0
04/24/1974,16:00,0.38,0.41,0.38,0.38,0.0
04/25/1974,16:00,0.38,0.38,0.29,0.29,19399.999999999
04/26/1974,16:00,0.29,0.38,0.29,0.29,0.0
04/29/1974,16:00,0.29,0.38,0.29,0.29,0.0
04/30/1974,16:00,0.29,0.38,0.29,0.29,11599.999999999
05/01/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/02/1974,16:00,0.35,0.38,0.35,0.35,2199.9999999999
05/03/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/06/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/07/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/08/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/09/1974,16:00,0.35,0.38,0.35,0.35,101.33333333333
05/10/1974,16:00,0.38,0.41,0.38,0.38,0.0
05/13/1974,16:00,0.38,0.38,0.35,0.35,0.0
05/14/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/15/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/16/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/17/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/20/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/21/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/22/1974,16:00,0.35,0.38,0.29,0.29,2199.9999999999
05/23/1974,16:00,0.35,0.38,0.35,0.35,0.0
05/24/1974,16:00,0.35,0.38,0.29,0.29,0.0
05/28/1974,16:00,0.29,0.38,0.29,0.29,0.0
05/29/1974,16:00,0.29,0.38,0.29,0.29,0.0
05/30/1974,16:00,0.29,0.38,0.29,0.29,2199.9999999999
05/31/1974,16:00,0.29,0.38,0.29,0.29,0.0
06/03/1974,16:00,0.29,0.35,0.29,0.29,3701.3333333331
06/04/1974,16:00,0.29,0.35,0.29,0.29,0.0
06/05/1974,16:00,0.29,0.29,0.27,0.27,0.0
06/06/1974,16:00,0.27,0.29,0.27,0.27,0.0
06/07/1974,16:00,0.27,0.29,0.27,0.27,0.0
06/10/1974,16:00,0.29,0.35,0.29,0.29,15701.333333333
06/11/1974,16:00,0.29,0.35,0.29,0.29,0.0
06/12/1974,16:00,0.29,0.29,0.27,0.27,2199.9999999999
06/13/1974,16:00,0.27,0.29,0.27,0.27,0.0
06/14/1974,16:00,0.27,0.29,0.27,0.27,16301.333333333
06/17/1974,16:00,0.29,0.35,0.29,0.29,12399.999999999
06/18/1974,16:00,0.29,0.35,0.29,0.29,2101.3333333332
06/19/1974,16:00,0.29,0.38,0.29,0.29,2101.3333333332
06/20/1974,16:00,0.29,0.38,0.29,0.29,30199.999999998
06/21/1974,16:00,0.29,0.38,0.29,0.29,0.0
06/24/1974,16:00,0.29,0.35,0.29,0.29,0.0
06/25/1974,16:00,0.29,0.35,0.29,0.29,2101.3333333332
06/26/1974,16:00,0.29,0.35,0.29,0.29,0.0
06/27/1974,16:00,0.29,0.35,0.29,0.29,0.0
06/28/1974,16:00,0.29,0.35,0.29,0.29,0.0
07/01/1974,16:00,0.29,0.35,0.29,0.29,0.0
07/02/1974,16:00,0.29,0.35,0.29,0.29,30199.999999998
07/03/1974,16:00,0.29,0.35,0.29,0.29,0.0
07/05/1974,16:00,0.29,0.35,0.29,0.29,0.0
07/08/1974,16:00,0.29,0.35,0.29,0.29,0.0
07/09/1974,16:00,0.29,0.35,0.29,0.29,701.3333333333
07/10/1974,16:00,0.29,0.29,0.27,0.27,0.0
07/11/1974,16:00,0.27,0.29,0.27,0.27,2199.9999999999
07/12/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/15/1974,16:00,0.27,0.29,0.27,0.27,12399.999999999
07/16/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/17/1974,16:00,0.27,0.29,0.27,0.27,18301.333333332
07/18/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/19/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/22/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/23/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/24/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/25/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/26/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/29/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/30/1974,16:00,0.27,0.29,0.27,0.27,0.0
07/31/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/01/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/02/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/05/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/06/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/07/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/08/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/09/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/12/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/13/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/14/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/15/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/16/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/19/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/20/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/21/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/22/1974,16:00,0.27,0.29,0.27,0.27,2101.3333333332
08/23/1974,16:00,0.27,0.29,0.27,0.27,12399.999999999
08/26/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/27/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/28/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/29/1974,16:00,0.27,0.29,0.27,0.27,0.0
08/30/1974,16:00,0.27,0.29,0.27,0.27,0.0
09/03/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/04/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/05/1974,16:00,0.27,0.27,0.27,0.27,2199.9999999999
09/06/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/09/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/10/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/11/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/12/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/13/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/16/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/17/1974,16:00,0.27,0.27,0.27,0.27,11599.999999999
09/18/1974,16:00,0.27,0.27,0.27,0.27,11599.999999999
09/19/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/20/1974,16:00,0.27,0.27,0.27,0.27,12399.999999999
09/23/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/24/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/25/1974,16:00,0.27,0.27,0.27,0.27,12399.999999999
09/26/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/27/1974,16:00,0.27,0.27,0.27,0.27,0.0
09/30/1974,16:00,0.27,0.27,0.27,0.27,0.0
10/01/1974,16:00,0.27,0.27,0.27,0.27,0.0
10/02/1974,16:00,0.27,0.27,0.27,0.27,101.33333333333
10/03/1974,16:00,0.27,0.27,0.27,0.27,0.0
10/04/1974,16:00,0.27,0.27,0.27,0.27,0.0
10/07/1974,16:00,0.27,0.27,0.27,0.27,0.0
10/08/1974,16:00,0.27,0.27,0.27,0.27,0.0
10/09/1974,16:00,0.27,0.27,0.27,0.27,0.0
10/10/1974,16:00,0.27,0.27,0.27,0.27,0.0
