Date,Time,Open,High,Low,Close,Vol
02/02/1981,16:00,4.48,4.48,4.34,4.34,56300.0
02/03/1981,16:00,4.34,4.40,4.23,4.40,73300.0
02/04/1981,16:00,4.40,4.48,4.37,4.42,66500.0
02/05/1981,16:00,4.42,4.56,4.42,4.56,81800.0
02/06/1981,16:00,4.62,4.73,4.62,4.62,130800.0
02/09/1981,16:00,4.62,4.70,4.56,4.56,67600.0
02/10/1981,16:00,4.56,4.73,4.56,4.73,243900.0
02/11/1981,16:00,4.73,4.79,4.70,4.79,108000.0
02/12/1981,16:00,4.79,4.87,4.73,4.76,149000.0
02/13/1981,16:00,4.76,4.76,4.59,4.62,73300.0
02/17/1981,16:00,4.62,4.73,4.62,4.68,67600.0
02/18/1981,16:00,4.73,4.87,4.73,4.87,293400.0
02/19/1981,16:00,4.87,4.87,4.65,4.68,85300.0
02/20/1981,16:00,4.68,4.73,4.68,4.73,42600.0
02/23/1981,16:00,4.73,4.84,4.68,4.79,54500.0
02/24/1981,16:00,4.79,4.95,4.76,4.95,213200.0
02/25/1981,16:00,4.87,4.87,4.76,4.87,77300.0
02/26/1981,16:00,4.87,5.01,4.84,4.98,262100.0
02/27/1981,16:00,4.98,5.01,4.90,5.01,108600.0
03/02/1981,16:00,5.01,5.04,4.98,5.01,108600.0
03/03/1981,16:00,5.01,5.01,4.76,4.79,502700.0
03/04/1981,16:00,4.79,4.95,4.79,4.95,312200.0
03/05/1981,16:00,4.90,4.90,4.84,4.87,61900.0
03/06/1981,16:00,4.87,4.87,4.76,4.87,109100.0
03/09/1981,16:00,4.87,4.98,4.84,4.98,320700.0
03/10/1981,16:00,5.01,5.26,5.01,5.20,485600.0
03/11/1981,16:00,5.20,5.32,5.18,5.18,314500.0
03/12/1981,16:00,5.18,5.32,5.12,5.32,279800.0
03/13/1981,16:00,5.32,5.40,5.20,5.20,238200.0
03/16/1981,16:00,5.20,5.46,5.20,5.46,510100.0
03/17/1981,16:00,5.43,5.43,5.29,5.32,199600.0
03/18/1981,16:00,5.32,5.43,5.29,5.43,258100.0
03/19/1981,16:00,5.43,5.54,5.43,5.48,287200.0
03/20/1981,16:00,5.48,5.60,5.48,5.57,184200.0
03/23/1981,16:00,5.57,5.65,5.54,5.60,290600.0
03/24/1981,16:00,5.60,5.65,5.20,5.40,378700.0
03/25/1981,16:00,5.40,5.43,5.40,5.43,135900.0
03/26/1981,16:00,5.43,5.54,5.43,5.54,123900.0
03/27/1981,16:00,5.54,5.54,5.40,5.54,126200.0
03/30/1981,16:00,5.54,5.54,5.43,5.43,34600.0
03/31/1981,16:00,5.43,5.43,5.29,5.40,77900.0
04/01/1981,16:00,5.40,5.60,5.40,5.60,312700.0
04/02/1981,16:00,5.60,5.68,5.57,5.68,952000.0
04/03/1981,16:00,5.68,5.68,5.57,5.57,108000.0
04/06/1981,16:00,5.54,5.54,5.29,5.43,97800.0
04/07/1981,16:00,5.43,5.43,5.32,5.32,65900.0
04/08/1981,16:00,5.26,5.26,5.09,5.15,154600.0
04/09/1981,16:00,5.18,5.54,5.18,5.54,247900.0
04/10/1981,16:00,5.54,5.65,5.48,5.48,291700.0
04/13/1981,16:00,5.48,5.54,5.40,5.46,46600.0
04/14/1981,16:00,5.40,5.40,5.26,5.26,197900.0
04/15/1981,16:00,5.26,5.48,5.26,5.46,591400.0
04/16/1981,16:00,5.46,5.54,5.43,5.54,200700.0
04/20/1981,16:00,5.54,5.60,5.29,5.54,114800.0
04/21/1981,16:00,5.54,5.60,5.40,5.54,247900.0
04/22/1981,16:00,5.54,5.68,5.48,5.62,1479800.0
04/23/1981,16:00,5.62,5.65,5.48,5.48,32400.0
04/24/1981,16:00,5.48,5.54,5.43,5.54,36300.0
04/27/1981,16:00,5.54,5.57,5.48,5.54,146700.0
04/28/1981,16:00,5.54,5.54,5.46,5.54,118200.0
04/29/1981,16:00,5.48,5.48,5.40,5.43,25000.0
04/30/1981,16:00,5.40,5.40,5.26,5.32,40900.0
05/01/1981,16:00,5.32,5.43,5.32,5.43,53400.0
05/04/1981,16:00,5.32,5.32,5.18,5.20,35200.0
05/05/1981,16:00,5.20,5.26,5.20,5.26,48300.0
05/06/1981,16:00,5.26,5.29,5.26,5.29,32900.0
05/07/1981,16:00,5.29,5.40,5.29,5.40,36900.0
05/08/1981,16:00,5.40,5.40,5.32,5.40,108000.0
05/11/1981,16:00,5.37,5.37,5.26,5.26,42600.0
05/12/1981,16:00,5.26,5.26,5.20,5.26,31200.0
