Date,Time,Open,High,Low,Close,Vol
03/19/2001,16:00,4.11,4.11,4.07,4.11,1900.0
03/20/2001,16:00,4.11,4.18,4.04,4.11,15600.0
03/21/2001,16:00,4.18,4.18,4.10,4.18,183800.0
03/22/2001,16:00,4.07,4.18,4.04,4.11,135400.0
03/23/2001,16:00,4.10,4.18,4.10,4.18,4800.0
03/26/2001,16:00,4.10,4.18,4.07,4.18,2200.0
03/27/2001,16:00,4.11,4.14,4.11,4.14,1800.0
03/28/2001,16:00,4.18,4.18,3.82,4.04,420300.0
03/29/2001,16:00,4.04,4.11,3.96,4.11,8800.0
03/30/2001,16:00,4.04,4.11,3.45,3.56,63100.0
04/02/2001,16:00,3.52,3.59,3.48,3.52,19100.0
04/03/2001,16:00,3.52,3.52,3.52,3.52,100.0
04/04/2001,16:00,3.52,3.52,3.52,3.52,2300.0
04/05/2001,16:00,3.59,3.61,3.59,3.59,2700.0
04/06/2001,16:00,3.59,3.59,3.48,3.52,5200.0
04/09/2001,16:00,3.61,3.61,3.46,3.46,4400.0
04/10/2001,16:00,3.52,3.55,3.52,3.55,13100.0
04/11/2001,16:00,3.52,3.76,3.52,3.75,17100.0
04/12/2001,16:00,3.76,3.96,3.74,3.96,8100.0
04/16/2001,16:00,3.96,4.02,3.96,3.96,3500.0
04/17/2001,16:00,4.05,4.11,3.99,4.11,116800.0
04/18/2001,16:00,4.16,4.16,4.02,4.02,7100.0
04/19/2001,16:00,3.96,4.52,3.96,4.52,10400.0
04/20/2001,16:00,3.96,4.55,3.96,4.53,3600.0
04/23/2001,16:00,4.52,4.53,3.96,4.53,6000.0
04/24/2001,16:00,4.53,4.53,4.53,4.53,200.0
04/25/2001,16:00,4.05,4.53,4.02,4.23,6700.0
04/26/2001,16:00,4.46,4.92,4.41,4.55,65800.0
04/27/2001,16:00,4.55,4.70,4.43,4.49,55700.0
04/30/2001,16:00,4.70,4.73,4.49,4.49,45600.0
05/01/2001,16:00,4.41,4.70,4.41,4.70,347200.0
05/02/2001,16:00,4.69,4.69,4.46,4.58,420100.0
05/03/2001,16:00,4.58,4.70,4.55,4.70,214400.0
05/04/2001,16:00,4.69,4.75,4.52,4.75,226600.0
05/07/2001,16:00,4.75,4.75,4.52,4.75,2900.0
05/08/2001,16:00,4.64,4.76,4.64,4.70,17000.0
05/09/2001,16:00,4.70,4.85,4.64,4.70,37500.0
05/10/2001,16:00,4.70,4.70,4.67,4.70,19900.0
05/11/2001,16:00,4.70,5.64,4.64,5.64,110000.0
05/14/2001,16:00,5.52,5.58,5.22,5.34,85600.0
05/15/2001,16:00,5.52,5.57,5.28,5.43,21700.0
05/16/2001,16:00,5.42,5.49,5.25,5.34,100200.0
05/17/2001,16:00,5.48,5.57,5.25,5.57,112100.0
05/18/2001,16:00,5.43,6.96,5.43,6.46,60000.0
05/21/2001,16:00,6.52,6.54,6.34,6.52,70800.0
05/22/2001,16:00,6.22,6.52,6.22,6.51,104500.0
05/23/2001,16:00,6.52,6.52,6.17,6.52,104000.0
05/24/2001,16:00,6.52,6.52,6.34,6.52,81900.0
05/25/2001,16:00,6.43,6.51,6.35,6.40,242800.0
05/29/2001,16:00,6.52,6.52,5.49,5.82,46900.0
05/30/2001,16:00,5.79,5.82,5.23,5.23,31700.0
05/31/2001,16:00,5.31,5.31,5.27,5.30,34500.0
06/01/2001,16:00,5.29,5.30,4.62,4.70,194400.0
06/04/2001,16:00,4.98,4.99,4.69,4.72,85800.0
06/05/2001,16:00,4.88,4.88,4.17,4.70,4990000.0
06/06/2001,16:00,4.63,5.13,4.57,4.84,1423900.0
06/07/2001,16:00,4.98,5.20,4.88,5.20,401600.0
06/08/2001,16:00,5.22,5.34,5.14,5.31,790400.0
06/11/2001,16:00,5.23,5.28,4.99,5.05,386400.0
06/12/2001,16:00,5.02,5.02,4.76,4.82,97200.0
06/13/2001,16:00,4.89,4.90,4.75,4.83,247400.0
06/14/2001,16:00,4.77,4.87,4.76,4.78,236700.0
06/15/2001,16:00,4.87,5.93,4.84,5.69,965200.0
06/18/2001,16:00,5.93,5.93,5.46,5.57,311200.0
06/19/2001,16:00,5.81,5.81,5.28,5.37,776400.0
06/20/2001,16:00,5.43,5.72,5.28,5.69,427700.0
