Date,Time,Open,High,Low,Close,Vol
03/26/2004,16:00,13.24,13.48,13.16,13.24,2368200.0
03/29/2004,16:00,13.24,13.4,13.0,13.08,310600.0
03/30/2004,16:00,13.25,13.43,13.0,13.21,210900.0
03/31/2004,16:00,13.25,13.37,13.15,13.2,99200.0
04/01/2004,16:00,13.16,13.16,13.0,13.02,275500.0
04/02/2004,16:00,13.0,13.1,13.0,13.09,26700.0
04/05/2004,16:00,13.1,13.1,13.05,13.05,104400.0
04/06/2004,16:00,13.08,13.1,13.0,13.0,111500.0
04/07/2004,16:00,13.0,13.03,13.0,13.01,899000.0
04/08/2004,16:00,13.0,13.09,13.0,13.04,53800.0
04/12/2004,16:00,13.04,13.47,13.04,13.42,138100.0
04/13/2004,16:00,13.39,13.69,13.38,13.63,73400.0
04/14/2004,16:00,13.6,13.75,13.15,13.26,61600.0
04/15/2004,16:00,13.3,13.38,13.21,13.3,51700.0
04/16/2004,16:00,13.35,13.35,13.1,13.25,41500.0
04/19/2004,16:00,13.2,13.3,13.0,13.12,192300.0
04/20/2004,16:00,13.15,13.15,12.67,12.69,358000.0
04/21/2004,16:00,12.69,12.69,12.5,12.59,40500.0
04/22/2004,16:00,12.64,13.02,12.64,12.87,73200.0
04/23/2004,16:00,12.9,12.99,12.85,12.85,66900.0
04/26/2004,16:00,12.83,12.9,12.59,12.63,37600.0
04/27/2004,16:00,12.65,12.85,12.5,12.65,100800.0
04/28/2004,16:00,12.7,12.74,12.3,12.35,37500.0
04/29/2004,16:00,12.1,12.2,11.75,11.99,43600.0
04/30/2004,16:00,11.98,12.0,11.45,12.0,85000.0
05/03/2004,16:00,12.0,12.35,11.9,12.35,17500.0
05/04/2004,16:00,12.35,12.35,12.21,12.25,9200.0
05/05/2004,16:00,12.2,12.2,11.2,11.5,171100.0
05/06/2004,16:00,11.4,11.5,11.25,11.45,89600.0
05/07/2004,16:00,11.49,11.6,11.47,11.5,119500.0
05/10/2004,16:00,11.35,11.35,11.0,11.2,125500.0
05/11/2004,16:00,11.18,11.23,11.14,11.15,29100.0
05/12/2004,16:00,11.23,11.5,11.23,11.25,78500.0
05/13/2004,16:00,11.3,11.39,11.2,11.36,23700.0
05/14/2004,16:00,11.38,11.44,11.3,11.3,46000.0
05/17/2004,16:00,11.25,11.3,11.2,11.29,13700.0
05/18/2004,16:00,11.25,11.29,10.75,10.75,677000.0
05/19/2004,16:00,10.75,10.89,10.7,10.89,35300.0
05/20/2004,16:00,10.95,10.95,10.7,10.73,45400.0
05/21/2004,16:00,10.7,10.78,10.61,10.61,18300.0
05/24/2004,16:00,10.71,10.76,10.68,10.76,62600.0
05/25/2004,16:00,10.8,10.8,10.41,10.55,73400.0
05/26/2004,16:00,10.52,10.7,10.45,10.67,174800.0
05/27/2004,16:00,10.72,10.72,10.15,10.25,44100.0
05/28/2004,16:00,10.35,10.35,10.16,10.23,34500.0
06/01/2004,16:00,10.33,10.45,10.17,10.2,94500.0
06/02/2004,16:00,10.2,10.45,10.2,10.39,76200.0
06/03/2004,16:00,10.4,10.4,10.3,10.34,62400.0
06/04/2004,16:00,10.34,10.79,10.34,10.75,137600.0
06/07/2004,16:00,10.85,11.0,10.52,10.75,147700.0
06/08/2004,16:00,10.8,11.12,10.43,11.03,174700.0
06/09/2004,16:00,11.03,11.75,11.03,11.7,352800.0
06/10/2004,16:00,11.88,12.6,11.67,12.35,170800.0
06/14/2004,16:00,12.8,12.91,12.5,12.6,196900.0
06/15/2004,16:00,12.7,12.7,12.22,12.45,62000.0
06/16/2004,16:00,12.35,12.57,12.27,12.5,112500.0
06/17/2004,16:00,12.6,13.0,12.57,12.84,78600.0
06/18/2004,16:00,12.74,13.0,12.7,12.95,41400.0
06/21/2004,16:00,12.93,13.37,12.9,13.2,100800.0
06/22/2004,16:00,13.2,13.2,13.0,13.1,48100.0
06/23/2004,16:00,13.13,13.3,13.0,13.13,69300.0
06/24/2004,16:00,13.23,13.25,12.95,13.0,17100.0
06/25/2004,16:00,12.99,13.25,12.6,12.6,236300.0
06/28/2004,16:00,12.7,12.89,11.96,12.89,87000.0
06/29/2004,16:00,12.8,13.01,12.76,12.85,44900.0
06/30/2004,16:00,12.96,13.13,12.96,13.07,86900.0
07/01/2004,16:00,13.1,13.15,13.0,13.01,21200.0
07/02/2004,16:00,13.0,13.15,13.0,13.02,38500.0
07/06/2004,16:00,13.1,13.2,13.04,13.14,56600.0
07/07/2004,16:00,13.01,13.18,13.0,13.11,47400.0
07/08/2004,16:00,13.01,13.41,13.0,13.19,62300.0
07/09/2004,16:00,13.2,13.3,13.0,13.2,58400.0
07/12/2004,16:00,13.15,13.4,13.05,13.1,15900.0
07/13/2004,16:00,13.11,13.18,13.02,13.06,15700.0
07/14/2004,16:00,13.06,13.2,13.06,13.12,23000.0
07/15/2004,16:00,13.12,13.33,13.1,13.11,21100.0
07/16/2004,16:00,13.16,13.19,13.01,13.07,21700.0
