Date,Time,Open,High,Low,Close,Vol
11/12/1986,16:00,1.28,1.28,1.27,1.28,299200.0
11/13/1986,16:00,1.27,1.27,1.23,1.23,840000.0
11/14/1986,16:00,1.23,1.24,1.21,1.21,568000.0
11/17/1986,16:00,1.21,1.22,1.20,1.22,251200.0
11/18/1986,16:00,1.22,1.22,1.15,1.16,779200.0
11/19/1986,16:00,1.15,1.21,1.15,1.20,657600.0
11/20/1986,16:00,1.22,1.27,1.22,1.27,800000.0
11/21/1986,16:00,1.28,1.28,1.26,1.27,761600.0
11/24/1986,16:00,1.27,1.28,1.27,1.27,625600.0
11/25/1986,16:00,1.28,1.28,1.26,1.28,792000.0
11/26/1986,16:00,1.27,1.28,1.26,1.28,240000.0
11/28/1986,16:00,1.38,1.39,1.33,1.36,7036800.0
12/01/1986,16:00,1.36,1.36,1.30,1.32,7646400.0
12/02/1986,16:00,1.32,1.33,1.30,1.32,1841600.0
12/03/1986,16:00,1.33,1.33,1.32,1.33,2963200.0
12/04/1986,16:00,1.32,1.33,1.32,1.32,2062400.0
12/05/1986,16:00,1.32,1.33,1.31,1.32,3825600.0
12/08/1986,16:00,1.31,1.32,1.28,1.31,776000.0
12/09/1986,16:00,1.30,1.31,1.27,1.27,835200.0
12/10/1986,16:00,1.27,1.29,1.26,1.28,929600.0
12/11/1986,16:00,1.28,1.28,1.25,1.26,787200.0
12/12/1986,16:00,1.25,1.25,1.22,1.24,588800.0
12/15/1986,16:00,1.22,1.23,1.21,1.22,939200.0
12/16/1986,16:00,1.23,1.23,1.20,1.22,764800.0
12/17/1986,16:00,1.21,1.21,1.20,1.21,902400.0
12/18/1986,16:00,1.20,1.21,1.16,1.16,2225600.0
12/19/1986,16:00,1.17,1.21,1.17,1.21,1790400.0
12/22/1986,16:00,1.21,1.21,1.19,1.21,838400.0
12/23/1986,16:00,1.21,1.22,1.19,1.20,1003200.0
12/24/1986,16:00,1.20,1.21,1.20,1.20,624000.0
12/26/1986,16:00,1.20,1.22,1.20,1.20,219200.0
12/29/1986,16:00,1.20,1.20,1.18,1.18,1419200.0
12/30/1986,16:00,1.18,1.19,1.17,1.18,776000.0
12/31/1986,16:00,1.19,1.20,1.17,1.19,872000.0
01/02/1987,16:00,1.19,1.24,1.19,1.24,248000.0
01/05/1987,16:00,1.27,1.33,1.27,1.32,1260800.0
01/06/1987,16:00,1.31,1.31,1.30,1.31,1315200.0
01/07/1987,16:00,1.31,1.31,1.29,1.30,1280000.0
01/08/1987,16:00,1.30,1.30,1.28,1.30,793600.0
01/09/1987,16:00,1.30,1.36,1.29,1.34,1078400.0
01/12/1987,16:00,1.34,1.35,1.31,1.34,584000.0
01/13/1987,16:00,1.34,1.34,1.29,1.30,628800.0
01/14/1987,16:00,1.31,1.33,1.30,1.33,635200.0
01/15/1987,16:00,1.32,1.33,1.32,1.33,603200.0
01/16/1987,16:00,1.32,1.33,1.31,1.33,2224000.0
01/19/1987,16:00,1.32,1.35,1.31,1.34,828800.0
01/20/1987,16:00,1.35,1.36,1.34,1.34,1832000.0
01/21/1987,16:00,1.34,1.35,1.33,1.33,1355200.0
01/22/1987,16:00,1.32,1.42,1.32,1.41,1619200.0
01/23/1987,16:00,1.41,1.45,1.39,1.42,2416000.0
01/26/1987,16:00,1.41,1.41,1.37,1.39,1008000.0
01/27/1987,16:00,1.38,1.41,1.37,1.39,1756800.0
01/28/1987,16:00,1.40,1.40,1.37,1.37,644800.0
01/29/1987,16:00,1.37,1.39,1.36,1.38,716800.0
01/30/1987,16:00,1.37,1.39,1.37,1.39,777600.0
02/02/1987,16:00,1.39,1.40,1.37,1.40,628800.0
02/03/1987,16:00,1.40,1.40,1.33,1.33,1049600.0
02/04/1987,16:00,1.33,1.37,1.33,1.37,571200.0
02/05/1987,16:00,1.37,1.40,1.37,1.39,1128000.0
02/06/1987,16:00,1.39,1.40,1.37,1.40,646400.0
02/09/1987,16:00,1.39,1.40,1.38,1.39,364800.0
02/10/1987,16:00,1.39,1.39,1.35,1.36,340800.0
02/11/1987,16:00,1.36,1.36,1.34,1.36,436800.0
02/12/1987,16:00,1.36,1.36,1.34,1.36,560000.0
02/13/1987,16:00,1.36,1.37,1.35,1.37,892800.0
02/17/1987,16:00,1.37,1.41,1.36,1.40,816000.0
02/18/1987,16:00,1.40,1.42,1.38,1.39,1092800.0
02/19/1987,16:00,1.39,1.40,1.37,1.39,696000.0
02/20/1987,16:00,1.38,1.40,1.36,1.39,400000.0
02/23/1987,16:00,1.39,1.41,1.35,1.41,539200.0
02/24/1987,16:00,1.41,1.42,1.39,1.40,208000.0
02/25/1987,16:00,1.40,1.45,1.40,1.42,507200.0
