Date,Time,Open,High,Low,Close,Vol
11/05/1987,16:00,2.47,2.52,2.47,2.50,277600.0
11/06/1987,16:00,2.51,2.62,2.51,2.62,99200.0
11/09/1987,16:00,2.59,2.61,2.58,2.58,408000.0
11/10/1987,16:00,2.58,2.58,2.43,2.48,248400.0
11/11/1987,16:00,2.50,2.52,2.48,2.48,86400.0
11/12/1987,16:00,2.47,2.57,2.47,2.57,117600.0
11/13/1987,16:00,2.57,2.57,2.56,2.56,31200.0
11/16/1987,16:00,2.57,2.57,2.52,2.52,386000.0
11/17/1987,16:00,2.49,2.53,2.49,2.52,18400.0
11/18/1987,16:00,2.54,2.58,2.52,2.58,200400.0
11/19/1987,16:00,2.56,2.62,2.56,2.57,230000.0
11/20/1987,16:00,2.59,2.59,2.54,2.54,388400.0
11/23/1987,16:00,2.49,2.54,2.49,2.54,72800.0
11/24/1987,16:00,2.54,2.61,2.54,2.60,63600.0
11/25/1987,16:00,2.61,2.62,2.59,2.62,21200.0
11/27/1987,16:00,2.63,2.63,2.61,2.61,152800.0
11/30/1987,16:00,2.62,2.62,2.60,2.61,220800.0
12/01/1987,16:00,2.61,2.64,2.61,2.62,163600.0
12/02/1987,16:00,2.59,2.63,2.59,2.62,58800.0
12/03/1987,16:00,2.64,2.64,2.48,2.52,65600.0
12/04/1987,16:00,2.51,2.51,2.34,2.41,194800.0
12/07/1987,16:00,2.41,2.41,2.37,2.40,215600.0
12/08/1987,16:00,2.34,2.39,2.34,2.37,210400.0
12/09/1987,16:00,2.38,2.44,2.38,2.39,128000.0
12/10/1987,16:00,2.36,2.37,2.35,2.36,60800.0
12/11/1987,16:00,2.34,2.36,2.33,2.33,232000.0
12/14/1987,16:00,2.33,2.48,2.33,2.44,116800.0
12/15/1987,16:00,2.47,2.66,2.46,2.64,202800.0
12/16/1987,16:00,2.65,2.74,2.64,2.69,268000.0
12/17/1987,16:00,2.70,2.71,2.67,2.67,69200.0
12/18/1987,16:00,2.69,2.74,2.67,2.71,55600.0
12/21/1987,16:00,2.70,2.75,2.69,2.73,107200.0
12/22/1987,16:00,2.71,2.72,2.68,2.72,107200.0
12/23/1987,16:00,2.71,2.79,2.69,2.76,574400.0
12/24/1987,16:00,2.77,2.77,2.74,2.76,16800.0
12/28/1987,16:00,2.75,2.75,2.71,2.71,258400.0
12/29/1987,16:00,2.74,2.74,2.71,2.71,451600.0
12/30/1987,16:00,2.72,2.76,2.71,2.75,63200.0
12/31/1987,16:00,2.73,2.77,2.72,2.75,73600.0
01/04/1988,16:00,2.76,2.76,2.70,2.76,119600.0
01/05/1988,16:00,2.85,2.88,2.80,2.83,524800.0
01/06/1988,16:00,2.86,2.91,2.81,2.86,113200.0
01/07/1988,16:00,2.83,2.86,2.81,2.86,153200.0
01/08/1988,16:00,2.83,2.85,2.73,2.73,121200.0
01/11/1988,16:00,2.72,2.78,2.68,2.76,132400.0
01/12/1988,16:00,2.79,2.81,2.71,2.74,109200.0
01/13/1988,16:00,2.74,2.76,2.73,2.76,22800.0
01/14/1988,16:00,2.81,2.81,2.76,2.80,204400.0
01/15/1988,16:00,2.84,2.92,2.84,2.90,148800.0
01/18/1988,16:00,2.90,2.91,2.87,2.91,55200.0
01/19/1988,16:00,2.91,3.00,2.89,2.98,295600.0
01/20/1988,16:00,2.96,2.96,2.89,2.91,344800.0
01/21/1988,16:00,2.92,2.97,2.88,2.94,42400.0
01/22/1988,16:00,2.96,2.96,2.91,2.96,61200.0
01/25/1988,16:00,2.94,2.96,2.94,2.95,113200.0
01/26/1988,16:00,2.96,2.96,2.91,2.92,90800.0
01/27/1988,16:00,2.92,2.94,2.89,2.91,30400.0
01/28/1988,16:00,2.91,2.94,2.81,2.85,270000.0
01/29/1988,16:00,2.88,2.89,2.84,2.88,37600.0
02/01/1988,16:00,2.89,2.94,2.88,2.90,274000.0
02/02/1988,16:00,2.90,2.90,2.89,2.90,92800.0
02/03/1988,16:00,2.90,2.92,2.87,2.88,218000.0
02/04/1988,16:00,2.92,2.94,2.66,2.66,306800.0
02/05/1988,16:00,2.66,2.71,2.66,2.71,82800.0
02/08/1988,16:00,2.71,2.71,2.66,2.68,72000.0
02/09/1988,16:00,2.69,2.69,2.68,2.68,138000.0
02/10/1988,16:00,2.68,2.72,2.68,2.68,168400.0
02/11/1988,16:00,2.69,2.71,2.69,2.70,118400.0
02/12/1988,16:00,2.69,2.71,2.69,2.70,194000.0
02/16/1988,16:00,2.70,2.80,2.69,2.80,274400.0
02/17/1988,16:00,2.80,2.85,2.80,2.84,342800.0
02/18/1988,16:00,2.81,2.83,2.80,2.80,142000.0
02/19/1988,16:00,2.80,2.83,2.79,2.80,135200.0
02/22/1988,16:00,2.81,2.86,2.80,2.85,86800.0
02/23/1988,16:00,2.85,3.09,2.84,3.04,295600.0
02/24/1988,16:00,3.03,3.03,2.98,2.99,104400.0
02/25/1988,16:00,3.02,3.04,2.99,2.99,343200.0
02/26/1988,16:00,3.02,3.02,2.98,2.98,280400.0
02/29/1988,16:00,2.98,3.01,2.98,3.01,237200.0
03/01/1988,16:00,2.99,3.07,2.99,3.05,120800.0
03/02/1988,16:00,3.10,3.14,3.10,3.12,234400.0
03/03/1988,16:00,3.13,3.23,3.13,3.23,176800.0
03/04/1988,16:00,3.24,3.29,3.23,3.26,388800.0
03/07/1988,16:00,3.28,3.28,3.25,3.25,96000.0
03/08/1988,16:00,3.25,3.27,3.25,3.25,234800.0
03/09/1988,16:00,3.28,3.36,3.28,3.33,458000.0
03/10/1988,16:00,3.35,3.38,3.33,3.35,351200.0
03/11/1988,16:00,3.34,3.36,3.32,3.34,291600.0
03/14/1988,16:00,3.33,3.34,3.31,3.33,331200.0
03/15/1988,16:00,3.34,3.40,3.32,3.37,165600.0
03/16/1988,16:00,3.35,3.37,3.32,3.37,355600.0
03/17/1988,16:00,3.39,3.47,3.37,3.46,160800.0
03/18/1988,16:00,3.45,3.54,3.45,3.54,136400.0
03/21/1988,16:00,3.57,3.57,3.49,3.53,217600.0
03/22/1988,16:00,3.52,3.54,3.52,3.53,168000.0
03/23/1988,16:00,3.51,3.54,3.51,3.54,152000.0
03/24/1988,16:00,3.57,3.57,3.49,3.49,267200.0
03/25/1988,16:00,3.48,3.49,3.45,3.46,109200.0
03/28/1988,16:00,3.46,3.47,3.34,3.34,195600.0
03/29/1988,16:00,3.37,3.42,3.37,3.39,192000.0
03/30/1988,16:00,3.39,3.42,3.38,3.42,325200.0
03/31/1988,16:00,3.37,3.42,3.37,3.42,132800.0
04/04/1988,16:00,3.41,3.41,3.40,3.40,172000.0
04/05/1988,16:00,3.41,3.41,3.40,3.40,82000.0
04/06/1988,16:00,3.40,3.49,3.40,3.49,358400.0
04/07/1988,16:00,3.51,3.54,3.50,3.50,151200.0
04/08/1988,16:00,3.49,3.49,3.36,3.40,269200.0
04/11/1988,16:00,3.39,3.48,3.39,3.46,156400.0
04/12/1988,16:00,3.45,3.47,3.42,3.45,51600.0
04/13/1988,16:00,3.41,3.46,3.39,3.46,129600.0
04/14/1988,16:00,3.44,3.47,3.42,3.42,74000.0
04/15/1988,16:00,3.44,3.44,3.41,3.42,154000.0
04/18/1988,16:00,3.43,3.45,3.40,3.45,183600.0
04/19/1988,16:00,3.43,3.43,3.36,3.36,38400.0
04/20/1988,16:00,3.38,3.38,3.19,3.19,127600.0
04/21/1988,16:00,3.20,3.20,3.16,3.19,85200.0
04/22/1988,16:00,3.19,3.20,3.19,3.19,20000.0
04/25/1988,16:00,3.19,3.24,3.19,3.22,90800.0
04/26/1988,16:00,3.23,3.35,3.23,3.35,196800.0
04/27/1988,16:00,3.35,3.40,3.33,3.35,110400.0
04/28/1988,16:00,3.37,3.46,3.37,3.45,182400.0
04/29/1988,16:00,3.44,3.44,3.39,3.39,139200.0
05/02/1988,16:00,3.42,3.47,3.42,3.45,72400.0
05/03/1988,16:00,3.47,3.48,3.44,3.46,91200.0
05/04/1988,16:00,3.46,3.46,3.39,3.39,107200.0
05/05/1988,16:00,3.41,3.41,3.35,3.35,19200.0
05/06/1988,16:00,3.37,3.37,3.32,3.35,33600.0
05/09/1988,16:00,3.36,3.36,3.33,3.33,40000.0
05/10/1988,16:00,3.36,3.36,3.32,3.32,23200.0
05/11/1988,16:00,3.34,3.34,3.24,3.26,38400.0
05/12/1988,16:00,3.26,3.26,3.19,3.19,27600.0
05/13/1988,16:00,3.20,3.20,3.04,3.12,241200.0
05/16/1988,16:00,3.14,3.17,3.12,3.14,238400.0
05/17/1988,16:00,3.17,3.22,3.17,3.22,138800.0
05/18/1988,16:00,3.22,3.22,3.17,3.18,406400.0
05/19/1988,16:00,3.17,3.20,3.15,3.16,68800.0
