Date,Time,Open,High,Low,Close,Vol
07/11/2012,16:00,11.25,11.82,11.24,11.7,6851700.0
07/12/2012,16:00,11.61,12.0,11.61,11.93,712800.0
07/13/2012,16:00,12.09,12.15,11.8,12.0,443700.0
07/16/2012,16:00,12.0,12.0,11.83,11.93,99100.0
07/17/2012,16:00,11.98,12.0,11.91,12.0,253800.0
07/18/2012,16:00,12.0,12.05,11.98,12.01,175000.0
07/19/2012,16:00,12.01,12.03,11.97,12.0,193800.0
07/20/2012,16:00,12.0,12.04,11.99,12.04,356300.0
07/23/2012,16:00,11.96,12.26,11.96,12.24,143700.0
07/24/2012,16:00,12.25,12.25,12.17,12.24,61200.0
07/25/2012,16:00,12.25,12.41,12.25,12.41,86200.0
07/26/2012,16:00,12.49,12.58,12.44,12.5,163500.0
07/27/2012,16:00,12.58,12.59,12.28,12.46,56000.0
07/30/2012,16:00,12.4,12.49,12.34,12.34,36900.0
07/31/2012,16:00,12.49,12.49,12.39,12.42,42200.0
08/01/2012,16:00,12.49,12.5,12.41,12.45,45700.0
08/02/2012,16:00,12.43,12.48,12.42,12.48,36900.0
08/03/2012,16:00,12.48,12.49,12.43,12.47,25700.0
08/06/2012,16:00,12.37,12.46,12.35,12.37,53400.0
08/07/2012,16:00,12.3,12.45,12.25,12.43,102300.0
08/08/2012,16:00,12.39,12.45,12.35,12.42,67100.0
08/09/2012,16:00,12.44,12.44,12.38,12.41,28800.0
08/10/2012,16:00,12.44,12.45,12.4,12.45,51700.0
08/13/2012,16:00,12.27,12.43,12.27,12.31,24800.0
08/14/2012,16:00,12.39,12.43,12.3,12.35,16700.0
08/15/2012,16:00,12.35,12.42,12.35,12.36,43100.0
08/16/2012,16:00,12.36,12.42,12.35,12.4,53800.0
08/17/2012,16:00,12.44,12.46,12.36,12.46,58400.0
08/20/2012,16:00,12.45,12.46,12.41,12.43,25400.0
08/21/2012,16:00,12.48,12.52,12.41,12.46,91400.0
08/22/2012,16:00,12.47,12.52,12.46,12.5,66000.0
