Date,Time,Open,High,Low,Close,Vol
05/04/2007,16:00,24.88,25.82,23.39,23.59,23514900.0
05/07/2007,16:00,23.74,23.79,22.09,22.43,4712200.0
05/08/2007,16:00,22.48,22.61,21.32,21.48,2873400.0
05/09/2007,16:00,21.49,22.07,20.92,21.35,2220600.0
05/10/2007,16:00,21.45,21.52,20.69,20.87,1391000.0
05/11/2007,16:00,21.21,21.41,20.51,20.53,1309600.0
05/14/2007,16:00,20.50,21.56,20.49,20.84,2094400.0
05/15/2007,16:00,21.10,21.39,20.67,21.09,1571600.0
05/16/2007,16:00,21.11,21.44,20.88,21.31,1040000.0
05/17/2007,16:00,21.49,21.52,20.50,20.59,714200.0
05/18/2007,16:00,20.77,20.77,19.71,20.07,1645400.0
05/21/2007,16:00,19.99,20.66,19.60,20.42,1071500.0
05/22/2007,16:00,20.59,21.08,20.47,20.77,780100.0
05/23/2007,16:00,21.05,21.10,20.31,20.44,531100.0
05/24/2007,16:00,20.44,20.60,20.29,20.35,461800.0
05/25/2007,16:00,20.68,20.68,20.44,20.57,271800.0
05/29/2007,16:00,20.65,20.96,20.43,20.77,442400.0
05/30/2007,16:00,19.44,19.64,18.50,19.53,3813300.0
05/31/2007,16:00,19.45,19.79,19.03,19.22,842700.0
06/01/2007,16:00,19.41,20.05,19.24,20.01,562600.0
06/04/2007,16:00,20.04,20.05,19.57,19.67,596100.0
06/05/2007,16:00,19.67,19.87,19.48,19.80,631000.0
06/06/2007,16:00,19.82,20.35,19.60,20.32,498100.0
06/07/2007,16:00,20.24,20.43,19.99,20.20,416600.0
06/08/2007,16:00,20.05,20.94,20.05,20.91,944400.0
06/11/2007,16:00,20.74,21.47,20.54,21.29,629800.0
06/12/2007,16:00,21.11,21.63,21.11,21.63,686900.0
06/13/2007,16:00,21.86,21.90,20.84,21.04,1499800.0
06/14/2007,16:00,21.03,21.22,20.62,20.70,485500.0
06/15/2007,16:00,20.62,21.07,20.54,21.07,690400.0
06/18/2007,16:00,21.11,21.13,20.73,20.80,269800.0
06/19/2007,16:00,20.77,20.87,20.37,20.59,534700.0
06/20/2007,16:00,20.69,20.89,20.35,20.40,344200.0
06/21/2007,16:00,20.25,20.30,19.88,20.24,453500.0
06/22/2007,16:00,20.19,20.19,19.60,19.91,4619300.0
06/25/2007,16:00,19.79,19.85,19.30,19.70,726000.0
06/26/2007,16:00,19.70,20.32,19.54,20.26,809200.0
06/27/2007,16:00,20.05,20.71,19.90,20.53,385600.0
06/28/2007,16:00,20.47,20.59,20.22,20.52,269100.0
06/29/2007,16:00,20.61,20.62,20.26,20.45,347600.0
07/02/2007,16:00,20.51,20.58,20.32,20.55,434700.0
07/03/2007,16:00,20.50,20.65,20.31,20.53,130100.0
07/05/2007,16:00,20.40,20.49,19.80,20.43,582000.0
07/06/2007,16:00,18.57,19.41,18.28,18.82,3168700.0
07/09/2007,16:00,18.84,18.93,18.31,18.35,1196700.0
07/10/2007,16:00,18.30,18.33,17.71,17.71,808000.0
07/11/2007,16:00,17.71,18.14,17.60,17.87,472000.0
07/12/2007,16:00,18.00,18.45,17.86,18.27,802700.0
07/13/2007,16:00,18.20,18.34,17.90,18.07,242900.0
07/16/2007,16:00,18.07,18.07,17.72,17.74,280600.0
07/17/2007,16:00,17.71,17.89,17.56,17.65,223700.0
07/18/2007,16:00,17.63,17.69,16.96,17.34,677400.0
07/19/2007,16:00,17.35,17.67,16.85,17.19,692700.0
07/20/2007,16:00,17.16,17.79,16.85,17.43,955200.0
07/23/2007,16:00,17.52,17.68,17.25,17.39,308900.0
07/24/2007,16:00,17.30,17.33,16.51,16.57,804100.0
07/25/2007,16:00,16.73,16.83,16.25,16.43,822800.0
07/26/2007,16:00,16.29,16.73,15.83,16.57,943800.0
07/27/2007,16:00,16.24,17.71,16.21,17.28,670300.0
07/30/2007,16:00,17.90,18.71,17.89,18.61,1102600.0
07/31/2007,16:00,18.61,18.93,18.26,18.30,559300.0
08/01/2007,16:00,18.55,18.55,17.47,18.17,802600.0
08/02/2007,16:00,18.09,18.74,18.01,18.50,1071900.0
08/03/2007,16:00,18.43,18.61,17.68,17.71,1043900.0
08/06/2007,16:00,17.79,17.79,16.88,17.47,1024300.0
08/07/2007,16:00,17.34,18.29,17.10,18.11,1133200.0
08/08/2007,16:00,18.31,19.26,17.98,18.52,723300.0
08/09/2007,16:00,18.20,19.22,18.01,18.90,1031300.0
08/10/2007,16:00,18.78,19.36,18.69,18.94,647400.0
08/13/2007,16:00,19.18,19.54,18.91,19.03,476800.0
08/14/2007,16:00,19.15,19.17,18.73,18.74,331000.0
08/15/2007,16:00,18.82,19.40,17.89,18.14,485800.0
08/16/2007,16:00,18.08,18.08,17.04,18.02,1396900.0
08/17/2007,16:00,18.66,18.90,18.11,18.61,749000.0
08/20/2007,16:00,18.66,18.80,17.71,18.66,408800.0
08/21/2007,16:00,18.75,19.19,18.45,19.09,395900.0
08/22/2007,16:00,19.33,20.16,19.22,20.04,941000.0
08/23/2007,16:00,20.05,20.20,19.79,20.00,229900.0
08/24/2007,16:00,20.13,20.24,19.94,20.16,192900.0
08/27/2007,16:00,20.16,20.25,19.80,19.99,198900.0
08/28/2007,16:00,19.78,20.06,19.52,19.79,356700.0
08/29/2007,16:00,19.87,20.27,19.69,20.21,260900.0
08/30/2007,16:00,20.05,20.26,19.72,20.06,244000.0
08/31/2007,16:00,20.28,20.49,19.97,20.17,239400.0
09/04/2007,16:00,20.13,20.73,20.13,20.36,378300.0
