Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,5.39,5.39,5.18,5.18,37700.0
03/27/1990,16:00,5.29,5.83,5.06,5.62,175000.0
03/28/1990,16:00,5.51,6.17,5.51,6.06,236800.0
03/29/1990,16:00,6.06,6.61,5.83,6.50,349400.0
03/30/1990,16:00,6.50,6.94,6.50,6.61,842000.0
04/02/1990,16:00,6.39,6.50,5.95,6.39,371100.0
04/03/1990,16:00,6.39,6.61,5.95,6.17,285700.0
04/04/1990,16:00,5.95,6.17,5.51,5.62,272500.0
04/05/1990,16:00,5.62,5.83,5.51,5.51,139500.0
04/06/1990,16:00,5.39,6.17,5.18,6.06,413100.0
04/09/1990,16:00,6.17,6.39,6.06,6.17,154600.0
04/10/1990,16:00,6.06,6.17,5.62,5.62,113200.0
04/11/1990,16:00,5.73,5.83,5.62,5.62,81000.0
04/12/1990,16:00,5.73,6.06,5.51,6.06,99900.0
04/16/1990,16:00,6.06,6.17,5.73,5.73,82300.0
04/17/1990,16:00,5.83,5.83,5.62,5.83,47000.0
04/18/1990,16:00,5.62,5.83,5.51,5.62,75400.0
04/19/1990,16:00,5.62,5.73,5.29,5.51,58100.0
04/20/1990,16:00,5.51,5.83,5.39,5.83,83200.0
04/23/1990,16:00,5.73,5.73,5.06,5.06,190400.0
04/24/1990,16:00,5.06,5.29,5.06,5.06,159400.0
04/25/1990,16:00,5.06,5.29,5.06,5.18,112700.0
04/26/1990,16:00,5.29,5.29,5.06,5.18,97200.0
04/27/1990,16:00,5.06,5.18,5.06,5.18,107000.0
04/30/1990,16:00,5.18,5.29,5.06,5.29,246300.0
05/01/1990,16:00,5.29,5.51,5.29,5.39,231000.0
05/02/1990,16:00,5.51,5.95,5.39,5.83,391300.0
05/03/1990,16:00,5.83,5.95,5.51,5.62,90600.0
05/04/1990,16:00,5.83,5.83,5.51,5.62,71200.0
05/07/1990,16:00,5.73,5.73,5.39,5.62,39900.0
05/08/1990,16:00,5.39,5.62,5.18,5.39,56400.0
05/09/1990,16:00,5.39,5.51,5.29,5.39,128400.0
05/10/1990,16:00,5.51,5.62,5.39,5.62,246600.0
05/11/1990,16:00,5.62,5.62,5.39,5.51,138200.0
05/14/1990,16:00,5.51,5.62,5.18,5.39,110500.0
05/15/1990,16:00,5.18,5.39,4.95,5.06,83300.0
05/16/1990,16:00,5.06,5.06,4.84,5.06,103300.0
05/17/1990,16:00,5.06,5.18,4.84,5.06,103700.0
05/18/1990,16:00,5.06,5.06,4.84,5.06,51400.0
05/21/1990,16:00,5.06,5.06,4.74,4.95,69800.0
05/22/1990,16:00,5.06,5.06,4.74,4.84,86000.0
05/23/1990,16:00,4.84,4.84,4.30,4.30,124100.0
05/24/1990,16:00,4.40,4.40,3.52,4.40,360500.0
05/25/1990,16:00,4.40,4.84,4.18,4.74,151700.0
05/29/1990,16:00,4.62,4.74,4.51,4.74,92800.0
05/30/1990,16:00,4.74,4.84,4.40,4.62,95400.0
05/31/1990,16:00,4.51,4.51,4.18,4.30,179100.0
06/01/1990,16:00,4.30,4.30,3.96,4.07,166600.0
06/04/1990,16:00,4.18,4.51,4.07,4.51,54400.0
06/05/1990,16:00,4.51,4.74,4.40,4.74,92200.0
06/06/1990,16:00,4.62,5.18,4.62,5.18,258400.0
06/07/1990,16:00,5.18,5.29,5.06,5.18,226700.0
06/08/1990,16:00,5.06,5.18,4.84,5.18,66100.0
06/11/1990,16:00,4.84,5.18,4.74,5.18,26800.0
06/12/1990,16:00,5.18,5.18,4.95,5.18,55900.0
06/13/1990,16:00,4.95,5.29,4.95,5.18,120900.0
06/14/1990,16:00,5.18,5.18,4.74,5.06,82200.0
06/15/1990,16:00,4.95,4.95,4.74,4.74,32200.0
