Date,Time,Open,High,Low,Close,Vol
04/17/1990,16:00,5.59,5.81,5.51,5.81,31300.0
04/18/1990,16:00,5.81,5.88,5.66,5.73,10000.0
04/19/1990,16:00,5.89,6.27,5.74,5.81,45700.0
04/20/1990,16:00,5.89,5.89,5.66,5.81,15600.0
04/23/1990,16:00,5.81,5.96,5.81,5.96,16400.0
04/24/1990,16:00,5.81,5.96,5.73,5.73,13600.0
04/25/1990,16:00,5.81,5.81,5.73,5.73,4400.0
04/26/1990,16:00,5.81,6.04,5.74,6.04,17600.0
04/27/1990,16:00,6.12,6.27,5.89,6.20,22900.0
04/30/1990,16:00,6.20,6.50,6.20,6.42,49800.0
05/01/1990,16:00,6.42,6.42,6.11,6.35,18200.0
05/02/1990,16:00,6.35,6.50,6.27,6.35,26600.0
05/03/1990,16:00,6.36,6.58,6.36,6.51,16600.0
05/04/1990,16:00,6.51,6.51,6.12,6.20,28600.0
05/07/1990,16:00,6.27,6.43,6.12,6.20,31600.0
05/08/1990,16:00,6.27,6.27,6.12,6.20,8300.0
05/09/1990,16:00,6.12,6.20,5.97,6.04,18800.0
05/10/1990,16:00,5.96,6.04,5.58,5.96,27100.0
05/11/1990,16:00,5.96,5.96,5.74,5.96,9700.0
05/14/1990,16:00,5.88,5.88,5.66,5.66,27200.0
05/15/1990,16:00,5.58,5.58,5.35,5.50,27800.0
05/16/1990,16:00,5.51,5.81,5.36,5.81,18100.0
05/17/1990,16:00,5.81,5.81,5.58,5.66,9800.0
05/18/1990,16:00,5.58,5.73,5.50,5.73,11700.0
05/21/1990,16:00,5.58,5.88,5.58,5.73,12000.0
05/22/1990,16:00,5.66,5.73,5.50,5.66,10900.0
05/23/1990,16:00,5.58,5.66,5.50,5.50,9300.0
05/24/1990,16:00,5.51,5.96,5.51,5.96,24900.0
05/25/1990,16:00,6.04,6.04,5.81,5.96,13500.0
05/29/1990,16:00,5.81,5.88,5.73,5.73,10500.0
05/30/1990,16:00,5.73,5.81,5.66,5.66,10900.0
05/31/1990,16:00,5.66,5.66,5.50,5.66,13300.0
06/01/1990,16:00,5.51,5.81,5.51,5.81,18000.0
06/04/1990,16:00,5.73,5.81,5.66,5.66,10000.0
06/05/1990,16:00,5.89,6.27,5.74,5.81,52500.0
06/06/1990,16:00,5.73,5.81,5.58,5.73,23200.0
06/07/1990,16:00,5.66,5.73,5.66,5.66,9500.0
06/08/1990,16:00,5.58,5.73,5.58,5.66,12200.0
06/11/1990,16:00,5.58,5.66,5.50,5.50,15100.0
06/12/1990,16:00,5.50,5.66,5.50,5.50,23900.0
06/13/1990,16:00,5.51,5.66,5.51,5.59,8400.0
06/14/1990,16:00,5.51,5.59,5.51,5.59,16300.0
06/15/1990,16:00,5.50,5.58,5.50,5.50,7700.0
06/18/1990,16:00,5.58,5.58,5.35,5.50,21400.0
06/19/1990,16:00,5.35,5.58,5.35,5.50,7800.0
06/20/1990,16:00,5.58,5.58,5.43,5.50,13900.0
06/21/1990,16:00,5.43,5.58,5.43,5.50,10400.0
06/22/1990,16:00,5.50,5.88,5.50,5.73,14800.0
06/25/1990,16:00,5.66,6.19,5.66,6.12,69700.0
06/26/1990,16:00,6.12,6.27,5.81,5.89,52000.0
06/27/1990,16:00,5.73,5.81,5.66,5.73,15900.0
06/28/1990,16:00,5.81,5.81,5.73,5.73,5900.0
06/29/1990,16:00,5.74,5.89,5.74,5.81,3500.0
07/02/1990,16:00,5.74,5.81,5.66,5.81,5200.0
07/03/1990,16:00,5.73,5.73,5.66,5.66,8600.0
07/05/1990,16:00,5.66,5.66,5.66,5.66,5400.0
07/06/1990,16:00,5.66,5.66,5.59,5.59,5100.0
07/09/1990,16:00,5.58,5.73,5.50,5.73,27000.0
07/10/1990,16:00,5.74,5.82,5.59,5.59,13000.0
07/11/1990,16:00,5.59,5.66,5.59,5.59,8500.0
07/12/1990,16:00,5.58,5.66,5.43,5.50,22900.0
07/13/1990,16:00,5.50,5.50,5.43,5.50,16500.0
07/16/1990,16:00,5.50,5.50,5.42,5.42,8300.0
07/17/1990,16:00,5.43,5.50,5.43,5.50,10100.0
07/18/1990,16:00,5.43,5.58,5.43,5.50,19500.0
07/19/1990,16:00,5.51,5.59,5.51,5.59,7000.0
07/20/1990,16:00,5.50,5.58,5.50,5.50,3200.0
07/23/1990,16:00,5.42,5.50,5.35,5.42,8800.0
07/24/1990,16:00,5.36,5.43,5.20,5.36,28700.0
07/25/1990,16:00,5.35,5.50,5.35,5.50,17800.0
07/26/1990,16:00,5.58,5.81,5.58,5.73,31600.0
07/27/1990,16:00,5.74,5.74,5.59,5.59,10400.0
07/30/1990,16:00,5.66,5.66,5.50,5.66,6400.0
07/31/1990,16:00,5.66,5.66,5.50,5.50,5800.0
08/01/1990,16:00,5.51,5.59,5.36,5.59,14400.0
08/02/1990,16:00,5.50,5.50,5.35,5.42,19500.0
08/03/1990,16:00,5.20,5.43,5.20,5.36,11700.0
08/06/1990,16:00,5.04,5.12,4.66,5.04,51500.0
08/07/1990,16:00,5.04,5.12,4.89,4.97,17400.0
08/08/1990,16:00,5.04,5.35,5.04,5.2,19000.0
08/09/1990,16:00,5.20,5.58,5.20,5.36,36100.0
08/10/1990,16:00,5.20,5.35,4.89,5.04,15700.0
08/13/1990,16:00,5.05,5.05,4.74,4.9,14900.0
