Date,Time,Open,High,Low,Close,Vol
04/29/1999,16:00,6.22,7.47,6.0,7.34,17738800.0
04/30/1999,16:00,8.48,8.5,6.34,7.06,4874400.0
05/03/1999,16:00,7.18,7.18,6.42,6.59,1716400.0
05/04/1999,16:00,6.56,6.56,5.47,5.72,1571200.0
05/05/1999,16:00,5.72,6.68,4.75,6.62,1463200.0
05/06/1999,16:00,6.64,7.0,5.62,6.09,406800.0
05/07/1999,16:00,6.09,6.25,5.37,6.09,258400.0
05/10/1999,16:00,6.34,6.72,6.15,6.59,625200.0
05/11/1999,16:00,6.56,6.84,6.31,6.40,519200.0
05/12/1999,16:00,6.37,6.87,6.31,6.84,240400.0
05/13/1999,16:00,6.87,7.48,6.75,7.31,784800.0
05/14/1999,16:00,7.28,7.5,6.62,7.18,537200.0
05/17/1999,16:00,6.84,6.87,6.62,6.72,268400.0
05/18/1999,16:00,6.76,7.54,6.75,7.31,408800.0
05/19/1999,16:00,7.37,7.53,6.43,6.75,212400.0
05/20/1999,16:00,6.93,7.06,6.87,7.0,91600.0
05/21/1999,16:00,7.0,7.12,6.25,6.68,118400.0
05/24/1999,16:00,6.68,6.81,6.12,6.28,193600.0
05/25/1999,16:00,6.31,6.31,6.0,6.03,143600.0
05/26/1999,16:00,6.03,6.12,5.75,5.93,121600.0
05/27/1999,16:00,5.93,6.25,5.87,6.03,80400.0
05/28/1999,16:00,6.03,6.06,5.81,6.0,281200.0
06/01/1999,16:00,5.84,5.87,5.56,5.59,378000.0
06/02/1999,16:00,5.59,5.87,5.59,5.64,226800.0
06/03/1999,16:00,5.57,5.65,5.34,5.37,148400.0
06/04/1999,16:00,5.43,6.15,5.40,6.0,178800.0
06/07/1999,16:00,6.25,6.25,5.93,6.06,160800.0
06/08/1999,16:00,6.06,6.06,5.93,5.93,36800.0
06/09/1999,16:00,5.93,6.06,5.93,6.0,12400.0
06/10/1999,16:00,6.0,6.43,5.93,6.43,84400.0
06/11/1999,16:00,6.34,6.5,6.28,6.47,48000.0
06/14/1999,16:00,6.39,6.43,6.26,6.26,74400.0
06/15/1999,16:00,6.43,6.43,6.26,6.28,91200.0
06/16/1999,16:00,6.31,6.34,6.28,6.31,24400.0
06/17/1999,16:00,6.25,6.31,6.25,6.28,14800.0
06/18/1999,16:00,6.28,6.59,6.18,6.59,196400.0
06/21/1999,16:00,6.43,7.0,6.37,6.93,201600.0
06/22/1999,16:00,6.68,7.06,6.53,6.72,136400.0
06/23/1999,16:00,6.75,6.98,6.75,6.92,51600.0
06/24/1999,16:00,6.90,7.25,6.90,7.18,196400.0
06/25/1999,16:00,7.21,7.81,7.18,7.68,524000.0
06/28/1999,16:00,7.68,8.36,7.68,8.25,373600.0
06/29/1999,16:00,8.12,9.0,8.12,8.78,263200.0
06/30/1999,16:00,8.78,9.0,8.40,8.90,716400.0
07/01/1999,16:00,8.92,8.92,8.5,8.72,90400.0
07/02/1999,16:00,8.72,8.73,8.53,8.61,130000.0
07/06/1999,16:00,8.59,9.87,8.59,9.82,115200.0
07/07/1999,16:00,9.5,9.68,9.12,9.51,138000.0
07/08/1999,16:00,9.53,10.56,9.33,10.25,207600.0
07/09/1999,16:00,10.31,11.65,10.28,11.20,249600.0
07/12/1999,16:00,11.25,11.25,10.68,11.18,73200.0
07/13/1999,16:00,11.18,12.09,10.97,11.84,236000.0
07/14/1999,16:00,11.96,12.0,10.70,11.25,598000.0
07/15/1999,16:00,11.26,11.84,10.93,11.84,118000.0
07/16/1999,16:00,12.03,16.12,11.93,15.5,1404000.0
07/19/1999,16:00,15.34,15.56,14.5,15.09,184800.0
07/20/1999,16:00,14.87,15.0,14.37,14.56,266800.0
07/21/1999,16:00,14.28,14.87,13.93,14.81,270400.0
07/22/1999,16:00,15.18,15.25,14.37,14.48,236000.0
07/23/1999,16:00,14.37,14.46,13.37,13.47,240800.0
07/26/1999,16:00,13.43,13.43,12.87,13.18,178000.0
07/27/1999,16:00,13.0,13.37,13.0,13.28,302400.0
07/28/1999,16:00,13.06,13.53,13.06,13.28,181600.0
07/29/1999,16:00,12.81,13.39,12.68,13.37,129200.0
07/30/1999,16:00,13.41,13.41,12.75,13.04,274400.0
08/02/1999,16:00,13.0,13.25,11.97,12.12,104400.0
08/03/1999,16:00,12.11,12.11,9.81,11.23,156000.0
08/04/1999,16:00,11.37,11.43,8.03,8.5,578800.0
08/05/1999,16:00,8.65,11.14,8.47,10.5,996800.0
08/06/1999,16:00,10.20,10.75,9.78,10.75,148400.0
08/09/1999,16:00,10.31,11.62,10.31,11.62,42800.0
08/10/1999,16:00,11.25,11.68,10.64,11.31,127600.0
08/11/1999,16:00,11.43,11.43,10.93,11.37,14400.0
08/12/1999,16:00,10.93,11.29,10.93,10.97,38000.0
08/13/1999,16:00,11.43,11.68,11.12,11.56,44000.0
08/16/1999,16:00,11.68,13.15,11.65,13.03,102400.0
08/17/1999,16:00,12.87,13.0,12.25,12.72,94000.0
08/18/1999,16:00,12.62,14.06,12.61,13.75,46000.0
08/19/1999,16:00,13.75,14.81,13.75,14.28,60800.0
08/20/1999,16:00,14.28,14.31,13.72,14.12,38000.0
08/23/1999,16:00,13.93,14.31,13.93,14.25,148400.0
08/24/1999,16:00,14.25,14.68,14.12,14.68,17600.0
08/25/1999,16:00,14.5,14.81,14.25,14.81,134400.0
08/26/1999,16:00,14.81,15.84,14.12,15.51,235600.0
08/27/1999,16:00,15.25,15.25,14.31,14.43,73200.0
08/30/1999,16:00,14.43,14.75,13.81,14.18,61600.0
08/31/1999,16:00,14.18,14.43,13.37,14.03,40400.0
09/01/1999,16:00,14.18,14.25,13.62,13.75,3600.0
09/02/1999,16:00,13.5,13.65,13.12,13.31,25600.0
09/03/1999,16:00,13.75,14.17,13.43,13.73,26400.0
09/07/1999,16:00,13.62,16.15,13.25,14.37,78000.0
09/08/1999,16:00,14.0,14.62,13.93,14.59,12800.0
09/09/1999,16:00,15.0,15.40,14.0,15.40,29600.0
09/10/1999,16:00,15.22,16.25,15.0,15.43,114400.0
09/13/1999,16:00,16.0,16.0,13.03,13.43,342800.0
09/14/1999,16:00,13.51,13.51,11.93,12.34,623600.0
09/15/1999,16:00,12.68,13.43,12.62,13.43,32800.0
09/16/1999,16:00,13.18,13.43,12.93,13.43,63600.0
09/17/1999,16:00,13.5,15.25,13.5,14.68,260400.0
09/20/1999,16:00,14.82,15.03,14.82,14.97,33200.0
09/21/1999,16:00,14.87,14.87,13.5,13.64,601200.0
09/22/1999,16:00,13.87,13.87,12.87,13.37,116800.0
09/23/1999,16:00,12.87,13.09,12.75,12.93,8400.0
09/24/1999,16:00,12.75,12.75,12.65,12.75,22000.0
09/27/1999,16:00,13.5,13.75,12.87,13.28,198800.0
09/28/1999,16:00,13.5,13.5,11.25,12.31,363600.0
09/29/1999,16:00,12.53,12.87,11.68,12.87,258800.0
09/30/1999,16:00,13.0,13.37,12.68,12.68,213200.0
10/01/1999,16:00,13.0,14.17,12.62,13.0,175200.0
10/04/1999,16:00,14.43,14.5,13.32,13.62,322800.0
10/05/1999,16:00,13.43,14.0,13.43,13.75,175600.0
10/06/1999,16:00,13.87,13.87,13.53,13.53,244400.0
10/07/1999,16:00,14.17,15.0,13.75,14.40,195200.0
10/08/1999,16:00,14.56,14.62,14.31,14.34,182400.0
10/11/1999,16:00,14.5,15.25,14.5,15.18,641600.0
10/12/1999,16:00,15.28,15.28,14.06,14.53,170400.0
