Date,Time,Open,High,Low,Close,Vol
05/13/1998,16:00,12.63,14.42,12.63,14.11,329800.0
05/14/1998,16:00,14.11,14.29,13.90,14.08,779400.0
05/15/1998,16:00,14.08,14.08,13.69,13.69,45200.0
05/18/1998,16:00,13.74,13.74,13.26,13.26,6400.0
05/19/1998,16:00,13.21,13.21,11.79,11.79,275400.0
05/20/1998,16:00,11.79,11.79,11.79,11.79,4800.0
05/21/1998,16:00,11.79,11.79,11.79,11.79,0.0
05/22/1998,16:00,11.79,11.84,9.89,10.21,1117000.0
05/26/1998,16:00,10.11,10.11,9.45,9.58,1335200.0
05/27/1998,16:00,9.60,9.79,8.90,8.90,797600.0
05/28/1998,16:00,9.00,9.58,9.00,9.16,1562400.0
05/29/1998,16:00,9.05,9.32,9.05,9.18,399400.0
06/01/1998,16:00,9.21,9.21,8.37,8.69,454000.0
06/02/1998,16:00,8.69,8.74,8.10,8.31,496600.0
06/03/1998,16:00,8.26,8.79,8.26,8.53,327200.0
06/04/1998,16:00,8.53,8.53,8.31,8.42,370400.0
06/05/1998,16:00,8.10,8.53,8.10,8.53,511800.0
06/08/1998,16:00,8.50,8.71,8.42,8.63,452600.0
06/09/1998,16:00,8.58,9.16,8.58,8.92,387800.0
06/10/1998,16:00,8.92,9.24,8.89,9.10,469200.0
06/11/1998,16:00,9.11,9.11,8.63,8.63,422000.0
06/12/1998,16:00,8.55,8.55,8.10,8.26,562800.0
06/15/1998,16:00,8.23,8.42,8.16,8.18,602800.0
06/16/1998,16:00,8.08,8.31,7.81,8.00,505400.0
06/17/1998,16:00,7.74,8.13,7.74,8.00,406800.0
06/18/1998,16:00,8.00,8.00,7.87,7.97,142000.0
06/19/1998,16:00,7.95,8.00,7.47,7.66,522400.0
06/22/1998,16:00,7.66,8.02,7.63,7.74,247200.0
06/23/1998,16:00,7.81,7.81,7.68,7.74,196200.0
06/24/1998,16:00,7.79,7.89,7.79,7.87,350400.0
06/25/1998,16:00,7.92,8.18,7.89,8.18,374200.0
06/26/1998,16:00,8.13,8.26,8.13,8.21,341000.0
06/29/1998,16:00,8.23,8.53,8.23,8.50,265600.0
06/30/1998,16:00,8.47,8.53,8.37,8.42,953600.0
07/01/1998,16:00,8.42,8.53,8.23,8.42,216000.0
07/02/1998,16:00,8.50,8.50,8.31,8.34,139800.0
07/06/1998,16:00,8.31,8.34,8.21,8.26,54600.0
07/07/1998,16:00,8.29,8.45,8.26,8.31,173400.0
07/08/1998,16:00,8.26,8.26,7.87,7.89,426400.0
07/09/1998,16:00,7.89,8.00,7.89,8.00,138200.0
07/10/1998,16:00,7.97,8.05,7.97,8.05,152000.0
07/13/1998,16:00,8.05,8.16,8.05,8.13,258600.0
07/14/1998,16:00,8.13,8.16,8.08,8.13,298400.0
07/15/1998,16:00,8.13,8.21,8.13,8.21,11200.0
07/16/1998,16:00,8.18,8.18,8.13,8.18,51200.0
07/17/1998,16:00,8.18,8.29,8.18,8.29,173200.0
07/20/1998,16:00,8.37,8.37,8.21,8.23,326200.0
07/21/1998,16:00,8.21,8.39,8.18,8.31,130800.0
07/22/1998,16:00,8.26,8.26,8.18,8.21,114200.0
07/23/1998,16:00,8.21,8.23,8.16,8.21,167000.0
07/24/1998,16:00,8.16,8.16,7.63,7.74,232800.0
07/27/1998,16:00,7.63,7.63,7.53,7.58,156400.0
07/28/1998,16:00,7.79,8.08,7.79,7.87,745000.0
07/29/1998,16:00,7.87,8.16,7.87,8.13,1084400.0
07/30/1998,16:00,8.10,8.39,8.10,8.34,91600.0
07/31/1998,16:00,8.34,8.66,8.34,8.66,145600.0
08/03/1998,16:00,8.55,8.55,8.42,8.45,202600.0
08/04/1998,16:00,8.50,8.50,8.21,8.21,314600.0
08/05/1998,16:00,8.21,8.21,7.97,8.00,79800.0
08/06/1998,16:00,7.89,8.01,7.89,8.00,199800.0
08/07/1998,16:00,8.02,8.21,7.89,7.89,84800.0
08/10/1998,16:00,7.89,7.89,7.79,7.79,58800.0
08/11/1998,16:00,7.71,7.74,7.47,7.58,102200.0
08/12/1998,16:00,7.71,7.79,7.47,7.76,188600.0
