Date,Time,Open,High,Low,Close,Vol
02/03/1995,16:00,17.23,19.69,16.49,18.71,4134400.0
02/06/1995,16:00,19.20,19.44,18.46,18.95,832900.0
02/07/1995,16:00,19.20,22.15,19.20,21.41,1110700.0
02/08/1995,16:00,22.15,24.86,21.36,23.88,535800.0
02/09/1995,16:00,24.62,25.85,22.89,23.63,928300.0
02/10/1995,16:00,23.63,24.62,21.41,24.12,455400.0
02/13/1995,16:00,23.88,25.11,23.88,23.88,173800.0
02/14/1995,16:00,23.88,27.08,23.88,26.83,502400.0
02/15/1995,16:00,26.83,29.54,25.85,28.31,415600.0
02/16/1995,16:00,28.55,28.80,27.08,28.31,324900.0
02/17/1995,16:00,28.55,28.55,26.83,27.08,114700.0
02/21/1995,16:00,26.83,27.57,25.73,26.09,153500.0
02/22/1995,16:00,25.60,26.34,25.60,25.85,88800.0
02/23/1995,16:00,25.60,29.05,25.60,27.82,240000.0
02/24/1995,16:00,27.82,27.82,26.58,26.58,105300.0
02/27/1995,16:00,26.58,28.06,26.58,27.08,92800.0
02/28/1995,16:00,27.32,28.31,26.83,28.06,78500.0
03/01/1995,16:00,28.55,30.52,28.55,30.03,330100.0
03/02/1995,16:00,30.52,30.52,29.29,29.29,129700.0
03/03/1995,16:00,29.29,33.97,28.55,32.74,344600.0
03/06/1995,16:00,32.49,32.74,30.52,31.51,370700.0
03/07/1995,16:00,32.49,32.74,31.26,31.76,401100.0
03/08/1995,16:00,32.49,32.74,32.00,32.74,220500.0
03/09/1995,16:00,32.49,33.23,31.51,32.00,144900.0
03/10/1995,16:00,31.76,32.74,31.76,32.31,113200.0
03/13/1995,16:00,32.99,34.96,32.49,34.22,112200.0
03/14/1995,16:00,35.20,36.43,34.71,36.19,157700.0
03/15/1995,16:00,36.43,36.43,35.69,36.43,41100.0
03/16/1995,16:00,36.19,36.43,34.96,36.43,177000.0
03/17/1995,16:00,35.94,36.68,34.46,35.45,114300.0
03/20/1995,16:00,35.45,35.45,34.84,35.14,228300.0
03/21/1995,16:00,34.22,34.22,33.61,33.91,230000.0
03/22/1995,16:00,34.96,37.91,34.96,36.93,290800.0
03/23/1995,16:00,37.42,39.88,36.93,39.88,166400.0
03/24/1995,16:00,40.62,42.83,40.13,41.60,349200.0
03/27/1995,16:00,41.36,42.34,40.37,40.86,162800.0
03/28/1995,16:00,40.62,40.62,37.66,39.14,249700.0
03/29/1995,16:00,38.40,39.88,36.93,36.93,298500.0
03/30/1995,16:00,36.93,37.42,33.48,33.85,707300.0
03/31/1995,16:00,32.99,35.69,31.26,34.46,403400.0
04/03/1995,16:00,34.46,34.46,32.74,33.23,212900.0
04/04/1995,16:00,33.23,35.20,32.99,33.97,310400.0
04/05/1995,16:00,33.72,35.69,32.99,34.71,147800.0
04/06/1995,16:00,35.69,35.69,33.72,34.71,149900.0
04/07/1995,16:00,35.20,37.17,33.48,35.69,119300.0
04/10/1995,16:00,36.43,36.43,35.45,35.82,55700.0
04/11/1995,16:00,36.93,37.42,36.19,36.93,263100.0
04/12/1995,16:00,36.93,37.42,36.19,37.42,148600.0
04/13/1995,16:00,37.42,37.66,36.93,36.93,138400.0
04/17/1995,16:00,37.42,37.42,35.20,35.69,86500.0
04/18/1995,16:00,35.69,35.94,31.51,32.49,398200.0
04/19/1995,16:00,32.25,33.23,31.26,32.38,142600.0
04/20/1995,16:00,32.74,32.99,32.00,32.13,34300.0
04/21/1995,16:00,32.00,34.22,32.00,33.72,134800.0
04/24/1995,16:00,33.72,36.19,33.72,35.45,150400.0
04/25/1995,16:00,35.94,36.43,34.71,35.45,779200.0
04/26/1995,16:00,35.69,35.69,34.46,34.71,277800.0
04/27/1995,16:00,34.46,36.68,34.46,36.43,154100.0
04/28/1995,16:00,36.68,38.40,35.94,37.91,395500.0
05/01/1995,16:00,37.17,37.91,35.20,36.19,396900.0
05/02/1995,16:00,35.94,36.93,35.69,36.19,117900.0
05/03/1995,16:00,35.94,37.66,35.94,37.36,105400.0
05/04/1995,16:00,37.66,38.40,36.93,37.42,160800.0
05/05/1995,16:00,37.17,37.66,36.43,36.56,31200.0
05/08/1995,16:00,35.94,36.43,34.46,35.45,77200.0
05/09/1995,16:00,35.45,36.68,34.10,36.68,70700.0
05/10/1995,16:00,36.68,36.68,35.69,36.43,64400.0
05/11/1995,16:00,36.81,37.66,36.43,36.93,1804900.0
05/12/1995,16:00,37.17,37.91,36.43,37.91,728700.0
05/15/1995,16:00,37.66,38.65,35.94,38.40,487200.0
05/16/1995,16:00,38.40,41.11,37.91,40.37,664900.0
05/17/1995,16:00,40.62,42.59,40.13,40.75,506600.0
05/18/1995,16:00,40.86,41.85,39.14,39.39,226100.0
05/19/1995,16:00,38.89,40.62,37.91,39.02,340200.0
05/22/1995,16:00,38.89,41.60,38.89,41.36,260700.0
05/23/1995,16:00,41.85,44.80,41.36,44.31,650600.0
05/24/1995,16:00,45.54,46.77,44.31,45.79,807100.0
05/25/1995,16:00,45.54,45.79,43.33,44.07,388000.0
05/26/1995,16:00,44.56,44.56,42.22,43.57,149300.0
05/30/1995,16:00,43.08,43.82,39.02,39.02,417700.0
05/31/1995,16:00,39.14,40.62,39.14,40.01,581600.0
06/01/1995,16:00,40.86,43.33,40.25,43.08,255000.0
06/02/1995,16:00,41.60,44.31,41.36,44.19,243900.0
06/05/1995,16:00,44.31,44.56,43.82,44.12,149500.0
06/06/1995,16:00,43.82,44.31,42.83,43.33,165800.0
06/07/1995,16:00,42.83,43.33,41.60,43.08,176400.0
06/08/1995,16:00,42.59,43.57,42.59,43.57,169800.0
06/09/1995,16:00,43.57,45.30,43.21,45.05,175000.0
06/12/1995,16:00,45.30,46.77,44.80,45.30,230200.0
06/13/1995,16:00,45.79,47.02,45.79,47.02,589000.0
06/14/1995,16:00,47.02,47.76,45.54,47.76,305900.0
06/15/1995,16:00,48.00,51.21,47.76,49.97,456800.0
06/16/1995,16:00,50.22,50.47,48.99,50.22,90500.0
06/19/1995,16:00,50.96,51.70,50.47,50.96,349800.0
06/20/1995,16:00,50.96,57.11,49.97,57.11,330500.0
06/21/1995,16:00,56.87,57.36,52.68,52.93,497200.0
06/22/1995,16:00,53.17,55.39,52.93,53.91,284300.0
06/23/1995,16:00,54.41,54.41,52.44,53.17,227800.0
06/26/1995,16:00,52.44,53.17,49.73,51.45,180700.0
06/27/1995,16:00,50.71,51.21,49.73,49.97,205900.0
06/28/1995,16:00,49.73,49.97,47.27,48.13,439400.0
06/29/1995,16:00,48.50,49.73,46.77,49.61,543800.0
06/30/1995,16:00,49.73,51.45,48.99,51.45,528500.0
07/03/1995,16:00,50.77,52.93,50.71,52.93,127300.0
07/05/1995,16:00,52.68,52.93,50.96,51.45,175300.0
07/06/1995,16:00,51.45,54.16,51.45,53.42,208900.0
07/07/1995,16:00,53.17,56.38,53.17,56.13,326300.0
07/10/1995,16:00,56.38,57.11,56.13,57.11,218700.0
07/11/1995,16:00,56.13,61.05,56.13,59.58,492900.0
07/12/1995,16:00,61.05,65.48,60.94,65.48,507100.0
07/13/1995,16:00,64.50,67.21,64.50,67.21,305900.0
07/14/1995,16:00,65.98,68.69,65.98,68.69,205100.0
07/17/1995,16:00,64.75,67.45,64.75,67.45,105000.0
07/18/1995,16:00,63.02,65.73,63.02,65.73,263900.0
07/19/1995,16:00,59.08,61.79,59.08,61.79,719900.0
07/20/1995,16:00,55.14,57.85,55.14,57.85,252900.0
07/21/1995,16:00,56.01,58.72,56.01,58.72,316300.0
07/24/1995,16:00,58.34,61.05,58.34,61.05,216900.0
07/25/1995,16:00,63.27,65.98,63.27,65.98,810700.0
07/26/1995,16:00,69.18,69.18,65.98,66.22,576300.0
07/27/1995,16:00,65.24,67.95,65.24,67.95,391800.0
07/28/1995,16:00,66.96,69.67,66.96,69.67,291900.0
07/31/1995,16:00,64.25,66.96,64.25,66.96,204600.0
08/01/1995,16:00,66.96,69.67,66.96,69.67,299900.0
08/02/1995,16:00,67.70,70.41,67.70,70.41,1006700.0
08/03/1995,16:00,59.70,62.41,59.70,62.41,1175900.0
08/04/1995,16:00,57.36,60.07,57.36,60.07,316600.0
08/07/1995,16:00,58.84,61.55,58.84,61.55,298100.0
08/08/1995,16:00,58.10,60.81,58.10,60.81,252500.0
08/09/1995,16:00,57.24,58.10,55.88,56.13,424100.0
08/10/1995,16:00,58.97,59.82,57.61,57.85,192900.0
08/11/1995,16:00,59.08,59.33,56.38,56.38,193300.0
08/14/1995,16:00,58.84,59.08,56.13,56.13,476200.0
08/15/1995,16:00,62.53,62.78,59.82,59.82,336500.0
08/16/1995,16:00,62.28,63.52,62.04,63.52,315200.0
08/17/1995,16:00,62.78,64.25,62.78,63.64,317800.0
08/18/1995,16:00,64.01,64.99,62.53,63.27,286000.0
08/21/1995,16:00,63.52,64.25,61.55,61.55,309000.0
08/22/1995,16:00,58.84,59.58,56.87,56.87,577700.0
