Date,Time,Open,High,Low,Close,Vol
01/07/2014,16:00,16.0,17.0,15.0,15.0,59800.0
01/08/2014,16:00,17.5,18.0,16.0,17.0,51100.0
01/09/2014,16:00,17.5,17.75,17.1,17.5,159900.0
01/10/2014,16:00,17.5,20.0,17.5,18.0,157100.0
01/13/2014,16:00,18.4,18.5,18.2,18.2,5000.0
01/14/2014,16:00,19.25,19.25,18.0,18.1,14800.0
01/15/2014,16:00,18.8,19.0,18.0,18.2,105400.0
01/16/2014,16:00,18.21,18.65,18.21,18.31,8700.0
01/17/2014,16:00,18.35,19.0,18.35,19.0,5000.0
01/21/2014,16:00,19.5,20.0,19.16,20.0,7500.0
01/22/2014,16:00,20.0,20.0,20.0,20.0,7500.0
01/23/2014,16:00,20.0,20.0,20.0,20.0,2500.0
01/24/2014,16:00,19.8,19.8,19.8,19.8,2000.0
01/27/2014,16:00,20.0,20.0,19.0,19.0,7900.0
01/28/2014,16:00,18.75,19.5,18.75,19.0,81200.0
01/29/2014,16:00,19.0,20.0,19.0,19.0,7800.0
01/30/2014,16:00,18.9,19.0,18.9,19.0,1900.0
01/31/2014,16:00,18.5,19.93,18.0,19.4,679600.0
02/03/2014,16:00,19.5,20.0,18.8,20.0,126900.0
02/04/2014,16:00,19.5,19.5,18.7,19.0,162600.0
02/05/2014,16:00,19.75,19.75,17.99,18.46,57900.0
02/06/2014,16:00,18.81,18.98,16.75,16.89,219500.0
02/07/2014,16:00,17.83,17.83,15.8,16.79,60000.0
02/10/2014,16:00,16.92,17.45,16.6,16.98,79800.0
02/11/2014,16:00,16.6,17.0,16.51,16.77,110200.0
02/12/2014,16:00,16.94,17.01,16.65,16.99,48400.0
02/13/2014,16:00,16.87,17.0,16.79,16.99,41300.0
02/14/2014,16:00,16.86,17.0,16.51,16.8,40300.0
02/18/2014,16:00,16.66,17.0,16.50,16.88,33700.0
02/19/2014,16:00,16.95,17.0,16.63,16.78,39000.0
02/20/2014,16:00,16.85,16.85,16.25,16.3,42600.0
02/21/2014,16:00,16.48,16.48,16.14,16.24,17100.0
02/24/2014,16:00,16.29,16.91,16.29,16.77,57700.0
02/25/2014,16:00,16.72,16.85,16.39,16.67,39500.0
02/26/2014,16:00,16.85,16.9,16.38,16.49,81200.0
02/27/2014,16:00,16.5,16.6,16.29,16.59,67400.0
02/28/2014,16:00,16.39,17.36,15.9,16.23,40300.0
03/03/2014,16:00,17.57,17.57,16.0,16.98,69600.0
03/04/2014,16:00,16.93,18.19,16.92,17.6,70900.0
03/05/2014,16:00,17.7,18.4,16.34,17.44,132300.0
03/06/2014,16:00,17.99,18.58,17.59,18.3,91200.0
03/07/2014,16:00,18.34,19.5,18.0,19.12,92700.0
03/10/2014,16:00,19.5,19.78,18.75,19.59,83200.0
03/11/2014,16:00,19.66,20.5,19.6,20.09,128800.0
03/12/2014,16:00,20.29,20.97,19.26,20.25,100500.0
03/13/2014,16:00,20.3,21.26,19.85,20.25,87000.0
03/14/2014,16:00,20.24,20.50,19.32,20.0,73000.0
03/17/2014,16:00,19.67,20.46,17.75,18.28,130200.0
03/18/2014,16:00,18.26,19.49,18.06,19.4,158000.0
03/19/2014,16:00,19.35,19.66,19.01,19.39,84900.0
03/20/2014,16:00,19.31,20.0,19.31,19.78,59400.0
03/21/2014,16:00,19.8,19.8,17.3,18.56,510400.0
03/24/2014,16:00,18.43,19.13,17.36,18.98,43300.0
03/25/2014,16:00,19.04,19.04,18.11,18.73,81700.0
03/26/2014,16:00,18.81,18.98,17.7,17.92,51500.0
03/27/2014,16:00,17.5,18.91,16.02,18.7,25000.0
03/28/2014,16:00,18.29,19.0,18.29,18.59,17900.0
03/31/2014,16:00,18.66,18.88,17.95,18.18,65300.0
04/01/2014,16:00,18.27,19.0,16.11,19.0,39400.0
04/02/2014,16:00,18.61,19.2,18.59,19.0,52900.0
04/03/2014,16:00,18.94,18.99,17.71,18.42,43400.0
04/04/2014,16:00,18.39,19.0,16.98,17.05,66200.0
04/07/2014,16:00,17.12,17.89,15.95,17.49,53400.0
04/08/2014,16:00,17.51,17.51,16.1,16.5,43400.0
04/09/2014,16:00,16.64,18.61,16.64,18.36,50200.0
04/10/2014,16:00,18.43,19.0,17.99,18.26,65500.0
04/11/2014,16:00,17.15,18.0,16.89,17.49,46400.0
04/14/2014,16:00,17.5,18.2,16.67,16.87,42700.0
04/15/2014,16:00,16.85,16.92,15.78,16.21,44400.0
04/16/2014,16:00,16.8,16.9,15.28,15.72,41600.0
04/17/2014,16:00,17.29,17.29,15.71,16.15,44000.0
04/21/2014,16:00,16.1,16.62,15.46,16.1,61300.0
04/22/2014,16:00,15.5,16.1,15.46,15.77,65600.0
04/23/2014,16:00,16.14,16.58,15.75,16.25,55500.0
04/24/2014,16:00,16.34,16.91,15.92,16.31,39000.0
04/25/2014,16:00,16.69,16.69,15.99,16.22,41300.0
04/28/2014,16:00,16.27,17.36,16.01,16.95,116600.0
04/29/2014,16:00,17.1,17.25,16.27,16.54,81300.0
04/30/2014,16:00,16.48,16.93,16.42,16.7,24000.0
05/01/2014,16:00,16.66,16.86,16.41,16.5,62200.0
05/02/2014,16:00,16.41,16.6,15.65,16.08,59200.0
05/05/2014,16:00,15.83,15.95,15.16,15.58,35700.0
05/06/2014,16:00,15.73,15.93,15.18,15.75,37300.0
05/07/2014,16:00,15.7,16.13,15.33,15.42,38200.0
05/08/2014,16:00,15.21,16.46,15.17,16.27,40800.0
05/09/2014,16:00,16.2,16.86,15.75,15.95,44700.0
05/12/2014,16:00,15.87,16.33,15.54,15.8,58000.0
05/13/2014,16:00,15.77,16.11,14.95,15.35,88200.0
05/14/2014,16:00,15.39,15.9,15.05,15.77,40700.0
05/15/2014,16:00,15.77,16.2,15.55,15.95,105100.0
05/16/2014,16:00,15.9,16.04,15.78,15.81,54200.0
05/19/2014,16:00,15.67,16.12,15.17,15.55,66700.0
05/20/2014,16:00,15.51,15.6,14.76,15.03,34400.0
05/21/2014,16:00,15.1,15.5,14.7,14.87,90000.0
05/22/2014,16:00,14.93,15.14,14.92,15.01,40600.0
05/23/2014,16:00,15.0,15.33,14.55,15.25,56600.0
05/27/2014,16:00,15.0,15.19,14.84,14.98,68000.0
05/28/2014,16:00,14.94,15.29,14.53,14.88,47200.0
05/29/2014,16:00,15.06,15.45,14.77,15.0,67100.0
05/30/2014,16:00,15.09,15.48,14.65,15.15,150600.0
06/02/2014,16:00,15.15,15.23,14.95,14.99,52800.0
06/03/2014,16:00,14.9,15.44,14.74,14.91,69000.0
06/04/2014,16:00,15.15,16.65,14.86,16.37,78300.0
06/05/2014,16:00,16.42,16.98,15.13,16.52,92300.0
06/06/2014,16:00,16.58,16.89,16.0,16.31,29900.0
06/09/2014,16:00,16.01,17.35,16.01,16.64,43700.0
06/10/2014,16:00,16.56,16.8,15.67,16.79,23600.0
06/11/2014,16:00,16.64,16.89,16.51,16.82,27000.0
06/12/2014,16:00,16.85,16.85,16.6,16.76,44700.0
06/13/2014,16:00,15.75,17.0,15.75,16.89,28700.0
06/16/2014,16:00,16.93,17.10,16.23,16.73,75100.0
06/17/2014,16:00,16.34,16.88,16.1,16.81,36200.0
06/18/2014,16:00,16.85,19.32,16.76,18.28,203200.0
06/19/2014,16:00,17.12,18.8,17.12,18.52,164600.0
06/20/2014,16:00,18.61,19.6,17.99,19.26,201400.0
06/23/2014,16:00,18.87,19.1,16.14,18.95,142700.0
06/24/2014,16:00,18.81,18.81,17.63,17.79,89600.0
06/25/2014,16:00,17.53,18.02,16.81,17.17,106900.0
06/26/2014,16:00,16.84,17.61,16.7,17.39,52200.0
06/27/2014,16:00,17.18,18.01,16.45,17.15,2285200.0
06/30/2014,16:00,17.26,17.26,16.3,16.86,130400.0
07/01/2014,16:00,16.66,17.14,16.19,16.97,96200.0
07/02/2014,16:00,16.9,17.24,16.64,17.17,66100.0
07/03/2014,16:00,17.18,17.18,16.76,16.95,18500.0
07/07/2014,16:00,16.9,17.24,16.49,16.91,52700.0
07/08/2014,16:00,16.82,17.0,16.08,16.16,63200.0
07/09/2014,16:00,16.18,16.18,15.54,15.91,14000.0
07/10/2014,16:00,15.71,15.71,14.79,15.13,53700.0
07/11/2014,16:00,15.06,15.44,14.53,15.26,59500.0
07/14/2014,16:00,15.36,15.36,14.62,15.27,65600.0
07/15/2014,16:00,15.22,15.26,14.98,15.09,59900.0
07/16/2014,16:00,15.15,15.2,14.04,14.31,198800.0
07/17/2014,16:00,14.2,14.75,14.10,14.32,88100.0
07/18/2014,16:00,14.17,14.68,14.12,14.4,131300.0
07/21/2014,16:00,14.31,14.38,14.01,14.25,70600.0
07/22/2014,16:00,14.22,14.5,14.17,14.33,71700.0
07/23/2014,16:00,14.32,14.51,14.18,14.3,43200.0
07/24/2014,16:00,14.28,14.56,14.12,14.17,49400.0
07/25/2014,16:00,14.06,14.29,13.5,13.72,52000.0
07/28/2014,16:00,13.71,14.56,13.26,13.34,26900.0
07/29/2014,16:00,13.31,14.2,13.31,13.86,35800.0
07/30/2014,16:00,13.96,14.86,13.9,14.79,55800.0
07/31/2014,16:00,14.62,14.97,14.35,14.49,25800.0
08/01/2014,16:00,14.55,14.92,14.0,14.78,42400.0
08/04/2014,16:00,14.88,16.5,14.88,15.86,65000.0
08/05/2014,16:00,15.8,16.46,14.78,15.34,68400.0
08/06/2014,16:00,15.23,16.21,14.62,15.23,26500.0
08/07/2014,16:00,16.22,16.22,14.1,14.33,14700.0
08/08/2014,16:00,14.26,15.54,14.26,15.27,37800.0
08/11/2014,16:00,15.36,16.0,15.36,15.88,54400.0
08/12/2014,16:00,15.77,16.63,15.69,15.98,102200.0
08/13/2014,16:00,15.98,17.98,15.98,17.69,62500.0
08/14/2014,16:00,17.64,18.99,17.42,18.19,51900.0
08/15/2014,16:00,18.51,19.77,18.01,18.38,62300.0
08/18/2014,16:00,18.57,18.96,17.65,17.99,123400.0
08/19/2014,16:00,18.09,18.09,16.59,17.29,73200.0
08/20/2014,16:00,17.16,17.59,15.22,15.55,118600.0
08/21/2014,16:00,15.51,15.55,14.51,14.97,69400.0
08/22/2014,16:00,14.91,15.80,14.59,15.62,212100.0
08/25/2014,16:00,15.61,16.26,15.61,15.9,29000.0
08/26/2014,16:00,15.77,15.91,15.08,15.19,80100.0
08/27/2014,16:00,15.10,15.31,14.67,14.83,34000.0
08/28/2014,16:00,14.75,14.9,14.24,14.31,28300.0
08/29/2014,16:00,14.3,14.44,13.90,14.22,51700.0
09/02/2014,16:00,14.19,14.59,13.8,14.44,69700.0
09/03/2014,16:00,14.98,15.2,14.25,14.31,30800.0
09/04/2014,16:00,14.37,14.92,14.37,14.63,7500.0
09/05/2014,16:00,14.53,14.8,14.48,14.68,9100.0
09/08/2014,16:00,14.78,15.0,14.58,14.72,31800.0
09/09/2014,16:00,14.95,14.95,14.17,14.22,15900.0
09/10/2014,16:00,14.18,14.8,14.11,14.62,21500.0
09/11/2014,16:00,14.76,15.0,14.52,14.79,26700.0
09/12/2014,16:00,14.75,14.8,14.27,14.29,16000.0
09/15/2014,16:00,14.65,15.35,13.94,14.22,78400.0
09/16/2014,16:00,14.16,14.35,14.03,14.13,26500.0
09/17/2014,16:00,14.1,14.51,14.03,14.14,26400.0
09/18/2014,16:00,14.21,14.68,14.2,14.45,52100.0
09/19/2014,16:00,14.47,14.76,13.58,13.79,115400.0
09/22/2014,16:00,13.74,13.97,13.1,13.12,56300.0
