Date,Time,Open,High,Low,Close,Vol
01/30/1997,16:00,9.11,9.11,8.97,9.06,830000.0
01/31/1997,16:00,9.11,9.20,9.02,9.20,411300.0
02/03/1997,16:00,9.20,9.29,9.06,9.20,279500.0
02/04/1997,16:00,9.06,9.11,8.88,9.06,421200.0
02/05/1997,16:00,9.06,9.20,9.02,9.06,153500.0
02/06/1997,16:00,9.02,9.06,9.02,9.02,224900.0
02/07/1997,16:00,9.02,9.15,9.02,9.06,174200.0
02/10/1997,16:00,9.06,9.15,9.06,9.06,158900.0
02/11/1997,16:00,9.06,9.11,9.06,9.06,96400.0
02/12/1997,16:00,8.97,9.02,8.84,8.97,623200.0
02/13/1997,16:00,8.97,9.02,8.93,8.97,227000.0
02/14/1997,16:00,9.06,9.06,8.97,9.02,111700.0
02/18/1997,16:00,8.97,9.02,8.93,8.93,118000.0
02/19/1997,16:00,9.02,9.06,8.97,9.06,143200.0
02/20/1997,16:00,9.02,9.11,9.02,9.06,116700.0
02/21/1997,16:00,9.11,9.20,9.02,9.20,225600.0
02/24/1997,16:00,9.20,9.47,9.15,9.42,252000.0
02/25/1997,16:00,9.47,9.60,9.47,9.47,142900.0
02/26/1997,16:00,9.38,9.42,9.24,9.33,173600.0
02/27/1997,16:00,9.33,9.38,9.20,9.24,206700.0
02/28/1997,16:00,9.33,9.42,9.33,9.42,165900.0
03/03/1997,16:00,9.33,9.42,9.33,9.38,56500.0
03/04/1997,16:00,9.29,9.56,9.29,9.51,128200.0
03/05/1997,16:00,9.51,9.60,9.47,9.51,27900.0
03/06/1997,16:00,9.47,9.51,9.42,9.42,13900.0
03/07/1997,16:00,9.42,9.51,9.42,9.47,58500.0
03/10/1997,16:00,9.60,9.69,9.47,9.69,114300.0
03/11/1997,16:00,9.78,9.78,9.69,9.78,106400.0
03/12/1997,16:00,9.74,10.05,9.74,9.96,122700.0
03/13/1997,16:00,9.91,10.18,9.91,10.09,183500.0
03/14/1997,16:00,10.05,10.09,10.00,10.00,87800.0
03/17/1997,16:00,10.00,10.05,9.82,10.00,200500.0
03/18/1997,16:00,9.96,9.96,9.87,9.87,66600.0
03/19/1997,16:00,9.87,9.91,9.51,9.51,31200.0
03/20/1997,16:00,9.51,9.56,9.47,9.47,36900.0
03/21/1997,16:00,9.47,9.60,9.42,9.56,49800.0
03/24/1997,16:00,9.60,9.65,9.56,9.65,22700.0
03/25/1997,16:00,9.65,9.78,9.60,9.78,66200.0
03/26/1997,16:00,9.82,9.96,9.78,9.96,44400.0
03/27/1997,16:00,9.91,9.96,9.82,9.82,29600.0
03/31/1997,16:00,9.82,9.87,9.56,9.56,64900.0
04/01/1997,16:00,9.56,9.60,9.56,9.56,41000.0
04/02/1997,16:00,9.56,9.60,9.06,9.20,60500.0
04/03/1997,16:00,9.15,9.15,8.97,8.97,123100.0
04/04/1997,16:00,9.02,9.02,8.97,8.97,140400.0
04/07/1997,16:00,8.97,9.06,8.84,8.84,27600.0
04/08/1997,16:00,8.79,8.88,8.61,8.61,202200.0
04/09/1997,16:00,8.66,8.75,8.52,8.70,277600.0
04/10/1997,16:00,8.75,8.75,8.61,8.66,81500.0
04/11/1997,16:00,8.66,8.66,8.48,8.57,35000.0
04/14/1997,16:00,8.48,8.61,8.48,8.61,63700.0
04/15/1997,16:00,8.61,8.61,8.43,8.43,120700.0
04/16/1997,16:00,8.43,8.61,8.39,8.61,26400.0
04/17/1997,16:00,8.61,8.66,8.52,8.52,76400.0
04/18/1997,16:00,8.57,8.70,8.52,8.70,97200.0
04/21/1997,16:00,8.70,8.75,8.66,8.66,204700.0
04/22/1997,16:00,8.70,8.70,8.66,8.66,24700.0
04/23/1997,16:00,8.57,8.61,8.43,8.57,29600.0
04/24/1997,16:00,8.52,8.61,8.52,8.52,112800.0
04/25/1997,16:00,8.52,8.52,8.43,8.48,40900.0
04/28/1997,16:00,8.43,8.43,8.25,8.30,116800.0
04/29/1997,16:00,8.39,8.48,8.39,8.48,16600.0
04/30/1997,16:00,8.48,8.48,8.43,8.43,26500.0
05/01/1997,16:00,8.39,8.39,8.21,8.34,61600.0
05/02/1997,16:00,8.34,8.57,8.34,8.48,205800.0
05/05/1997,16:00,8.57,8.61,8.52,8.61,20100.0
05/06/1997,16:00,8.61,8.66,8.61,8.66,38000.0
05/07/1997,16:00,8.66,8.66,8.61,8.66,11400.0
05/08/1997,16:00,8.66,8.66,8.57,8.57,38500.0
05/09/1997,16:00,8.70,8.97,8.61,8.97,44000.0
05/12/1997,16:00,8.97,9.02,8.97,8.97,29600.0
05/13/1997,16:00,8.93,8.97,8.88,8.93,52700.0
05/14/1997,16:00,9.02,9.06,8.97,9.06,77400.0
05/15/1997,16:00,9.02,9.02,8.93,8.93,30200.0
05/16/1997,16:00,8.84,8.88,8.61,8.70,60400.0
05/19/1997,16:00,8.66,8.66,8.57,8.66,104300.0
05/20/1997,16:00,8.57,8.66,8.57,8.66,52000.0
05/21/1997,16:00,8.61,8.61,8.43,8.48,56900.0
05/22/1997,16:00,8.48,8.57,8.43,8.43,81300.0
05/23/1997,16:00,8.43,8.70,8.43,8.66,22100.0
05/27/1997,16:00,8.61,8.66,8.52,8.61,81700.0
05/28/1997,16:00,8.61,8.70,8.57,8.70,63400.0
05/29/1997,16:00,8.61,8.61,8.57,8.61,60500.0
05/30/1997,16:00,8.57,8.70,8.57,8.70,35600.0
06/02/1997,16:00,8.66,8.70,8.66,8.66,8200.0
06/03/1997,16:00,8.70,8.75,8.66,8.70,71800.0
06/04/1997,16:00,8.70,8.70,8.66,8.70,71000.0
06/05/1997,16:00,8.66,8.75,8.66,8.75,5500.0
06/06/1997,16:00,8.75,8.93,8.70,8.80,18900.0
06/09/1997,16:00,8.70,8.80,8.70,8.75,40000.0
06/10/1997,16:00,8.75,8.75,8.70,8.75,8900.0
06/11/1997,16:00,8.70,8.75,8.70,8.70,20900.0
06/12/1997,16:00,8.70,8.80,8.66,8.75,41100.0
06/13/1997,16:00,8.70,8.84,8.66,8.84,179500.0
06/16/1997,16:00,8.84,8.89,8.75,8.84,107400.0
06/17/1997,16:00,8.84,8.98,8.80,8.93,33900.0
06/18/1997,16:00,8.89,8.89,8.84,8.89,27400.0
06/19/1997,16:00,8.84,8.93,8.80,8.89,89900.0
06/20/1997,16:00,8.93,9.16,8.93,9.11,48900.0
06/23/1997,16:00,9.21,9.30,9.11,9.11,42300.0
06/24/1997,16:00,9.21,9.25,9.11,9.25,53200.0
06/25/1997,16:00,9.30,9.43,9.25,9.39,102800.0
06/26/1997,16:00,9.25,9.44,9.25,9.35,212500.0
06/27/1997,16:00,9.44,9.48,9.39,9.39,101800.0
06/30/1997,16:00,9.44,9.44,9.25,9.30,351700.0
07/01/1997,16:00,9.23,9.25,9.02,9.07,183100.0
07/02/1997,16:00,9.02,9.02,8.84,8.84,84900.0
07/03/1997,16:00,9.02,9.09,8.89,9.02,19200.0
07/07/1997,16:00,9.25,9.25,9.02,9.25,233600.0
07/08/1997,16:00,9.25,9.35,9.07,9.07,142200.0
07/09/1997,16:00,9.07,9.21,9.07,9.21,65800.0
07/10/1997,16:00,9.07,9.35,9.07,9.25,10200.0
07/11/1997,16:00,9.25,9.55,9.25,9.50,68800.0
07/14/1997,16:00,9.55,9.71,9.50,9.67,45600.0
07/15/1997,16:00,9.83,9.85,9.83,9.85,73900.0
07/16/1997,16:00,9.94,9.94,9.94,9.94,74400.0
07/17/1997,16:00,9.90,9.90,9.85,9.90,40000.0
07/18/1997,16:00,9.67,9.78,9.64,9.78,72400.0
07/21/1997,16:00,9.74,9.76,9.55,9.55,24700.0
07/22/1997,16:00,9.62,9.67,9.57,9.62,28300.0
07/23/1997,16:00,9.64,9.67,9.64,9.64,41300.0
07/24/1997,16:00,9.53,9.62,9.48,9.60,45600.0
07/25/1997,16:00,9.64,9.64,9.46,9.48,68600.0
07/28/1997,16:00,9.48,9.53,9.41,9.44,80600.0
07/29/1997,16:00,9.21,9.21,9.21,9.21,86700.0
07/30/1997,16:00,9.21,9.25,9.14,9.14,52600.0
07/31/1997,16:00,9.25,9.30,9.16,9.25,97400.0
08/01/1997,16:00,9.25,9.39,9.11,9.39,52000.0
08/04/1997,16:00,9.44,9.57,9.41,9.57,15400.0
08/05/1997,16:00,9.64,9.94,9.64,9.78,99800.0
08/06/1997,16:00,9.76,9.85,9.76,9.76,15800.0
