Date,Time,Open,High,Low,Close,Vol
05/08/2014,16:00,15.0,15.23,14.51,15.0,5433500.0
05/09/2014,16:00,15.5,15.69,15.0,15.01,174500.0
05/12/2014,16:00,14.98,15.2,14.98,15.13,87600.0
05/13/2014,16:00,15.05,15.13,15.0,15.0,34900.0
05/14/2014,16:00,15.01,15.1,14.85,15.1,70800.0
05/15/2014,16:00,15.2,15.20,14.93,15.08,50200.0
05/16/2014,16:00,15.0,15.05,14.95,15.0,49500.0
05/19/2014,16:00,14.99,15.0,14.9,14.99,124400.0
05/20/2014,16:00,15.0,15.14,14.93,15.0,171900.0
05/21/2014,16:00,15.01,15.19,15.01,15.05,74500.0
05/22/2014,16:00,15.05,15.07,14.9,14.99,115300.0
05/23/2014,16:00,15.04,15.05,14.91,15.0,85800.0
05/27/2014,16:00,15.06,15.06,14.91,15.0,135200.0
05/28/2014,16:00,14.91,15.09,14.9,14.9,123900.0
05/29/2014,16:00,14.9,15.04,14.9,14.94,101800.0
05/30/2014,16:00,14.96,14.99,14.92,14.95,149000.0
06/02/2014,16:00,15.0,15.0,13.94,14.9,355500.0
06/03/2014,16:00,14.85,14.95,14.65,14.7,121100.0
06/04/2014,16:00,14.59,14.78,14.44,14.59,74900.0
06/05/2014,16:00,15.1,15.1,14.59,15.05,245700.0
06/06/2014,16:00,14.96,15.1,13.71,14.6,105100.0
06/09/2014,16:00,14.69,14.86,14.55,14.76,172100.0
06/10/2014,16:00,14.67,14.88,14.53,14.73,50100.0
06/11/2014,16:00,14.7,15.03,14.62,14.9,156700.0
06/12/2014,16:00,14.62,15.04,14.62,14.82,117600.0
06/13/2014,16:00,14.65,14.9,14.65,14.9,74600.0
06/16/2014,16:00,14.78,15.1,14.72,14.87,163300.0
06/17/2014,16:00,14.81,15.67,14.76,15.66,168100.0
06/18/2014,16:00,15.77,16.42,15.26,16.23,405100.0
06/19/2014,16:00,15.96,16.49,15.02,15.44,204500.0
06/20/2014,16:00,15.41,15.56,15.04,15.52,447000.0
06/23/2014,16:00,15.43,15.59,15.26,15.42,78700.0
06/24/2014,16:00,15.5,15.57,14.97,15.09,167200.0
06/25/2014,16:00,15.06,15.59,14.97,14.97,57800.0
06/26/2014,16:00,14.94,15.23,14.8,14.89,65000.0
06/27/2014,16:00,14.86,15.09,14.05,14.05,1140500.0
06/30/2014,16:00,14.32,15.1,14.06,14.88,329000.0
07/01/2014,16:00,14.86,15.0,14.53,14.85,118600.0
07/02/2014,16:00,14.8,15.07,14.75,15.04,53800.0
07/03/2014,16:00,15.04,15.25,15.0,15.15,20200.0
07/07/2014,16:00,15.21,15.58,15.0,15.14,54100.0
07/08/2014,16:00,15.11,15.3,15.0,15.28,73300.0
07/09/2014,16:00,15.3,15.7,15.07,15.62,62500.0
07/10/2014,16:00,15.34,15.76,15.25,15.73,168900.0
07/11/2014,16:00,15.66,16.45,15.59,15.82,104800.0
07/14/2014,16:00,15.9,16.2,15.9,16.06,33000.0
07/15/2014,16:00,16.01,16.1,15.94,16.02,53400.0
07/16/2014,16:00,16.1,16.47,15.5,16.06,91200.0
07/17/2014,16:00,16.0,16.13,15.66,15.82,66300.0
07/18/2014,16:00,15.79,16.25,15.67,15.9,72300.0
07/21/2014,16:00,15.81,16.12,15.5,15.91,105600.0
07/22/2014,16:00,15.98,16.1,15.5,15.74,83500.0
07/23/2014,16:00,15.7,15.91,15.55,15.6,63100.0
07/24/2014,16:00,15.67,15.94,15.5,15.87,69600.0
07/25/2014,16:00,15.74,16.28,15.74,16.19,74200.0
07/28/2014,16:00,16.25,16.37,15.88,16.3,73400.0
07/29/2014,16:00,16.23,17.16,16.23,17.01,68500.0
07/30/2014,16:00,17.14,17.54,17.14,17.47,41200.0
07/31/2014,16:00,17.39,17.97,16.63,16.97,98200.0
08/01/2014,16:00,17.03,17.05,16.5,16.89,41100.0
08/04/2014,16:00,16.87,17.15,16.63,16.84,50600.0
08/05/2014,16:00,16.87,17.0,16.58,16.66,82900.0
08/06/2014,16:00,16.6,17.45,16.6,16.98,111400.0
08/07/2014,16:00,16.86,16.86,16.27,16.56,100700.0
08/08/2014,16:00,16.5,16.59,15.86,15.92,133800.0
08/11/2014,16:00,15.94,16.3,15.6,15.78,74400.0
