Date,Time,Open,High,Low,Close,Vol
04/02/1996,16:00,6.62,7.75,6.5,7.56,301900.0
04/03/1996,16:00,7.63,7.88,7.37,7.88,50300.0
04/04/1996,16:00,8.0,8.75,7.75,8.62,61800.0
04/08/1996,16:00,8.5,8.5,8.12,8.25,38600.0
04/09/1996,16:00,8.38,8.38,8.12,8.25,12700.0
04/10/1996,16:00,8.25,8.38,8.12,8.25,46200.0
04/11/1996,16:00,8.38,8.38,8.12,8.12,14600.0
04/12/1996,16:00,8.0,8.12,7.75,7.88,31200.0
04/15/1996,16:00,8.0,8.0,7.63,7.88,16100.0
04/16/1996,16:00,8.0,8.0,7.37,7.75,50500.0
04/17/1996,16:00,7.75,7.75,7.37,7.5,12800.0
04/18/1996,16:00,7.5,7.5,7.12,7.12,5800.0
04/19/1996,16:00,7.37,7.37,7.12,7.25,33100.0
04/22/1996,16:00,7.37,7.37,7.0,7.37,21700.0
04/23/1996,16:00,7.37,7.37,7.0,7.25,6500.0
04/24/1996,16:00,7.0,7.75,7.0,7.75,16600.0
04/25/1996,16:00,7.75,8.5,7.37,8.12,50400.0
04/26/1996,16:00,8.5,8.5,8.0,8.0,12700.0
04/29/1996,16:00,8.38,8.38,8.0,8.25,53700.0
04/30/1996,16:00,8.25,10.5,8.0,10.0,99700.0
05/01/1996,16:00,10.0,10.12,9.88,10.0,40600.0
05/02/1996,16:00,6.62,7.75,6.5,7.56,46400.0
05/03/1996,16:00,7.62,7.87,7.37,7.87,42800.0
05/06/1996,16:00,10.12,10.12,9.25,9.5,17600.0
05/07/1996,16:00,9.62,9.62,9.25,9.25,4300.0
05/08/1996,16:00,8.5,8.5,8.12,8.25,10200.0
05/09/1996,16:00,8.37,8.37,8.12,8.25,44900.0
05/10/1996,16:00,8.25,8.37,8.12,8.25,17300.0
05/13/1996,16:00,8.88,9.12,8.75,9.0,57000.0
05/14/1996,16:00,9.0,9.0,8.88,9.0,3800.0
05/15/1996,16:00,8.0,8.0,7.62,7.87,15200.0
05/16/1996,16:00,8.0,8.0,7.37,7.75,4300.0
05/17/1996,16:00,7.75,7.75,7.37,7.5,2300.0
05/20/1996,16:00,8.75,8.75,8.5,8.5,20800.0
05/21/1996,16:00,8.75,8.75,8.5,8.75,32800.0
05/22/1996,16:00,7.37,7.37,7.0,7.37,77800.0
05/23/1996,16:00,7.37,7.37,7.0,7.25,199500.0
05/24/1996,16:00,7.0,7.75,7.0,7.75,266300.0
05/28/1996,16:00,9.5,9.5,9.0,9.5,57400.0
05/29/1996,16:00,8.12,8.37,8.0,8.25,132200.0
05/30/1996,16:00,8.25,10.5,8.0,10.0,7200.0
05/31/1996,16:00,9.5,10.25,9.12,10.25,32100.0
06/03/1996,16:00,10.12,10.12,9.87,9.87,65500.0
06/04/1996,16:00,10.5,10.5,10.12,10.5,7800.0
06/05/1996,16:00,10.5,10.5,10.0,10.0,53800.0
06/06/1996,16:00,10.12,10.12,9.25,9.5,10100.0
06/07/1996,16:00,9.62,9.62,9.25,9.25,6600.0
06/10/1996,16:00,7.75,8.25,7.75,8.25,12700.0
06/11/1996,16:00,10.5,10.5,10.0,10.5,157300.0
06/12/1996,16:00,10.5,10.62,10.0,10.12,108800.0
06/13/1996,16:00,8.87,9.12,8.75,9.0,22800.0
06/14/1996,16:00,9.0,9.0,8.87,9.0,1200.0
06/17/1996,16:00,8.5,8.75,8.5,8.5,1400.0
06/18/1996,16:00,10.62,10.62,10.12,10.12,2700.0
06/19/1996,16:00,10.62,10.62,10.0,10.12,15600.0
06/20/1996,16:00,8.75,8.75,8.5,8.5,13900.0
06/21/1996,16:00,8.75,8.75,8.5,8.75,500.0
06/24/1996,16:00,9.37,9.37,9.0,9.37,10700.0
06/25/1996,16:00,9.12,9.5,9.12,9.12,17100.0
06/26/1996,16:00,9.12,9.5,9.12,9.5,3200.0
06/27/1996,16:00,9.12,9.25,9.12,9.12,5800.0
06/28/1996,16:00,9.5,9.5,9.0,9.5,5600.0
07/01/1996,16:00,9.5,10.25,9.12,10.25,16000.0
07/02/1996,16:00,9.75,9.75,9.25,9.25,3900.0
07/03/1996,16:00,10.25,10.87,10.0,10.5,600.0
07/05/1996,16:00,10.5,10.5,10.0,10.0,3000.0
07/08/1996,16:00,9.62,9.62,9.25,9.25,5200.0
07/09/1996,16:00,9.25,9.25,9.12,9.12,3700.0
07/10/1996,16:00,9.12,9.25,8.62,9.12,9900.0
07/11/1996,16:00,10.5,10.5,10.0,10.5,6300.0
07/12/1996,16:00,10.5,10.62,10.0,10.12,7800.0
07/15/1996,16:00,8.25,8.25,8.0,8.25,2700.0
07/16/1996,16:00,8.25,8.25,8.0,8.25,10300.0
07/17/1996,16:00,10.62,10.62,10.12,10.12,6000.0
07/18/1996,16:00,10.62,10.62,10.12,10.12,22100.0
07/19/1996,16:00,10.12,10.62,10.0,10.12,700.0
07/22/1996,16:00,8.5,8.5,8.0,8.0,24400.0
07/23/1996,16:00,8.0,8.38,8.0,8.25,16800.0
07/24/1996,16:00,9.5,9.5,9.12,9.12,7800.0
07/25/1996,16:00,9.12,9.5,9.12,9.12,2900.0
07/26/1996,16:00,9.12,9.5,9.12,9.5,1800.0
07/29/1996,16:00,8.0,8.0,8.0,8.0,200.0
07/30/1996,16:00,8.0,8.0,8.0,8.0,1500.0
07/31/1996,16:00,8.38,8.38,8.0,8.0,9400.0
08/01/1996,16:00,9.5,9.5,9.25,9.25,10400.0
08/02/1996,16:00,9.75,9.75,9.25,9.25,1900.0
08/05/1996,16:00,9.25,9.25,9.25,9.25,1200.0
08/06/1996,16:00,8.38,8.38,8.0,8.0,2200.0
08/07/1996,16:00,8.38,8.38,7.62,7.62,11500.0
08/08/1996,16:00,9.62,9.62,9.25,9.25,20200.0
08/09/1996,16:00,9.25,9.25,9.12,9.12,800.0
08/12/1996,16:00,8.5,8.75,8.37,8.37,34500.0
08/13/1996,16:00,7.88,7.88,7.62,7.88,800.0
08/14/1996,16:00,7.75,7.88,7.62,7.62,1400.0
08/15/1996,16:00,8.25,8.25,8.0,8.25,23500.0
08/16/1996,16:00,8.25,8.25,8.0,8.25,800.0
08/19/1996,16:00,8.12,8.5,8.12,8.12,600.0
08/20/1996,16:00,7.25,7.62,7.25,7.62,12200.0
08/21/1996,16:00,7.25,7.5,7.25,7.5,40700.0
08/22/1996,16:00,8.5,8.5,8.0,8.0,1500.0
08/23/1996,16:00,8.0,8.37,8.0,8.25,2400.0
08/26/1996,16:00,8.0,8.37,8.0,8.37,1300.0
08/27/1996,16:00,7.25,7.5,7.25,7.25,27300.0
08/28/1996,16:00,7.5,7.5,7.25,7.5,97600.0
08/29/1996,16:00,8.0,8.0,8.0,8.0,700.0
08/30/1996,16:00,8.0,8.0,8.0,8.0,110600.0
09/03/1996,16:00,8.5,8.5,8.0,8.12,63300.0
09/04/1996,16:00,8.12,8.75,8.12,8.75,24800.0
09/05/1996,16:00,8.37,8.37,8.0,8.0,2200.0
