Date,Time,Open,High,Low,Close,Vol
03/20/2014,16:00,28.25,35.0,28.25,33.5,571300.0
03/21/2014,16:00,33.0,33.0,30.5,30.5,152900.0
03/24/2014,16:00,31.0,31.0,28.5,30.72,11100.0
03/25/2014,16:00,30.99,30.99,30.00,30.85,69700.0
03/26/2014,16:00,31.0,31.0,30.11,30.4,140600.0
03/27/2014,16:00,30.03,30.4,30.00,30.22,4100.0
03/28/2014,16:00,30.49,30.49,28.63,29.21,119800.0
03/31/2014,16:00,30.0,30.26,29.99,30.01,8800.0
04/01/2014,16:00,30.54,30.55,30.35,30.49,21200.0
04/02/2014,16:00,30.56,34.35,29.86,32.25,227600.0
04/03/2014,16:00,31.26,32.4,31.26,31.8,115400.0
04/04/2014,16:00,32.0,32.5,31.18,31.67,85500.0
04/07/2014,16:00,30.46,31.59,28.5,29.55,1221700.0
04/08/2014,16:00,29.0,29.6,26.56,27.34,1456000.0
04/09/2014,16:00,27.01,27.79,26.56,26.63,1278000.0
04/10/2014,16:00,26.5,26.85,25.8,25.98,846000.0
04/11/2014,16:00,25.35,26.86,25.35,26.01,1539800.0
04/14/2014,16:00,25.56,26.85,25.56,26.16,1214400.0
04/15/2014,16:00,25.78,26.43,25.73,26.09,1116400.0
04/16/2014,16:00,26.25,26.48,25.7,25.86,316400.0
04/17/2014,16:00,25.75,26.3,25.55,26.1,574900.0
04/21/2014,16:00,26.54,27.92,26.36,27.36,734200.0
04/22/2014,16:00,26.94,28.28,26.85,27.99,550600.0
04/23/2014,16:00,27.99,28.14,27.35,27.97,261900.0
04/24/2014,16:00,27.58,28.49,27.5,27.69,148700.0
04/25/2014,16:00,27.5,27.52,27.13,27.23,176800.0
04/28/2014,16:00,27.18,27.79,26.99,27.5,387700.0
04/29/2014,16:00,27.46,28.35,27.29,28.03,399800.0
04/30/2014,16:00,27.91,28.25,27.49,27.65,278300.0
05/01/2014,16:00,27.55,28.2,27.04,27.46,400800.0
05/02/2014,16:00,27.46,28.0,27.01,27.33,216300.0
05/05/2014,16:00,27.15,27.44,27.01,27.22,124400.0
05/06/2014,16:00,27.03,27.12,26.44,26.49,210800.0
05/07/2014,16:00,26.39,26.73,26.04,26.34,200900.0
05/08/2014,16:00,26.17,27.04,26.03,26.44,85700.0
05/09/2014,16:00,26.28,26.94,26.12,26.44,123600.0
05/12/2014,16:00,26.74,27.37,26.51,26.95,176200.0
