Date,Time,Open,High,Low,Close,Vol
11/05/1987,16:00,0.67,0.69,0.67,0.69,158400.0
11/06/1987,16:00,0.71,0.75,0.71,0.73,122400.0
11/09/1987,16:00,0.74,0.74,0.69,0.72,141000.0
11/10/1987,16:00,0.71,0.71,0.68,0.71,63600.0
11/11/1987,16:00,0.71,0.71,0.70,0.70,27600.0
11/12/1987,16:00,0.72,0.73,0.71,0.71,165000.0
11/13/1987,16:00,0.70,0.71,0.70,0.70,50400.0
11/16/1987,16:00,0.71,0.73,0.71,0.71,30000.0
11/17/1987,16:00,0.71,0.73,0.70,0.70,73200.0
11/18/1987,16:00,0.70,0.72,0.69,0.72,105600.0
11/19/1987,16:00,0.71,0.73,0.70,0.70,34200.0
11/20/1987,16:00,0.70,0.71,0.69,0.71,73800.0
11/23/1987,16:00,0.72,0.73,0.72,0.73,203400.0
11/24/1987,16:00,0.75,0.76,0.75,0.75,214800.0
11/25/1987,16:00,0.74,0.74,0.72,0.73,64200.0
11/27/1987,16:00,0.73,0.73,0.71,0.71,58200.0
11/30/1987,16:00,0.71,0.71,0.70,0.71,159000.0
12/01/1987,16:00,0.70,0.71,0.70,0.71,102600.0
12/02/1987,16:00,0.71,0.72,0.70,0.72,75600.0
12/03/1987,16:00,0.72,0.73,0.72,0.73,97800.0
12/04/1987,16:00,0.71,0.72,0.71,0.71,58800.0
12/07/1987,16:00,0.71,0.71,0.70,0.70,123600.0
12/08/1987,16:00,0.71,0.71,0.71,0.71,67800.0
12/09/1987,16:00,0.71,0.73,0.71,0.71,105000.0
12/10/1987,16:00,0.71,0.74,0.71,0.72,73800.0
12/11/1987,16:00,0.72,0.72,0.71,0.71,111000.0
12/14/1987,16:00,0.71,0.71,0.70,0.71,122400.0
12/15/1987,16:00,0.70,0.71,0.70,0.71,59400.0
12/16/1987,16:00,0.71,0.73,0.70,0.71,398400.0
12/17/1987,16:00,0.73,0.79,0.73,0.79,333000.0
12/18/1987,16:00,0.77,0.82,0.77,0.82,172800.0
12/21/1987,16:00,0.82,0.82,0.78,0.79,140400.0
12/22/1987,16:00,0.79,0.79,0.76,0.78,270600.0
12/23/1987,16:00,0.79,0.83,0.79,0.79,837600.0
12/24/1987,16:00,0.80,0.81,0.80,0.80,201600.0
12/28/1987,16:00,0.79,0.79,0.73,0.73,78000.0
12/29/1987,16:00,0.72,0.73,0.70,0.73,139200.0
12/30/1987,16:00,0.72,0.77,0.72,0.77,520200.0
12/31/1987,16:00,0.77,0.80,0.77,0.79,578400.0
01/04/1988,16:00,0.77,0.80,0.77,0.80,155400.0
01/05/1988,16:00,0.81,0.85,0.81,0.85,128400.0
01/06/1988,16:00,0.86,0.86,0.83,0.85,156600.0
01/07/1988,16:00,0.85,0.86,0.83,0.86,90000.0
01/08/1988,16:00,0.85,0.85,0.77,0.77,131400.0
01/11/1988,16:00,0.76,0.76,0.73,0.75,137400.0
01/12/1988,16:00,0.76,0.76,0.73,0.73,63600.0
01/13/1988,16:00,0.74,0.76,0.74,0.76,93600.0
