Date,Time,Open,High,Low,Close,Vol
08/20/1999,16:00,10.38,18.38,10.38,12.56,10855000.0
08/23/1999,16:00,13.81,13.88,11.0,11.19,1533600.0
08/24/1999,16:00,11.13,13.25,11.0,12.19,1014300.0
08/25/1999,16:00,12.59,12.63,11.75,11.75,413500.0
08/26/1999,16:00,12.44,15.25,12.13,14.0,1778500.0
08/27/1999,16:00,14.91,16.0,14.06,15.25,1092800.0
08/30/1999,16:00,16.13,16.81,15.13,15.38,789000.0
08/31/1999,16:00,15.63,15.75,13.13,14.56,493500.0
09/01/1999,16:00,14.94,16.0,14.0,15.19,493500.0
09/02/1999,16:00,14.44,15.88,14.13,15.38,408500.0
09/03/1999,16:00,16.13,17.44,15.63,16.56,816300.0
09/07/1999,16:00,17.06,24.25,16.63,22.0,3069400.0
09/08/1999,16:00,20.69,24.75,20.38,21.94,2055300.0
09/09/1999,16:00,21.88,25.13,21.31,23.63,1224300.0
09/10/1999,16:00,25.19,32.31,24.88,30.63,3146400.0
09/13/1999,16:00,31.19,37.38,25.88,26.94,3137200.0
09/14/1999,16:00,28.13,30.5,23.5,25.06,2186300.0
09/15/1999,16:00,25.88,26.5,22.0,22.94,1055500.0
09/16/1999,16:00,23.33,23.44,20.63,21.19,704100.0
09/17/1999,16:00,22.13,23.0,21.31,21.75,396800.0
09/20/1999,16:00,21.63,21.75,19.06,19.88,453100.0
09/21/1999,16:00,18.13,26.06,18.13,23.0,2092400.0
09/22/1999,16:00,23.69,23.75,21.0,21.63,425400.0
09/23/1999,16:00,21.94,22.69,19.5,19.63,320600.0
09/24/1999,16:00,19.94,21.19,19.19,19.94,242600.0
09/27/1999,16:00,20.19,20.75,18.75,18.88,199900.0
09/28/1999,16:00,17.44,19.94,16.56,17.75,969200.0
09/29/1999,16:00,17.41,17.75,15.56,16.13,625700.0
09/30/1999,16:00,16.69,17.25,15.0,15.56,403900.0
10/01/1999,16:00,15.63,18.0,15.5,16.25,644700.0
10/04/1999,16:00,16.09,16.38,15.5,15.81,218200.0
10/05/1999,16:00,15.88,16.0,14.81,15.47,248700.0
10/06/1999,16:00,15.13,17.0,14.88,16.25,374300.0
10/07/1999,16:00,18.88,23.5,18.69,22.88,3438000.0
10/08/1999,16:00,22.75,22.94,20.38,20.56,657600.0
10/11/1999,16:00,20.5,21.19,19.13,20.06,232900.0
10/12/1999,16:00,19.81,20.75,19.0,19.31,228800.0
10/13/1999,16:00,19.13,20.25,19.0,19.38,204500.0
10/14/1999,16:00,19.63,19.75,18.88,19.44,123900.0
10/15/1999,16:00,18.25,19.38,16.5,18.25,232600.0
10/18/1999,16:00,18.5,18.5,16.75,17.0,145100.0
10/19/1999,16:00,17.25,18.5,17.25,18.0,112700.0
10/20/1999,16:00,19.13,21.44,18.25,20.88,280000.0
10/21/1999,16:00,19.0,22.38,18.5,19.88,389700.0
10/22/1999,16:00,22.38,22.88,18.75,19.0,799400.0
10/25/1999,16:00,19.0,20.5,18.56,20.0,453600.0
10/26/1999,16:00,20.38,20.38,18.81,18.88,227100.0
10/27/1999,16:00,19.19,19.25,17.63,18.5,161000.0
10/28/1999,16:00,18.13,19.0,17.5,18.0,192100.0
10/29/1999,16:00,18.5,18.63,17.0,17.25,332900.0
11/01/1999,16:00,17.09,17.88,16.88,16.94,203200.0
11/02/1999,16:00,17.25,19.5,17.0,18.0,513900.0
11/03/1999,16:00,18.31,19.44,18.25,19.13,352500.0
11/04/1999,16:00,19.03,19.88,18.31,18.31,158200.0
11/05/1999,16:00,19.13,19.13,17.75,18.31,117500.0
11/08/1999,16:00,18.22,19.38,17.63,18.31,146200.0
11/09/1999,16:00,18.0,18.56,17.75,18.13,138900.0
11/10/1999,16:00,18.03,19.06,17.88,18.69,180300.0
11/11/1999,16:00,18.03,18.5,17.56,17.94,337400.0
11/12/1999,16:00,17.94,18.5,17.75,18.0,171600.0
11/15/1999,16:00,18.13,19.0,17.88,18.38,134200.0
11/16/1999,16:00,18.53,19.0,18.06,18.88,178900.0
11/17/1999,16:00,18.81,22.88,18.63,22.0,1420500.0
11/18/1999,16:00,22.56,24.19,20.5,22.38,804000.0
11/19/1999,16:00,22.63,23.0,20.75,22.25,278500.0
11/22/1999,16:00,22.69,23.75,22.25,22.94,437000.0
11/23/1999,16:00,22.63,23.63,21.38,21.5,270200.0
11/24/1999,16:00,21.75,22.06,21.25,21.31,94400.0
11/26/1999,16:00,21.31,22.13,20.63,20.63,85600.0
11/29/1999,16:00,20.09,21.88,19.75,20.13,197800.0
11/30/1999,16:00,20.56,24.13,19.5,21.75,767500.0
12/01/1999,16:00,22.44,23.88,21.75,22.44,342000.0
12/02/1999,16:00,22.66,22.94,21.0,21.69,126100.0
12/03/1999,16:00,21.88,22.63,20.25,20.25,215200.0
12/06/1999,16:00,20.75,22.88,20.63,21.0,275500.0
12/07/1999,16:00,21.56,21.94,20.5,21.19,123100.0
12/08/1999,16:00,21.44,21.75,20.38,20.75,118300.0
12/09/1999,16:00,21.13,22.69,20.5,22.5,256200.0
12/10/1999,16:00,22.75,23.44,21.38,22.25,294200.0
12/13/1999,16:00,22.88,25.25,21.75,23.69,435300.0
12/14/1999,16:00,25.63,25.75,22.25,22.25,308800.0
12/15/1999,16:00,22.31,24.44,20.88,24.0,563900.0
12/16/1999,16:00,24.25,25.5,19.75,20.44,974500.0
12/17/1999,16:00,21.75,22.88,20.75,21.5,746500.0
12/20/1999,16:00,21.56,22.0,19.56,19.75,309400.0
12/21/1999,16:00,20.25,20.5,18.88,19.38,278600.0
12/22/1999,16:00,20.22,20.25,18.88,19.06,168900.0
12/23/1999,16:00,19.75,20.75,18.88,19.63,170100.0
12/27/1999,16:00,19.97,20.19,18.88,19.13,100200.0
12/28/1999,16:00,19.13,19.38,17.94,18.06,164500.0
12/29/1999,16:00,18.06,18.28,17.0,17.56,319300.0
12/30/1999,16:00,17.25,19.0,16.5,18.0,302800.0
12/31/1999,16:00,18.03,18.75,16.88,18.25,211700.0
01/03/2000,16:00,19.25,19.69,18.0,18.5,117400.0
01/04/2000,16:00,18.44,19.5,18.19,19.0,111000.0
01/05/2000,16:00,18.25,19.38,18.25,18.63,134500.0
01/06/2000,16:00,19.03,20.38,18.56,19.0,94900.0
01/07/2000,16:00,18.63,19.13,18.63,18.88,190300.0
01/10/2000,16:00,20.19,21.69,19.5,21.5,471000.0
01/11/2000,16:00,21.5,21.75,20.13,20.25,157400.0
01/12/2000,16:00,20.88,21.38,20.13,21.25,104400.0
01/13/2000,16:00,21.06,22.0,20.44,20.63,85900.0
01/14/2000,16:00,21.22,21.25,20.63,20.75,152700.0
01/18/2000,16:00,19.94,20.75,19.52,20.0,53800.0
01/19/2000,16:00,20.13,21.25,20.13,21.25,89300.0
01/20/2000,16:00,22.0,28.0,21.81,25.0,2100900.0
01/21/2000,16:00,25.56,27.0,25.0,26.25,612000.0
01/24/2000,16:00,26.75,26.94,22.0,23.25,303900.0
01/25/2000,16:00,23.0,24.88,22.38,23.13,197500.0
01/26/2000,16:00,23.13,23.13,20.5,22.38,322100.0
01/27/2000,16:00,22.38,22.63,22.13,22.31,185200.0
01/28/2000,16:00,20.25,21.38,19.25,20.44,245000.0
01/31/2000,16:00,20.06,20.22,19.63,19.75,89700.0
02/01/2000,16:00,19.88,20.5,19.38,20.06,62700.0
02/02/2000,16:00,20.22,20.25,19.38,20.0,61600.0
02/03/2000,16:00,19.75,20.06,19.38,20.06,78700.0
02/04/2000,16:00,20.13,20.38,19.38,20.06,66300.0
02/07/2000,16:00,19.69,21.13,19.44,19.94,160300.0
02/08/2000,16:00,20.0,24.13,19.53,24.0,781900.0
02/09/2000,16:00,23.0,25.63,22.06,24.0,449100.0
02/10/2000,16:00,24.19,25.75,22.38,22.38,257000.0
02/11/2000,16:00,23.88,24.44,22.88,23.0,142000.0
02/14/2000,16:00,23.38,23.75,22.38,23.0,108900.0
02/15/2000,16:00,23.0,23.13,21.75,21.81,127000.0
02/16/2000,16:00,21.38,24.75,21.25,23.5,439300.0
02/17/2000,16:00,24.13,24.13,22.75,22.75,273800.0
02/18/2000,16:00,22.63,22.63,20.0,20.13,193800.0
02/22/2000,16:00,20.63,20.75,19.56,20.5,106200.0
02/23/2000,16:00,20.25,20.25,19.69,20.0,77000.0
02/24/2000,16:00,20.13,20.13,18.63,19.44,106200.0
02/25/2000,16:00,20.0,20.0,17.88,17.94,355400.0
02/28/2000,16:00,18.25,19.5,17.5,18.06,197200.0
02/29/2000,16:00,17.97,18.75,17.94,18.06,154500.0
03/01/2000,16:00,18.06,18.94,18.06,18.44,74400.0
03/02/2000,16:00,18.72,18.94,17.56,17.88,104700.0
03/03/2000,16:00,18.06,18.38,17.75,17.94,99300.0
03/06/2000,16:00,18.25,20.0,18.0,19.69,143700.0
03/07/2000,16:00,19.94,20.25,18.19,18.63,196000.0
03/08/2000,16:00,18.88,18.88,18.0,18.25,66600.0
03/09/2000,16:00,18.34,19.0,18.25,18.38,81600.0
03/10/2000,16:00,18.56,20.44,18.5,19.88,290800.0
03/13/2000,16:00,18.5,19.38,17.63,18.13,181600.0
03/14/2000,16:00,18.63,18.75,17.63,17.63,194100.0
03/15/2000,16:00,17.91,18.19,17.03,17.94,95700.0
03/16/2000,16:00,17.75,18.13,17.25,18.13,62200.0
03/17/2000,16:00,17.91,18.25,17.5,18.06,53100.0
03/20/2000,16:00,17.75,18.0,16.0,16.75,136500.0
03/21/2000,16:00,16.41,16.63,15.13,16.44,115200.0
03/22/2000,16:00,16.13,16.25,15.19,15.44,149200.0
03/23/2000,16:00,15.25,16.69,14.75,15.75,162000.0
03/24/2000,16:00,16.0,18.0,15.44,17.0,224300.0
03/27/2000,16:00,17.13,17.5,15.75,16.0,130300.0
03/28/2000,16:00,16.19,16.5,16.09,16.5,55800.0
03/29/2000,16:00,16.38,16.5,15.0,15.5,158000.0
03/30/2000,16:00,15.25,15.5,14.38,14.75,86000.0
03/31/2000,16:00,14.88,15.75,14.63,15.25,61600.0
04/03/2000,16:00,15.0,15.81,14.69,15.25,115600.0
04/04/2000,16:00,15.19,15.63,11.25,13.88,178400.0
04/05/2000,16:00,12.75,13.13,11.75,12.5,128800.0
04/06/2000,16:00,13.25,15.73,12.5,14.63,164500.0
04/07/2000,16:00,14.94,15.25,13.0,13.38,62700.0
04/10/2000,16:00,13.81,14.13,12.63,12.75,75600.0
04/11/2000,16:00,12.5,12.5,11.63,11.94,41200.0
04/12/2000,16:00,11.72,11.94,10.0,10.5,67500.0
04/13/2000,16:00,9.87,10.5,8.37,10.0,179000.0
04/14/2000,16:00,11.06,11.06,9.5,9.5,127800.0
04/17/2000,16:00,9.18,9.43,8.0,8.25,104800.0
04/18/2000,16:00,8.25,9.5,8.12,8.87,85700.0
04/19/2000,16:00,9.12,11.25,9.06,10.75,158900.0
04/20/2000,16:00,11.06,11.5,10.81,10.88,15800.0
04/24/2000,16:00,10.81,11.13,9.68,10.0,47200.0
04/25/2000,16:00,10.63,12.0,10.0,12.0,100100.0
04/26/2000,16:00,11.94,12.0,10.5,10.88,46300.0
04/27/2000,16:00,10.16,11.5,10.13,10.88,48600.0
04/28/2000,16:00,10.88,12.06,10.75,11.38,142000.0
05/01/2000,16:00,12.0,14.0,11.5,13.25,164500.0
05/02/2000,16:00,13.0,14.0,11.75,12.0,38100.0
05/03/2000,16:00,12.38,13.0,11.0,11.0,35900.0
05/04/2000,16:00,11.0,12.13,11.0,11.31,24400.0
05/05/2000,16:00,11.38,12.13,11.19,12.0,44100.0
05/08/2000,16:00,12.0,14.0,12.0,12.0,147000.0
05/09/2000,16:00,12.25,12.81,11.56,11.63,35800.0
05/10/2000,16:00,11.56,12.13,10.25,10.94,21500.0
05/11/2000,16:00,11.25,11.25,10.81,10.81,6900.0
05/12/2000,16:00,11.0,11.06,10.56,10.75,20100.0
05/15/2000,16:00,10.63,10.63,10.13,10.19,8600.0
05/16/2000,16:00,10.5,10.75,9.25,10.5,29500.0
05/17/2000,16:00,10.0,10.75,9.87,10.19,23400.0
05/18/2000,16:00,10.25,10.25,9.87,9.87,29700.0
05/19/2000,16:00,9.75,10.0,9.5,9.62,24000.0
05/22/2000,16:00,9.81,9.81,8.0,8.75,39600.0
05/23/2000,16:00,8.87,8.87,8.37,8.75,17900.0
05/24/2000,16:00,8.75,8.75,7.25,7.87,61200.0
05/25/2000,16:00,8.5,9.87,7.87,7.87,98000.0
05/26/2000,16:00,8.26,8.5,7.87,7.87,44300.0
05/30/2000,16:00,8.5,8.62,8.0,8.25,27100.0
05/31/2000,16:00,8.34,8.5,8.12,8.5,30600.0
06/01/2000,16:00,8.25,8.5,8.0,8.0,14500.0
06/02/2000,16:00,8.43,9.37,8.25,9.0,73000.0
06/05/2000,16:00,9.0,9.87,9.0,9.5,23600.0
06/06/2000,16:00,9.87,10.5,9.62,10.25,50000.0
06/07/2000,16:00,10.5,10.75,9.93,10.19,11600.0
06/08/2000,16:00,10.63,10.63,9.87,10.5,13000.0
06/09/2000,16:00,10.56,10.75,9.87,10.0,68400.0
06/12/2000,16:00,10.06,10.5,9.87,10.19,29100.0
06/13/2000,16:00,10.13,10.13,9.5,9.62,24500.0
06/14/2000,16:00,9.56,10.31,9.56,9.68,36800.0
06/15/2000,16:00,9.68,9.87,9.5,9.5,16400.0
06/16/2000,16:00,9.87,10.0,9.25,9.62,18000.0
06/19/2000,16:00,9.18,9.37,9.06,9.06,8800.0
06/20/2000,16:00,9.37,9.43,9.06,9.06,29300.0
06/21/2000,16:00,9.18,9.25,8.75,9.0,13200.0
06/22/2000,16:00,9.06,9.06,8.5,8.5,9800.0
06/23/2000,16:00,9.0,11.25,8.81,10.25,384800.0
06/26/2000,16:00,10.28,10.5,9.06,9.25,51200.0
06/27/2000,16:00,9.25,9.25,8.37,8.93,82300.0
06/28/2000,16:00,9.0,9.25,8.62,8.87,83300.0
06/29/2000,16:00,8.87,9.43,8.75,9.31,129500.0
06/30/2000,16:00,9.31,10.13,9.03,9.75,225900.0
07/03/2000,16:00,9.5,9.75,9.12,9.62,16700.0
07/05/2000,16:00,9.59,9.62,8.5,8.75,301800.0
07/06/2000,16:00,8.75,8.81,8.06,8.53,105900.0
07/07/2000,16:00,8.56,9.25,8.56,9.12,73300.0
07/10/2000,16:00,9.25,9.71,9.12,9.37,82300.0
07/11/2000,16:00,9.25,9.25,9.0,9.0,48200.0
07/12/2000,16:00,9.31,9.68,9.0,9.18,22000.0
07/13/2000,16:00,9.12,9.37,8.93,8.93,14400.0
07/14/2000,16:00,9.06,9.12,8.5,8.56,36700.0
07/17/2000,16:00,8.62,9.25,8.62,9.0,56100.0
07/18/2000,16:00,9.12,9.43,8.87,9.0,58600.0
07/19/2000,16:00,9.06,9.06,8.87,9.0,10900.0
07/20/2000,16:00,8.96,9.18,8.87,8.87,37600.0
