Date,Time,Open,High,Low,Close,Vol
10/05/1984,16:00,3.26,3.44,3.24,3.24,8216000.0
10/08/1984,16:00,3.45,3.45,3.36,3.44,263200.0
10/09/1984,16:00,3.39,3.43,3.38,3.40,245600.0
10/10/1984,16:00,3.42,3.42,3.35,3.38,56800.0
10/11/1984,16:00,3.36,3.47,3.36,3.47,350800.0
10/12/1984,16:00,3.48,3.49,3.45,3.45,282000.0
10/15/1984,16:00,3.47,3.50,3.43,3.50,322000.0
10/16/1984,16:00,3.53,3.66,3.53,3.59,1021200.0
10/17/1984,16:00,3.57,3.57,3.48,3.50,134000.0
10/18/1984,16:00,3.56,3.59,3.50,3.59,61200.0
10/19/1984,16:00,3.66,3.78,3.66,3.71,2053200.0
10/22/1984,16:00,3.61,3.71,3.61,3.63,824000.0
10/23/1984,16:00,3.63,3.73,3.63,3.68,284400.0
10/24/1984,16:00,3.67,3.75,3.66,3.68,442800.0
10/25/1984,16:00,3.67,3.70,3.66,3.67,426800.0
10/26/1984,16:00,3.66,3.68,3.63,3.63,341600.0
10/29/1984,16:00,3.66,3.68,3.63,3.68,243600.0
10/30/1984,16:00,3.68,3.94,3.68,3.85,712400.0
10/31/1984,16:00,3.82,3.91,3.78,3.91,251600.0
11/01/1984,16:00,3.91,4.22,3.91,4.04,2243200.0
11/02/1984,16:00,4.01,4.04,3.99,4.04,374000.0
11/05/1984,16:00,4.03,4.04,4.01,4.01,270400.0
11/06/1984,16:00,4.03,4.09,4.00,4.06,410800.0
11/07/1984,16:00,4.06,4.08,4.04,4.06,584800.0
11/08/1984,16:00,4.04,4.05,4.01,4.01,203600.0
11/09/1984,16:00,3.99,4.15,3.99,4.12,356800.0
11/12/1984,16:00,4.12,4.12,4.03,4.12,231600.0
11/13/1984,16:00,4.12,4.12,4.05,4.12,284000.0
11/14/1984,16:00,4.06,4.10,4.03,4.10,452800.0
11/15/1984,16:00,4.08,4.09,4.05,4.08,434800.0
11/16/1984,16:00,4.06,4.08,3.96,4.00,919200.0
11/19/1984,16:00,3.97,4.00,3.78,3.81,99200.0
11/20/1984,16:00,3.80,3.86,3.80,3.84,91600.0
11/21/1984,16:00,3.82,3.92,3.82,3.89,119200.0
11/23/1984,16:00,3.89,4.04,3.89,4.04,131200.0
11/26/1984,16:00,4.05,4.05,3.96,4.00,86800.0
11/27/1984,16:00,4.01,4.01,3.99,3.99,70000.0
11/28/1984,16:00,3.96,4.00,3.91,3.92,526400.0
11/29/1984,16:00,3.90,3.90,3.77,3.77,78000.0
11/30/1984,16:00,3.77,3.82,3.73,3.80,170400.0
12/03/1984,16:00,3.78,3.78,3.70,3.76,1868000.0
12/04/1984,16:00,3.75,3.76,3.71,3.76,30800.0
12/05/1984,16:00,3.73,3.80,3.73,3.76,247600.0
12/06/1984,16:00,3.78,3.85,3.77,3.84,84000.0
12/07/1984,16:00,3.84,3.89,3.81,3.84,270000.0
12/10/1984,16:00,3.82,3.82,3.76,3.76,74800.0
12/11/1984,16:00,3.78,3.81,3.76,3.81,54400.0
12/12/1984,16:00,3.77,3.84,3.77,3.81,120800.0
12/13/1984,16:00,3.80,3.86,3.78,3.84,142000.0
12/14/1984,16:00,3.81,3.85,3.81,3.85,37600.0
12/17/1984,16:00,3.82,3.85,3.78,3.84,33200.0
12/18/1984,16:00,3.86,3.99,3.85,3.99,694000.0
12/19/1984,16:00,4.01,4.04,3.99,4.01,251600.0
12/20/1984,16:00,3.99,4.04,3.97,4.00,174000.0
12/21/1984,16:00,3.99,4.01,3.99,3.99,122400.0
12/24/1984,16:00,3.99,4.00,3.94,3.99,326400.0
12/26/1984,16:00,4.01,4.01,3.94,3.94,13600.0
12/27/1984,16:00,3.94,3.94,3.86,3.89,100800.0
12/28/1984,16:00,3.91,3.91,3.87,3.87,35600.0
12/31/1984,16:00,3.87,4.00,3.87,3.96,103200.0
01/02/1985,16:00,3.94,4.00,3.94,4.00,132800.0
01/03/1985,16:00,3.97,3.99,3.89,3.94,59600.0
01/04/1985,16:00,3.86,3.86,3.81,3.82,157200.0
01/07/1985,16:00,3.84,3.94,3.84,3.86,133600.0
01/08/1985,16:00,3.86,3.86,3.84,3.84,338400.0
01/09/1985,16:00,3.84,3.84,3.81,3.84,425200.0
01/10/1985,16:00,3.85,3.94,3.84,3.94,387600.0
01/11/1985,16:00,3.95,3.95,3.85,3.85,133600.0
01/14/1985,16:00,3.82,3.92,3.81,3.90,666800.0
01/15/1985,16:00,4.00,4.09,4.00,4.06,338400.0
01/16/1985,16:00,4.05,4.05,3.99,4.03,91200.0
01/17/1985,16:00,4.05,4.05,3.96,3.99,461600.0
01/18/1985,16:00,3.99,3.99,3.92,3.99,292400.0
01/21/1985,16:00,4.04,4.19,4.01,4.14,548800.0
01/22/1985,16:00,4.12,4.20,4.09,4.10,329200.0
01/23/1985,16:00,4.09,4.09,4.01,4.09,271600.0
01/24/1985,16:00,4.17,4.19,4.04,4.06,203600.0
01/25/1985,16:00,4.09,4.14,4.01,4.01,166400.0
01/28/1985,16:00,4.05,4.06,4.01,4.04,341600.0
01/29/1985,16:00,4.05,4.12,4.04,4.12,93200.0
01/30/1985,16:00,4.22,4.23,4.14,4.14,285600.0
01/31/1985,16:00,4.17,4.22,4.17,4.20,294000.0
02/01/1985,16:00,4.20,4.20,4.15,4.17,106400.0
02/04/1985,16:00,4.15,4.28,4.12,4.28,229200.0
02/05/1985,16:00,4.27,4.33,4.24,4.29,745600.0
02/06/1985,16:00,4.31,4.45,4.27,4.45,705600.0
02/07/1985,16:00,4.52,4.60,4.47,4.50,488800.0
02/08/1985,16:00,4.50,4.55,4.48,4.55,769600.0
02/11/1985,16:00,4.53,4.57,4.53,4.57,713200.0
02/12/1985,16:00,4.57,4.62,4.52,4.57,536000.0
02/13/1985,16:00,4.53,4.61,4.51,4.61,242000.0
02/14/1985,16:00,4.61,4.61,4.53,4.53,246000.0
02/15/1985,16:00,4.53,4.56,4.47,4.55,222000.0
02/19/1985,16:00,4.52,4.55,4.50,4.55,94400.0
02/20/1985,16:00,4.55,4.55,4.45,4.52,191200.0
02/21/1985,16:00,4.52,4.55,4.22,4.37,556800.0
02/22/1985,16:00,4.34,4.34,4.22,4.31,203200.0
02/25/1985,16:00,4.28,4.29,4.14,4.29,198800.0
02/26/1985,16:00,4.28,4.42,4.27,4.40,248400.0
02/27/1985,16:00,4.40,4.42,4.34,4.42,208000.0
02/28/1985,16:00,4.40,4.41,4.29,4.34,106800.0
03/01/1985,16:00,4.36,4.46,4.34,4.38,295200.0
03/04/1985,16:00,4.37,4.38,4.31,4.31,115200.0
03/05/1985,16:00,4.33,4.34,4.28,4.28,145600.0
03/06/1985,16:00,4.29,4.31,4.27,4.28,138000.0
03/07/1985,16:00,4.27,4.28,4.19,4.26,277200.0
03/08/1985,16:00,4.19,4.20,4.13,4.14,118400.0
03/11/1985,16:00,4.12,4.18,4.08,4.17,94800.0
03/12/1985,16:00,4.17,4.19,4.14,4.15,80000.0
03/13/1985,16:00,4.13,4.17,4.03,4.06,104800.0
03/14/1985,16:00,4.03,4.15,4.00,4.08,76000.0
03/15/1985,16:00,4.10,4.17,4.04,4.14,319600.0
03/18/1985,16:00,4.13,4.17,4.09,4.15,249200.0
