Date,Time,Open,High,Low,Close,Vol
06/21/1995,16:00,5.93,5.99,5.93,5.96,528400.0
06/22/1995,16:00,5.93,5.96,5.93,5.96,118500.0
06/23/1995,16:00,5.96,5.96,5.93,5.93,74300.0
06/26/1995,16:00,5.93,5.96,5.93,5.93,80600.0
06/27/1995,16:00,5.96,5.96,5.93,5.93,45500.0
06/28/1995,16:00,5.93,5.96,5.93,5.93,47300.0
06/29/1995,16:00,5.93,5.96,5.93,5.93,23500.0
06/30/1995,16:00,5.96,5.96,5.93,5.93,59400.0
07/03/1995,16:00,5.93,5.96,5.93,5.93,26700.0
07/05/1995,16:00,5.93,5.99,5.93,5.93,43300.0
07/06/1995,16:00,5.93,5.96,5.90,5.93,68400.0
07/07/1995,16:00,5.93,5.93,5.90,5.90,32200.0
07/10/1995,16:00,5.93,5.99,5.93,5.96,312100.0
07/11/1995,16:00,5.96,5.99,5.96,5.99,428900.0
07/12/1995,16:00,5.99,5.99,5.86,5.96,86800.0
07/13/1995,16:00,5.93,5.93,5.77,5.83,118500.0
07/14/1995,16:00,5.83,5.83,5.77,5.83,14600.0
07/17/1995,16:00,5.86,5.90,5.77,5.83,25100.0
07/18/1995,16:00,5.86,5.96,5.86,5.93,73200.0
07/19/1995,16:00,5.93,5.93,5.80,5.83,47800.0
07/20/1995,16:00,5.86,6.03,5.86,6.03,145800.0
07/21/1995,16:00,5.99,5.99,5.93,5.96,14700.0
07/24/1995,16:00,5.93,5.96,5.93,5.93,14800.0
07/25/1995,16:00,5.96,5.96,5.90,5.90,23300.0
07/26/1995,16:00,5.93,5.93,5.90,5.93,24500.0
07/27/1995,16:00,5.90,5.96,5.90,5.93,20000.0
07/28/1995,16:00,5.93,5.96,5.93,5.93,14800.0
07/31/1995,16:00,5.90,5.93,5.90,5.93,7100.0
08/01/1995,16:00,5.96,5.96,5.93,5.96,20300.0
08/02/1995,16:00,5.93,5.96,5.93,5.96,21100.0
08/03/1995,16:00,5.96,5.99,5.96,5.99,25500.0
08/04/1995,16:00,5.99,6.06,5.96,6.03,44700.0
08/07/1995,16:00,6.06,6.09,6.03,6.03,34200.0
08/08/1995,16:00,6.06,6.09,6.03,6.03,22200.0
08/09/1995,16:00,6.06,6.06,5.99,5.99,31800.0
08/10/1995,16:00,5.99,6.03,5.96,5.99,6200.0
08/11/1995,16:00,6.03,6.03,5.96,5.99,6700.0
08/14/1995,16:00,5.99,6.03,5.99,5.99,50000.0
08/15/1995,16:00,5.99,6.06,5.99,6.06,39300.0
08/16/1995,16:00,6.06,6.09,6.03,6.09,15800.0
08/17/1995,16:00,6.06,6.06,5.99,5.99,23800.0
08/18/1995,16:00,6.06,6.06,5.99,5.99,10400.0
08/21/1995,16:00,6.03,6.06,6.03,6.06,74100.0
08/22/1995,16:00,6.06,6.06,5.99,6.06,16400.0
08/23/1995,16:00,6.06,6.06,5.99,5.99,11900.0
08/24/1995,16:00,6.03,6.06,5.96,5.96,176700.0
08/25/1995,16:00,6.03,6.03,5.99,6.03,80900.0
08/28/1995,16:00,5.99,6.03,5.96,6.03,28100.0
08/29/1995,16:00,6.03,6.03,5.99,6.03,13400.0
08/30/1995,16:00,5.99,6.06,5.99,6.06,19400.0
08/31/1995,16:00,5.99,6.06,5.99,6.03,20600.0
09/01/1995,16:00,6.06,6.09,6.03,6.09,21500.0
09/05/1995,16:00,6.09,6.19,6.06,6.15,40300.0
09/06/1995,16:00,6.15,6.19,6.12,6.15,43600.0
09/07/1995,16:00,6.15,6.19,6.12,6.12,45500.0
09/08/1995,16:00,6.15,6.19,6.12,6.12,21700.0
09/11/1995,16:00,6.15,6.22,6.12,6.15,22000.0
09/12/1995,16:00,6.22,6.38,6.15,6.35,143400.0
09/13/1995,16:00,6.41,6.47,6.12,6.44,120100.0
09/14/1995,16:00,6.44,6.64,6.38,6.60,100200.0
09/15/1995,16:00,6.64,6.64,6.41,6.47,74300.0
09/18/1995,16:00,6.51,6.51,6.38,6.44,44300.0
09/19/1995,16:00,6.44,6.47,6.12,6.44,26000.0
09/20/1995,16:00,6.41,6.41,6.35,6.38,43500.0
09/21/1995,16:00,6.35,6.41,6.25,6.28,50200.0
09/22/1995,16:00,6.28,6.31,6.22,6.28,48700.0
09/25/1995,16:00,6.28,6.41,6.25,6.38,34200.0
09/26/1995,16:00,6.38,6.38,6.31,6.38,34200.0
09/27/1995,16:00,6.38,6.41,6.28,6.41,31100.0
09/28/1995,16:00,6.41,6.41,6.38,6.41,19200.0
09/29/1995,16:00,6.41,6.44,6.38,6.41,25900.0
10/02/1995,16:00,6.38,6.41,6.35,6.41,24300.0
10/03/1995,16:00,6.48,6.48,6.45,6.45,25100.0
10/04/1995,16:00,6.52,6.55,6.48,6.55,18300.0
10/05/1995,16:00,6.55,6.55,6.52,6.55,14600.0
10/06/1995,16:00,6.55,6.55,6.48,6.52,10400.0
10/09/1995,16:00,6.48,6.55,6.45,6.48,16400.0
10/10/1995,16:00,6.52,6.52,6.45,6.52,17700.0
10/11/1995,16:00,6.55,6.55,6.48,6.55,18400.0
10/12/1995,16:00,6.55,6.55,6.52,6.55,14600.0
10/13/1995,16:00,6.55,6.55,6.45,6.55,24900.0
10/16/1995,16:00,6.55,6.55,6.52,6.55,13200.0
10/17/1995,16:00,6.55,6.55,6.52,6.52,17200.0
10/18/1995,16:00,6.55,6.55,6.52,6.55,23500.0
10/19/1995,16:00,6.55,6.55,6.52,6.55,10500.0
10/20/1995,16:00,6.55,6.55,6.48,6.52,10800.0
10/23/1995,16:00,6.55,6.55,6.52,6.55,11000.0
10/24/1995,16:00,6.52,6.58,6.52,6.58,19100.0
10/25/1995,16:00,6.55,6.55,6.48,6.55,12400.0
10/26/1995,16:00,6.55,6.77,6.48,6.77,23200.0
10/27/1995,16:00,6.55,6.58,6.52,6.58,10100.0
10/30/1995,16:00,6.58,6.58,6.55,6.58,9900.0
10/31/1995,16:00,6.58,6.58,6.48,6.52,16300.0
11/01/1995,16:00,6.55,6.55,6.52,6.52,13100.0
11/02/1995,16:00,6.55,6.55,6.48,6.48,17600.0
11/03/1995,16:00,6.52,6.52,6.48,6.52,12900.0
11/06/1995,16:00,6.48,6.52,6.45,6.45,18700.0
11/07/1995,16:00,6.48,6.48,6.45,6.48,9200.0
11/08/1995,16:00,6.48,6.48,6.39,6.42,13900.0
11/09/1995,16:00,6.39,6.39,6.32,6.35,13800.0
11/10/1995,16:00,6.35,6.35,6.29,6.32,24400.0
11/13/1995,16:00,6.32,6.32,6.25,6.29,33800.0
11/14/1995,16:00,6.29,6.29,6.19,6.22,63400.0
