Date,Time,Open,High,Low,Close,Vol
03/05/1993,16:00,1.50,1.53,1.50,1.50,18987200.0
03/08/1993,16:00,1.53,1.59,1.50,1.52,6596000.0
03/09/1993,16:00,1.50,1.56,1.50,1.50,2745600.0
03/10/1993,16:00,1.50,1.56,1.50,1.50,1514400.0
03/11/1993,16:00,1.50,1.53,1.50,1.52,5412000.0
03/12/1993,16:00,1.50,1.53,1.50,1.50,2330400.0
03/15/1993,16:00,1.50,1.53,1.50,1.50,252800.0
03/16/1993,16:00,1.50,1.53,1.50,1.52,1011200.0
03/17/1993,16:00,1.50,1.53,1.50,1.50,643200.0
03/18/1993,16:00,1.50,1.53,1.50,1.50,800000.0
03/19/1993,16:00,1.50,1.53,1.50,1.50,3207200.0
03/22/1993,16:00,1.50,1.53,1.50,1.50,238400.0
03/23/1993,16:00,1.50,1.53,1.50,1.53,4865600.0
03/24/1993,16:00,1.53,1.62,1.50,1.53,1416000.0
03/25/1993,16:00,1.53,1.59,1.50,1.53,1510400.0
03/26/1993,16:00,1.56,1.56,1.50,1.50,633600.0
03/29/1993,16:00,1.53,1.53,1.50,1.50,162400.0
03/30/1993,16:00,1.50,1.53,1.50,1.50,204800.0
03/31/1993,16:00,1.53,1.59,1.50,1.56,2607200.0
04/01/1993,16:00,1.56,1.59,1.50,1.53,389600.0
04/02/1993,16:00,1.53,1.56,1.50,1.50,704800.0
04/05/1993,16:00,1.50,1.52,1.50,1.50,734400.0
04/06/1993,16:00,1.56,1.56,1.47,1.50,608000.0
04/07/1993,16:00,1.47,1.53,1.47,1.47,331200.0
04/08/1993,16:00,1.47,1.53,1.47,1.47,324800.0
04/12/1993,16:00,1.47,1.53,1.47,1.47,10400.0
04/13/1993,16:00,1.53,1.53,1.44,1.50,272800.0
04/14/1993,16:00,1.44,1.50,1.41,1.41,777600.0
04/15/1993,16:00,1.41,1.44,1.41,1.44,993600.0
04/16/1993,16:00,1.44,1.44,1.41,1.44,333600.0
04/19/1993,16:00,1.41,1.47,1.41,1.46,1332000.0
04/20/1993,16:00,1.41,1.47,1.41,1.47,336800.0
04/21/1993,16:00,1.41,1.47,1.41,1.47,52000.0
04/22/1993,16:00,1.47,1.47,1.41,1.41,58400.0
04/23/1993,16:00,1.41,1.47,1.41,1.46,326400.0
04/26/1993,16:00,1.47,1.47,1.41,1.41,255200.0
04/27/1993,16:00,1.41,1.47,1.41,1.44,549600.0
04/28/1993,16:00,1.47,1.47,1.41,1.41,39200.0
04/29/1993,16:00,1.47,1.47,1.41,1.41,67200.0
04/30/1993,16:00,1.41,1.47,1.41,1.43,188800.0
05/03/1993,16:00,1.44,1.47,1.41,1.41,64800.0
05/04/1993,16:00,1.44,1.53,1.44,1.47,154400.0
05/05/1993,16:00,1.53,1.53,1.44,1.44,288800.0
05/06/1993,16:00,1.50,1.50,1.44,1.46,454400.0
05/07/1993,16:00,1.50,1.50,1.44,1.50,117600.0
05/10/1993,16:00,1.53,1.59,1.47,1.53,1192800.0
05/11/1993,16:00,1.52,1.53,1.47,1.53,376800.0
05/12/1993,16:00,1.53,1.53,1.47,1.52,384000.0
05/13/1993,16:00,1.53,1.53,1.47,1.50,704800.0
05/14/1993,16:00,1.53,1.62,1.50,1.62,472800.0
05/17/1993,16:00,1.62,1.62,1.53,1.56,629600.0
05/18/1993,16:00,1.56,1.62,1.56,1.62,140000.0
05/19/1993,16:00,1.56,1.62,1.56,1.56,139200.0
05/20/1993,16:00,1.62,1.62,1.56,1.62,397600.0
05/21/1993,16:00,1.59,1.73,1.59,1.69,754400.0
05/24/1993,16:00,1.73,1.73,1.67,1.73,512000.0
05/25/1993,16:00,1.73,1.73,1.67,1.67,754400.0
05/26/1993,16:00,1.70,1.73,1.67,1.69,2252000.0
05/27/1993,16:00,1.67,1.73,1.67,1.67,116800.0
05/28/1993,16:00,1.67,1.70,1.67,1.70,558400.0
06/01/1993,16:00,1.67,1.70,1.67,1.67,131200.0
06/02/1993,16:00,1.67,1.73,1.67,1.67,277600.0
06/03/1993,16:00,1.73,1.73,1.67,1.67,48800.0
06/04/1993,16:00,1.67,1.73,1.67,1.73,380800.0
06/07/1993,16:00,1.70,1.73,1.67,1.70,517600.0
06/08/1993,16:00,1.67,1.73,1.67,1.67,7200.0
06/09/1993,16:00,1.67,1.73,1.67,1.72,2185600.0
06/10/1993,16:00,1.72,1.73,1.67,1.67,308800.0
06/11/1993,16:00,1.73,1.73,1.67,1.67,294400.0
06/14/1993,16:00,1.73,1.73,1.67,1.69,747200.0
06/15/1993,16:00,1.73,1.73,1.67,1.67,141600.0
06/16/1993,16:00,1.67,1.73,1.67,1.73,154400.0
06/17/1993,16:00,1.67,1.73,1.67,1.67,112000.0
06/18/1993,16:00,1.67,1.73,1.67,1.70,39200.0
06/21/1993,16:00,1.73,1.73,1.67,1.67,170400.0
06/22/1993,16:00,1.67,1.73,1.67,1.67,148800.0
06/23/1993,16:00,1.67,1.73,1.67,1.69,453600.0
06/24/1993,16:00,1.67,1.67,1.62,1.64,155200.0
06/25/1993,16:00,1.67,1.73,1.64,1.66,1259200.0
06/28/1993,16:00,1.64,1.70,1.59,1.59,594400.0
06/29/1993,16:00,1.64,1.64,1.59,1.64,1453600.0
06/30/1993,16:00,1.59,1.64,1.59,1.63,1117600.0
07/01/1993,16:00,1.62,1.64,1.62,1.64,1228800.0
07/02/1993,16:00,1.64,1.64,1.59,1.63,1240000.0
07/06/1993,16:00,1.64,1.64,1.59,1.64,566400.0
07/07/1993,16:00,1.64,1.67,1.62,1.67,123200.0
07/08/1993,16:00,1.67,1.82,1.64,1.82,504000.0
07/09/1993,16:00,1.76,1.85,1.76,1.76,298400.0
07/12/1993,16:00,1.76,1.85,1.76,1.76,42400.0
07/13/1993,16:00,1.85,1.85,1.79,1.80,22400.0
07/14/1993,16:00,1.76,1.85,1.76,1.76,152800.0
07/15/1993,16:00,1.79,1.95,1.78,1.88,448800.0
07/16/1993,16:00,1.93,1.99,1.82,1.85,800000.0
07/19/1993,16:00,1.83,1.85,1.82,1.85,169600.0
07/20/1993,16:00,1.82,1.85,1.82,1.85,99200.0
07/21/1993,16:00,1.82,1.82,1.82,1.82,24000.0
07/22/1993,16:00,1.85,1.93,1.85,1.91,224800.0
07/23/1993,16:00,1.91,1.93,1.91,1.93,72000.0
07/26/1993,16:00,1.91,1.93,1.91,1.91,489600.0
07/27/1993,16:00,1.91,1.93,1.91,1.93,430400.0
