Date,Time,Open,High,Low,Close,Vol
07/20/1999,16:00,11.40,11.40,11.17,11.17,1100.0
07/21/1999,16:00,11.17,11.17,11.17,11.17,0.0
07/22/1999,16:00,11.22,11.31,11.22,11.22,3100.0
07/23/1999,16:00,11.13,11.31,11.13,11.31,3400.0
07/26/1999,16:00,10.87,10.95,10.87,10.95,500.0
07/27/1999,16:00,11.31,11.40,10.95,11.40,15600.0
07/28/1999,16:00,11.40,11.40,11.40,11.40,0.0
07/29/1999,16:00,10.87,11.13,10.78,11.13,2700.0
07/30/1999,16:00,10.87,10.87,10.42,10.42,5800.0
08/02/1999,16:00,10.42,10.78,10.42,10.78,1500.0
08/03/1999,16:00,10.42,10.60,10.42,10.42,3900.0
08/04/1999,16:00,10.60,10.60,10.60,10.60,100.0
08/05/1999,16:00,10.47,10.47,10.47,10.47,200.0
08/06/1999,16:00,10.60,10.60,10.60,10.60,200.0
08/09/1999,16:00,10.47,10.47,10.47,10.47,400.0
08/10/1999,16:00,10.47,11.00,10.47,10.60,5700.0
08/11/1999,16:00,10.60,10.60,10.60,10.60,500.0
08/12/1999,16:00,10.60,10.60,10.60,10.60,800.0
08/13/1999,16:00,10.60,10.69,10.60,10.60,1200.0
08/16/1999,16:00,10.69,10.69,10.51,10.51,1100.0
08/17/1999,16:00,10.51,10.51,10.25,10.25,7700.0
08/18/1999,16:00,10.16,10.25,10.16,10.25,3200.0
08/19/1999,16:00,10.51,10.60,10.51,10.60,6100.0
08/20/1999,16:00,10.07,10.07,10.07,10.07,600.0
08/23/1999,16:00,10.07,10.07,10.07,10.07,800.0
08/24/1999,16:00,10.42,10.42,10.42,10.42,600.0
08/25/1999,16:00,10.60,10.60,10.42,10.47,1000.0
08/26/1999,16:00,10.60,10.60,10.60,10.60,400.0
08/27/1999,16:00,10.60,10.60,10.42,10.47,12400.0
08/30/1999,16:00,10.42,10.42,10.42,10.42,1500.0
08/31/1999,16:00,10.42,10.60,10.42,10.42,3900.0
09/01/1999,16:00,10.42,10.42,10.25,10.25,600.0
09/02/1999,16:00,10.25,10.42,10.07,10.07,4200.0
09/03/1999,16:00,10.25,10.42,10.25,10.42,2900.0
09/07/1999,16:00,10.60,10.60,10.25,10.25,700.0
09/08/1999,16:00,10.25,10.25,10.16,10.16,6100.0
09/09/1999,16:00,10.16,10.16,10.16,10.16,0.0
09/10/1999,16:00,10.34,10.34,10.34,10.34,1500.0
09/13/1999,16:00,10.34,10.34,10.16,10.25,5300.0
09/14/1999,16:00,10.07,10.25,9.89,9.98,12700.0
09/15/1999,16:00,9.93,10.25,9.93,10.07,1500.0
09/16/1999,16:00,9.98,9.98,9.98,9.98,400.0
09/17/1999,16:00,10.07,10.11,10.07,10.07,2800.0
09/20/1999,16:00,9.98,10.25,9.98,10.07,4400.0
09/21/1999,16:00,9.89,9.98,9.89,9.98,4400.0
